datetime,open,high,low,close,volume
2020-04-16 08:00:00,12.15,12.31,12.15,12.29,9914
2020-04-16 08:05:00,12.29,12.44,12.29,12.44,16828
2020-04-16 08:10:00,12.44,12.44,12.39,12.44,2657
2020-04-16 08:15:00,12.44,12.44,12.39,12.39,851
2020-04-16 08:20:00,12.36,12.36,12.36,12.36,500
2020-04-16 08:25:00,12.36,12.36,12.32,12.32,1506
2020-04-16 08:30:00,12.31,12.35,12.31,12.35,6512
2020-04-16 08:35:00,12.36,12.36,12.36,12.36,100
2020-04-16 08:40:00,12.36,12.36,12.36,12.36,240
2020-04-16 08:45:00,12.36,12.36,12.31,12.31,2221
2020-04-16 08:50:00,12.34,12.34,12.3,12.3,1226
2020-04-16 08:55:00,12.3,12.3,12.3,12.3,100
2020-04-16 09:00:00,12.25,12.25,12.23,12.25,1700
2020-04-16 09:05:00,12.25,12.27,12.2,12.2,3334
2020-04-16 09:10:00,12.2,12.2,12.19,12.19,1602
2020-04-16 09:15:00,12.2,12.2,12.2,12.2,400
2020-04-16 09:20:00,12.3,12.3,12.1,12.17,11992
2020-04-16 09:25:00,12.06,12.06,12.05,12.05,6038
2020-04-16 09:30:00,12.05,12.15,12.05,12.15,536
2020-04-16 09:35:00,12.11,12.11,12.08,12.1,931
2020-04-16 09:40:00,12.1,12.15,12.1,12.15,2200
2020-04-16 09:45:00,12.15,12.15,12.15,12.15,398
2020-04-16 09:50:00,12.2,12.2,12.2,12.2,147
2020-04-16 09:55:00,12.2,12.2,12.2,12.2,147
2020-04-16 10:05:00,12.1,12.1,11.95,11.95,19996
2020-04-16 10:25:00,12.12,12.12,12.12,12.12,299
2020-04-16 10:40:00,12.12,12.12,12.12,12.12,100
2020-04-16 10:45:00,12.12,12.12,12.12,12.12,499
2020-04-16 10:50:00,12.12,12.12,12.12,12.12,2296
2020-04-16 10:55:00,12.12,12.13,12.12,12.13,813
2020-04-16 11:00:00,12.17,12.2,12.07,12.07,34659
2020-04-16 11:05:00,12.05,12.07,12.02,12.02,10128
2020-04-16 11:10:00,12.02,12.02,11.98,11.98,18729
2020-04-16 11:15:00,11.99,12.04,11.99,12.03,27864
2020-04-16 11:20:00,12.04,12.09,12.04,12.09,5667
2020-04-16 11:25:00,12.07,12.12,12.07,12.12,8030
2020-04-16 11:30:00,12.12,12.12,12.07,12.07,32841
2020-04-16 11:35:00,12.08,12.08,12.02,12.02,18076
2020-04-16 11:40:00,12.03,12.06,12.0,12.0,24376
2020-04-16 11:45:00,12.0,12.0,11.92,11.94,33162
2020-04-16 11:50:00,11.95,12.03,11.95,11.96,20995
2020-04-16 11:55:00,11.96,11.99,11.96,11.99,3493
2020-04-16 12:00:00,12.0,12.1,11.96,12.06,72164
2020-04-16 12:05:00,12.05,12.07,11.95,11.99,29859
2020-04-16 12:10:00,11.98,12.0,11.95,11.99,16649
2020-04-16 12:15:00,11.99,11.99,11.96,11.96,47108
2020-04-16 12:20:00,11.97,12.05,11.95,12.04,34428
2020-04-16 12:25:00,12.03,12.05,12.0,12.0,22763
2020-04-16 12:30:00,12.01,12.25,12.0,12.2,217175
2020-04-16 12:35:00,12.2,12.2,12.01,12.08,46223
2020-04-16 12:40:00,12.03,12.1599,12.01,12.05,41095
2020-04-16 12:45:00,12.05,12.1002,12.03,12.03,61842
2020-04-16 12:50:00,12.03,12.13,12.03,12.13,21768
2020-04-16 12:55:00,12.14,12.14,12.1,12.1,11991
2020-04-16 13:00:00,12.12,12.13,12.0402,12.1098,68761
2020-04-16 13:05:00,12.08,12.1,12.05,12.08,34540
2020-04-16 13:10:00,12.06,12.08,12.04,12.05,34597
2020-04-16 13:15:00,12.05,12.09,12.04,12.07,43689
2020-04-16 13:20:00,12.07,12.08,11.95,12.0,54419
2020-04-16 13:25:00,11.99,12.02,11.9,11.92,123003
2020-04-16 13:30:00,11.91,12.03,11.8,11.8187,2662008
2020-04-16 13:35:00,11.82,11.87,11.61,11.7068,2429312
2020-04-16 13:40:00,11.715,11.89,11.7,11.7866,1504638
2020-04-16 13:45:00,11.785,11.82,11.695,11.74,1519111
2020-04-16 13:50:00,11.745,11.78,11.55,11.55,1810011
2020-04-16 13:55:00,11.55,11.67,11.55,11.59,1483294
2020-04-16 14:00:00,11.58,11.67,11.51,11.585,1683721
2020-04-16 14:05:00,11.585,11.63,11.42,11.45,2147159
2020-04-16 14:10:00,11.4499,11.5,11.2,11.305,3137869
2020-04-16 14:15:00,11.31,11.38,11.235,11.24,1946697
2020-04-16 14:20:00,11.23,11.36,11.17,11.3269,2194917
2020-04-16 14:25:00,11.33,11.43,11.315,11.3834,1541318
2020-04-16 14:30:00,11.3899,11.41,11.25,11.3986,1791957
2020-04-16 14:35:00,11.395,11.4,11.305,11.33,950685
2020-04-16 14:40:00,11.325,11.37,11.3,11.3442,1058384
2020-04-16 14:45:00,11.35,11.39,11.28,11.34,890677
2020-04-16 14:50:00,11.335,11.44,11.32,11.4199,1080274
2020-04-16 14:55:00,11.43,11.44,11.35,11.3514,1000032
2020-04-16 15:00:00,11.3565,11.43,11.35,11.4168,673485
2020-04-16 15:05:00,11.4186,11.47,11.39,11.4399,1398478
2020-04-16 15:10:00,11.44,11.46,11.41,11.425,845679
2020-04-16 15:15:00,11.43,11.48,11.42,11.48,907687
2020-04-16 15:20:00,11.475,11.48,11.41,11.44,638560
2020-04-16 15:25:00,11.435,11.45,11.37,11.385,709288
2020-04-16 15:30:00,11.38,11.4,11.3,11.343,1004241
2020-04-16 15:35:00,11.345,11.39,11.32,11.3817,445216
2020-04-16 15:40:00,11.385,11.4,11.33,11.335,490718
2020-04-16 15:45:00,11.34,11.37,11.325,11.333,533198
2020-04-16 15:50:00,11.3371,11.45,11.33,11.42,510141
2020-04-16 15:55:00,11.427,11.44,11.3717,11.43,508026
2020-04-16 16:00:00,11.43,11.48,11.425,11.472,772317
2020-04-16 16:05:00,11.475,11.48,11.37,11.39,765443
2020-04-16 16:10:00,11.385,11.4086,11.34,11.385,547609
2020-04-16 16:15:00,11.385,11.3899,11.33,11.335,459632
2020-04-16 16:20:00,11.335,11.36,11.3,11.31,803866
2020-04-16 16:25:00,11.31,11.32,11.28,11.31,504522
2020-04-16 16:30:00,11.3,11.3094,11.22,11.23,1225235
2020-04-16 16:35:00,11.24,11.27,11.21,11.21,831275
2020-04-16 16:40:00,11.21,11.2399,11.12,11.15,1704589
2020-04-16 16:45:00,11.153,11.16,11.0831,11.0955,947205
2020-04-16 16:50:00,11.09,11.12,11.07,11.075,891792
2020-04-16 16:55:00,11.0757,11.18,11.05,11.1586,1566701
2020-04-16 17:00:00,11.15,11.22,11.12,11.1999,647038
2020-04-16 17:05:00,11.195,11.25,11.1941,11.2001,582256
2020-04-16 17:10:00,11.2086,11.22,11.2,11.215,313363
2020-04-16 17:15:00,11.2169,11.23,11.2,11.2101,399677
2020-04-16 17:20:00,11.215,11.22,11.16,11.1999,485016
2020-04-16 17:25:00,11.2,11.2,11.17,11.1899,216567
2020-04-16 17:30:00,11.1814,11.19,11.17,11.1753,214228
2020-04-16 17:35:00,11.175,11.1799,11.12,11.1247,574935
2020-04-16 17:40:00,11.125,11.18,11.12,11.1786,406601
2020-04-16 17:45:00,11.17,11.18,11.15,11.175,327189
2020-04-16 17:50:00,11.18,11.18,11.12,11.1353,374744
2020-04-16 17:55:00,11.135,11.15,11.13,11.1471,226616
2020-04-16 18:00:00,11.15,11.16,11.12,11.155,351626
2020-04-16 18:05:00,11.155,11.24,11.14,11.235,409138
2020-04-16 18:10:00,11.24,11.24,11.2,11.2101,378322
2020-04-16 18:15:00,11.2101,11.25,11.21,11.2251,360501
2020-04-16 18:20:00,11.2256,11.23,11.19,11.21,399476
2020-04-16 18:25:00,11.2089,11.23,11.1901,11.215,279189
2020-04-16 18:30:00,11.2178,11.22,11.19,11.195,225392
2020-04-16 18:35:00,11.195,11.25,11.18,11.2157,408639
2020-04-16 18:40:00,11.215,11.2199,11.19,11.195,260346
2020-04-16 18:45:00,11.195,11.21,11.18,11.185,235117
2020-04-16 18:50:00,11.1867,11.19,11.15,11.18,492347
2020-04-16 18:55:00,11.1861,11.2,11.16,11.2,261397
2020-04-16 19:00:00,11.1957,11.2,11.15,11.15,207675
2020-04-16 19:05:00,11.155,11.16,11.1,11.105,711785
2020-04-16 19:10:00,11.105,11.11,11.09,11.1019,833610
2020-04-16 19:15:00,11.1018,11.11,11.05,11.055,529338
2020-04-16 19:20:00,11.05,11.07,11.05,11.07,1249811
2020-04-16 19:25:00,11.065,11.11,11.05,11.09,1023003
2020-04-16 19:30:00,11.09,11.15,11.0811,11.105,1036910
2020-04-16 19:35:00,11.11,11.13,11.1,11.11,674746
2020-04-16 19:40:00,11.115,11.12,11.05,11.055,1110487
2020-04-16 19:45:00,11.051,11.1,11.05,11.08,929134
2020-04-16 19:50:00,11.09,11.13,11.06,11.08,1557106
2020-04-16 19:55:00,11.075,11.08,11.06,11.0601,1782364
2020-04-16 20:00:00,11.07,11.1,11.05,11.08,835632
