datetime,open,high,low,close,volume
2020-04-16 13:30:00,5.31,5.37,5.3,5.34,32894
2020-04-16 13:35:00,5.33,5.451,5.33,5.4009,61443
2020-04-16 13:40:00,5.4,5.44,5.35,5.41,33838
2020-04-16 13:45:00,5.4201,5.4201,5.34,5.37,47434
2020-04-16 13:50:00,5.37,5.41,5.357,5.37,15895
2020-04-16 13:55:00,5.37,5.41,5.341,5.341,60712
2020-04-16 14:00:00,5.34,5.43,5.33,5.4234,32028
2020-04-16 14:05:00,5.42,5.45,5.34,5.35,68395
2020-04-16 14:10:00,5.36,5.385,5.34,5.3499,47311
2020-04-16 14:15:00,5.34,5.3825,5.34,5.36,24631
2020-04-16 14:20:00,5.345,5.38,5.34,5.38,22260
2020-04-16 14:25:00,5.38,5.41,5.37,5.3756,42437
2020-04-16 14:30:00,5.38,5.4,5.38,5.4,6572
2020-04-16 14:35:00,5.395,5.425,5.39,5.395,22067
2020-04-16 14:40:00,5.39,5.405,5.35,5.37,50491
2020-04-16 14:45:00,5.37,5.38,5.345,5.37,57956
2020-04-16 14:50:00,5.365,5.39,5.33,5.35,54788
2020-04-16 14:55:00,5.35,5.41,5.34,5.365,90608
2020-04-16 15:00:00,5.365,5.38,5.35,5.375,24035
2020-04-16 15:05:00,5.37,5.42,5.37,5.415,72185
2020-04-16 15:10:00,5.41,5.41,5.35,5.35,47509
2020-04-16 15:15:00,5.355,5.39,5.34,5.39,15711
2020-04-16 15:20:00,5.39,5.4,5.365,5.38,18630
2020-04-16 15:25:00,5.375,5.4,5.33,5.335,41526
2020-04-16 15:30:00,5.335,5.35,5.33,5.345,18797
2020-04-16 15:35:00,5.34,5.37,5.34,5.365,26449
2020-04-16 15:40:00,5.365,5.365,5.32,5.32,20013
2020-04-16 15:45:00,5.32,5.335,5.31,5.33,19628
2020-04-16 15:50:00,5.33,5.35,5.33,5.345,10462
2020-04-16 15:55:00,5.34,5.34,5.31,5.31,7252
2020-04-16 16:00:00,5.32,5.32,5.28,5.3,27561
2020-04-16 16:05:00,5.295,5.31,5.295,5.305,34993
2020-04-16 16:10:00,5.3046,5.305,5.3,5.305,3306
2020-04-16 16:15:00,5.3,5.3,5.27,5.27,22045
2020-04-16 16:20:00,5.2734,5.2734,5.24,5.2462,25101
2020-04-16 16:25:00,5.2461,5.26,5.24,5.255,10344
2020-04-16 16:30:00,5.255,5.26,5.255,5.26,10500
2020-04-16 16:35:00,5.255,5.26,5.205,5.22,84983
2020-04-16 16:40:00,5.2178,5.27,5.2178,5.265,32716
2020-04-16 16:45:00,5.27,5.29,5.26,5.275,33578
2020-04-16 16:50:00,5.27,5.28,5.25,5.255,12185
2020-04-16 16:55:00,5.25,5.28,5.24,5.26,20296
2020-04-16 17:00:00,5.26,5.275,5.25,5.2598,5816
2020-04-16 17:05:00,5.25,5.27,5.24,5.25,16425
2020-04-16 17:10:00,5.25,5.27,5.24,5.265,6466
2020-04-16 17:15:00,5.265,5.265,5.24,5.2574,6923
2020-04-16 17:20:00,5.26,5.27,5.25,5.2601,6103
2020-04-16 17:25:00,5.26,5.265,5.225,5.23,16262
2020-04-16 17:30:00,5.235,5.25,5.235,5.24,2649
2020-04-16 17:35:00,5.25,5.25,5.24,5.24,5861
2020-04-16 17:40:00,5.235,5.245,5.23,5.245,4162
2020-04-16 17:45:00,5.25,5.25,5.24,5.245,7423
2020-04-16 17:50:00,5.245,5.25,5.24,5.2495,7748
2020-04-16 17:55:00,5.25,5.26,5.25,5.26,11748
2020-04-16 18:00:00,5.25,5.28,5.25,5.265,18976
2020-04-16 18:05:00,5.27,5.27,5.24,5.255,21278
2020-04-16 18:10:00,5.252,5.26,5.25,5.255,11153
2020-04-16 18:15:00,5.255,5.27,5.25,5.255,10573
2020-04-16 18:20:00,5.2513,5.255,5.23,5.23,14276
2020-04-16 18:25:00,5.23,5.24,5.23,5.23,3950
2020-04-16 18:30:00,5.23,5.235,5.2,5.2,17157
2020-04-16 18:35:00,5.2,5.205,5.18,5.195,20114
2020-04-16 18:40:00,5.1999,5.215,5.185,5.215,14516
2020-04-16 18:45:00,5.22,5.25,5.22,5.25,12559
2020-04-16 18:50:00,5.25,5.265,5.24,5.265,9180
2020-04-16 18:55:00,5.26,5.265,5.25,5.26,11194
2020-04-16 19:00:00,5.26,5.27,5.25,5.27,16063
