datetime,open,high,low,close,volume
2020-04-16 09:35:00,50.88,50.88,50.88,50.88,190
2020-04-16 10:15:00,51.2,51.2,51.2,51.2,335
2020-04-16 10:55:00,51.57,51.57,51.57,51.57,425
2020-04-16 11:00:00,51.23,51.23,51.23,51.23,900
2020-04-16 11:05:00,51.23,51.23,51.23,51.23,584
2020-04-16 11:15:00,51.36,51.36,51.35,51.35,591
2020-04-16 11:25:00,51.4,51.45,51.4,51.45,1340
2020-04-16 11:30:00,51.45,51.45,51.45,51.45,500
2020-04-16 11:35:00,51.32,51.45,51.25,51.45,2660
2020-04-16 11:40:00,51.45,51.46,51.45,51.46,3297
2020-04-16 11:45:00,51.45,51.45,51.45,51.45,200
2020-04-16 11:50:00,51.45,51.45,51.4,51.4,2000
2020-04-16 12:00:00,51.35,51.9629,51.35,51.4003,1702
2020-04-16 12:05:00,51.45,51.45,51.45,51.45,1099
2020-04-16 12:10:00,51.45,51.45,51.45,51.45,1000
2020-04-16 12:15:00,51.46,51.46,51.4,51.4,4299
2020-04-16 12:20:00,51.36,51.38,51.36,51.38,700
2020-04-16 12:35:00,51.55,51.55,51.55,51.55,100
2020-04-16 12:40:00,51.5,51.5,51.48,51.48,1288
2020-04-16 12:45:00,51.51,51.51,51.43,51.49,1601
2020-04-16 12:50:00,51.41,51.41,51.41,51.41,1000
2020-04-16 12:55:00,51.48,51.9799,51.48,51.9799,394
2020-04-16 13:10:00,51.9699,51.9699,51.9699,51.9699,100
2020-04-16 13:25:00,51.94,51.99,51.76,51.91,2155
2020-04-16 13:30:00,51.77,52.57,51.64,51.7355,334313
2020-04-16 13:35:00,51.77,51.77,51.23,51.51,145173
2020-04-16 13:40:00,51.5,51.78,51.37,51.67,182046
2020-04-16 13:45:00,51.705,51.8,51.43,51.47,91117
2020-04-16 13:50:00,51.46,51.4726,51.03,51.1299,80795
2020-04-16 13:55:00,51.14,51.27,51.03,51.085,82239
2020-04-16 14:00:00,51.093,51.14,50.95,50.96,136076
2020-04-16 14:05:00,50.97,51.12,50.9602,51.03,79801
2020-04-16 14:10:00,51.03,51.07,50.8,50.91,100203
2020-04-16 14:15:00,50.91,51.07,50.85,51.03,66869
2020-04-16 14:20:00,51.05,51.37,51.02,51.33,62827
2020-04-16 14:25:00,51.31,51.64,51.24,51.56,96873
2020-04-16 14:30:00,51.5302,51.71,51.5,51.64,150830
2020-04-16 14:35:00,51.63,51.72,51.45,51.485,73999
2020-04-16 14:40:00,51.485,51.76,51.43,51.718,69780
2020-04-16 14:45:00,51.74,51.8,51.59,51.7,71630
2020-04-16 14:50:00,51.71,51.71,51.58,51.67,57714
2020-04-16 14:55:00,51.66,51.79,51.59,51.63,118791
2020-04-16 15:00:00,51.66,51.72,51.48,51.55,40141
2020-04-16 15:05:00,51.54,51.69,51.49,51.5357,113814
2020-04-16 15:10:00,51.55,51.66,51.4801,51.4801,65754
2020-04-16 15:15:00,51.52,51.555,51.43,51.54,85572
2020-04-16 15:20:00,51.525,51.635,51.48,51.6,99677
2020-04-16 15:25:00,51.6,51.93,51.56,51.79,102013
2020-04-16 15:30:00,51.78,51.84,51.65,51.67,61722
2020-04-16 15:35:00,51.67,51.72,51.59,51.68,30641
2020-04-16 15:40:00,51.7,51.845,51.67,51.73,32793
2020-04-16 15:45:00,51.72,51.82,51.64,51.67,24867
2020-04-16 15:50:00,51.68,51.94,51.67,51.94,36509
2020-04-16 15:55:00,51.925,51.95,51.83,51.83,92014
2020-04-16 16:00:00,51.84,51.89,51.75,51.8,53361
2020-04-16 16:05:00,51.8,51.8,51.6201,51.6201,60799
2020-04-16 16:10:00,51.61,51.68,51.49,51.62,64630
