datetime,open,high,low,close,volume
2020-04-16 08:00:00,55.55,56.0,55.55,55.74,10838
2020-04-16 08:05:00,55.75,55.78,55.74,55.78,1363
2020-04-16 08:10:00,55.88,56.32,55.88,56.3,12788
2020-04-16 08:15:00,56.33,56.4,56.27,56.39,967
2020-04-16 08:20:00,56.38,56.38,56.28,56.3,3577
2020-04-16 08:30:00,56.21,56.35,56.21,56.35,2100
2020-04-16 08:35:00,56.35,56.37,56.3,56.32,5622
2020-04-16 08:40:00,56.32,56.35,56.32,56.34,500
2020-04-16 08:45:00,56.33,56.37,56.31,56.31,1126
2020-04-16 08:50:00,56.31,56.31,56.28,56.3,2143
2020-04-16 08:55:00,56.28,56.33,56.26,56.28,2472
2020-04-16 09:00:00,56.23,56.23,56.06,56.06,3258
2020-04-16 09:05:00,56.06,56.06,55.95,55.96,2301
2020-04-16 09:10:00,55.98,55.98,55.98,55.98,100
2020-04-16 09:25:00,56.2,56.2,56.2,56.2,299
2020-04-16 09:30:00,56.14,56.2,56.14,56.2,1622
2020-04-16 09:35:00,56.21,56.25,56.21,56.25,1322
2020-04-16 09:40:00,56.26,56.3,56.25,56.3,1290
2020-04-16 09:45:00,56.25,56.29,56.25,56.29,230
2020-04-16 09:50:00,56.3,56.32,56.28,56.32,1220
2020-04-16 09:55:00,56.32,56.32,56.32,56.32,500
2020-04-16 10:00:00,56.3,56.3,56.3,56.3,528
2020-04-16 10:05:00,56.21,56.21,56.21,56.21,500
2020-04-16 10:10:00,56.21,56.25,56.21,56.25,500
2020-04-16 10:15:00,56.22,56.22,56.22,56.22,160
2020-04-16 10:20:00,56.23,56.32,56.22,56.32,1753
2020-04-16 10:25:00,56.27,56.27,56.25,56.25,400
2020-04-16 10:35:00,56.24,56.24,56.24,56.24,100
2020-04-16 10:45:00,56.31,56.32,56.31,56.32,800
2020-04-16 10:50:00,56.24,56.24,56.24,56.24,144
2020-04-16 10:55:00,56.28,56.32,56.22,56.32,2386
2020-04-16 11:00:00,56.18,56.32,55.99,56.01,35662
2020-04-16 11:05:00,56.02,56.02,55.85,55.86,11303
2020-04-16 11:10:00,55.88,55.93,55.84,55.88,13180
2020-04-16 11:15:00,55.86,55.86,55.75,55.79,5573
2020-04-16 11:20:00,55.79,55.89,55.79,55.89,3656
2020-04-16 11:25:00,55.89,55.98,55.89,55.98,11681
2020-04-16 11:30:00,55.98,55.98,55.8,55.9,19165
2020-04-16 11:35:00,55.9,55.96,55.73,55.73,54612
2020-04-16 11:40:00,55.72,55.72,55.63,55.68,17040
2020-04-16 11:45:00,55.65,55.69,55.61,55.67,13840
2020-04-16 11:50:00,55.65,55.86,55.61,55.86,11782
2020-04-16 11:55:00,55.8,55.85,55.79,55.85,4109
2020-04-16 12:00:00,55.88,55.96,55.82,55.93,22959
2020-04-16 12:05:00,55.95,55.95,55.83,55.8499,28419
2020-04-16 12:10:00,55.84,55.9395,55.84,55.9395,7288
2020-04-16 12:15:00,55.92,55.92,55.8,55.8,24987
2020-04-16 12:20:00,55.8,55.8,55.69,55.7101,41661
2020-04-16 12:25:00,55.72,55.93,55.72,55.8999,22448
2020-04-16 12:30:00,55.85,56.32,55.85,56.22,154774
2020-04-16 12:35:00,56.22,56.31,56.1,56.12,63325
2020-04-16 12:40:00,56.15,56.17,56.0599,56.09,43742
2020-04-16 12:45:00,56.06,56.2,56.05,56.09,30527
2020-04-16 12:50:00,56.0801,56.18,56.02,56.1699,22481
2020-04-16 12:55:00,56.17,56.2,56.08,56.1501,14072
2020-04-16 13:00:00,56.2,56.2,56.15,56.18,24358
2020-04-16 13:05:00,56.2,56.22,56.12,56.14,27058
2020-04-16 13:10:00,56.15,56.2,56.12,56.16,25594
2020-04-16 13:15:00,56.18,56.19,56.06,56.1,20259
2020-04-16 13:20:00,56.0602,56.12,56.04,56.06,15243
2020-04-16 13:25:00,56.07,56.1,55.9,55.9,33133
2020-04-16 13:30:00,55.96,56.1,55.73,55.83,3179092
2020-04-16 13:35:00,55.83,56.3,55.7718,56.16,2382239
2020-04-16 13:40:00,56.17,56.42,56.05,56.385,2138591
2020-04-16 13:45:00,56.39,56.6,56.23,56.23,1995464
2020-04-16 13:50:00,56.23,56.38,56.03,56.24,2119020
2020-04-16 13:55:00,56.2482,56.3622,56.12,56.12,1357862
2020-04-16 14:00:00,56.12,56.27,55.64,55.655,1906771
2020-04-16 14:05:00,55.6509,56.2,55.63,56.1199,1671020
2020-04-16 14:10:00,56.11,56.18,55.95,56.16,1172021
2020-04-16 14:15:00,56.17,56.45,56.17,56.37,1398544
