datetime,open,high,low,close,volume
2020-04-16 08:00:00,7.96,7.96,7.8,7.88,4914
2020-04-16 08:05:00,7.93,7.95,7.93,7.94,1000
2020-04-16 08:10:00,7.9,7.9,7.9,7.9,215
2020-04-16 08:15:00,7.9,7.91,7.9,7.91,912
2020-04-16 08:20:00,7.93,8.0,7.9,8.0,2214
2020-04-16 08:25:00,7.96,7.96,7.95,7.95,1500
2020-04-16 08:30:00,7.95,7.95,7.95,7.95,3352
2020-04-16 08:45:00,7.9,7.9,7.9,7.9,167
2020-04-16 08:50:00,7.9,7.9,7.9,7.9,300
2020-04-16 09:00:00,7.96,7.96,7.95,7.95,675
2020-04-16 09:35:00,7.9,7.9,7.9,7.9,200
2020-04-16 09:40:00,7.9,7.9,7.9,7.9,300
2020-04-16 09:45:00,7.86,7.86,7.84,7.85,2580
2020-04-16 10:05:00,7.83,7.83,7.83,7.83,500
2020-04-16 10:10:00,7.79,7.79,7.79,7.79,400
2020-04-16 10:20:00,7.82,7.82,7.82,7.82,200
2020-04-16 11:00:00,7.92,7.92,7.82,7.82,925
2020-04-16 11:05:00,7.83,7.83,7.83,7.83,500
2020-04-16 11:20:00,7.86,7.86,7.86,7.86,300
2020-04-16 11:25:00,7.88,7.88,7.88,7.88,100
2020-04-16 11:30:00,7.88,7.88,7.86,7.87,636
2020-04-16 11:35:00,7.87,7.88,7.86,7.86,1164
2020-04-16 11:40:00,7.83,7.86,7.83,7.85,3720
2020-04-16 11:55:00,7.8302,7.8302,7.8302,7.8302,200
2020-04-16 12:00:00,7.83,7.8702,7.83,7.87,2166
2020-04-16 12:05:00,7.87,7.8702,7.87,7.8702,1383
2020-04-16 12:10:00,7.87,7.87,7.87,7.87,255
2020-04-16 12:15:00,7.85,7.85,7.85,7.85,100
2020-04-16 12:20:00,7.85,7.85,7.85,7.85,1800
2020-04-16 12:25:00,7.82,7.87,7.82,7.87,1097
2020-04-16 12:30:00,7.8698,7.9,7.84,7.9,2462
2020-04-16 12:35:00,7.97,8.0,7.97,7.9998,13155
2020-04-16 12:40:00,7.99,7.99,7.92,7.9202,11200
2020-04-16 12:45:00,7.92,7.95,7.92,7.92,1557
2020-04-16 12:50:00,7.92,7.92,7.92,7.92,995
2020-04-16 12:55:00,7.92,7.97,7.92,7.97,6974
2020-04-16 13:00:00,7.98,7.99,7.97,7.99,15444
2020-04-16 13:05:00,7.99,7.99,7.98,7.9801,6476
2020-04-16 13:10:00,7.99,7.99,7.98,7.98,10793
2020-04-16 13:15:00,7.99,7.99,7.91,7.91,13169
2020-04-16 13:20:00,7.9001,7.9502,7.9,7.9502,8979
2020-04-16 13:25:00,7.9602,7.97,7.95,7.95,13998
2020-04-16 13:30:00,7.95,7.9668,7.63,7.6399,603418
2020-04-16 13:35:00,7.64,7.78,7.52,7.73,535069
2020-04-16 13:40:00,7.73,7.89,7.69,7.79,278787
2020-04-16 13:45:00,7.7801,7.83,7.65,7.7045,281593
2020-04-16 13:50:00,7.6801,7.71,7.63,7.6385,163713
2020-04-16 13:55:00,7.635,7.66,7.58,7.5801,165475
2020-04-16 14:00:00,7.58,7.64,7.5,7.505,355116
2020-04-16 14:05:00,7.5,7.54,7.47,7.535,308034
2020-04-16 14:10:00,7.54,7.59,7.44,7.455,311305
2020-04-16 14:15:00,7.455,7.48,7.4,7.4339,306706
2020-04-16 14:20:00,7.435,7.49,7.38,7.4821,441356
2020-04-16 14:25:00,7.48,7.51,7.44,7.51,257729
2020-04-16 14:30:00,7.51,7.5188,7.41,7.4105,140851
2020-04-16 14:35:00,7.42,7.5,7.41,7.48,246000
2020-04-16 14:40:00,7.49,7.58,7.475,7.555,256116
2020-04-16 14:45:00,7.55,7.55,7.5,7.539,114223
2020-04-16 14:50:00,7.53,7.54,7.495,7.505,121478
2020-04-16 14:55:00,7.51,7.56,7.5,7.5301,111886
2020-04-16 15:00:00,7.535,7.56,7.49,7.54,167591
2020-04-16 15:05:00,7.541,7.65,7.53,7.635,222296
2020-04-16 15:10:00,7.64,7.67,7.61,7.615,195188
2020-04-16 15:15:00,7.62,7.63,7.58,7.625,87405
2020-04-16 15:20:00,7.622,7.625,7.56,7.58,91249
2020-04-16 15:25:00,7.58,7.62,7.575,7.5801,83023
2020-04-16 15:30:00,7.59,7.59,7.48,7.5,240076
2020-04-16 15:35:00,7.505,7.53,7.47,7.5164,149511
2020-04-16 15:40:00,7.515,7.575,7.515,7.535,105312
2020-04-16 15:45:00,7.54,7.55,7.52,7.54,49598
2020-04-16 15:50:00,7.535,7.64,7.535,7.64,81474
2020-04-16 15:55:00,7.64,7.65,7.58,7.6201,87153
2020-04-16 16:00:00,7.6285,7.655,7.5803,7.61,123620
2020-04-16 16:05:00,7.6032,7.61,7.5534,7.565,76710
2020-04-16 16:10:00,7.565,7.59,7.54,7.545,54036
2020-04-16 16:15:00,7.5411,7.565,7.54,7.54,70549
2020-04-16 16:20:00,7.54,7.55,7.52,7.5216,65469
2020-04-16 16:25:00,7.525,7.56,7.525,7.54,54259
2020-04-16 16:30:00,7.54,7.545,7.5,7.53,76954
2020-04-16 16:35:00,7.53,7.56,7.5214,7.545,76354
2020-04-16 16:40:00,7.545,7.59,7.545,7.555,118799
2020-04-16 16:45:00,7.5567,7.56,7.5,7.52,126779
2020-04-16 16:50:00,7.51,7.515,7.5,7.505,75931
2020-04-16 16:55:00,7.505,7.55,7.5,7.535,76151
2020-04-16 17:00:00,7.53,7.545,7.52,7.54,55639
2020-04-16 17:05:00,7.54,7.55,7.52,7.5201,67412
2020-04-16 17:10:00,7.525,7.53,7.52,7.525,26060
2020-04-16 17:15:00,7.525,7.53,7.51,7.525,52731
2020-04-16 17:20:00,7.525,7.53,7.5,7.505,36777
2020-04-16 17:25:00,7.51,7.52,7.47,7.5196,128877
2020-04-16 17:30:00,7.515,7.545,7.51,7.535,117415
2020-04-16 17:35:00,7.53,7.54,7.5,7.505,48247
2020-04-16 17:40:00,7.505,7.52,7.48,7.515,58569
2020-04-16 17:45:00,7.515,7.53,7.5,7.5099,65801
2020-04-16 17:50:00,7.505,7.505,7.49,7.495,75060
2020-04-16 17:55:00,7.495,7.5,7.48,7.485,40245
2020-04-16 18:00:00,7.485,7.49,7.48,7.485,28245
2020-04-16 18:05:00,7.485,7.51,7.46,7.5,128258
2020-04-16 18:10:00,7.505,7.505,7.47,7.4836,70810
2020-04-16 18:15:00,7.49,7.51,7.48,7.495,108435
2020-04-16 18:20:00,7.495,7.495,7.48,7.485,35284
2020-04-16 18:25:00,7.485,7.49,7.47,7.4821,117245
2020-04-16 18:30:00,7.485,7.53,7.48,7.5299,122017
2020-04-16 18:35:00,7.525,7.56,7.51,7.535,124170
2020-04-16 18:40:00,7.5334,7.54,7.5,7.51,48571
2020-04-16 18:45:00,7.505,7.51,7.5,7.51,83920
2020-04-16 18:50:00,7.505,7.52,7.5,7.515,116837
2020-04-16 18:55:00,7.515,7.52,7.51,7.5185,62322
2020-04-16 19:00:00,7.515,7.52,7.5,7.505,122046
2020-04-16 19:05:00,7.505,7.51,7.5,7.5,71841
2020-04-16 19:10:00,7.505,7.51,7.5,7.505,105709
2020-04-16 19:15:00,7.505,7.52,7.5,7.505,125693
2020-04-16 19:20:00,7.5,7.51,7.49,7.5,62173
2020-04-16 19:25:00,7.495,7.53,7.49,7.53,113789
2020-04-16 19:30:00,7.525,7.59,7.5,7.58,269672
2020-04-16 19:35:00,7.58,7.59,7.54,7.5424,112004
2020-04-16 19:40:00,7.541,7.56,7.54,7.55,131010
2020-04-16 19:45:00,7.545,7.55,7.51,7.53,216268
2020-04-16 19:50:00,7.53,7.56,7.51,7.525,327556
2020-04-16 19:55:00,7.52,7.52,7.48,7.48,487996
2020-04-16 20:00:00,7.47,7.49,7.47,7.49,319175
2020-04-16 20:05:00,7.47,7.48,7.46,7.48,1400
2020-04-16 20:10:00,7.48,7.48,7.48,7.48,1915
2020-04-16 20:15:00,7.48,7.48,7.48,7.48,500
2020-04-16 20:20:00,7.48,7.48,7.48,7.48,530
2020-04-16 20:25:00,7.48,7.48,7.48,7.48,200
2020-04-16 20:35:00,7.47,7.47,7.46,7.46,1231
2020-04-16 20:40:00,7.45,7.49,7.43,7.44,152554
2020-04-16 20:45:00,7.44,7.4402,7.42,7.4402,2355
2020-04-16 20:50:00,7.46,7.46,7.46,7.46,1100
2020-04-16 20:55:00,7.48,7.54,7.48,7.54,8169
2020-04-16 21:00:00,7.51,7.54,7.51,7.51,16591
2020-04-16 21:05:00,7.51,7.65,7.51,7.65,5590
2020-04-16 21:10:00,7.65,7.66,7.65,7.66,3120
2020-04-16 21:15:00,7.65,7.67,7.65,7.67,4295
2020-04-16 21:20:00,7.67,7.8,7.67,7.8,24012
2020-04-16 21:25:00,7.75,7.77,7.75,7.75,7512
2020-04-16 21:30:00,7.75,7.75,7.66,7.7,12194
2020-04-16 21:35:00,7.7,7.8,7.66,7.7801,9738
2020-04-16 21:40:00,7.8,7.88,7.73,7.73,18468
2020-04-16 21:45:00,7.73,7.82,7.72,7.82,8609
2020-04-16 21:50:00,7.86,7.87,7.8,7.81,5771
2020-04-16 21:55:00,7.81,7.85,7.8,7.8,4791
2020-04-16 22:00:00,7.8,7.81,7.77,7.77,16509
2020-04-16 22:05:00,7.7701,7.7701,7.71,7.71,4078
2020-04-16 22:10:00,7.71,7.72,7.7,7.71,5215
2020-04-16 22:15:00,7.71,7.71,7.65,7.7,11689
2020-04-16 22:20:00,7.72,7.84,7.72,7.77,26461
2020-04-16 22:25:00,7.8,7.81,7.78,7.81,7328
2020-04-16 22:30:00,7.8,7.82,7.8,7.82,6947
2020-04-16 22:35:00,7.82,7.82,7.8,7.8,5964
2020-04-16 22:40:00,7.8,7.85,7.76,7.84,42200
2020-04-16 22:45:00,7.84,7.88,7.77,7.77,6215
2020-04-16 22:50:00,7.85,7.85,7.8,7.82,3100
2020-04-16 22:55:00,7.85,7.85,7.82,7.85,650
2020-04-16 23:00:00,7.85,7.99,7.85,7.97,24359
2020-04-16 23:05:00,7.97,8.0,7.94,7.94,10804
2020-04-16 23:10:00,7.84,7.95,7.8,7.95,7576
2020-04-16 23:15:00,7.95,8.0,7.95,7.99,12767
2020-04-16 23:20:00,7.99,8.03,7.98,7.98,9971
2020-04-16 23:25:00,7.98,7.98,7.92,7.95,10800
2020-04-16 23:30:00,7.98,8.0,7.95,7.95,11247
2020-04-16 23:35:00,8.0,8.0,7.95,8.0,21135
2020-04-16 23:40:00,7.95,7.95,7.9,7.9,1138
2020-04-16 23:45:00,7.98,7.98,7.95,7.9599,22471
2020-04-16 23:50:00,7.94,7.94,7.9,7.92,17531
2020-04-16 23:55:00,7.92,7.97,7.92,7.97,6759
2020-04-17 08:00:00,7.75,7.75,7.49,7.49,1500
2020-04-17 08:05:00,7.75,8.0,7.75,7.75,5534
2020-04-17 08:10:00,7.8,7.8,7.76,7.76,2566
2020-04-17 08:30:00,7.77,7.8,7.77,7.8,4167
2020-04-17 08:40:00,7.8,7.81,7.8,7.81,1330
2020-04-17 08:45:00,7.81,7.81,7.81,7.81,400
