datetime,open,high,low,close,volume
2020-04-16 10:35:00,66.38,66.38,66.38,66.38,168
2020-04-16 10:45:00,66.83,66.9,66.83,66.89,655
2020-04-16 10:50:00,66.87,66.87,66.87,66.87,100
2020-04-16 11:00:00,66.75,66.75,66.13,66.75,1946
2020-04-16 11:05:00,66.38,66.38,66.25,66.25,560
2020-04-16 11:20:00,66.38,66.38,66.36,66.36,215
2020-04-16 11:25:00,66.66,66.66,66.66,66.66,141
2020-04-16 11:30:00,66.36,66.68,66.36,66.36,695
2020-04-16 11:35:00,66.36,66.36,66.25,66.25,655
2020-04-16 11:40:00,66.6,66.63,66.6,66.63,200
2020-04-16 11:55:00,66.68,66.68,66.5,66.5,1121
2020-04-16 12:00:00,66.5,66.5,66.5,66.5,200
2020-04-16 12:05:00,66.66,66.66,66.36,66.36,682
2020-04-16 12:10:00,66.55,66.6,66.55,66.6,200
2020-04-16 12:15:00,66.5,66.6,66.5,66.6,512
2020-04-16 12:30:00,66.45,66.55,66.45,66.55,650
2020-04-16 12:35:00,66.55,66.59,66.49,66.5783,1849
2020-04-16 12:40:00,66.5,66.52,66.45,66.52,789
2020-04-16 12:45:00,66.5593,66.5593,66.5,66.5,800
2020-04-16 12:50:00,66.55,66.57,66.45,66.45,517
2020-04-16 12:55:00,66.58,66.58,66.56,66.56,1300
2020-04-16 13:00:00,66.6,66.62,66.6,66.62,1400
2020-04-16 13:05:00,66.58,66.62,66.58,66.62,1273
2020-04-16 13:10:00,66.62,66.68,66.62,66.68,2194
2020-04-16 13:15:00,66.6999,66.7,66.62,66.7,1413
2020-04-16 13:20:00,66.69,66.75,66.62,66.62,2128
2020-04-16 13:25:00,66.62,66.62,66.5,66.5,4234
2020-04-16 13:30:00,66.5,67.61,66.45,67.45,317380
2020-04-16 13:35:00,67.445,67.52,66.7,66.8796,320512
2020-04-16 13:40:00,66.92,67.3491,66.795,67.32,154118
2020-04-16 13:45:00,67.35,67.471,66.9328,67.01,173820
2020-04-16 13:50:00,67.006,67.015,66.52,66.7273,171332
2020-04-16 13:55:00,66.71,66.72,66.21,66.21,138084
2020-04-16 14:00:00,66.22,66.39,65.88,65.98,279096
2020-04-16 14:05:00,65.98,66.435,65.91,66.425,272236
2020-04-16 14:10:00,66.4307,66.56,66.0393,66.05,165150
2020-04-16 14:15:00,66.05,66.06,65.81,65.885,131301
2020-04-16 14:20:00,65.88,66.09,65.6534,65.665,94992
2020-04-16 14:25:00,65.67,66.08,65.55,66.0574,77051
2020-04-16 14:30:00,66.05,66.32,65.9719,66.28,71815
2020-04-16 14:35:00,66.28,66.28,66.04,66.1325,45654
2020-04-16 14:40:00,66.14,66.63,66.14,66.625,60214
2020-04-16 14:45:00,66.6214,66.96,66.61,66.93,119260
2020-04-16 14:50:00,66.92,67.01,66.85,66.955,146205
2020-04-16 14:55:00,66.96,67.13,66.91,66.91,169280
2020-04-16 15:00:00,66.92,67.06,66.78,67.0115,115625
2020-04-16 15:05:00,67.01,67.27,66.94,67.195,177249
2020-04-16 15:10:00,67.21,67.49,67.2,67.42,185935
2020-04-16 15:15:00,67.42,67.48,67.07,67.41,97887
2020-04-16 15:20:00,67.42,67.64,67.36,67.5003,97043
