datetime,open,high,low,close,volume
2020-04-16 11:00:00,4.2,4.22,4.2,4.22,5800
2020-04-16 11:20:00,4.21,4.21,4.21,4.21,1000
2020-04-16 11:25:00,4.22,4.22,4.22,4.22,425
2020-04-16 11:30:00,4.22,4.23,4.22,4.23,675
2020-04-16 11:35:00,4.23,4.23,4.23,4.23,2905
2020-04-16 11:40:00,4.23,4.23,4.21,4.21,2889
2020-04-16 11:45:00,4.23,4.23,4.23,4.23,2095
2020-04-16 11:50:00,4.24,4.25,4.24,4.25,69050
2020-04-16 12:00:00,4.27,4.27,4.26,4.26,1195
2020-04-16 12:10:00,4.27,4.27,4.26,4.26,1100
2020-04-16 12:15:00,4.2301,4.2301,4.2301,4.2301,200
2020-04-16 12:25:00,4.27,4.27,4.27,4.27,2000
2020-04-16 12:30:00,4.27,4.27,4.2699,4.2699,800
2020-04-16 12:35:00,4.2402,4.2402,4.2402,4.2402,500
2020-04-16 12:40:00,4.24,4.24,4.24,4.24,555
2020-04-16 12:45:00,4.24,4.26,4.24,4.26,2620
2020-04-16 12:50:00,4.25,4.25,4.23,4.23,826
2020-04-16 12:55:00,4.23,4.23,4.23,4.23,2624
2020-04-16 13:00:00,4.22,4.24,4.22,4.23,12300
2020-04-16 13:05:00,4.24,4.25,4.2399,4.24,5103
2020-04-16 13:10:00,4.2587,4.26,4.23,4.2593,9370
2020-04-16 13:15:00,4.23,4.23,4.23,4.23,388
2020-04-16 13:20:00,4.23,4.23,4.22,4.22,3475
2020-04-16 13:25:00,4.23,4.23,4.22,4.22,2667
2020-04-16 13:30:00,4.25,4.28,4.2,4.25,685724
2020-04-16 13:35:00,4.24,4.305,4.24,4.295,710794
2020-04-16 13:40:00,4.295,4.335,4.29,4.305,485325
2020-04-16 13:45:00,4.31,4.37,4.3002,4.35,921391
2020-04-16 13:50:00,4.36,4.39,4.32,4.37,1024810
2020-04-16 13:55:00,4.365,4.4,4.345,4.3818,1123943
2020-04-16 14:00:00,4.39,4.45,4.39,4.43,403777
2020-04-16 14:05:00,4.43,4.46,4.4,4.46,584678
2020-04-16 14:10:00,4.46,4.46,4.4,4.44,414576
2020-04-16 14:15:00,4.4399,4.44,4.399,4.4299,232576
