datetime,open,high,low,close,volume
2020-04-16 13:30:00,13.72,13.92,13.6,13.77,7162
2020-04-16 13:35:00,13.84,13.85,13.68,13.72,7110
2020-04-16 13:40:00,13.7,13.71,13.62,13.645,4936
2020-04-16 13:45:00,13.64,13.66,13.52,13.62,13001
2020-04-16 13:50:00,13.61,13.61,13.56,13.59,3814
2020-04-16 13:55:00,13.59,13.61,13.53,13.53,5638
2020-04-16 14:00:00,13.525,13.54,13.47,13.495,54616
2020-04-16 14:05:00,13.495,13.51,13.4,13.42,27934
2020-04-16 14:10:00,13.425,13.485,13.41,13.44,17732
2020-04-16 14:15:00,13.44,13.48,13.44,13.46,21404
2020-04-16 14:20:00,13.475,13.5,13.44,13.5,15768
2020-04-16 14:25:00,13.5,13.54,13.46,13.53,29900
2020-04-16 14:30:00,13.51,13.52,13.44,13.45,14015
2020-04-16 14:35:00,13.44,13.49,13.41,13.46,20045
2020-04-16 14:40:00,13.44,13.51,13.41,13.49,11039
2020-04-16 14:45:00,13.49,13.49,13.45,13.47,4783
2020-04-16 14:50:00,13.45,13.54,13.45,13.53,41924
2020-04-16 14:55:00,13.52,13.57,13.5,13.5,20292
2020-04-16 15:00:00,13.51,13.515,13.4594,13.4594,18880
2020-04-16 15:05:00,13.465,13.53,13.465,13.5,22596
2020-04-16 15:10:00,13.52,13.57,13.5,13.515,20151
2020-04-16 15:15:00,13.515,13.55,13.5,13.52,15473
2020-04-16 15:20:00,13.52,13.57,13.515,13.57,21353
2020-04-16 15:25:00,13.57,13.57,13.53,13.55,6687
2020-04-16 15:30:00,13.55,13.55,13.52,13.55,8525
2020-04-16 15:35:00,13.53,13.54,13.5,13.52,10591
2020-04-16 15:40:00,13.51,13.535,13.51,13.535,4086
2020-04-16 15:45:00,13.53,13.54,13.51,13.51,10732
2020-04-16 15:50:00,13.51,13.62,13.51,13.62,10420
2020-04-16 15:55:00,13.62,13.63,13.61,13.62,3500
2020-04-16 16:00:00,13.63,13.63,13.55,13.58,7120
2020-04-16 16:05:00,13.55,13.55,13.54,13.55,2392
2020-04-16 16:10:00,13.54,13.54,13.49,13.5,7470
2020-04-16 16:15:00,13.49,13.495,13.4,13.41,10387
2020-04-16 16:20:00,13.41,13.41,13.35,13.41,16963
2020-04-16 16:25:00,13.42,13.5,13.42,13.49,5724
2020-04-16 16:30:00,13.46,13.475,13.37,13.4,18070
2020-04-16 16:35:00,13.385,13.43,13.37,13.43,5814
