datetime,open,high,low,close,volume
2020-04-16 08:15:00,4.35,4.35,4.35,4.35,1000
2020-04-16 09:45:00,4.31,4.31,4.31,4.31,500
2020-04-16 11:00:00,4.31,4.31,4.31,4.31,475
2020-04-16 12:15:00,4.27,4.27,4.26,4.26,1599
2020-04-16 12:20:00,4.25,4.25,4.25,4.25,9600
2020-04-16 12:30:00,4.3099,4.3099,4.3099,4.3099,100
2020-04-16 12:35:00,4.28,4.28,4.28,4.28,20000
2020-04-16 12:55:00,4.29,4.29,4.29,4.29,300
2020-04-16 13:00:00,4.29,4.29,4.29,4.29,150
2020-04-16 13:15:00,4.31,4.31,4.31,4.31,500
2020-04-16 13:20:00,4.29,4.29,4.29,4.29,2100
2020-04-16 13:25:00,4.3,4.3,4.3,4.3,2000
2020-04-16 13:30:00,4.3,4.3,4.255,4.255,121076
2020-04-16 13:35:00,4.25,4.26,4.24,4.245,83126
2020-04-16 13:40:00,4.245,4.28,4.24,4.27,46522
2020-04-16 13:45:00,4.28,4.29,4.245,4.245,74062
2020-04-16 13:50:00,4.25,4.25,4.235,4.25,348886
2020-04-16 13:55:00,4.25,4.25,4.24,4.25,199351
2020-04-16 14:00:00,4.25,4.265,4.25,4.25,97720
2020-04-16 14:05:00,4.25,4.2655,4.245,4.255,81751
2020-04-16 14:10:00,4.255,4.26,4.245,4.26,126783
2020-04-16 14:15:00,4.26,4.3,4.26,4.29,162120
2020-04-16 14:20:00,4.28,4.295,4.26,4.295,95701
2020-04-16 14:25:00,4.29,4.3,4.28,4.29,87186
2020-04-16 14:30:00,4.295,4.31,4.285,4.29,90277
2020-04-16 14:35:00,4.29,4.3,4.28,4.295,93587
2020-04-16 14:40:00,4.2978,4.32,4.29,4.315,76107
2020-04-16 14:45:00,4.315,4.32,4.3,4.31,156339
2020-04-16 14:50:00,4.32,4.32,4.295,4.305,43117
2020-04-16 14:55:00,4.305,4.31,4.3,4.305,20250
2020-04-16 15:00:00,4.31,4.32,4.3,4.32,58378
2020-04-16 15:05:00,4.315,4.37,4.315,4.365,52980
2020-04-16 15:10:00,4.36,4.36,4.335,4.335,51073
2020-04-16 15:15:00,4.34,4.34,4.303,4.305,76871
2020-04-16 15:20:00,4.303,4.31,4.29,4.305,71308
2020-04-16 15:25:00,4.305,4.32,4.295,4.31,87351
2020-04-16 15:30:00,4.315,4.32,4.29,4.295,399737
2020-04-16 15:35:00,4.295,4.295,4.28,4.285,31102
2020-04-16 15:40:00,4.285,4.29,4.28,4.29,14245
2020-04-16 15:45:00,4.28,4.28,4.27,4.275,23148
2020-04-16 15:50:00,4.28,4.3,4.275,4.295,82644
2020-04-16 15:55:00,4.3,4.3,4.29,4.295,50533
2020-04-16 16:00:00,4.3,4.3,4.285,4.3,143046
2020-04-16 16:05:00,4.3,4.3,4.29,4.3,19798
