datetime,open,high,low,close,volume
2020-04-16 09:10:00,34.64,34.64,34.64,34.64,146
2020-04-16 09:40:00,34.64,34.64,34.64,34.64,1000
2020-04-16 10:30:00,35.0,35.0,35.0,35.0,100
2020-04-16 10:50:00,35.5,35.5,35.5,35.5,100
2020-04-16 11:00:00,36.0,36.0,36.0,36.0,332
2020-04-16 11:05:00,35.76,36.71,35.76,36.5,3399
2020-04-16 11:15:00,36.54,36.54,36.5,36.5,200
2020-04-16 11:35:00,36.61,36.61,36.5,36.5,200
2020-04-16 11:40:00,36.06,36.06,36.0,36.0,1479
2020-04-16 11:50:00,36.3,36.3,36.3,36.3,200
2020-04-16 12:00:00,36.25,36.6,36.25,36.6,600
2020-04-16 12:05:00,36.2002,36.2002,35.5,35.5,3256
2020-04-16 12:10:00,36.0,36.0,36.0,36.0,3700
2020-04-16 12:20:00,35.5,35.5,35.16,35.16,1300
2020-04-16 12:25:00,35.11,35.11,34.5,34.6,5676
2020-04-16 12:30:00,35.5,35.5,35.5,35.5,2100
2020-04-16 12:35:00,35.5,35.56,35.5,35.5,8519
2020-04-16 12:40:00,35.9999,35.9999,35.5,35.55,7088
2020-04-16 12:50:00,35.5,35.5,35.33,35.33,12585
2020-04-16 12:55:00,35.33,35.33,35.0,35.0,7458
2020-04-16 13:05:00,35.46,35.5999,35.46,35.5999,1300
2020-04-16 13:10:00,35.6,35.66,35.6,35.66,249
2020-04-16 13:15:00,35.9,35.9,35.66,35.66,1100
2020-04-16 13:20:00,36.0,36.3,35.9,36.3,1780
2020-04-16 13:25:00,36.5,36.99,36.3,36.97,25412
2020-04-16 13:30:00,37.24,37.77,36.51,36.605,591803
2020-04-16 13:35:00,36.605,37.23,36.13,36.55,217083
2020-04-16 13:40:00,36.51,36.74,36.49,36.625,166267
2020-04-16 13:45:00,36.6,36.66,36.17,36.17,150584
2020-04-16 13:50:00,36.17,36.185,35.79,35.87,203564
2020-04-16 13:55:00,35.9,35.99,35.56,35.59,130268
2020-04-16 14:00:00,35.59,35.85,35.54,35.56,191780
2020-04-16 14:05:00,35.564,36.09,35.52,36.02,303358
2020-04-16 14:10:00,36.02,36.11,35.91,36.03,119280
2020-04-16 14:15:00,36.04,36.07,35.82,35.82,81653
2020-04-16 14:20:00,35.835,36.0699,35.72,36.05,77566
2020-04-16 14:25:00,36.075,36.195,35.96,36.09,105904
2020-04-16 14:30:00,36.09,36.159,35.84,35.99,83562
2020-04-16 14:35:00,36.01,36.19,35.95,36.07,90225
2020-04-16 14:40:00,36.08,36.215,36.04,36.18,100301
2020-04-16 14:45:00,36.18,36.2,36.01,36.11,82566
2020-04-16 14:50:00,36.14,36.14,35.95,36.11,80718
2020-04-16 14:55:00,36.07,36.27,36.06,36.14,95885
2020-04-16 15:00:00,36.135,36.25,36.08,36.24,60924
2020-04-16 15:05:00,36.26,36.54,36.26,36.38,119045
2020-04-16 15:10:00,36.41,36.44,36.16,36.24,62852
2020-04-16 15:15:00,36.25,36.32,36.19,36.245,72031
2020-04-16 15:20:00,36.26,36.34,36.03,36.04,91432
2020-04-16 15:25:00,36.03,36.21,35.99,36.01,83256
2020-04-16 15:30:00,36.01,36.08,35.95,35.95,50602
2020-04-16 15:35:00,35.95,36.115,35.92,36.1,46406
2020-04-16 15:40:00,36.115,36.24,36.0,36.0,77114
2020-04-16 15:45:00,36.01,36.14,35.97,36.06,65062
2020-04-16 15:50:00,36.075,36.22,36.075,36.2,57769
2020-04-16 15:55:00,36.22,36.25,36.1,36.195,82451
2020-04-16 16:00:00,36.18,36.24,35.9675,35.99,63823
2020-04-16 16:05:00,35.98,36.01,35.82,35.85,74561
2020-04-16 16:10:00,35.84,35.98,35.75,35.97,83964
2020-04-16 16:15:00,35.93,35.935,35.75,35.87,69570
2020-04-16 16:20:00,35.87,35.88,35.69,35.75,137212
2020-04-16 16:25:00,35.75,35.94,35.7,35.92,65885
2020-04-16 16:30:00,35.9,35.99,35.85,35.9,58799
2020-04-16 16:35:00,35.91,36.01,35.9,36.01,46427
2020-04-16 16:40:00,36.01,36.055,35.97,35.97,42351
2020-04-16 16:45:00,35.96,36.0,35.87,35.97,38745
2020-04-16 16:50:00,35.97,36.03,35.83,35.925,40001
2020-04-16 16:55:00,35.92,35.975,35.86,35.9,37203
2020-04-16 17:00:00,35.91,36.01,35.91,35.99,61922
2020-04-16 17:05:00,35.99,36.0322,35.92,35.95,43839
2020-04-16 17:10:00,35.943,36.01,35.88,35.99,37946
2020-04-16 17:15:00,36.0,36.03,35.91,36.01,24663
2020-04-16 17:20:00,36.0,36.03,35.93,35.99,33150
2020-04-16 17:25:00,36.0,36.0,35.95,35.99,32448
2020-04-16 17:30:00,35.99,36.2,35.99,36.05,82182
2020-04-16 17:35:00,36.05,36.13,36.0,36.01,39591
2020-04-16 17:40:00,36.02,36.03,35.95,36.005,32511
2020-04-16 17:45:00,36.0,36.02,35.92,35.93,36258
2020-04-16 17:50:00,35.92,35.97,35.82,35.82,26590
2020-04-16 17:55:00,35.83,35.86,35.73,35.85,25841
2020-04-16 18:00:00,35.85,35.925,35.72,35.92,34773
2020-04-16 18:05:00,35.9,36.04,35.84,36.0,38610
2020-04-16 18:10:00,36.005,36.01,35.94,35.98,33138
2020-04-16 18:15:00,35.99,36.0201,35.82,35.84,43322
2020-04-16 18:20:00,35.845,35.88,35.68,35.75,68335
2020-04-16 18:25:00,35.74,35.87,35.73,35.82,54825
