datetime,open,high,low,close,volume
2020-04-16 12:45:00,12.92,12.92,12.92,12.92,180
2020-04-16 13:25:00,12.93,12.93,12.93,12.93,300
2020-04-16 13:30:00,12.93,12.94,12.71,12.75,141062
2020-04-16 13:35:00,12.75,12.88,12.74,12.805,100524
2020-04-16 13:40:00,12.81,12.94,12.81,12.925,85447
2020-04-16 13:45:00,12.93,12.94,12.81,12.83,65070
2020-04-16 13:50:00,12.825,12.825,12.71,12.725,69327
2020-04-16 13:55:00,12.725,12.74,12.565,12.58,106624
2020-04-16 14:00:00,12.59,12.605,12.46,12.49,131985
2020-04-16 14:05:00,12.48,12.54,12.45,12.495,55270
2020-04-16 14:10:00,12.49,12.51,12.4,12.4,73122
2020-04-16 14:15:00,12.405,12.46,12.37,12.405,78700
2020-04-16 14:20:00,12.4,12.49,12.38,12.485,84298
2020-04-16 14:25:00,12.4818,12.55,12.455,12.53,77908
2020-04-16 14:30:00,12.53,12.54,12.44,12.495,51785
2020-04-16 14:35:00,12.5,12.52,12.46,12.49,57412
2020-04-16 14:40:00,12.49,12.58,12.45,12.58,43425
2020-04-16 14:45:00,12.57,12.6,12.53,12.57,46851
2020-04-16 14:50:00,12.57,12.635,12.55,12.635,48286
2020-04-16 14:55:00,12.63,12.695,12.62,12.635,51957
2020-04-16 15:00:00,12.64,12.68,12.61,12.665,44314
2020-04-16 15:05:00,12.66,12.735,12.65,12.715,52085
2020-04-16 15:10:00,12.71,12.745,12.6901,12.7,63151
2020-04-16 15:15:00,12.7,12.745,12.7,12.73,52412
2020-04-16 15:20:00,12.735,12.74,12.64,12.645,68657
2020-04-16 15:25:00,12.64,12.65,12.55,12.56,57447
2020-04-16 15:30:00,12.55,12.575,12.48,12.48,56143
2020-04-16 15:35:00,12.48,12.495,12.46,12.47,46670
2020-04-16 15:40:00,12.48,12.5669,12.475,12.505,46613
2020-04-16 15:45:00,12.505,12.53,12.45,12.49,58022
2020-04-16 15:50:00,12.5,12.61,12.495,12.61,53871
2020-04-16 15:55:00,12.61,12.61,12.545,12.58,46712
2020-04-16 16:00:00,12.57,12.63,12.53,12.58,73505
2020-04-16 16:05:00,12.58,12.59,12.55,12.55,35834
2020-04-16 16:10:00,12.55,12.56,12.49,12.5,40711
2020-04-16 16:15:00,12.495,12.545,12.48,12.49,52756
2020-04-16 16:20:00,12.48,12.51,12.45,12.49,40383
2020-04-16 16:25:00,12.5,12.545,12.5,12.5401,36062
2020-04-16 16:30:00,12.545,12.55,12.5,12.53,42366
2020-04-16 16:35:00,12.53,12.56,12.51,12.555,43340
2020-04-16 16:40:00,12.555,12.605,12.55,12.595,29017
2020-04-16 16:45:00,12.595,12.595,12.54,12.565,29776
2020-04-16 16:50:00,12.56,12.59,12.56,12.57,26781
2020-04-16 16:55:00,12.57,12.61,12.56,12.595,26749
2020-04-16 17:00:00,12.595,12.615,12.58,12.595,40298
2020-04-16 17:05:00,12.6,12.63,12.55,12.555,40052
2020-04-16 17:10:00,12.55,12.57,12.54,12.57,27878
2020-04-16 17:15:00,12.565,12.58,12.54,12.56,27908
2020-04-16 17:20:00,12.57,12.61,12.56,12.59,41934
2020-04-16 17:25:00,12.59,12.645,12.58,12.635,37553
2020-04-16 17:30:00,12.64,12.66,12.61,12.63,62411
2020-04-16 17:35:00,12.63,12.645,12.6,12.6,37069
2020-04-16 17:40:00,12.59,12.625,12.59,12.615,31752
2020-04-16 17:45:00,12.62,12.62,12.54,12.55,37370
2020-04-16 17:50:00,12.545,12.56,12.52,12.53,33876
2020-04-16 17:55:00,12.53,12.54,12.5,12.525,33746
2020-04-16 18:00:00,12.525,12.535,12.495,12.535,47178
2020-04-16 18:05:00,12.54,12.62,12.52,12.61,34592
2020-04-16 18:10:00,12.615,12.62,12.555,12.57,39075
2020-04-16 18:15:00,12.565,12.59,12.54,12.555,46544
2020-04-16 18:20:00,12.56,12.565,12.5,12.525,42760
2020-04-16 18:25:00,12.52,12.5472,12.49,12.535,53195
2020-04-16 18:30:00,12.53,12.56,12.53,12.55,51975
2020-04-16 18:35:00,12.56,12.61,12.53,12.575,47830
2020-04-16 18:40:00,12.575,12.59,12.54,12.555,37090
2020-04-16 18:45:00,12.55,12.57,12.54,12.545,48565
2020-04-16 18:50:00,12.55,12.63,12.53,12.595,79642
2020-04-16 18:55:00,12.595,12.62,12.59,12.6,69420
2020-04-16 19:00:00,12.6,12.61,12.57,12.585,54744
2020-04-16 19:05:00,12.59,12.6,12.55,12.55,76092
2020-04-16 19:10:00,12.55,12.585,12.55,12.57,52531
2020-04-16 19:15:00,12.57,12.62,12.57,12.61,53753
2020-04-16 19:20:00,12.61,12.65,12.5925,12.625,106600
2020-04-16 19:25:00,12.625,12.63,12.6,12.625,75681
2020-04-16 19:30:00,12.63,12.66,12.61,12.635,80712
2020-04-16 19:35:00,12.635,12.65,12.62,12.62,75648
2020-04-16 19:40:00,12.625,12.63,12.58,12.61,158888
2020-04-16 19:45:00,12.615,12.63,12.6,12.625,147528
2020-04-16 19:50:00,12.63,12.67,12.6,12.625,263579
2020-04-16 19:55:00,12.625,12.63,12.57,12.58,383950
2020-04-16 20:00:00,12.59,12.59,12.59,12.59,633239
2020-04-16 20:10:00,12.59,12.59,12.59,12.59,172
2020-04-16 21:00:00,12.7,12.7,12.7,12.7,981
2020-04-16 21:30:00,12.88,12.88,12.88,12.88,900
2020-04-16 23:00:00,13.1,13.1,13.1,13.1,200
2020-04-16 23:35:00,12.99,12.99,12.99,12.99,200
2020-04-16 23:45:00,13.1,13.1399,13.1,13.1399,500
2020-04-16 23:55:00,13.14,13.14,13.14,13.14,200
2020-04-17 08:00:00,13.31,13.31,13.31,13.31,100
2020-04-17 08:05:00,13.31,13.31,13.31,13.31,200
2020-04-17 12:00:00,13.0,13.0,13.0,13.0,1000
2020-04-17 12:15:00,12.93,12.93,12.93,12.93,414
2020-04-17 13:25:00,12.62,12.62,12.4,12.46,5394
