datetime,open,high,low,close,volume
2020-04-16 08:00:00,9.52,9.52,9.52,9.52,2000
2020-04-16 12:40:00,9.88,9.88,9.88,9.88,2400
2020-04-16 13:10:00,9.89,9.89,9.89,9.89,175
2020-04-16 13:30:00,9.86,9.86,9.7,9.78,92139
2020-04-16 13:35:00,9.7768,9.78,9.7164,9.75,40846
2020-04-16 13:40:00,9.76,9.92,9.76,9.88,73156
2020-04-16 13:45:00,9.89,9.95,9.87,9.9201,76048
2020-04-16 13:50:00,9.9,9.91,9.77,9.79,14423
2020-04-16 13:55:00,9.79,9.8067,9.76,9.77,40673
2020-04-16 14:00:00,9.77,9.79,9.75,9.7889,59459
2020-04-16 14:05:00,9.785,9.82,9.771,9.78,8949
2020-04-16 14:10:00,9.78,9.81,9.765,9.775,25751
2020-04-16 14:15:00,9.775,9.79,9.77,9.785,23178
2020-04-16 14:20:00,9.78,9.78,9.75,9.755,13959
2020-04-16 14:25:00,9.755,9.8,9.7525,9.79,14514
2020-04-16 14:30:00,9.8,9.84,9.79,9.84,16857
2020-04-16 14:35:00,9.84,9.85,9.79,9.8,21028
2020-04-16 14:40:00,9.79,9.87,9.77,9.86,27835
2020-04-16 14:45:00,9.85,9.92,9.8466,9.905,37689
2020-04-16 14:50:00,9.9,9.9,9.8683,9.89,19689
2020-04-16 14:55:00,9.89,9.94,9.89,9.92,22061
2020-04-16 15:00:00,9.91,9.9378,9.9,9.93,13411
2020-04-16 15:05:00,9.93,9.94,9.86,9.865,27271
2020-04-16 15:10:00,9.865,9.87,9.85,9.85,24279
2020-04-16 15:15:00,9.855,9.87,9.85,9.865,19468
2020-04-16 15:20:00,9.8625,9.88,9.805,9.8299,21146
2020-04-16 15:25:00,9.8296,9.85,9.82,9.845,12211
2020-04-16 15:30:00,9.84,9.86,9.84,9.855,9101
2020-04-16 15:35:00,9.86,9.89,9.85,9.87,8900
2020-04-16 15:40:00,9.87,9.9,9.87,9.88,66304
2020-04-16 15:45:00,9.8864,9.89,9.85,9.855,7943
2020-04-16 15:50:00,9.845,9.89,9.84,9.89,8759
2020-04-16 15:55:00,9.89,9.8998,9.87,9.87,21750
2020-04-16 16:00:00,9.8642,9.88,9.84,9.8499,5164
2020-04-16 16:05:00,9.84,9.86,9.84,9.86,2700
2020-04-16 16:10:00,9.86,9.87,9.855,9.855,6179
2020-04-16 16:15:00,9.85,9.86,9.8,9.805,43619
2020-04-16 16:20:00,9.8,9.82,9.7801,9.79,23779
2020-04-16 16:25:00,9.79,9.81,9.79,9.8,13807
2020-04-16 16:30:00,9.7992,9.7992,9.75,9.76,18819
2020-04-16 16:35:00,9.77,9.77,9.6936,9.74,65852
2020-04-16 16:40:00,9.74,9.82,9.7301,9.78,31112
2020-04-16 16:45:00,9.78,9.8,9.76,9.78,7749
2020-04-16 16:50:00,9.79,9.825,9.79,9.825,7975
2020-04-16 16:55:00,9.82,9.83,9.8,9.81,9393
2020-04-16 17:00:00,9.8101,9.82,9.81,9.82,10658
2020-04-16 17:05:00,9.81,9.835,9.81,9.835,4407
2020-04-16 17:10:00,9.83,9.83,9.82,9.83,7428
2020-04-16 17:15:00,9.84,9.845,9.83,9.84,6024
2020-04-16 17:20:00,9.8431,9.855,9.8302,9.84,10100
2020-04-16 17:25:00,9.84,9.87,9.84,9.87,2844
2020-04-16 17:30:00,9.865,9.88,9.86,9.88,5390
2020-04-16 17:35:00,9.8701,9.895,9.86,9.86,9235
2020-04-16 17:40:00,9.865,9.87,9.84,9.865,17474
2020-04-16 17:45:00,9.86,9.89,9.86,9.89,8001
2020-04-16 17:50:00,9.88,9.885,9.875,9.88,3900
2020-04-16 17:55:00,9.8774,9.89,9.87,9.885,12138
2020-04-16 18:00:00,9.885,9.9,9.85,9.895,13911
2020-04-16 18:05:00,9.89,9.93,9.885,9.89,63867
2020-04-16 18:10:00,9.88,9.89,9.84,9.86,13681
2020-04-16 18:15:00,9.865,9.87,9.86,9.86,6888
2020-04-16 18:20:00,9.865,9.87,9.85,9.86,6300
2020-04-16 18:25:00,9.86,9.885,9.855,9.885,5200
2020-04-16 18:30:00,9.89,9.91,9.89,9.9,10529
2020-04-16 18:35:00,9.9,9.94,9.9,9.93,11701
2020-04-16 18:40:00,9.925,9.93,9.91,9.93,6862
2020-04-16 18:45:00,9.93,9.94,9.905,9.905,13980
2020-04-16 18:50:00,9.9,9.9,9.86,9.895,9821
2020-04-16 18:55:00,9.9,9.92,9.9,9.91,7280
2020-04-16 19:00:00,9.91,9.93,9.9,9.925,5911
2020-04-16 19:05:00,9.93,9.96,9.93,9.945,26187
2020-04-16 19:10:00,9.94,9.95,9.93,9.935,18165
2020-04-16 19:15:00,9.94,9.94,9.93,9.935,6700
2020-04-16 19:20:00,9.94,9.95,9.93,9.94,20042
2020-04-16 19:25:00,9.94,9.94,9.93,9.935,17806
2020-04-16 19:30:00,9.935,9.95,9.92,9.93,18853
2020-04-16 19:35:00,9.93,9.935,9.9,9.91,14200
2020-04-16 19:40:00,9.9,9.93,9.9,9.9101,34600
2020-04-16 19:45:00,9.915,9.94,9.91,9.93,9200
2020-04-16 19:50:00,9.94,10.01,9.94,9.995,195607
2020-04-16 19:55:00,10.0,10.03,9.99,10.005,87258
2020-04-16 20:00:00,10.01,10.01,10.01,10.01,80230
2020-04-16 20:40:00,10.01,10.01,10.01,10.01,30544
2020-04-16 20:55:00,10.03,10.03,10.03,10.03,250
2020-04-16 21:20:00,10.03,10.12,10.03,10.12,604
2020-04-16 21:55:00,10.05,10.05,10.05,10.05,400
2020-04-16 22:00:00,10.12,10.12,10.12,10.12,1494
2020-04-16 22:20:00,10.2,10.32,10.2,10.32,1300
2020-04-16 22:25:00,10.32,10.32,10.32,10.32,3000
2020-04-16 22:30:00,10.32,10.32,10.32,10.32,290
2020-04-16 22:35:00,10.2,10.2,10.2,10.2,500
2020-04-16 22:40:00,10.32,10.32,10.32,10.32,100
2020-04-16 22:45:00,10.32,10.32,10.32,10.32,6100
2020-04-16 22:50:00,10.32,10.32,10.32,10.32,2500
2020-04-16 22:55:00,10.3,10.3,10.3,10.3,400
2020-04-16 23:10:00,10.32,10.32,10.32,10.32,300
2020-04-16 23:25:00,10.3,10.3,10.3,10.3,300
