datetime,open,high,low,close,volume
2020-04-16 11:00:00,59.81,60.0,59.81,60.0,200
2020-04-16 11:15:00,59.99,59.99,59.99,59.99,169
2020-04-16 12:00:00,59.6,59.6,59.6,59.6,100
2020-04-16 12:05:00,59.6,59.6,59.6,59.6,1829
2020-04-16 12:35:00,60.0,60.0,60.0,60.0,137
2020-04-16 13:00:00,60.0,60.0,60.0,60.0,150
2020-04-16 13:30:00,59.8,60.33,59.61,60.155,332740
2020-04-16 13:35:00,60.1582,60.21,59.845,60.19,157431
2020-04-16 13:40:00,60.19,60.35,60.12,60.15,103023
2020-04-16 13:45:00,60.13,60.31,60.1,60.15,82176
2020-04-16 13:50:00,60.15,60.22,60.02,60.15,88037
2020-04-16 13:55:00,60.17,60.24,59.94,59.96,71371
2020-04-16 14:00:00,59.975,59.995,59.76,59.83,186297
2020-04-16 14:05:00,59.85,59.96,59.8,59.92,78055
2020-04-16 14:10:00,59.92,59.92,59.725,59.85,79094
2020-04-16 14:15:00,59.86,60.1182,59.84,60.05,90642
2020-04-16 14:20:00,60.05,60.13,60.0,60.105,59825
2020-04-16 14:25:00,60.105,60.1169,59.99,60.05,45383
2020-04-16 14:30:00,60.05,60.05,59.83,59.89,67381
2020-04-16 14:35:00,59.9,59.9598,59.84,59.9,55919
2020-04-16 14:40:00,59.9,60.14,59.89,60.12,59506
2020-04-16 14:45:00,60.125,60.205,60.04,60.165,69314
2020-04-16 14:50:00,60.16,60.225,60.09,60.1,59069
2020-04-16 14:55:00,60.1,60.24,60.06,60.18,74557
2020-04-16 15:00:00,60.185,60.195,60.035,60.1266,105700
2020-04-16 15:05:00,60.13,60.21,60.12,60.135,58939
2020-04-16 15:10:00,60.13,60.2,60.03,60.0301,98304
2020-04-16 15:15:00,60.04,60.13,60.03,60.1,54251
2020-04-16 15:20:00,60.12,60.19,60.055,60.065,91079
2020-04-16 15:25:00,60.0604,60.15,59.89,59.89,123364
2020-04-16 15:30:00,59.89,60.0,59.86,59.94,93199
2020-04-16 15:35:00,59.95,60.01,59.92,59.99,84086
2020-04-16 15:40:00,60.0,60.105,59.98,60.0,55140
2020-04-16 15:45:00,60.005,60.13,60.005,60.1,69137
2020-04-16 15:50:00,60.11,60.24,60.03,60.18,96667
2020-04-16 15:55:00,60.1863,60.23,60.15,60.2031,62963
2020-04-16 16:00:00,60.2,60.25,59.91,59.927,81015
2020-04-16 16:05:00,59.92,59.93,59.735,59.735,76554
2020-04-16 16:10:00,59.73,59.81,59.725,59.77,58981
2020-04-16 16:15:00,59.76,59.83,59.61,59.64,85783
2020-04-16 16:20:00,59.64,59.715,59.58,59.6,68986
2020-04-16 16:25:00,59.6,59.73,59.6,59.685,68738
2020-04-16 16:30:00,59.69,59.69,59.52,59.59,74130
