datetime,open,high,low,close,volume
2020-04-16 08:00:00,22.37,22.37,22.37,22.37,120
2020-04-16 08:05:00,22.36,22.42,22.33,22.36,2200
2020-04-16 08:10:00,22.32,22.33,22.28,22.3,4000
2020-04-16 08:15:00,22.3,22.3,22.26,22.26,2500
2020-04-16 08:20:00,22.36,22.36,22.36,22.36,500
2020-04-16 08:25:00,22.35,22.35,22.29,22.29,3500
2020-04-16 08:30:00,22.25,22.28,22.25,22.28,1900
2020-04-16 08:35:00,22.28,22.28,22.22,22.22,6273
2020-04-16 08:40:00,22.2,22.2,22.07,22.07,2400
2020-04-16 08:50:00,22.17,22.21,22.17,22.21,700
2020-04-16 08:55:00,22.19,22.2,22.17,22.18,2100
2020-04-16 09:00:00,22.2,22.2,22.14,22.17,4000
2020-04-16 09:05:00,22.17,22.17,22.17,22.17,1500
2020-04-16 09:10:00,22.11,22.18,22.11,22.17,6100
2020-04-16 09:15:00,22.18,22.18,22.11,22.17,2400
2020-04-16 09:20:00,22.16,22.16,22.05,22.06,9850
2020-04-16 09:25:00,22.06,22.07,22.02,22.02,10688
2020-04-16 09:30:00,22.03,22.17,22.02,22.17,15822
2020-04-16 09:35:00,22.17,22.21,22.14,22.19,13049
2020-04-16 09:40:00,22.2,22.27,22.19,22.27,7250
2020-04-16 09:45:00,22.29,22.36,22.25,22.36,10400
2020-04-16 09:50:00,22.35,22.35,22.3,22.34,8400
2020-04-16 09:55:00,22.32,22.32,22.27,22.31,4550
2020-04-16 10:00:00,22.32,22.32,22.25,22.27,5650
2020-04-16 10:05:00,22.26,22.31,22.23,22.29,4600
2020-04-16 10:10:00,22.31,22.41,22.31,22.39,8550
2020-04-16 10:15:00,22.39,22.46,22.35,22.45,11146
2020-04-16 10:20:00,22.46,22.46,22.41,22.42,8588
2020-04-16 10:25:00,22.43,22.51,22.43,22.5,6300
2020-04-16 10:30:00,22.5,22.5,22.41,22.41,5250
2020-04-16 10:35:00,22.45,22.45,22.35,22.35,9400
2020-04-16 10:40:00,22.36,22.44,22.36,22.41,13318
2020-04-16 10:45:00,22.41,22.41,22.31,22.32,5390
2020-04-16 10:50:00,22.32,22.33,22.31,22.31,2558
2020-04-16 10:55:00,22.32,22.32,22.3,22.31,1901
2020-04-16 11:00:00,22.47,22.47,22.25,22.25,14639
2020-04-16 11:05:00,22.25,22.3,22.25,22.3,2850
2020-04-16 11:10:00,22.29,22.33,22.29,22.33,7108
2020-04-16 11:15:00,22.32,22.35,22.3,22.33,1950
2020-04-16 11:20:00,22.35,22.35,22.33,22.35,6347
2020-04-16 11:25:00,22.34,22.35,22.33,22.34,5616
2020-04-16 11:30:00,22.31,22.31,22.22,22.22,6094
2020-04-16 11:35:00,22.2,22.23,22.17,22.17,9116
2020-04-16 11:40:00,22.16,22.17,22.11,22.11,8752
2020-04-16 11:45:00,22.12,22.16,22.09,22.12,4540
2020-04-16 11:50:00,22.11,22.19,22.1,22.19,7485
2020-04-16 11:55:00,22.18,22.21,22.18,22.21,3500
2020-04-16 12:00:00,22.22,22.27,22.22,22.26,17478
2020-04-16 12:05:00,22.24,22.26,22.23,22.24,12060
2020-04-16 12:10:00,22.24,22.27,22.2301,22.27,1600
2020-04-16 12:15:00,22.24,22.24,22.18,22.18,3621
2020-04-16 12:20:00,22.17,22.25,22.17,22.25,8139
2020-04-16 12:25:00,22.24,22.25,22.2,22.2,3980
2020-04-16 12:30:00,22.25,22.37,22.25,22.3,52188
2020-04-16 12:35:00,22.31,22.34,22.3,22.32,3550
2020-04-16 12:40:00,22.3,22.3,22.25,22.25,13930
2020-04-16 12:45:00,22.25,22.3,22.23,22.26,14110
2020-04-16 12:50:00,22.25,22.28,22.24,22.28,9272
2020-04-16 12:55:00,22.26,22.27,22.22,22.26,7400
