datetime,open,high,low,close,volume
2020-04-16 11:25:00,35.08,35.1,35.08,35.1,602
2020-04-16 11:30:00,35.1,35.1,35.1,35.1,2952
2020-04-16 11:35:00,35.25,35.25,35.25,35.25,100
2020-04-16 12:05:00,35.7,35.7,35.7,35.7,119
2020-04-16 12:30:00,35.668,35.668,35.668,35.668,100
2020-04-16 13:25:00,35.0,35.0,35.0,35.0,200
2020-04-16 13:30:00,35.03,35.31,34.95,34.95,157021
2020-04-16 13:35:00,34.9,35.16,34.82,35.0197,177510
2020-04-16 13:40:00,35.0,35.11,34.97,35.06,75979
2020-04-16 13:45:00,35.07,35.13,34.99,35.09,120320
2020-04-16 13:50:00,35.08,35.18,35.035,35.1,97165
2020-04-16 13:55:00,35.11,35.15,34.99,35.0,138317
2020-04-16 14:00:00,35.0,35.05,34.98,35.0,166111
2020-04-16 14:05:00,35.0,35.06,34.93,34.93,114136
2020-04-16 14:10:00,34.925,34.96,34.86,34.96,40853
2020-04-16 14:15:00,34.97,35.1,34.96,35.025,226407
2020-04-16 14:20:00,35.02,35.24,35.005,35.22,97721
2020-04-16 14:25:00,35.22,35.345,35.185,35.27,69564
2020-04-16 14:30:00,35.27,35.355,35.12,35.14,59577
2020-04-16 14:35:00,35.14,35.18,35.05,35.14,105311
2020-04-16 14:40:00,35.14,35.27,35.115,35.27,136024
2020-04-16 14:45:00,35.27,35.27,35.195,35.21,61352
2020-04-16 14:50:00,35.2,35.225,35.13,35.16,113034
2020-04-16 14:55:00,35.17,35.24,35.1457,35.22,47822
2020-04-16 15:00:00,35.215,35.22,35.145,35.15,47717
2020-04-16 15:05:00,35.15,35.21,35.12,35.19,55233
2020-04-16 15:10:00,35.2,35.2335,35.1475,35.15,37049
2020-04-16 15:15:00,35.155,35.24,35.14,35.24,66985
2020-04-16 15:20:00,35.25,35.31,35.18,35.215,69776
2020-04-16 15:25:00,35.22,35.27,35.14,35.14,40829
2020-04-16 15:30:00,35.14,35.16,35.055,35.07,48798
2020-04-16 15:35:00,35.07,35.145,35.05,35.11,137404
2020-04-16 15:40:00,35.11,35.235,35.1,35.2,41943
2020-04-16 15:45:00,35.2,35.25,35.18,35.25,38107
2020-04-16 15:50:00,35.255,35.5,35.24,35.4985,69921
2020-04-16 15:55:00,35.495,35.51,35.39,35.39,32980
2020-04-16 16:00:00,35.38,35.4,35.25,35.26,51988
2020-04-16 16:05:00,35.27,35.28,35.09,35.1,34485
2020-04-16 16:10:00,35.095,35.13,35.065,35.1,36074
2020-04-16 16:15:00,35.1,35.17,35.05,35.08,52824
2020-04-16 16:20:00,35.08,35.145,35.03,35.065,72667
2020-04-16 16:25:00,35.07,35.17,35.06,35.1,86221
2020-04-16 16:30:00,35.095,35.1,34.945,34.98,258834
2020-04-16 16:35:00,34.97,35.08,34.95,35.065,56370
2020-04-16 16:40:00,35.06,35.26,35.05,35.235,77730
2020-04-16 16:45:00,35.24,35.27,35.17,35.21,71018
2020-04-16 16:50:00,35.22,35.22,35.02,35.1,84872
2020-04-16 16:55:00,35.09,35.25,35.065,35.21,68321
2020-04-16 17:00:00,35.215,35.31,35.215,35.25,72855
2020-04-16 17:05:00,35.2596,35.28,35.1521,35.1521,65846
2020-04-16 17:10:00,35.16,35.215,35.15,35.2,27306
2020-04-16 17:15:00,35.19,35.235,35.145,35.22,29132
2020-04-16 17:20:00,35.215,35.235,35.17,35.2,25230
2020-04-16 17:25:00,35.19,35.27,35.185,35.267,67613
