datetime,open,high,low,close,volume
2020-04-16 11:00:00,4.66,4.66,4.66,4.66,1000
2020-04-16 11:15:00,4.73,4.73,4.73,4.73,200
2020-04-16 11:40:00,4.72,4.73,4.72,4.73,2000
2020-04-16 11:45:00,4.71,4.71,4.71,4.71,1000
2020-04-16 11:50:00,4.71,4.75,4.71,4.75,450
2020-04-16 12:00:00,4.73,4.73,4.73,4.73,300
2020-04-16 12:05:00,4.65,4.66,4.65,4.65,1200
2020-04-16 12:10:00,4.65,4.65,4.65,4.65,700
2020-04-16 12:15:00,4.65,4.65,4.65,4.65,300
2020-04-16 12:20:00,4.65,4.65,4.65,4.65,600
2020-04-16 12:25:00,4.66,4.67,4.66,4.67,700
2020-04-16 12:30:00,4.7,4.73,4.7,4.72,1350
2020-04-16 12:35:00,4.7,4.7,4.7,4.7,2950
2020-04-16 12:40:00,4.7,4.7,4.66,4.66,2400
2020-04-16 12:45:00,4.6501,4.66,4.6501,4.66,734
2020-04-16 12:50:00,4.65,4.65,4.65,4.65,3112
2020-04-16 12:55:00,4.65,4.65,4.65,4.65,999
2020-04-16 13:00:00,4.64,4.64,4.64,4.64,2400
2020-04-16 13:10:00,4.64,4.64,4.61,4.64,900
2020-04-16 13:15:00,4.6,4.6,4.6,4.6,1450
2020-04-16 13:20:00,4.59,4.6,4.57,4.58,4703
2020-04-16 13:25:00,4.57,4.58,4.57,4.58,2677
2020-04-16 13:30:00,4.58,4.637,4.54,4.5999,256065
2020-04-16 13:35:00,4.6,4.6084,4.56,4.57,271735
2020-04-16 13:40:00,4.57,4.59,4.52,4.52,241074
2020-04-16 13:45:00,4.525,4.59,4.525,4.55,165044
2020-04-16 13:50:00,4.56,4.57,4.4901,4.555,311430
2020-04-16 13:55:00,4.55,4.57,4.515,4.535,177512
2020-04-16 14:00:00,4.54,4.585,4.54,4.57,229323
2020-04-16 14:05:00,4.57,4.62,4.5415,4.62,137512
2020-04-16 14:10:00,4.62,4.6266,4.58,4.61,259148
2020-04-16 14:15:00,4.61,4.615,4.58,4.6,128647
2020-04-16 14:20:00,4.6,4.64,4.59,4.6366,107456
2020-04-16 14:25:00,4.63,4.64,4.6001,4.6199,217651
2020-04-16 14:30:00,4.615,4.62,4.59,4.6,123927
2020-04-16 14:35:00,4.61,4.66,4.59,4.66,179668
2020-04-16 14:40:00,4.65,4.6901,4.6402,4.68,143450
2020-04-16 14:45:00,4.69,4.69,4.62,4.6401,109170
2020-04-16 14:50:00,4.645,4.645,4.61,4.61,92234
2020-04-16 14:55:00,4.62,4.62,4.56,4.59,121735
2020-04-16 15:00:00,4.59,4.63,4.585,4.585,157348
2020-04-16 15:05:00,4.59,4.59,4.56,4.57,143641
2020-04-16 15:10:00,4.57,4.5883,4.56,4.58,60039
2020-04-16 15:15:00,4.58,4.59,4.55,4.575,101162
2020-04-16 15:20:00,4.57,4.6,4.57,4.6,57580
2020-04-16 15:25:00,4.6,4.63,4.59,4.615,84031
2020-04-16 15:30:00,4.62,4.63,4.585,4.59,48495
2020-04-16 15:35:00,4.5827,4.585,4.54,4.55,82145
2020-04-16 15:40:00,4.55,4.56,4.53,4.54,57551
2020-04-16 15:45:00,4.54,4.5699,4.54,4.56,65595
2020-04-16 15:50:00,4.55,4.59,4.5401,4.5836,70097
2020-04-16 15:55:00,4.58,4.58,4.545,4.55,38376
2020-04-16 16:00:00,4.55,4.5697,4.54,4.56,35539
2020-04-16 16:05:00,4.57,4.57,4.54,4.55,55824
2020-04-16 16:10:00,4.56,4.5655,4.5402,4.56,39634
2020-04-16 16:15:00,4.56,4.575,4.5516,4.56,52888
2020-04-16 16:20:00,4.55,4.55,4.5,4.53,126950
2020-04-16 16:25:00,4.53,4.53,4.51,4.53,56945
2020-04-16 16:30:00,4.52,4.525,4.46,4.475,171708
2020-04-16 16:35:00,4.48,4.54,4.475,4.5301,139915
2020-04-16 16:40:00,4.53,4.55,4.5262,4.54,88452
2020-04-16 16:45:00,4.54,4.55,4.5131,4.52,40054
2020-04-16 16:50:00,4.53,4.54,4.5016,4.52,69120
2020-04-16 16:55:00,4.515,4.525,4.51,4.515,26028
2020-04-16 17:00:00,4.5131,4.515,4.495,4.5,56708
2020-04-16 17:05:00,4.5,4.51,4.49,4.495,106071
2020-04-16 17:10:00,4.495,4.525,4.495,4.52,45748
2020-04-16 17:15:00,4.52,4.55,4.5101,4.55,72982
2020-04-16 17:20:00,4.545,4.56,4.53,4.54,38329
2020-04-16 17:25:00,4.53,4.54,4.52,4.52,31857
2020-04-16 17:30:00,4.52,4.53,4.515,4.5299,38607
2020-04-16 17:35:00,4.52,4.53,4.48,4.48,66494
2020-04-16 17:40:00,4.4801,4.49,4.465,4.48,133567
2020-04-16 17:45:00,4.48,4.5,4.48,4.485,53357
2020-04-16 17:50:00,4.48,4.51,4.47,4.475,76878
2020-04-16 17:55:00,4.48,4.49,4.4723,4.48,48904
2020-04-16 18:00:00,4.47,4.48,4.46,4.4694,79523
2020-04-16 18:05:00,4.47,4.51,4.465,4.505,82400
2020-04-16 18:10:00,4.505,4.51,4.485,4.485,51110
2020-04-16 18:15:00,4.485,4.5,4.4807,4.483,67496
2020-04-16 18:20:00,4.485,4.485,4.4499,4.4499,88703
2020-04-16 18:25:00,4.445,4.48,4.44,4.48,154251
2020-04-16 18:30:00,4.48,4.51,4.475,4.505,263628
