datetime,open,high,low,close,volume
2020-04-16 13:15:00,9.47,9.47,9.47,9.47,231
2020-04-16 13:25:00,9.53,9.53,9.53,9.53,300
2020-04-16 13:30:00,9.54,9.6,9.498,9.57,142087
2020-04-16 13:35:00,9.57,9.67,9.48,9.66,107956
2020-04-16 13:40:00,9.67,9.71,9.6,9.62,105548
2020-04-16 13:45:00,9.63,9.74,9.62,9.715,132692
2020-04-16 13:50:00,9.71,9.71,9.63,9.68,61153
2020-04-16 13:55:00,9.68,9.72,9.65,9.66,97519
2020-04-16 14:00:00,9.66,9.7,9.6199,9.66,47942
2020-04-16 14:05:00,9.655,9.7,9.655,9.68,29670
2020-04-16 14:10:00,9.67,9.68,9.59,9.6,57703
2020-04-16 14:15:00,9.6,9.65,9.59,9.64,179518
2020-04-16 14:20:00,9.64,9.665,9.63,9.63,69235
2020-04-16 14:25:00,9.635,9.665,9.6,9.655,91676
2020-04-16 14:30:00,9.66,9.66,9.59,9.62,57177
2020-04-16 14:35:00,9.61,9.67,9.61,9.62,47192
2020-04-16 14:40:00,9.6267,9.665,9.61,9.63,31687
2020-04-16 14:45:00,9.625,9.69,9.62,9.69,16753
2020-04-16 14:50:00,9.68,9.68,9.61,9.61,90485
2020-04-16 14:55:00,9.615,9.64,9.61,9.63,34560
2020-04-16 15:00:00,9.635,9.65,9.62,9.65,40688
2020-04-16 15:05:00,9.65,9.72,9.645,9.715,45366
2020-04-16 15:10:00,9.72,9.74,9.69,9.73,41775
2020-04-16 15:15:00,9.73,9.765,9.73,9.75,90551
2020-04-16 15:20:00,9.75,9.75,9.72,9.74,85096
2020-04-16 15:25:00,9.74,9.75,9.72,9.72,69900
2020-04-16 15:30:00,9.72,9.74,9.65,9.69,55304
2020-04-16 15:35:00,9.69,9.71,9.68,9.71,35588
2020-04-16 15:40:00,9.71,9.73,9.695,9.73,35215
2020-04-16 15:45:00,9.7212,9.75,9.72,9.75,44045
2020-04-16 15:50:00,9.75,9.79,9.75,9.775,103277
2020-04-16 15:55:00,9.775,9.8099,9.755,9.8099,48365
2020-04-16 16:00:00,9.81,9.85,9.805,9.85,59392
2020-04-16 16:05:00,9.8467,9.85,9.82,9.85,52490
2020-04-16 16:10:00,9.85,9.85,9.7501,9.78,54131
2020-04-16 16:15:00,9.78,9.83,9.74,9.74,206417
2020-04-16 16:20:00,9.7301,9.745,9.645,9.65,218511
2020-04-16 16:25:00,9.64,9.66,9.58,9.66,88256
2020-04-16 16:30:00,9.66,9.66,9.585,9.61,42607
2020-04-16 16:35:00,9.61,9.67,9.6,9.655,50089
2020-04-16 16:40:00,9.655,9.7,9.65,9.675,27975
2020-04-16 16:45:00,9.67,9.7,9.665,9.67,23907
2020-04-16 16:50:00,9.67,9.695,9.65,9.655,11913
2020-04-16 16:55:00,9.655,9.69,9.65,9.675,14114
2020-04-16 17:00:00,9.675,9.69,9.67,9.67,6095
2020-04-16 17:05:00,9.67,9.67,9.63,9.63,24332
2020-04-16 17:10:00,9.635,9.65,9.62,9.645,22815
2020-04-16 17:15:00,9.65,9.69,9.635,9.69,10827
2020-04-16 17:20:00,9.685,9.69,9.62,9.63,19764
2020-04-16 17:25:00,9.63,9.675,9.63,9.675,10013
2020-04-16 17:30:00,9.67,9.7,9.665,9.69,21087
2020-04-16 17:35:00,9.695,9.695,9.6769,9.6769,6471
2020-04-16 17:40:00,9.67,9.68,9.66,9.68,6419
2020-04-16 17:45:00,9.67,9.69,9.67,9.67,15419
2020-04-16 17:50:00,9.66,9.665,9.655,9.655,7800
2020-04-16 17:55:00,9.66,9.67,9.65,9.66,9644
2020-04-16 18:00:00,9.66,9.665,9.63,9.64,22466
2020-04-16 18:05:00,9.633,9.66,9.63,9.66,19270
2020-04-16 18:10:00,9.665,9.71,9.665,9.6816,22201
2020-04-16 18:15:00,9.685,9.71,9.675,9.7,17798
2020-04-16 18:20:00,9.69,9.7,9.675,9.68,7058
2020-04-16 18:25:00,9.675,9.71,9.675,9.69,26263
2020-04-16 18:30:00,9.685,9.69,9.68,9.685,10177
2020-04-16 18:35:00,9.69,9.72,9.69,9.695,29340
2020-04-16 18:40:00,9.69,9.7,9.685,9.685,13818
2020-04-16 18:45:00,9.69,9.695,9.68,9.6808,19631
2020-04-16 18:50:00,9.685,9.7,9.675,9.685,35483
2020-04-16 18:55:00,9.69,9.7,9.69,9.7,14101
2020-04-16 19:00:00,9.7,9.7,9.69,9.695,12377
2020-04-16 19:05:00,9.7,9.7,9.67,9.685,48773
2020-04-16 19:10:00,9.685,9.7,9.685,9.69,41969
2020-04-16 19:15:00,9.7,9.7,9.675,9.69,31040
2020-04-16 19:20:00,9.69,9.7,9.69,9.7,26739
2020-04-16 19:25:00,9.7,9.7,9.685,9.7,32099
2020-04-16 19:30:00,9.7,9.705,9.685,9.695,58167
2020-04-16 19:35:00,9.7,9.71,9.69,9.695,25893
2020-04-16 19:40:00,9.69,9.7,9.675,9.68,60320
2020-04-16 19:45:00,9.68,9.7,9.67,9.675,38416
2020-04-16 19:50:00,9.68,9.73,9.675,9.725,107026
2020-04-16 19:55:00,9.73,9.73,9.68,9.68,151006
2020-04-16 20:00:00,9.69,9.69,9.69,9.69,57546
2020-04-16 20:10:00,9.72,9.72,9.72,9.72,1500
2020-04-16 20:35:00,9.69,9.69,9.69,9.69,1000
2020-04-16 22:25:00,9.75,9.75,9.75,9.75,1200
2020-04-16 22:50:00,9.75,9.75,9.75,9.75,1000
2020-04-17 11:00:00,9.85,9.85,9.85,9.85,1000
2020-04-17 11:25:00,9.71,9.71,9.69,9.69,423
2020-04-17 11:45:00,9.9,9.9,9.9,9.9,100
2020-04-17 12:20:00,9.86,9.86,9.86,9.86,723
2020-04-17 13:20:00,9.84,9.84,9.84,9.84,100
2020-04-17 13:25:00,9.76,9.84,9.59,9.59,8937
2020-04-17 13:30:00,9.69,9.78,9.54,9.665,200832
2020-04-17 13:35:00,9.64,9.84,9.63,9.64,171303
2020-04-17 13:40:00,9.64,9.6501,9.595,9.63,72064
2020-04-17 13:45:00,9.63,9.635,9.55,9.57,89385
2020-04-17 13:50:00,9.565,9.6,9.51,9.59,74820
2020-04-17 13:55:00,9.59,9.61,9.51,9.575,124874
2020-04-17 14:00:00,9.57,9.6256,9.55,9.565,104561
2020-04-17 14:05:00,9.56,9.68,9.5597,9.6515,95523
2020-04-17 14:10:00,9.66,9.66,9.565,9.59,67020
2020-04-17 14:15:00,9.58,9.59,9.52,9.55,60177
2020-04-17 14:20:00,9.55,9.58,9.54,9.58,70062
2020-04-17 14:25:00,9.58,9.62,9.565,9.6,61847
2020-04-17 14:30:00,9.6,9.6,9.49,9.51,98865
2020-04-17 14:35:00,9.5,9.5,9.44,9.48,76406
2020-04-17 14:40:00,9.48,9.505,9.45,9.48,45319
2020-04-17 14:45:00,9.48,9.52,9.475,9.475,26572
2020-04-17 14:50:00,9.475,9.53,9.475,9.51,53707
2020-04-17 14:55:00,9.515,9.54,9.505,9.515,57941
2020-04-17 15:00:00,9.51,9.52,9.48,9.48,100045
2020-04-17 15:05:00,9.48,9.5,9.46,9.465,29024
2020-04-17 15:10:00,9.465,9.51,9.465,9.49,110738
2020-04-17 15:15:00,9.495,9.5,9.44,9.49,47449
2020-04-17 15:20:00,9.495,9.5,9.45,9.475,63686
2020-04-17 15:25:00,9.47,9.49,9.46,9.475,61223
2020-04-17 15:30:00,9.475,9.48,9.455,9.47,37361
2020-04-17 15:35:00,9.47,9.51,9.465,9.5,71847
2020-04-17 15:40:00,9.5,9.53,9.475,9.52,76454
2020-04-17 15:45:00,9.53,9.55,9.52,9.53,39557
2020-04-17 15:50:00,9.535,9.535,9.51,9.52,35305
2020-04-17 15:55:00,9.52,9.585,9.505,9.58,58241
2020-04-17 16:00:00,9.58,9.62,9.572,9.59,40447
2020-04-17 16:05:00,9.59,9.64,9.585,9.64,59170
2020-04-17 16:10:00,9.64,9.64,9.59,9.605,43358
2020-04-17 16:15:00,9.605,9.605,9.545,9.56,37092
2020-04-17 16:20:00,9.57,9.61,9.5648,9.58,44460
2020-04-17 16:25:00,9.57,9.58,9.52,9.52,24300
2020-04-17 16:30:00,9.53,9.56,9.53,9.55,20567
2020-04-17 16:35:00,9.55,9.59,9.54,9.57,50165
2020-04-17 16:40:00,9.57,9.59,9.565,9.57,39668
2020-04-17 16:45:00,9.575,9.605,9.575,9.58,24624
2020-04-17 16:50:00,9.58,9.605,9.58,9.6,27359
2020-04-17 16:55:00,9.6,9.605,9.58,9.605,27897
2020-04-17 17:00:00,9.6,9.6,9.565,9.575,21446
2020-04-17 17:05:00,9.58,9.6,9.5758,9.6,40264
2020-04-17 17:10:00,9.6,9.625,9.6,9.625,20671
2020-04-17 17:15:00,9.63,9.63,9.6022,9.615,26900
2020-04-17 17:20:00,9.615,9.615,9.595,9.595,25402
2020-04-17 17:25:00,9.6,9.63,9.58,9.58,26308
2020-04-17 17:30:00,9.59,9.6,9.575,9.585,29384
2020-04-17 17:35:00,9.59,9.62,9.585,9.62,18030
2020-04-17 17:40:00,9.61,9.615,9.59,9.59,30390
2020-04-17 17:45:00,9.59,9.61,9.58,9.6,56303
2020-04-17 17:50:00,9.6,9.615,9.59,9.6055,26631
2020-04-17 17:55:00,9.61,9.64,9.605,9.635,65126
2020-04-17 18:00:00,9.64,9.64,9.61,9.62,55840
2020-04-17 18:05:00,9.62,9.63,9.58,9.585,17635
2020-04-17 18:10:00,9.58,9.5886,9.54,9.56,76698
2020-04-17 18:15:00,9.56,9.58,9.555,9.57,25047
2020-04-17 18:20:00,9.565,9.6,9.565,9.6,27429
2020-04-17 18:25:00,9.6,9.625,9.58,9.58,45894
2020-04-17 18:30:00,9.58,9.59,9.565,9.57,50626
2020-04-17 18:35:00,9.57,9.595,9.56,9.59,41590
2020-04-17 18:40:00,9.59,9.59,9.555,9.5591,35313
2020-04-17 18:45:00,9.56,9.56,9.54,9.545,41449
2020-04-17 18:50:00,9.55,9.55,9.51,9.52,31912
2020-04-17 18:55:00,9.52,9.55,9.5,9.5,59732
2020-04-17 19:00:00,9.5,9.54,9.5,9.53,76023
2020-04-17 19:05:00,9.525,9.61,9.525,9.61,196628
2020-04-17 19:10:00,9.615,9.675,9.615,9.635,77870
2020-04-17 19:15:00,9.635,9.66,9.605,9.66,61349
2020-04-17 19:20:00,9.655,9.66,9.615,9.66,84573
2020-04-17 19:25:00,9.665,9.675,9.65,9.65,74190
2020-04-17 19:30:00,9.65,9.66,9.62,9.66,145898
2020-04-17 19:35:00,9.655,9.66,9.61,9.64,89956
2020-04-17 19:40:00,9.65,9.72,9.635,9.72,217299
2020-04-17 19:45:00,9.72,9.75,9.715,9.725,161454
