datetime,open,high,low,close,volume
2020-04-16 13:20:00,39.01,39.01,39.01,39.01,120
2020-04-16 13:30:00,38.85,39.03,38.83,38.84,28137
2020-04-16 13:35:00,38.95,38.95,38.78,38.92,13294
2020-04-16 13:40:00,38.89,38.95,38.83,38.83,14621
2020-04-16 13:45:00,38.81,38.95,38.81,38.93,23353
2020-04-16 13:50:00,38.93,38.93,38.89,38.92,29411
2020-04-16 13:55:00,38.93,38.95,38.84,38.85,25659
2020-04-16 14:00:00,38.87,38.91,38.82,38.86,29862
2020-04-16 14:05:00,38.86,38.93,38.86,38.91,17062
2020-04-16 14:10:00,38.91,38.91,38.85,38.91,22208
2020-04-16 14:15:00,38.9,38.985,38.895,38.97,26281
2020-04-16 14:20:00,38.96,39.01,38.945,39.01,19758
2020-04-16 14:25:00,39.01,39.04,38.99,39.025,21532
2020-04-16 14:30:00,39.03,39.06,39.0,39.03,19430
2020-04-16 14:35:00,39.04,39.08,39.04,39.06,10667
2020-04-16 14:40:00,39.055,39.1,39.04,39.09,23501
2020-04-16 14:45:00,39.08,39.09,39.045,39.09,9658
2020-04-16 14:50:00,39.09,39.09,39.04,39.06,13470
2020-04-16 14:55:00,39.06,39.1,39.05,39.06,18329
2020-04-16 15:00:00,39.07,39.1,39.045,39.1,8085
2020-04-16 15:05:00,39.11,39.23,39.11,39.22,8817
2020-04-16 15:10:00,39.22,39.24,39.145,39.17,9125
2020-04-16 15:15:00,39.17,39.19,39.14,39.17,10892
2020-04-16 15:20:00,39.17,39.17,39.08,39.1,6800
2020-04-16 15:25:00,39.09,39.12,39.07,39.08,10083
2020-04-16 15:30:00,39.08,39.09,39.01,39.01,16362
2020-04-16 15:35:00,39.02,39.1,39.02,39.1,9987
2020-04-16 15:40:00,39.11,39.13,39.11,39.13,9662
2020-04-16 15:45:00,39.13,39.14,39.095,39.13,6754
2020-04-16 15:50:00,39.13,39.19,39.13,39.19,11238
2020-04-16 15:55:00,39.19,39.21,39.19,39.21,7276
2020-04-16 16:00:00,39.21,39.23,39.16,39.18,11781
2020-04-16 16:05:00,39.19,39.19,39.11,39.13,4600
2020-04-16 16:10:00,39.1144,39.14,39.07,39.11,11014
2020-04-16 16:15:00,39.11,39.11,39.04,39.06,9577
2020-04-16 16:20:00,39.06,39.06,38.98,39.0001,17693
2020-04-16 16:25:00,39.01,39.03,38.99,39.01,7892
2020-04-16 16:30:00,39.0,39.0,38.955,38.97,6778
2020-04-16 16:35:00,38.96,39.0,38.96,39.0,5177
2020-04-16 16:40:00,39.0,39.02,38.98,39.01,4380
2020-04-16 16:45:00,39.02,39.02,38.9883,39.0,3728
2020-04-16 16:50:00,39.0,39.01,39.0,39.01,3721
2020-04-16 16:55:00,39.0,39.02,38.98,39.01,23962
2020-04-16 17:00:00,39.01,39.05,39.0,39.03,10337
2020-04-16 17:05:00,39.03,39.06,39.02,39.04,7587
2020-04-16 17:10:00,39.04,39.07,39.035,39.07,5663
2020-04-16 17:15:00,39.06,39.1,39.0,39.01,8219
2020-04-16 17:20:00,39.025,39.04,39.015,39.03,5442
2020-04-16 17:25:00,39.03,39.04,39.02,39.04,5169
2020-04-16 17:30:00,39.03,39.04,39.025,39.03,4335
2020-04-16 17:35:00,39.03,39.05,39.025,39.04,5820
2020-04-16 17:40:00,39.04,39.06,39.03,39.06,5575
2020-04-16 17:45:00,39.06,39.06,39.05,39.06,3890
2020-04-16 17:50:00,39.05,39.05,38.99,38.99,5799
2020-04-16 17:55:00,38.98,38.99,38.95,38.98,4505
2020-04-16 18:00:00,38.97,38.97,38.936,38.95,5286
2020-04-16 18:05:00,38.94,38.98,38.91,38.98,5227
2020-04-16 18:10:00,38.99,38.991,38.97,38.97,6200
2020-04-16 18:15:00,38.98,38.99,38.95,38.95,4333
2020-04-16 18:20:00,38.945,38.96,38.94,38.96,7548
2020-04-16 18:25:00,38.95,39.0,38.95,38.9975,8049
2020-04-16 18:30:00,39.0,39.02,38.995,39.0,7481
2020-04-16 18:35:00,39.0,39.06,39.0,39.055,9821
2020-04-16 18:40:00,39.05,39.055,39.01,39.03,12446
2020-04-16 18:45:00,39.03,39.04,38.9977,39.0,7267
2020-04-16 18:50:00,38.99,39.04,38.98,39.04,12388
2020-04-16 18:55:00,39.04,39.04,39.025,39.025,6841
2020-04-16 19:00:00,39.03,39.04,39.01,39.03,13914
2020-04-16 19:05:00,39.025,39.055,39.01,39.02,14709
2020-04-16 19:10:00,39.02,39.03,39.01,39.01,9731
2020-04-16 19:15:00,39.015,39.03,39.01,39.03,12018
2020-04-16 19:20:00,39.03,39.07,39.03,39.065,12558
2020-04-16 19:25:00,39.055,39.1,39.04,39.1,11636
2020-04-16 19:30:00,39.1,39.11,39.06,39.09,17835
2020-04-16 19:35:00,39.09,39.14,39.065,39.065,22108
2020-04-16 19:40:00,39.065,39.07,39.03,39.03,18182
2020-04-16 19:45:00,39.03,39.08,39.03,39.075,33978
2020-04-16 19:50:00,39.08,39.15,39.075,39.085,43419
2020-04-16 19:55:00,39.09,39.12,39.03,39.05,59913
2020-04-16 20:00:00,39.05,39.05,39.05,39.05,34027
2020-04-16 21:25:00,39.31,39.31,39.31,39.31,100
2020-04-16 23:40:00,39.32,39.9,39.32,39.9,200
2020-04-16 23:55:00,40.0,40.0,39.9999,39.9999,4000
2020-04-17 13:25:00,39.23,39.27,39.23,39.27,1100
2020-04-17 13:30:00,39.65,39.75,39.06,39.12,47215
2020-04-17 13:35:00,39.11,39.13,38.99,39.065,24154
2020-04-17 13:40:00,39.07,39.07,38.99,39.04,22166
2020-04-17 13:45:00,39.03,39.09,39.01,39.015,36852
2020-04-17 13:50:00,39.02,39.05,38.97,39.0,19312
2020-04-17 13:55:00,39.01,39.09,39.01,39.08,19465
2020-04-17 14:00:00,39.07,39.08,38.96,38.985,16873
2020-04-17 14:05:00,38.99,39.05,38.9802,39.03,13375
2020-04-17 14:10:00,39.03,39.03,38.89,38.91,27889
2020-04-17 14:15:00,38.92,38.93,38.865,38.9,20704
2020-04-17 14:20:00,38.89,38.91,38.86,38.88,14967
2020-04-17 14:25:00,38.87,38.91,38.87,38.9,22265
2020-04-17 14:30:00,38.89,38.89,38.81,38.82,17758
2020-04-17 14:35:00,38.83,38.88,38.82,38.87,14778
2020-04-17 14:40:00,38.87,38.9,38.84,38.8433,11713
2020-04-17 14:45:00,38.84,38.84,38.69,38.725,25157
2020-04-17 14:50:00,38.73,38.86,38.725,38.85,8939
2020-04-17 14:55:00,38.87,38.905,38.85,38.865,12039
2020-04-17 15:00:00,38.86,38.9,38.82,38.87,18731
2020-04-17 15:05:00,38.85,38.9,38.85,38.87,14626
2020-04-17 15:10:00,38.87,38.87,38.81,38.83,10990
2020-04-17 15:15:00,38.82,38.85,38.78,38.83,14571
2020-04-17 15:20:00,38.82,38.85,38.81,38.82,9909
2020-04-17 15:25:00,38.81,38.81,38.71,38.71,13758
2020-04-17 15:30:00,38.72,38.8,38.72,38.78,18236
2020-04-17 15:35:00,38.79,38.83,38.775,38.81,11451
2020-04-17 15:40:00,38.8,38.85,38.79,38.83,10200
2020-04-17 15:45:00,38.83,38.84,38.81,38.825,5498
2020-04-17 15:50:00,38.83,38.845,38.8001,38.8339,9451
2020-04-17 15:55:00,38.83,38.84,38.81,38.82,7175
2020-04-17 16:00:00,38.82,38.82,38.79,38.815,4259
2020-04-17 16:05:00,38.81,38.8278,38.785,38.8,9865
2020-04-17 16:10:00,38.785,38.83,38.775,38.82,7531
2020-04-17 16:15:00,38.82,38.835,38.8,38.81,22743
2020-04-17 16:20:00,38.815,38.83,38.8,38.8242,17417
2020-04-17 16:25:00,38.82,38.82,38.78,38.79,13595
2020-04-17 16:30:00,38.7901,38.83,38.78,38.81,10380
2020-04-17 16:35:00,38.81,38.87,38.805,38.855,13861
2020-04-17 16:40:00,38.85,38.9,38.83,38.895,8415
2020-04-17 16:45:00,38.885,38.9,38.855,38.9,12660
2020-04-17 16:50:00,38.905,38.91,38.89,38.905,9324
2020-04-17 16:55:00,38.91,38.92,38.89,38.895,13938
2020-04-17 17:00:00,38.89,38.93,38.88,38.905,15091
2020-04-17 17:05:00,38.905,38.91,38.89,38.9,8603
2020-04-17 17:10:00,38.91,38.91,38.88,38.89,4062
2020-04-17 17:15:00,38.89,38.96,38.87,38.91,10557
2020-04-17 17:20:00,38.91,38.94,38.9,38.94,19050
2020-04-17 17:25:00,38.94,38.96,38.935,38.94,9406
2020-04-17 17:30:00,38.94,38.96,38.94,38.945,7420
2020-04-17 17:35:00,38.95,38.98,38.945,38.98,8876
2020-04-17 17:40:00,38.97,38.99,38.96,38.98,6733
2020-04-17 17:45:00,38.97,38.97,38.92,38.93,10464
2020-04-17 17:50:00,38.935,38.94,38.92,38.93,14311
2020-04-17 17:55:00,38.92,38.95,38.9106,38.95,7237
2020-04-17 18:00:00,38.9466,39.02,38.94,39.0011,16424
2020-04-17 18:05:00,39.0,39.02,39.0,39.015,5922
2020-04-17 18:10:00,39.01,39.025,38.91,38.92,28673
2020-04-17 18:15:00,38.93,38.95,38.92,38.95,10593
