datetime,open,high,low,close,volume
2020-04-16 11:00:00,3.89,3.89,3.89,3.89,325
2020-04-16 11:40:00,3.85,3.85,3.85,3.85,1100
2020-04-16 12:00:00,3.85,3.88,3.85,3.88,1950
2020-04-16 12:10:00,3.87,3.87,3.87,3.87,500
2020-04-16 12:15:00,3.86,3.86,3.86,3.86,500
2020-04-16 12:25:00,3.87,3.87,3.87,3.87,1000
2020-04-16 12:30:00,3.87,3.87,3.87,3.87,1300
2020-04-16 12:40:00,3.8602,3.8602,3.86,3.86,2750
2020-04-16 12:45:00,3.86,3.86,3.8201,3.84,6196
2020-04-16 12:50:00,3.87,3.87,3.87,3.87,377
2020-04-16 12:55:00,3.8698,3.87,3.8698,3.87,384
2020-04-16 13:00:00,3.84,3.87,3.84,3.8698,4072
2020-04-16 13:05:00,3.8698,3.87,3.8698,3.87,8469
2020-04-16 13:10:00,3.87,3.87,3.86,3.87,3475
2020-04-16 13:15:00,3.8698,3.87,3.8698,3.87,450
2020-04-16 13:20:00,3.86,3.86,3.85,3.86,1375
2020-04-16 13:25:00,3.85,3.9,3.85,3.9,6849
2020-04-16 13:30:00,3.86,3.86,3.7,3.7,429862
2020-04-16 13:35:00,3.705,3.72,3.66,3.71,296410
2020-04-16 13:40:00,3.71,3.74,3.705,3.735,162301
2020-04-16 13:45:00,3.735,3.76,3.7214,3.755,120856
2020-04-16 13:50:00,3.755,3.755,3.74,3.745,70609
2020-04-16 13:55:00,3.745,3.75,3.72,3.725,67472
2020-04-16 14:00:00,3.73,3.77,3.725,3.76,155951
2020-04-16 14:05:00,3.765,3.765,3.74,3.745,64583
2020-04-16 14:10:00,3.7478,3.7478,3.69,3.695,147872
2020-04-16 14:15:00,3.6901,3.71,3.68,3.68,88287
2020-04-16 14:20:00,3.68,3.69,3.63,3.64,272764
2020-04-16 14:25:00,3.65,3.655,3.62,3.6449,213704
2020-04-16 14:30:00,3.645,3.7,3.64,3.7,152293
2020-04-16 14:35:00,3.7,3.7,3.67,3.675,82669
2020-04-16 14:40:00,3.68,3.7,3.67,3.69,116109
2020-04-16 14:45:00,3.7,3.7,3.67,3.67,53931
2020-04-16 14:50:00,3.675,3.675,3.66,3.67,67600
2020-04-16 14:55:00,3.665,3.72,3.6601,3.71,100322
2020-04-16 15:00:00,3.715,3.72,3.7,3.715,58902
2020-04-16 15:05:00,3.715,3.73,3.71,3.73,262599
2020-04-16 15:10:00,3.725,3.73,3.68,3.68,147694
2020-04-16 15:15:00,3.685,3.6878,3.67,3.675,49808
2020-04-16 15:20:00,3.675,3.68,3.66,3.665,95629
2020-04-16 15:25:00,3.66,3.67,3.61,3.61,349833
2020-04-16 15:30:00,3.6199,3.62,3.6,3.605,232782
2020-04-16 15:35:00,3.605,3.63,3.6,3.615,389374
2020-04-16 15:40:00,3.62,3.62,3.5706,3.6041,355743
2020-04-16 15:45:00,3.61,3.63,3.6,3.6103,156768
2020-04-16 15:50:00,3.6101,3.62,3.59,3.605,160460
2020-04-16 15:55:00,3.61,3.62,3.605,3.615,104255
2020-04-16 16:00:00,3.615,3.62,3.6,3.605,43115
2020-04-16 16:05:00,3.605,3.61,3.57,3.5834,176911
2020-04-16 16:10:00,3.585,3.59,3.57,3.575,61478
2020-04-16 16:15:00,3.58,3.58,3.56,3.567,66953
2020-04-16 16:20:00,3.565,3.5678,3.515,3.535,526269
2020-04-16 16:25:00,3.535,3.535,3.52,3.5268,100193
2020-04-16 16:30:00,3.525,3.53,3.5,3.505,254057
2020-04-16 16:35:00,3.5001,3.51,3.46,3.46,244764
2020-04-16 16:40:00,3.47,3.48,3.45,3.4558,533958
2020-04-16 16:45:00,3.455,3.46,3.43,3.44,164465
2020-04-16 16:50:00,3.44,3.44,3.42,3.425,191550
2020-04-16 16:55:00,3.4282,3.44,3.4206,3.43,241279
2020-04-16 17:00:00,3.435,3.4699,3.43,3.445,216106
2020-04-16 17:05:00,3.449,3.465,3.445,3.455,125807
2020-04-16 17:10:00,3.45,3.46,3.45,3.451,119338
2020-04-16 17:15:00,3.455,3.46,3.43,3.4401,246774
2020-04-16 17:20:00,3.445,3.48,3.445,3.47,221751
2020-04-16 17:25:00,3.4702,3.475,3.45,3.455,82102
2020-04-16 17:30:00,3.45,3.46,3.45,3.4539,44337
2020-04-16 17:35:00,3.455,3.46,3.44,3.445,74401
2020-04-16 17:40:00,3.445,3.445,3.43,3.44,114659
2020-04-16 17:45:00,3.43,3.44,3.43,3.43,52489
2020-04-16 17:50:00,3.435,3.44,3.43,3.43,39299
2020-04-16 17:55:00,3.4378,3.44,3.43,3.435,20882
2020-04-16 18:00:00,3.435,3.44,3.41,3.4323,465309
2020-04-16 18:05:00,3.435,3.48,3.43,3.475,205307
2020-04-16 18:10:00,3.475,3.5,3.47,3.4978,156974
2020-04-16 18:15:00,3.495,3.5,3.49,3.49,75087
2020-04-16 18:20:00,3.495,3.5,3.49,3.49,69705
2020-04-16 18:25:00,3.49,3.5,3.49,3.495,126609
2020-04-16 18:30:00,3.495,3.5,3.49,3.495,115805
2020-04-16 18:35:00,3.495,3.545,3.49,3.535,470977
2020-04-16 18:40:00,3.535,3.54,3.51,3.5178,106267
2020-04-16 18:45:00,3.5199,3.56,3.505,3.5099,328561
2020-04-16 18:50:00,3.505,3.505,3.47,3.485,160506
2020-04-16 18:55:00,3.49,3.5,3.485,3.495,61282
2020-04-16 19:00:00,3.495,3.5,3.48,3.4978,209690
