datetime,open,high,low,close,volume
2020-04-16 13:15:00,5.97,5.97,5.95,5.95,1100
2020-04-16 13:25:00,5.95,5.95,5.95,5.95,200
2020-04-16 13:30:00,5.95,5.95,5.89,5.89,42282
2020-04-16 13:35:00,5.88,5.88,5.86,5.86,4700
2020-04-16 13:40:00,5.86,5.88,5.86,5.86,9380
2020-04-16 13:45:00,5.87,5.875,5.84,5.85,8000
2020-04-16 13:50:00,5.84,5.84,5.82,5.82,21292
2020-04-16 13:55:00,5.83,5.84,5.79,5.805,21137
2020-04-16 14:00:00,5.8,5.81,5.79,5.8,15573
2020-04-16 14:05:00,5.8,5.8,5.78,5.79,24347
2020-04-16 14:10:00,5.79,5.79,5.76,5.76,34396
2020-04-16 14:15:00,5.765,5.81,5.76,5.8,24262
2020-04-16 14:20:00,5.795,5.82,5.79,5.815,13889
2020-04-16 14:25:00,5.82,5.86,5.82,5.855,29900
2020-04-16 14:30:00,5.855,5.86,5.82,5.82,18600
2020-04-16 14:35:00,5.83,5.85,5.82,5.82,7300
2020-04-16 14:40:00,5.82,5.845,5.81,5.84,15485
2020-04-16 14:45:00,5.83,5.845,5.83,5.845,9486
2020-04-16 14:50:00,5.84,5.845,5.82,5.84,20548
2020-04-16 14:55:00,5.83,5.84,5.83,5.84,13100
2020-04-16 15:00:00,5.835,5.84,5.82,5.84,21442
2020-04-16 15:05:00,5.84,5.86,5.84,5.85,11527
2020-04-16 15:10:00,5.85,5.85,5.83,5.84,13900
2020-04-16 15:15:00,5.84,5.845,5.83,5.845,9708
2020-04-16 15:20:00,5.8332,5.84,5.82,5.82,11114
2020-04-16 15:25:00,5.815,5.82,5.79,5.79,31070
2020-04-16 15:30:00,5.795,5.795,5.74,5.77,73833
2020-04-16 15:35:00,5.775,5.78,5.76,5.76,2883
2020-04-16 15:40:00,5.76,5.77,5.76,5.77,2220
2020-04-16 15:45:00,5.77,5.77,5.75,5.75,2700
2020-04-16 15:50:00,5.755,5.8,5.75,5.8,3195
2020-04-16 15:55:00,5.8,5.8,5.79,5.795,1200
