datetime,open,high,low,close,volume
2020-04-16 11:10:00,19.99,19.99,19.99,19.99,100
2020-04-16 13:30:00,20.1,20.75,20.1,20.58,276754
2020-04-16 13:35:00,20.58,20.61,20.31,20.51,154121
2020-04-16 13:40:00,20.52,20.53,20.2966,20.43,80323
2020-04-16 13:45:00,20.44,20.51,20.33,20.45,94864
2020-04-16 13:50:00,20.43,20.43,20.25,20.28,78371
2020-04-16 13:55:00,20.28,20.44,20.25,20.31,161153
2020-04-16 14:00:00,20.32,20.36,20.25,20.31,153434
2020-04-16 14:05:00,20.31,20.425,20.275,20.34,80453
2020-04-16 14:10:00,20.34,20.41,20.275,20.315,93369
2020-04-16 14:15:00,20.31,20.32,20.16,20.19,94671
2020-04-16 14:20:00,20.19,20.22,20.13,20.2,66058
2020-04-16 14:25:00,20.205,20.36,20.18,20.34,60555
2020-04-16 14:30:00,20.33,20.38,20.19,20.23,71718
2020-04-16 14:35:00,20.24,20.35,20.22,20.345,47538
2020-04-16 14:40:00,20.34,20.41,20.27,20.27,65176
2020-04-16 14:45:00,20.26,20.34,20.21,20.34,109573
2020-04-16 14:50:00,20.34,20.34,20.2,20.26,147428
2020-04-16 14:55:00,20.265,20.28,20.1,20.11,97007
2020-04-16 15:00:00,20.115,20.14,19.951,20.05,127810
2020-04-16 15:05:00,20.06,20.07,19.93,19.935,57009
2020-04-16 15:10:00,19.94,19.945,19.855,19.885,95791
2020-04-16 15:15:00,19.89,19.905,19.825,19.88,58428
2020-04-16 15:20:00,19.8762,19.9,19.74,19.7783,94212
2020-04-16 15:25:00,19.775,19.775,19.645,19.66,77493
2020-04-16 15:30:00,19.66,19.7,19.565,19.5766,65584
2020-04-16 15:35:00,19.57,19.59,19.55,19.57,45138
2020-04-16 15:40:00,19.57,19.68,19.555,19.62,46528
2020-04-16 15:45:00,19.62,19.635,19.49,19.5,66166
2020-04-16 15:50:00,19.5,19.58,19.465,19.54,75044
2020-04-16 15:55:00,19.54,19.55,19.465,19.53,42826
