datetime,open,high,low,close,volume
2020-04-16 08:00:00,32.29,32.29,32.29,32.29,154
2020-04-16 11:00:00,32.21,32.21,32.21,32.21,100
2020-04-16 11:15:00,32.25,32.26,32.25,32.26,454
2020-04-16 11:25:00,32.29,32.29,32.29,32.29,372
2020-04-16 11:50:00,32.25,32.25,32.25,32.25,363
2020-04-16 12:20:00,32.23,32.23,32.23,32.23,100
2020-04-16 13:00:00,32.4,32.4,32.4,32.4,100
2020-04-16 13:20:00,32.4,32.4,32.4,32.4,100
2020-04-16 13:25:00,32.47,32.58,32.03,32.03,5093
2020-04-16 13:30:00,31.84,32.23,31.63,31.69,247182
2020-04-16 13:35:00,31.71,31.72,31.36,31.53,148370
2020-04-16 13:40:00,31.52,31.86,31.44,31.78,130745
2020-04-16 13:45:00,31.79,31.8,31.45,31.54,156645
2020-04-16 13:50:00,31.55,31.62,31.3,31.4,94299
2020-04-16 13:55:00,31.3959,31.47,31.15,31.18,80771
2020-04-16 14:00:00,31.18,31.25,31.08,31.1,118952
2020-04-16 14:05:00,31.07,31.175,31.03,31.09,56834
2020-04-16 14:10:00,31.1,31.1404,30.75,30.795,122956
2020-04-16 14:15:00,30.78,30.78,30.56,30.57,118046
2020-04-16 14:20:00,30.58,30.96,30.52,30.94,103896
2020-04-16 14:25:00,30.92,31.13,30.8,31.13,67263
2020-04-16 14:30:00,31.13,31.18,30.79,30.89,63282
2020-04-16 14:35:00,30.8984,31.01,30.8,30.89,67700
2020-04-16 14:40:00,30.87,31.14,30.79,31.05,65397
2020-04-16 14:45:00,31.05,31.055,30.83,30.92,76929
2020-04-16 14:50:00,30.91,30.95,30.84,30.93,156673
2020-04-16 14:55:00,30.94,31.2,30.93,31.16,112303
2020-04-16 15:00:00,31.17,31.23,31.1,31.19,87325
2020-04-16 15:05:00,31.19,31.38,31.16,31.3371,100798
2020-04-16 15:10:00,31.34,31.39,31.28,31.31,90482
2020-04-16 15:15:00,31.31,31.38,31.28,31.36,78049
2020-04-16 15:20:00,31.36,31.3642,31.16,31.1731,87335
2020-04-16 15:25:00,31.175,31.26,31.09,31.09,78482
2020-04-16 15:30:00,31.08,31.09,30.84,30.84,103828
2020-04-16 15:35:00,30.84,30.98,30.8,30.98,72027
2020-04-16 15:40:00,30.98,31.1,30.96,31.0,75839
2020-04-16 15:45:00,31.03,31.09,31.01,31.055,51026
2020-04-16 15:50:00,31.06,31.32,31.055,31.29,132465
2020-04-16 15:55:00,31.3,31.34,31.22,31.29,79766
