datetime,open,high,low,close,volume
2020-04-16 13:00:00,5.78,5.78,5.78,5.78,200
2020-04-16 13:30:00,5.72,5.72,5.56,5.565,114229
2020-04-16 13:35:00,5.565,5.61,5.5525,5.58,64262
2020-04-16 13:40:00,5.575,5.66,5.5701,5.655,61989
2020-04-16 13:45:00,5.655,5.6795,5.65,5.6705,22633
2020-04-16 13:50:00,5.68,5.68,5.65,5.655,23543
2020-04-16 13:55:00,5.65,5.66,5.6,5.605,26627
2020-04-16 14:00:00,5.6001,5.61,5.58,5.59,66329
2020-04-16 14:05:00,5.585,5.595,5.55,5.5501,77341
2020-04-16 14:10:00,5.55,5.56,5.52,5.525,36431
2020-04-16 14:15:00,5.525,5.585,5.52,5.55,55078
2020-04-16 14:20:00,5.55,5.56,5.54,5.56,32500
2020-04-16 14:25:00,5.56,5.57,5.55,5.56,47494
2020-04-16 14:30:00,5.5598,5.56,5.52,5.535,35422
2020-04-16 14:35:00,5.54,5.555,5.5201,5.5201,28891
2020-04-16 14:40:00,5.525,5.55,5.525,5.525,28789
2020-04-16 14:45:00,5.5299,5.55,5.52,5.54,35620
2020-04-16 14:50:00,5.54,5.54,5.53,5.535,22825
2020-04-16 14:55:00,5.53,5.565,5.53,5.555,38875
2020-04-16 15:00:00,5.555,5.62,5.55,5.62,33079
2020-04-16 15:05:00,5.62,5.695,5.62,5.69,31867
2020-04-16 15:10:00,5.695,5.695,5.65,5.655,28918
2020-04-16 15:15:00,5.655,5.655,5.61,5.62,38648
2020-04-16 15:20:00,5.62,5.62,5.61,5.62,16784
2020-04-16 15:25:00,5.62,5.66,5.61,5.655,29653
2020-04-16 15:30:00,5.655,5.66,5.65,5.655,18853
2020-04-16 15:35:00,5.66,5.66,5.62,5.6215,29783
2020-04-16 15:40:00,5.625,5.63,5.61,5.615,23119
2020-04-16 15:45:00,5.6102,5.62,5.6,5.6006,8197
2020-04-16 15:50:00,5.6086,5.61,5.6,5.61,26287
2020-04-16 15:55:00,5.61,5.61,5.6,5.605,12717
2020-04-16 16:00:00,5.61,5.61,5.6,5.605,13071
2020-04-16 16:05:00,5.605,5.61,5.59,5.59,32146
2020-04-16 16:10:00,5.59,5.595,5.56,5.5601,25556
2020-04-16 16:15:00,5.56,5.565,5.55,5.555,10859
2020-04-16 16:20:00,5.55,5.585,5.55,5.575,49766
2020-04-16 16:25:00,5.58,5.59,5.55,5.56,38825
2020-04-16 16:30:00,5.555,5.57,5.55,5.5637,16208
2020-04-16 16:35:00,5.56,5.57,5.53,5.535,37044
2020-04-16 16:40:00,5.535,5.54,5.53,5.535,9045
2020-04-16 16:45:00,5.5338,5.54,5.53,5.535,4570
2020-04-16 16:50:00,5.535,5.54,5.53,5.53,14382
2020-04-16 16:55:00,5.535,5.54,5.53,5.53,16543
2020-04-16 17:00:00,5.53,5.54,5.53,5.535,3902
2020-04-16 17:05:00,5.535,5.54,5.53,5.535,9100
2020-04-16 17:10:00,5.535,5.54,5.53,5.535,9106
2020-04-16 17:15:00,5.535,5.54,5.53,5.535,22261
2020-04-16 17:20:00,5.535,5.54,5.53,5.535,11572
2020-04-16 17:25:00,5.535,5.54,5.53,5.535,25529
2020-04-16 17:30:00,5.535,5.54,5.53,5.54,13612
2020-04-16 17:35:00,5.54,5.54,5.53,5.535,18622
2020-04-16 17:40:00,5.535,5.58,5.5301,5.58,101722
2020-04-16 17:45:00,5.575,5.5798,5.54,5.55,31320
2020-04-16 17:50:00,5.545,5.55,5.54,5.54,8576
2020-04-16 17:55:00,5.54,5.545,5.53,5.535,21491
2020-04-16 18:00:00,5.54,5.54,5.53,5.535,12879
2020-04-16 18:05:00,5.535,5.5558,5.53,5.555,24508
2020-04-16 18:10:00,5.555,5.56,5.55,5.555,11461
2020-04-16 18:15:00,5.56,5.56,5.55,5.555,6801
2020-04-16 18:20:00,5.555,5.57,5.555,5.565,20636
2020-04-16 18:25:00,5.565,5.565,5.55,5.555,31855
2020-04-16 18:30:00,5.555,5.56,5.54,5.55,28750
2020-04-16 18:35:00,5.55,5.56,5.545,5.56,23454
2020-04-16 18:40:00,5.56,5.56,5.55,5.56,8475
2020-04-16 18:45:00,5.56,5.56,5.55,5.56,16020
2020-04-16 18:50:00,5.555,5.62,5.55,5.585,128790
2020-04-16 18:55:00,5.585,5.63,5.58,5.63,42476
2020-04-16 19:00:00,5.625,5.67,5.62,5.665,63007
2020-04-16 19:05:00,5.67,5.68,5.66,5.675,65998
2020-04-16 19:10:00,5.675,5.69,5.67,5.68,64497
2020-04-16 19:15:00,5.68,5.69,5.67,5.675,44190
2020-04-16 19:20:00,5.67,5.695,5.67,5.685,78498
2020-04-16 19:25:00,5.685,5.71,5.68,5.695,87963
2020-04-16 19:30:00,5.695,5.7,5.69,5.695,17614
2020-04-16 19:35:00,5.6901,5.695,5.68,5.685,66765
2020-04-16 19:40:00,5.68,5.69,5.68,5.69,72180
2020-04-16 19:45:00,5.69,5.69,5.68,5.685,31960
2020-04-16 19:50:00,5.69,5.75,5.685,5.715,219777
2020-04-16 19:55:00,5.72,5.72,5.71,5.71,302754
2020-04-16 20:00:00,5.72,5.72,5.72,5.72,407982
2020-04-16 20:40:00,5.72,5.72,5.72,5.72,1100
2020-04-16 20:45:00,5.72,5.72,5.72,5.72,3998
2020-04-16 20:50:00,5.72,5.73,5.72,5.73,4100
2020-04-16 21:00:00,5.8,5.8,5.8,5.8,999
2020-04-16 21:20:00,5.85,5.85,5.85,5.85,200
2020-04-16 21:35:00,5.8501,5.8501,5.8501,5.8501,150
2020-04-16 21:40:00,5.8501,5.8501,5.85,5.85,2350
2020-04-16 21:50:00,5.91,5.95,5.91,5.95,1195
2020-04-16 22:00:00,5.86,6.0,5.86,5.9,4982
2020-04-16 22:10:00,5.9,5.9,5.9,5.9,400
2020-04-16 22:20:00,5.9,5.9,5.9,5.9,100
2020-04-16 22:35:00,6.05,6.15,6.05,6.15,2136
2020-04-16 22:40:00,6.17,6.17,6.15,6.15,1000
2020-04-16 22:45:00,6.2,6.2,6.2,6.2,1000
2020-04-16 22:50:00,6.2,6.2,6.2,6.2,100
2020-04-16 23:00:00,6.18,6.2,6.14,6.2,11000
2020-04-16 23:05:00,6.25,6.25,6.25,6.25,300
2020-04-16 23:10:00,6.2,6.2,6.2,6.2,1200
2020-04-16 23:15:00,6.2,6.2,6.2,6.2,990
2020-04-16 23:20:00,6.2899,6.2899,6.2899,6.2899,140
2020-04-16 23:25:00,6.29,6.29,6.14,6.14,273
2020-04-16 23:30:00,6.14,6.14,6.14,6.14,300
2020-04-16 23:35:00,6.14,6.14,6.14,6.14,100
2020-04-16 23:50:00,6.14,6.14,6.14,6.14,100
2020-04-16 23:55:00,6.2,6.2,6.2,6.2,300
2020-04-17 11:40:00,6.15,6.15,6.15,6.15,100
2020-04-17 12:10:00,6.335,6.335,6.335,6.335,250
2020-04-17 12:30:00,6.1,6.1,6.1,6.1,100
2020-04-17 12:40:00,6.1,6.1,6.1,6.1,395
2020-04-17 12:45:00,6.1,6.1,6.1,6.1,100
2020-04-17 13:05:00,6.1,6.1,6.1,6.1,218
2020-04-17 13:10:00,6.15,6.15,6.15,6.15,1000
2020-04-17 13:15:00,6.1,6.1,6.1,6.1,500
2020-04-17 13:20:00,6.1,6.1,6.1,6.1,1185
2020-04-17 13:25:00,6.1,6.1,6.1,6.1,2073
2020-04-17 13:30:00,6.05,6.1,5.86,5.91,312821
2020-04-17 13:35:00,5.92,6.06,5.9165,6.05,137115
2020-04-17 13:40:00,6.04,6.0401,5.89,6.0,126047
2020-04-17 13:45:00,6.0,6.01,5.94,5.995,99766
2020-04-17 13:50:00,6.0,6.0,5.91,5.935,147148
2020-04-17 13:55:00,5.94,5.965,5.91,5.945,38208
2020-04-17 14:00:00,5.945,5.955,5.87,5.935,116998
2020-04-17 14:05:00,5.935,5.96,5.91,5.925,45220
