datetime,open,high,low,close,volume
2020-04-16 09:10:00,41.93,41.93,41.93,41.93,300
2020-04-16 09:20:00,41.9,41.9,41.9,41.9,300
2020-04-16 09:40:00,41.88,41.88,41.88,41.88,408
2020-04-16 09:45:00,41.88,41.88,41.88,41.88,296
2020-04-16 10:00:00,41.73,41.73,41.7,41.7,463
2020-04-16 10:20:00,41.83,41.83,41.83,41.83,242
2020-04-16 10:30:00,41.95,41.95,41.95,41.95,600
2020-04-16 10:40:00,41.95,41.95,41.95,41.95,100
2020-04-16 10:45:00,41.9,41.9,41.9,41.9,500
2020-04-16 10:55:00,41.9,41.9,41.67,41.67,858
2020-04-16 11:05:00,41.71,41.79,41.7,41.79,1938
2020-04-16 11:10:00,41.7,41.7,41.7,41.7,1837
2020-04-16 11:30:00,41.72,41.72,41.64,41.64,490
2020-04-16 11:40:00,41.62,41.75,41.62,41.75,2545
2020-04-16 11:45:00,41.75,41.77,41.75,41.77,8459
2020-04-16 11:55:00,41.95,41.95,41.95,41.95,100
2020-04-16 12:00:00,41.95,41.96,41.8,41.8,551
2020-04-16 12:15:00,41.68,41.68,41.52,41.52,3569
2020-04-16 12:20:00,41.52,41.65,41.52,41.52,2208
2020-04-16 12:25:00,41.7,41.95,41.65,41.95,3214
2020-04-16 12:30:00,41.94,42.0,41.94,41.95,3894
2020-04-16 12:35:00,41.85,41.85,41.8,41.8,1085
2020-04-16 12:40:00,41.75,41.75,41.74,41.74,500
2020-04-16 12:45:00,41.76,41.8,41.76,41.8,1995
2020-04-16 12:50:00,41.76,41.76,41.72,41.72,900
2020-04-16 13:05:00,41.8235,41.96,41.8235,41.96,200
2020-04-16 13:10:00,41.95,41.95,41.73,41.73,3144
2020-04-16 13:15:00,41.85,41.93,41.71,41.77,1424
2020-04-16 13:20:00,41.75,41.7502,41.75,41.7502,1167
2020-04-16 13:25:00,41.78,41.93,41.78,41.92,1661
2020-04-16 13:30:00,41.76,41.79,41.53,41.56,568115
2020-04-16 13:35:00,41.57,41.575,41.23,41.385,324448
2020-04-16 13:40:00,41.39,41.465,41.28,41.405,207182
2020-04-16 13:45:00,41.415,41.545,41.3,41.36,247006
2020-04-16 13:50:00,41.3563,41.37,41.23,41.27,229942
2020-04-16 13:55:00,41.2786,41.32,41.16,41.19,289796
2020-04-16 14:00:00,41.18,41.21,40.9,40.93,309349
2020-04-16 14:05:00,40.9377,41.03,40.76,40.83,292176
2020-04-16 14:10:00,40.84,40.98,40.76,40.93,318478
2020-04-16 14:15:00,40.93,41.05,40.89,40.96,244413
2020-04-16 14:20:00,40.95,41.0128,40.87,41.005,275048
