datetime,open,high,low,close,volume
2020-04-16 13:30:00,61.21,61.21,60.27,60.3289,74648
2020-04-16 13:35:00,60.25,60.27,59.9,60.22,41864
2020-04-16 13:40:00,60.23,60.48,60.18,60.28,25146
2020-04-16 13:45:00,60.3,60.39,59.97,60.1,22551
2020-04-16 13:50:00,60.06,60.09,59.841,59.96,22421
2020-04-16 13:55:00,59.9496,59.9764,59.73,59.75,52052
2020-04-16 14:00:00,59.76,59.85,59.74,59.76,36560
2020-04-16 14:05:00,59.77,59.8,59.41,59.43,31810
2020-04-16 14:10:00,59.43,59.43,58.965,59.29,72588
2020-04-16 14:15:00,59.29,59.62,59.28,59.565,18843
2020-04-16 14:20:00,59.56,59.81,59.461,59.79,21706
2020-04-16 14:25:00,59.8,59.86,59.69,59.85,14425
2020-04-16 14:30:00,59.82,59.92,59.8,59.89,18744
2020-04-16 14:35:00,59.89,59.95,59.75,59.75,17836
2020-04-16 14:40:00,59.77,60.07,59.74,60.04,19970
2020-04-16 14:45:00,60.02,60.04,59.87,60.01,12615
2020-04-16 14:50:00,59.98,60.04,59.85,59.95,11932
2020-04-16 14:55:00,59.97,60.165,59.965,60.14,12812
2020-04-16 15:00:00,60.15,60.16,59.985,60.04,11947
2020-04-16 15:05:00,60.055,60.22,60.055,60.17,25466
2020-04-16 15:10:00,60.1699,60.22,60.09,60.11,17436
2020-04-16 15:15:00,60.13,60.16,60.05,60.12,35487
2020-04-16 15:20:00,60.13,60.2,60.06,60.2,27183
2020-04-16 15:25:00,60.19,60.24,60.11,60.12,17010
2020-04-16 15:30:00,60.11,60.14,60.01,60.02,14281
2020-04-16 15:35:00,60.03,60.08,59.96,60.08,25219
2020-04-16 15:40:00,60.09,60.25,60.07,60.2,14865
2020-04-16 15:45:00,60.2,60.25,60.175,60.19,15964
2020-04-16 15:50:00,60.23,60.42,60.15,60.42,14593
2020-04-16 15:55:00,60.4,60.46,60.36,60.45,19946
2020-04-16 16:00:00,60.43,60.51,60.19,60.24,22006
2020-04-16 16:05:00,60.23,60.23,60.1,60.14,16492
2020-04-16 16:10:00,60.125,60.14,59.9959,60.03,10696
2020-04-16 16:15:00,60.02,60.1,59.8,59.8267,18301
2020-04-16 16:20:00,59.825,59.85,59.72,59.74,13113
2020-04-16 16:25:00,59.76,59.81,59.68,59.74,16560
2020-04-16 16:30:00,59.69,59.69,59.4975,59.59,25020
2020-04-16 16:35:00,59.59,59.66,59.535,59.64,13648
2020-04-16 16:40:00,59.64,59.77,59.6,59.76,13415
2020-04-16 16:45:00,59.74,59.77,59.65,59.77,14518
2020-04-16 16:50:00,59.74,59.86,59.73,59.82,12518
2020-04-16 16:55:00,59.79,59.94,59.75,59.91,9682
2020-04-16 17:00:00,59.9,59.94,59.82,59.82,14223
2020-04-16 17:05:00,59.88,59.98,59.87,59.9,17253
2020-04-16 17:10:00,59.91,60.0,59.86,59.99,13352
2020-04-16 17:15:00,59.98,60.045,59.95,60.02,8995
2020-04-16 17:20:00,60.01,60.14,60.01,60.115,11658
2020-04-16 17:25:00,60.1,60.22,60.09,60.21,16204
2020-04-16 17:30:00,60.17,60.31,60.16,60.25,14561
2020-04-16 17:35:00,60.235,60.31,60.23,60.26,16493
2020-04-16 17:40:00,60.25,60.365,60.24,60.35,15361
2020-04-16 17:45:00,60.35,60.39,60.32,60.335,15844
2020-04-16 17:50:00,60.34,60.37,60.24,60.25,15596
2020-04-16 17:55:00,60.26,60.27,60.15,60.255,34054
2020-04-16 18:00:00,60.25,60.26,60.11,60.19,15518
2020-04-16 18:05:00,60.2,60.42,60.16,60.42,15613
2020-04-16 18:10:00,60.43,60.52,60.42,60.48,12532
