datetime,open,high,low,close,volume
2020-04-16 13:25:00,25.37,25.37,25.36,25.36,866
2020-04-16 13:30:00,25.44,25.7439,25.06,25.105,64993
2020-04-16 13:35:00,25.105,25.19,24.915,25.19,11418
2020-04-16 13:40:00,25.208,25.3,25.04,25.1,16677
2020-04-16 13:45:00,25.07,25.15,24.9103,24.95,23284
2020-04-16 13:50:00,24.975,25.03,24.85,25.01,13622
2020-04-16 13:55:00,25.02,25.04,24.8,24.8,26754
2020-04-16 14:00:00,24.845,24.92,24.79,24.87,26359
2020-04-16 14:05:00,24.87,24.89,24.76,24.76,9660
2020-04-16 14:10:00,24.75,24.76,24.66,24.74,15721
2020-04-16 14:15:00,24.74,24.78,24.71,24.715,13519
2020-04-16 14:20:00,24.69,24.72,24.64,24.66,13150
2020-04-16 14:25:00,24.65,24.78,24.58,24.78,16482
2020-04-16 14:30:00,24.78,24.92,24.77,24.8909,15327
2020-04-16 14:35:00,24.88,24.98,24.83,24.96,26766
2020-04-16 14:40:00,24.9407,25.01,24.94,24.98,22921
2020-04-16 14:45:00,24.98,25.01,24.88,24.985,27785
2020-04-16 14:50:00,24.96,25.01,24.93,25.005,26665
2020-04-16 14:55:00,25.01,25.0649,24.9556,25.0,25748
2020-04-16 15:00:00,25.02,25.09,24.983,25.08,16319
2020-04-16 15:05:00,25.08,25.3,25.08,25.26,15333
2020-04-16 15:10:00,25.27,25.27,25.12,25.135,22880
2020-04-16 15:15:00,25.14,25.15,25.065,25.08,24238
2020-04-16 15:20:00,25.1,25.1266,25.0041,25.0041,12744
2020-04-16 15:25:00,25.02,25.08,24.95,24.98,19117
2020-04-16 15:30:00,24.95,24.98,24.89,24.91,17397
2020-04-16 15:35:00,24.89,25.01,24.89,24.98,15957
2020-04-16 15:40:00,24.98,25.005,24.94,24.94,16093
2020-04-16 15:45:00,24.955,25.0,24.91,24.99,33400
2020-04-16 15:50:00,24.99,25.09,24.98,25.07,21095
2020-04-16 15:55:00,25.065,25.08,24.98,25.0,10634
2020-04-16 16:00:00,24.99,25.01,24.86,24.88,17877
2020-04-16 16:05:00,24.8927,24.8927,24.81,24.84,26342
2020-04-16 16:10:00,24.84,24.892,24.81,24.881,32265
2020-04-16 16:15:00,24.88,24.9,24.75,24.77,21197
2020-04-16 16:20:00,24.76,24.835,24.73,24.82,15430
2020-04-16 16:25:00,24.85,24.91,24.82,24.86,18841
2020-04-16 16:30:00,24.86,24.87,24.78,24.81,20569
2020-04-16 16:35:00,24.81,24.9401,24.81,24.94,17316
2020-04-16 16:40:00,24.93,24.94,24.88,24.94,8083
2020-04-16 16:45:00,24.94,24.99,24.92,24.9301,10424
2020-04-16 16:50:00,24.955,25.005,24.94,24.94,9468
2020-04-16 16:55:00,24.94,25.0,24.91,24.98,14299
2020-04-16 17:00:00,24.975,25.0,24.97,24.99,10514
2020-04-16 17:05:00,25.0,25.07,24.98,24.9984,16314
2020-04-16 17:10:00,25.0051,25.1,24.99,25.08,7920
2020-04-16 17:15:00,25.08,25.12,25.02,25.03,10921
2020-04-16 17:20:00,25.055,25.09,25.02,25.05,8132
2020-04-16 17:25:00,25.03,25.08,24.98,25.02,27906
2020-04-16 17:30:00,25.04,25.08,25.02,25.05,8548
2020-04-16 17:35:00,25.04,25.06,24.985,25.015,12414
2020-04-16 17:40:00,25.027,25.04,24.99,25.01,8944
2020-04-16 17:45:00,25.01,25.065,25.01,25.03,8473
2020-04-16 17:50:00,25.02,25.05,25.0,25.02,10574
2020-04-16 17:55:00,25.01,25.06,25.0,25.03,17380
2020-04-16 18:00:00,25.02,25.05,24.95,25.02,25489
2020-04-16 18:05:00,25.035,25.15,25.0,25.15,20720
2020-04-16 18:10:00,25.175,25.27,25.15,25.26,21611
2020-04-16 18:15:00,25.265,25.3,25.175,25.2,16999
2020-04-16 18:20:00,25.2,25.215,25.05,25.06,25508
2020-04-16 18:25:00,25.06,25.115,25.01,25.04,31885
2020-04-16 18:30:00,25.03,25.05,25.01,25.04,18258
2020-04-16 18:35:00,25.04,25.17,25.04,25.14,30554
2020-04-16 18:40:00,25.14,25.155,25.09,25.125,21520
2020-04-16 18:45:00,25.13,25.16,25.05,25.065,20906
2020-04-16 18:50:00,25.065,25.08,25.02,25.075,18045
2020-04-16 18:55:00,25.07,25.16,25.06,25.09,28466
2020-04-16 19:00:00,25.11,25.14,25.08,25.14,14433
2020-04-16 19:05:00,25.14,25.17,25.11,25.13,24255
2020-04-16 19:10:00,25.11,25.11,25.03,25.05,28901
2020-04-16 19:15:00,25.05,25.09,25.04,25.05,22458
2020-04-16 19:20:00,25.055,25.175,25.05,25.175,28479
2020-04-16 19:25:00,25.18,25.25,25.13,25.25,26702
2020-04-16 19:30:00,25.26,25.3175,25.24,25.26,27560
2020-04-16 19:35:00,25.27,25.28,25.16,25.17,55559
2020-04-16 19:40:00,25.18,25.18,25.11,25.12,30062
2020-04-16 19:45:00,25.13,25.19,25.12,25.16,33920
2020-04-16 19:50:00,25.17,25.25,25.16,25.19,63051
2020-04-16 19:55:00,25.18,25.23,25.12,25.15,167207
2020-04-16 20:00:00,25.16,25.16,25.16,25.16,416147
2020-04-16 20:10:00,25.16,25.16,25.16,25.16,197
2020-04-16 20:15:00,25.16,25.16,25.16,25.16,4268
2020-04-16 20:40:00,25.16,25.16,25.16,25.16,184940
2020-04-16 21:05:00,26.0,26.0,26.0,26.0,100
2020-04-17 13:00:00,26.0,26.0,26.0,26.0,339
2020-04-17 13:25:00,26.0,26.12,26.0,26.08,2235
2020-04-17 13:30:00,25.94,26.09,25.8,25.95,278836
2020-04-17 13:35:00,25.9383,26.315,25.89,25.89,58239
2020-04-17 13:40:00,25.87,25.9,25.61,25.79,75818
2020-04-17 13:45:00,25.79,25.88,25.68,25.73,48775
2020-04-17 13:50:00,25.7,25.88,25.65,25.84,51684
2020-04-17 13:55:00,25.85,25.85,25.72,25.773,54751
2020-04-17 14:00:00,25.78,25.78,25.53,25.61,51323
2020-04-17 14:05:00,25.6,25.6,25.4,25.435,45643
2020-04-17 14:10:00,25.42,25.54,25.33,25.4,54325
2020-04-17 14:15:00,25.385,25.41,25.2,25.335,52917
2020-04-17 14:20:00,25.33,25.33,25.21,25.29,56861
2020-04-17 14:25:00,25.295,25.34,25.18,25.18,28825
2020-04-17 14:30:00,25.17,25.25,25.13,25.1585,47984
2020-04-17 14:35:00,25.15,25.17,25.05,25.13,48680
2020-04-17 14:40:00,25.13,25.205,25.075,25.1,44700
2020-04-17 14:45:00,25.11,25.13,25.03,25.03,46024
2020-04-17 14:50:00,25.04,25.12,25.03,25.12,37220
2020-04-17 14:55:00,25.13,25.17,25.05,25.15,37210
2020-04-17 15:00:00,25.14,25.27,25.11,25.21,31482
2020-04-17 15:05:00,25.2,25.32,25.165,25.298,23245
2020-04-17 15:10:00,25.285,25.4,25.28,25.395,16817
2020-04-17 15:15:00,25.4,25.455,25.335,25.41,22581
2020-04-17 15:20:00,25.4,25.455,25.34,25.45,21913
2020-04-17 15:25:00,25.44,25.46,25.28,25.28,16600
2020-04-17 15:30:00,25.29,25.31,25.21,25.215,53918
2020-04-17 15:35:00,25.22,25.275,25.15,25.175,56311
2020-04-17 15:40:00,25.175,25.19,25.12,25.14,24989
2020-04-17 15:45:00,25.135,25.27,25.135,25.24,44933
2020-04-17 15:50:00,25.23,25.34,25.19,25.28,25757
2020-04-17 15:55:00,25.28,25.33,25.27,25.29,24470
2020-04-17 16:00:00,25.29,25.29,25.18,25.18,23859
2020-04-17 16:05:00,25.18,25.2006,25.155,25.16,26569
2020-04-17 16:10:00,25.15,25.2,25.105,25.175,22209
2020-04-17 16:15:00,25.175,25.2,25.145,25.16,23572
2020-04-17 16:20:00,25.1487,25.18,25.09,25.09,33182
2020-04-17 16:25:00,25.08,25.14,25.03,25.09,15902
2020-04-17 16:30:00,25.1,25.23,25.095,25.225,20520
2020-04-17 16:35:00,25.22,25.3,25.215,25.295,15379
2020-04-17 16:40:00,25.3,25.32,25.22,25.225,41180
2020-04-17 16:45:00,25.225,25.36,25.225,25.35,15525
2020-04-17 16:50:00,25.35,25.35,25.3032,25.32,20225
2020-04-17 16:55:00,25.33,25.34,25.28,25.295,20726
2020-04-17 17:00:00,25.285,25.29,25.23,25.235,21716
2020-04-17 17:05:00,25.235,25.3,25.21,25.295,18253
2020-04-17 17:10:00,25.295,25.295,25.22,25.22,34826
2020-04-17 17:15:00,25.225,25.3052,25.1801,25.3052,49460
2020-04-17 17:20:00,25.31,25.32,25.2,25.22,97752
2020-04-17 17:25:00,25.22,25.26,25.18,25.18,21475
2020-04-17 17:30:00,25.19,25.21,25.12,25.1233,17559
2020-04-17 17:35:00,25.12,25.17,25.115,25.15,30264
2020-04-17 17:40:00,25.15,25.215,25.141,25.18,31088
2020-04-17 17:45:00,25.15,25.1552,25.08,25.08,23960
2020-04-17 17:50:00,25.085,25.16,25.065,25.1462,15644
2020-04-17 17:55:00,25.14,25.19,25.135,25.14,36836
2020-04-17 18:00:00,25.145,25.15,25.055,25.065,29841
2020-04-17 18:05:00,25.06,25.07,25.04,25.05,25385
2020-04-17 18:10:00,25.045,25.05,24.985,24.995,26330
2020-04-17 18:15:00,25.005,25.03,24.99,25.01,26195
2020-04-17 18:20:00,25.01,25.1,24.98,25.06,25519
2020-04-17 18:25:00,25.055,25.07,25.0,25.0,21585
2020-04-17 18:30:00,24.99,25.02,24.96,25.0,12225
2020-04-17 18:35:00,25.015,25.025,24.92,25.0,27057
2020-04-17 18:40:00,25.01,25.06,24.96,25.04,24363
2020-04-17 18:45:00,25.05,25.13,25.04,25.13,32512
2020-04-17 18:50:00,25.125,25.135,25.06,25.063,32215
2020-04-17 18:55:00,25.065,25.26,25.06,25.235,52366
2020-04-17 19:00:00,25.23,25.27,25.22,25.25,62922
2020-04-17 19:05:00,25.25,25.28,25.2,25.23,34854
2020-04-17 19:10:00,25.22,25.24,25.2,25.2013,29104
2020-04-17 19:15:00,25.2,25.24,25.16,25.24,42459
2020-04-17 19:20:00,25.24,25.2559,25.19,25.22,22111
2020-04-17 19:25:00,25.22,25.31,25.22,25.3033,39285
2020-04-17 19:30:00,25.305,25.39,25.3,25.3,34041
2020-04-17 19:35:00,25.32,25.41,25.32,25.4,27075
2020-04-17 19:40:00,25.4,25.455,25.4,25.44,35569
2020-04-17 19:45:00,25.45,25.515,25.43,25.46,51547
2020-04-17 19:50:00,25.47,25.63,25.47,25.495,278182
2020-04-17 19:55:00,25.495,25.56,25.395,25.49,321535
2020-04-17 20:00:00,25.51,25.51,25.51,25.51,1757216
2020-04-17 20:25:00,25.51,25.51,25.51,25.51,798
2020-04-17 21:35:00,25.4701,25.4701,25.4701,25.4701,100
2020-04-17 22:25:00,25.94,25.94,25.94,25.94,100
2020-04-17 23:55:00,25.67,25.67,25.67,25.67,200
2020-04-20 12:05:00,25.52,25.52,25.52,25.52,400
2020-04-20 12:10:00,25.23,25.23,25.23,25.23,100
2020-04-20 12:25:00,25.65,25.65,25.65,25.65,200
2020-04-20 13:10:00,25.65,25.66,25.65,25.66,400
2020-04-20 13:25:00,25.68,25.85,25.68,25.85,6186
2020-04-20 13:30:00,25.86,25.86,25.08,25.15,151174
2020-04-20 13:35:00,25.11,25.52,25.11,25.37,29197
2020-04-20 13:40:00,25.42,25.46,25.19,25.22,42436
2020-04-20 13:45:00,25.22,25.3,25.14,25.19,82041
2020-04-20 13:50:00,25.185,25.24,25.14,25.22,61300
2020-04-20 13:55:00,25.238,25.36,25.19,25.19,26007
2020-04-20 14:00:00,25.19,25.19,24.92,25.11,38745
2020-04-20 14:05:00,25.11,25.24,25.09,25.19,31202
2020-04-20 14:10:00,25.19,25.22,25.11,25.16,21567
2020-04-20 14:15:00,25.16,25.21,25.16,25.1749,21131
2020-04-20 14:20:00,25.17,25.17,25.065,25.065,30888
2020-04-20 14:25:00,25.065,25.065,24.95,24.99,22404
2020-04-20 14:30:00,25.0,25.055,24.95,25.055,45771
2020-04-20 14:35:00,25.0507,25.075,25.03,25.03,31188
2020-04-20 14:40:00,25.02,25.1,25.005,25.05,38649
2020-04-20 14:45:00,25.06,25.27,25.05,25.24,66531
2020-04-20 14:50:00,25.26,25.42,25.26,25.41,15024
2020-04-20 14:55:00,25.42,25.525,25.42,25.5,32652
2020-04-20 15:00:00,25.49,25.59,25.48,25.521,33167
2020-04-20 15:05:00,25.53,25.61,25.48,25.49,31766
2020-04-20 15:10:00,25.5,25.52,25.2922,25.32,25353
2020-04-20 15:15:00,25.3,25.365,25.29,25.32,14968
2020-04-20 15:20:00,25.31,25.39,25.28,25.38,16005
2020-04-20 15:25:00,25.375,25.3899,25.255,25.31,24273
2020-04-20 15:30:00,25.32,25.345,25.24,25.33,13977
2020-04-20 15:35:00,25.34,25.45,25.33,25.435,22885
2020-04-20 15:40:00,25.42,25.42,25.34,25.34,19694
2020-04-20 15:45:00,25.3612,25.44,25.31,25.41,21958
2020-04-20 15:50:00,25.425,25.46,25.365,25.39,19351
2020-04-20 15:55:00,25.39,25.39,25.26,25.275,43377
2020-04-20 16:00:00,25.26,25.32,25.235,25.32,50851
2020-04-20 16:05:00,25.31,25.508,25.295,25.4775,21041
2020-04-20 16:10:00,25.495,25.58,25.44,25.4445,25120
2020-04-20 16:15:00,25.45,25.51,25.43,25.45,20418
2020-04-20 16:20:00,25.45,25.55,25.4376,25.44,20027
2020-04-20 16:25:00,25.47,25.4998,25.42,25.42,20780
2020-04-20 16:30:00,25.425,25.55,25.425,25.5,16047
2020-04-20 16:35:00,25.515,25.535,25.47,25.4949,11341
2020-04-20 16:40:00,25.5,25.55,25.48,25.5,42915
2020-04-20 16:45:00,25.495,25.495,25.425,25.47,19592
2020-04-20 16:50:00,25.48,25.48,25.33,25.33,14527
2020-04-20 16:55:00,25.34,25.47,25.34,25.435,36778
2020-04-20 17:00:00,25.43,25.45,25.365,25.394,32365
2020-04-20 17:05:00,25.39,25.515,25.39,25.48,19626
2020-04-20 17:10:00,25.48,25.48,25.37,25.385,17978
2020-04-20 17:15:00,25.38,25.385,25.275,25.3325,10683
2020-04-20 17:20:00,25.31,25.34,25.27,25.28,21198
2020-04-20 17:25:00,25.28,25.31,25.23,25.261,26940
2020-04-20 17:30:00,25.27,25.27,25.18,25.225,15373
2020-04-20 17:35:00,25.22,25.22,25.1,25.15,16752
2020-04-20 17:40:00,25.14,25.31,25.12,25.2878,52295
