datetime,open,high,low,close,volume
2020-04-16 13:15:00,2.53,2.53,2.53,2.53,500
2020-04-16 13:25:00,2.54,2.54,2.54,2.54,200
2020-04-16 13:30:00,2.5,2.56,2.5,2.51,352754
2020-04-16 13:35:00,2.51,2.52,2.48,2.51,178245
2020-04-16 13:40:00,2.51,2.57,2.51,2.565,167382
2020-04-16 13:45:00,2.5682,2.58,2.54,2.545,114616
2020-04-16 13:50:00,2.5409,2.57,2.535,2.535,132969
2020-04-16 13:55:00,2.535,2.545,2.52,2.535,159653
2020-04-16 14:00:00,2.535,2.54,2.5,2.51,93519
2020-04-16 14:05:00,2.51,2.54,2.51,2.535,95943
2020-04-16 14:10:00,2.53,2.55,2.5,2.51,241826
2020-04-16 14:15:00,2.52,2.535,2.51,2.52,99157
2020-04-16 14:20:00,2.52,2.55,2.52,2.53,67804
2020-04-16 14:25:00,2.5348,2.55,2.525,2.54,101662
2020-04-16 14:30:00,2.54,2.54,2.5025,2.505,97042
2020-04-16 14:35:00,2.51,2.52,2.5,2.5001,123015
2020-04-16 14:40:00,2.5,2.5178,2.5,2.5,85746
2020-04-16 14:45:00,2.5,2.51,2.495,2.505,100536
2020-04-16 14:50:00,2.5,2.5072,2.49,2.49,43215
2020-04-16 14:55:00,2.49,2.51,2.49,2.5,78946
2020-04-16 15:00:00,2.5,2.53,2.495,2.52,125199
2020-04-16 15:05:00,2.52,2.54,2.51,2.53,42582
2020-04-16 15:10:00,2.535,2.535,2.52,2.525,54199
2020-04-16 15:15:00,2.53,2.53,2.52,2.525,17976
2020-04-16 15:20:00,2.525,2.53,2.51,2.515,33277
2020-04-16 15:25:00,2.52,2.535,2.51,2.52,50455
2020-04-16 15:30:00,2.525,2.53,2.5,2.5,137636
2020-04-16 15:35:00,2.505,2.52,2.5,2.51,32566
2020-04-16 15:40:00,2.51,2.52,2.51,2.51,41954
2020-04-16 15:45:00,2.515,2.525,2.51,2.52,71940
2020-04-16 15:50:00,2.52,2.56,2.51,2.56,91020
2020-04-16 15:55:00,2.555,2.56,2.54,2.55,45069
2020-04-16 16:00:00,2.55,2.57,2.545,2.55,65292
2020-04-16 16:05:00,2.55,2.55,2.54,2.54,22308
2020-04-16 16:10:00,2.54,2.545,2.53,2.53,30114
2020-04-16 16:15:00,2.53,2.538,2.52,2.525,47115
2020-04-16 16:20:00,2.52,2.53,2.51,2.5262,67655
2020-04-16 16:25:00,2.52,2.527,2.52,2.525,18811
2020-04-16 16:30:00,2.525,2.525,2.5,2.5,56258
2020-04-16 16:35:00,2.5004,2.52,2.5,2.51,79011
2020-04-16 16:40:00,2.51,2.52,2.5,2.505,14711
2020-04-16 16:45:00,2.505,2.5082,2.5,2.5,12200
2020-04-16 16:50:00,2.5,2.51,2.495,2.5,98806
2020-04-16 16:55:00,2.5,2.51,2.5,2.505,15869
2020-04-16 17:00:00,2.5,2.5,2.49,2.49,52936
2020-04-16 17:05:00,2.5,2.51,2.49,2.49,33638
2020-04-16 17:10:00,2.49,2.5,2.49,2.49,9862
2020-04-16 17:15:00,2.49,2.5,2.49,2.5,65858
2020-04-16 17:20:00,2.5,2.515,2.495,2.51,138945
2020-04-16 17:25:00,2.51,2.525,2.51,2.525,38602
2020-04-16 17:30:00,2.525,2.54,2.52,2.525,65354
2020-04-16 17:35:00,2.525,2.53,2.52,2.52,22534
2020-04-16 17:40:00,2.52,2.53,2.51,2.53,69911
2020-04-16 17:45:00,2.5225,2.53,2.51,2.515,54394
2020-04-16 17:50:00,2.51,2.53,2.51,2.52,39732
2020-04-16 17:55:00,2.529,2.529,2.51,2.52,77136
2020-04-16 18:00:00,2.515,2.53,2.515,2.525,30679
2020-04-16 18:05:00,2.525,2.535,2.52,2.53,21277
2020-04-16 18:10:00,2.535,2.535,2.52,2.525,38204
2020-04-16 18:15:00,2.53,2.56,2.53,2.56,172651
2020-04-16 18:20:00,2.55,2.555,2.53,2.54,70132
2020-04-16 18:25:00,2.54,2.54,2.53,2.53,36204
2020-04-16 18:30:00,2.53,2.5381,2.53,2.53,12800
2020-04-16 18:35:00,2.535,2.54,2.5,2.5,92461
2020-04-16 18:40:00,2.5,2.52,2.5,2.52,64756
2020-04-16 18:45:00,2.53,2.535,2.5243,2.525,42355
2020-04-16 18:50:00,2.525,2.54,2.52,2.535,80912
2020-04-16 18:55:00,2.531,2.531,2.52,2.53,59596
2020-04-16 19:00:00,2.5242,2.53,2.52,2.52,25838
2020-04-16 19:05:00,2.52,2.53,2.51,2.51,61777
2020-04-16 19:10:00,2.515,2.52,2.51,2.515,33863
2020-04-16 19:15:00,2.515,2.5285,2.51,2.51,85311
2020-04-16 19:20:00,2.515,2.52,2.5,2.515,67885
2020-04-16 19:25:00,2.515,2.53,2.51,2.52,98322
2020-04-16 19:30:00,2.52,2.53,2.51,2.515,96798
2020-04-16 19:35:00,2.52,2.52,2.51,2.52,24325
2020-04-16 19:40:00,2.51,2.52,2.5,2.505,357829
2020-04-16 19:45:00,2.5,2.525,2.5,2.515,227801
2020-04-16 19:50:00,2.51,2.52,2.5,2.52,224309
2020-04-16 19:55:00,2.52,2.53,2.505,2.51,516640
2020-04-16 20:00:00,2.51,2.51,2.51,2.51,51519
2020-04-16 20:40:00,2.51,2.51,2.51,2.51,7600
2020-04-16 20:55:00,2.53,2.53,2.53,2.53,5000
2020-04-16 21:00:00,2.4802,2.4802,2.4802,2.4802,1172
2020-04-16 21:25:00,2.5298,2.5298,2.5298,2.5298,1000
2020-04-16 21:40:00,2.53,2.53,2.53,2.53,2500
2020-04-16 21:45:00,2.5299,2.53,2.5299,2.53,3300
2020-04-16 21:50:00,2.53,2.53,2.53,2.53,4000
2020-04-16 21:55:00,2.53,2.53,2.53,2.53,2850
2020-04-16 22:05:00,2.53,2.5399,2.53,2.5399,25434
2020-04-16 22:10:00,2.54,2.54,2.54,2.54,200
2020-04-16 22:25:00,2.58,2.58,2.5799,2.5799,400
2020-04-16 22:40:00,2.58,2.58,2.58,2.58,500
2020-04-16 23:05:00,2.58,2.6,2.58,2.6,2050
2020-04-16 23:20:00,2.59,2.59,2.59,2.59,100
2020-04-16 23:25:00,2.61,2.61,2.61,2.61,1500
2020-04-16 23:30:00,2.61,2.62,2.61,2.62,2299
2020-04-16 23:50:00,2.62,2.62,2.62,2.62,9000
2020-04-16 23:55:00,2.6201,2.6201,2.6201,2.6201,3500
2020-04-17 08:00:00,2.55,2.55,2.55,2.55,400
2020-04-17 08:05:00,2.55,2.55,2.55,2.55,3000
2020-04-17 08:25:00,2.56,2.56,2.56,2.56,400
2020-04-17 08:35:00,2.58,2.58,2.56,2.56,3000
