datetime,open,high,low,close,volume
2020-04-16 08:00:00,23.72,24.54,23.72,24.27,10694
2020-04-16 08:05:00,24.27,24.4,24.19,24.4,11370
2020-04-16 08:10:00,24.43,24.59,24.42,24.59,4100
2020-04-16 08:15:00,24.5,24.5,24.42,24.42,2495
2020-04-16 08:20:00,24.37,24.37,24.2,24.29,3143
2020-04-16 08:25:00,24.3,24.3,24.25,24.25,2323
2020-04-16 08:30:00,24.24,24.24,24.2,24.2,1996
2020-04-16 08:35:00,24.2,24.25,24.2,24.25,1254
2020-04-16 08:40:00,24.27,24.29,24.23,24.29,2001
2020-04-16 08:45:00,24.35,24.35,24.34,24.35,2202
2020-04-16 09:00:00,24.3,24.35,24.25,24.26,4932
2020-04-16 09:05:00,24.26,24.3,24.26,24.28,847
2020-04-16 09:10:00,24.27,24.27,24.26,24.26,963
2020-04-16 09:15:00,24.26,24.26,24.2,24.2,1596
2020-04-16 09:20:00,24.2,24.25,24.14,24.24,5124
2020-04-16 09:25:00,24.16,24.16,24.16,24.16,100
2020-04-16 09:30:00,24.16,24.16,24.15,24.15,1110
2020-04-16 09:35:00,24.1,24.1,24.1,24.1,103
2020-04-16 09:40:00,24.12,24.15,24.12,24.15,3317
2020-04-16 09:45:00,24.19,24.19,24.19,24.19,100
2020-04-16 09:50:00,24.15,24.15,24.15,24.15,1037
2020-04-16 09:55:00,24.15,24.15,24.15,24.15,850
2020-04-16 10:00:00,24.15,24.15,24.05,24.05,6442
2020-04-16 10:05:00,24.05,24.1,24.05,24.1,472
2020-04-16 10:15:00,24.15,24.15,24.15,24.15,196
2020-04-16 10:25:00,24.14,24.15,24.14,24.15,682
2020-04-16 10:30:00,24.15,24.25,24.15,24.25,2894
2020-04-16 10:35:00,24.3,24.3,24.3,24.3,100
2020-04-16 10:45:00,24.29,24.29,24.29,24.29,100
2020-04-16 10:50:00,24.25,24.25,24.25,24.25,200
2020-04-16 10:55:00,24.25,24.25,24.25,24.25,820
2020-04-16 11:00:00,24.2,24.25,24.03,24.05,13214
2020-04-16 11:05:00,24.05,24.08,24.0,24.0,5857
2020-04-16 11:10:00,24.0,24.0,23.87,23.92,14917
2020-04-16 11:15:00,23.98,24.0,23.95,24.0,3343
2020-04-16 11:20:00,24.02,24.1,24.02,24.1,18941
2020-04-16 11:25:00,24.1,24.15,24.1,24.15,1342
2020-04-16 11:30:00,24.15,24.15,24.0,24.0,13226
2020-04-16 11:35:00,24.02,24.05,24.0,24.02,2726
2020-04-16 11:40:00,24.0,24.05,23.95,23.95,33342
2020-04-16 11:45:00,23.95,23.95,23.89,23.92,8335
2020-04-16 11:50:00,23.92,23.95,23.92,23.93,3810
2020-04-16 11:55:00,23.92,23.92,23.9,23.9,677
2020-04-16 12:00:00,23.86,23.92,23.85,23.9,14547
2020-04-16 12:05:00,23.9099,23.94,23.85,23.93,10668
2020-04-16 12:10:00,23.9,23.91,23.82,23.85,28697
2020-04-16 12:15:00,23.82,23.85,23.7,23.7,37702
2020-04-16 12:20:00,23.7001,23.82,23.7,23.8,7991
2020-04-16 12:25:00,23.8,23.85,23.8,23.85,9515
2020-04-16 12:30:00,23.85,24.25,23.82,24.19,65423
2020-04-16 12:35:00,24.2,24.2,23.91,23.91,30460
2020-04-16 12:40:00,23.95,24.0,23.9,24.0,31557
2020-04-16 12:45:00,24.0,24.1,23.9699,24.09,39381
2020-04-16 12:50:00,24.0701,24.15,24.0328,24.05,33977
2020-04-16 12:55:00,24.05,24.12,24.03,24.1,24793
2020-04-16 13:00:00,24.1,24.11,23.9,23.97,51270
2020-04-16 13:05:00,23.95,24.0,23.9,23.9422,26809
2020-04-16 13:10:00,24.0,24.14,23.96,24.14,28568
2020-04-16 13:15:00,24.14,24.1898,23.92,23.9898,40064
2020-04-16 13:20:00,23.99,24.05,23.85,23.89,33306
2020-04-16 13:25:00,23.9,24.03,23.8,23.8,31344
2020-04-16 13:30:00,23.76,23.8,23.45,23.46,2246896
2020-04-16 13:35:00,23.46,23.52,23.12,23.1421,1767290
2020-04-16 13:40:00,23.15,23.51,23.13,23.3701,1127913
2020-04-16 13:45:00,23.4,23.48,23.08,23.18,1261757
2020-04-16 13:50:00,23.165,23.2605,22.78,22.8401,1978724
2020-04-16 13:55:00,22.8435,22.96,22.76,22.8854,1136492
2020-04-16 14:00:00,22.88,23.09,22.88,22.985,1126147
2020-04-16 14:05:00,22.9872,23.07,22.73,22.79,1141629
2020-04-16 14:10:00,22.7852,22.87,22.63,22.6899,1196784
2020-04-16 14:15:00,22.6883,22.83,22.68,22.71,819688
2020-04-16 14:20:00,22.7085,22.96,22.66,22.94,840743
2020-04-16 14:25:00,22.94,23.065,22.85,22.94,893892
2020-04-16 14:30:00,22.94,22.9401,22.6499,22.89,1215148
2020-04-16 14:35:00,22.88,22.97,22.77,22.785,811396
2020-04-16 14:40:00,22.7859,22.95,22.75,22.94,791651
2020-04-16 14:45:00,22.95,22.95,22.8101,22.8799,574593
2020-04-16 14:50:00,22.88,23.07,22.855,23.01,712502
2020-04-16 14:55:00,23.005,23.025,22.91,22.915,379755
2020-04-16 15:00:00,22.915,23.05,22.91,23.0299,518513
2020-04-16 15:05:00,23.03,23.16,23.02,23.0815,627910
2020-04-16 15:10:00,23.08,23.105,23.03,23.03,487375
2020-04-16 15:15:00,23.035,23.14,23.0,23.1001,388481
2020-04-16 15:20:00,23.1,23.125,23.02,23.06,371669
2020-04-16 15:25:00,23.07,23.079,22.95,22.96,643133
2020-04-16 15:30:00,22.955,22.98,22.84,22.88,606455
2020-04-16 15:35:00,22.882,22.91,22.82,22.897,434058
2020-04-16 15:40:00,22.91,22.965,22.865,22.885,412648
2020-04-16 15:45:00,22.885,22.925,22.83,22.86,432686
2020-04-16 15:50:00,22.86,23.05,22.85,23.02,476799
2020-04-16 15:55:00,23.03,23.07,22.95,23.06,563205
2020-04-16 16:00:00,23.06,23.15,23.04,23.12,494160
2020-04-16 16:05:00,23.115,23.13,23.005,23.0164,420888
2020-04-16 16:10:00,23.01,23.03,22.95,23.0099,385282
2020-04-16 16:15:00,23.0,23.0,22.875,22.9,552262
2020-04-16 16:20:00,22.9,22.9034,22.85,22.88,462683
2020-04-16 16:25:00,22.88,22.94,22.8,22.85,376380
2020-04-16 16:30:00,22.85,22.86,22.73,22.7586,918746
2020-04-16 16:35:00,22.7541,22.81,22.74,22.775,344377
2020-04-16 16:40:00,22.77,22.8,22.73,22.777,460883
2020-04-16 16:45:00,22.7799,22.79,22.63,22.6766,759923
2020-04-16 16:50:00,22.675,22.75,22.64,22.7056,364787
2020-04-16 16:55:00,22.7,22.94,22.6599,22.905,1619646
2020-04-16 17:00:00,22.9,23.0,22.89,22.9699,538090
2020-04-16 17:05:00,22.9658,23.05,22.9199,22.9299,550146
2020-04-16 17:10:00,22.92,22.97,22.89,22.96,368450
2020-04-16 17:15:00,22.96,22.977,22.86,22.9076,380702
2020-04-16 17:20:00,22.9066,22.91,22.82,22.87,319441
2020-04-16 17:25:00,22.86,22.91,22.85,22.9052,178517
2020-04-16 17:30:00,22.9001,22.93,22.83,22.85,273441
2020-04-16 17:35:00,22.8466,22.86,22.75,22.77,415098
2020-04-16 17:40:00,22.7634,22.8799,22.76,22.85,322267
2020-04-16 17:45:00,22.84,22.86,22.78,22.805,282556
2020-04-16 17:50:00,22.8099,22.8397,22.76,22.78,230484
2020-04-16 17:55:00,22.785,22.83,22.7186,22.74,439886
2020-04-16 18:00:00,22.74,22.79,22.7,22.77,266252
2020-04-16 18:05:00,22.775,22.95,22.76,22.9299,433168
2020-04-16 18:10:00,22.93,22.94,22.85,22.9,335897
2020-04-16 18:15:00,22.91,22.96,22.8898,22.9167,368107
2020-04-16 18:20:00,22.917,22.9499,22.86,22.885,319261
2020-04-16 18:25:00,22.88,22.96,22.87,22.9171,358153
2020-04-16 18:30:00,22.92,22.925,22.825,22.845,339118
2020-04-16 18:35:00,22.85,22.955,22.845,22.9,347064
2020-04-16 18:40:00,22.9,22.9386,22.82,22.865,232233
2020-04-16 18:45:00,22.86,22.88,22.77,22.77,409934
2020-04-16 18:50:00,22.77,22.8194,22.72,22.7987,420423
2020-04-16 18:55:00,22.7937,22.86,22.7753,22.825,253513
