datetime,open,high,low,close,volume
2020-04-16 08:00:00,6.4,6.4,6.4,6.4,633
2020-04-16 08:15:00,6.39,6.39,6.38,6.38,2201
2020-04-16 08:30:00,6.37,6.37,6.37,6.37,800
2020-04-16 09:00:00,6.33,6.33,6.29,6.29,600
2020-04-16 09:50:00,6.29,6.29,6.29,6.29,800
2020-04-16 10:00:00,6.27,6.27,6.27,6.27,1000
2020-04-16 10:10:00,6.26,6.26,6.26,6.26,100
2020-04-16 10:15:00,6.27,6.27,6.27,6.27,100
2020-04-16 10:30:00,6.25,6.25,6.25,6.25,4000
2020-04-16 10:35:00,6.23,6.23,6.23,6.23,100
2020-04-16 11:00:00,6.26,6.26,6.26,6.26,4660
2020-04-16 11:05:00,6.24,6.24,6.24,6.24,1500
2020-04-16 11:20:00,6.25,6.25,6.25,6.25,3000
2020-04-16 11:25:00,6.26,6.26,6.26,6.26,1000
2020-04-16 11:30:00,6.27,6.27,6.27,6.27,1000
2020-04-16 11:40:00,6.23,6.23,6.23,6.23,200
2020-04-16 11:45:00,6.23,6.23,6.23,6.23,100
2020-04-16 12:00:00,6.22,6.22,6.22,6.22,1000
2020-04-16 12:25:00,6.19,6.19,6.19,6.19,988
2020-04-16 12:55:00,6.25,6.25,6.24,6.24,4440
2020-04-16 13:00:00,6.25,6.25,6.25,6.25,1000
2020-04-16 13:20:00,6.25,6.25,6.25,6.25,2500
2020-04-16 13:25:00,6.23,6.24,6.23,6.24,2250
2020-04-16 13:30:00,6.24,6.25,6.21,6.21,64885
2020-04-16 13:35:00,6.2,6.21,6.18,6.185,50942
2020-04-16 13:40:00,6.185,6.2,6.17,6.195,56693
2020-04-16 13:45:00,6.2,6.21,6.18,6.18,44443
2020-04-16 13:50:00,6.1899,6.1899,6.1412,6.15,128795
2020-04-16 13:55:00,6.15,6.16,6.12,6.13,55893
2020-04-16 14:00:00,6.14,6.16,6.12,6.12,47473
2020-04-16 14:05:00,6.13,6.15,6.12,6.135,45397
2020-04-16 14:10:00,6.1399,6.1399,6.11,6.1255,19019
2020-04-16 14:15:00,6.13,6.1557,6.13,6.145,34894
2020-04-16 14:20:00,6.14,6.18,6.13,6.18,35269
2020-04-16 14:25:00,6.17,6.18,6.16,6.175,78609
2020-04-16 14:30:00,6.17,6.19,6.15,6.16,59979
2020-04-16 14:35:00,6.16,6.17,6.15,6.1606,14157
2020-04-16 14:40:00,6.16,6.19,6.16,6.19,38741
2020-04-16 14:45:00,6.18,6.21,6.17,6.2,45190
2020-04-16 14:50:00,6.2,6.205,6.18,6.19,30962
2020-04-16 14:55:00,6.185,6.2,6.18,6.19,14650
2020-04-16 15:00:00,6.19,6.22,6.1898,6.22,69106
2020-04-16 15:05:00,6.22,6.25,6.215,6.2401,49850
2020-04-16 15:10:00,6.25,6.26,6.24,6.245,27441
2020-04-16 15:15:00,6.2425,6.2425,6.22,6.23,21668
2020-04-16 15:20:00,6.23,6.2392,6.21,6.215,17961
2020-04-16 15:25:00,6.215,6.22,6.2,6.21,32064
2020-04-16 15:30:00,6.21,6.22,6.195,6.195,23584
2020-04-16 15:35:00,6.19,6.205,6.19,6.205,32910
2020-04-16 15:40:00,6.205,6.225,6.2,6.225,26145
2020-04-16 15:45:00,6.225,6.23,6.22,6.23,7028
2020-04-16 15:50:00,6.23,6.23,6.22,6.23,22482
2020-04-16 15:55:00,6.225,6.23,6.22,6.23,7515
2020-04-16 16:00:00,6.23,6.25,6.22,6.23,137420
2020-04-16 16:05:00,6.23,6.23,6.22,6.22,12853
2020-04-16 16:10:00,6.22,6.235,6.21,6.23,39598
2020-04-16 16:15:00,6.235,6.24,6.22,6.225,5239
2020-04-16 16:20:00,6.225,6.2255,6.22,6.2255,7624
2020-04-16 16:25:00,6.225,6.23,6.22,6.225,10489
