datetime,open,high,low,close,volume
2020-04-16 12:10:00,35.4835,35.4835,35.4835,35.4835,100
2020-04-16 12:15:00,35.4795,35.4795,35.4795,35.4795,100
2020-04-16 12:20:00,35.98,35.98,35.98,35.98,100
2020-04-16 13:05:00,35.89,35.89,35.89,35.89,100
2020-04-16 13:10:00,35.89,35.89,35.89,35.89,150
2020-04-16 13:15:00,35.75,35.75,35.75,35.75,100
2020-04-16 13:30:00,35.63,35.75,35.12,35.13,111019
2020-04-16 13:35:00,35.17,35.27,35.04,35.135,40046
2020-04-16 13:40:00,35.15,35.28,35.07,35.2,34660
2020-04-16 13:45:00,35.19,35.215,35.05,35.12,49179
2020-04-16 13:50:00,35.09,35.12,34.94,34.99,128833
2020-04-16 13:55:00,34.99,35.11,34.96,35.0207,119399
2020-04-16 14:00:00,35.03,35.14,34.9,35.09,115196
2020-04-16 14:05:00,35.09,35.17,35.05,35.07,96671
2020-04-16 14:10:00,35.075,35.08,34.83,34.86,62865
2020-04-16 14:15:00,34.89,34.99,34.85,34.86,45884
2020-04-16 14:20:00,34.86,35.1,34.85,35.06,180364
2020-04-16 14:25:00,35.06,35.35,35.03,35.35,16036
2020-04-16 14:30:00,35.335,35.42,35.26,35.33,19743
2020-04-16 14:35:00,35.34,35.51,35.285,35.44,26782
2020-04-16 14:40:00,35.42,35.68,35.4,35.6,25676
2020-04-16 14:45:00,35.57,35.65,35.482,35.57,32358
2020-04-16 14:50:00,35.57,35.63,35.51,35.62,23983
2020-04-16 14:55:00,35.64,35.86,35.62,35.835,32242
2020-04-16 15:00:00,35.83,35.83,35.66,35.68,119221
2020-04-16 15:05:00,35.69,35.9181,35.69,35.82,32033
2020-04-16 15:10:00,35.81,35.85,35.69,35.72,103156
2020-04-16 15:15:00,35.74,35.85,35.73,35.85,36304
2020-04-16 15:20:00,35.9,35.93,35.49,35.51,69789
2020-04-16 15:25:00,35.5,35.59,35.3362,35.35,113236
2020-04-16 15:30:00,35.33,35.375,35.22,35.25,23145
2020-04-16 15:35:00,35.26,35.35,35.23,35.35,35200
2020-04-16 15:40:00,35.37,35.47,35.3499,35.3499,18749
2020-04-16 15:45:00,35.35,35.43,35.2983,35.43,20874
2020-04-16 15:50:00,35.41,35.6,35.37,35.59,38557
2020-04-16 15:55:00,35.5801,35.5801,35.42,35.45,72140
2020-04-16 16:00:00,35.45,35.485,35.26,35.31,66293
2020-04-16 16:05:00,35.3,35.34,35.22,35.26,27606
2020-04-16 16:10:00,35.27,35.385,35.255,35.3571,107206
2020-04-16 16:15:00,35.35,35.38,35.23,35.2404,89546
2020-04-16 16:20:00,35.24,35.3407,35.22,35.28,24566
2020-04-16 16:25:00,35.275,35.4,35.25,35.3,30351
2020-04-16 16:30:00,35.29,35.31,35.2282,35.265,40804
2020-04-16 16:35:00,35.29,35.34,35.26,35.34,26330
2020-04-16 16:40:00,35.33,35.36,35.3,35.315,61085
2020-04-16 16:45:00,35.31,35.34,35.3,35.31,20408
2020-04-16 16:50:00,35.305,35.34,35.285,35.31,26660
2020-04-16 16:55:00,35.3,35.39,35.265,35.39,79102
2020-04-16 17:00:00,35.37,35.49,35.36,35.47,27348
2020-04-16 17:05:00,35.48,35.555,35.475,35.495,32020
2020-04-16 17:10:00,35.496,35.58,35.47,35.54,22974
2020-04-16 17:15:00,35.54,35.57,35.46,35.55,90543
2020-04-16 17:20:00,35.545,35.575,35.485,35.525,20936
2020-04-16 17:25:00,35.52,35.55,35.45,35.55,341916
2020-04-16 17:30:00,35.5786,35.65,35.53,35.63,14115
2020-04-16 17:35:00,35.64,35.7,35.61,35.6106,26216
2020-04-16 17:40:00,35.61,35.69,35.58,35.67,13360
2020-04-16 17:45:00,35.66,35.73,35.65,35.65,13997
2020-04-16 17:50:00,35.65,35.67,35.56,35.59,15023
2020-04-16 17:55:00,35.6,35.65,35.56,35.59,25089
