datetime,open,high,low,close,volume
2020-04-16 11:00:00,40.49,40.49,40.49,40.49,100
2020-04-16 12:30:00,40.75,40.75,40.75,40.75,425
2020-04-16 13:05:00,41.1,41.1,41.1,41.1,300
2020-04-16 13:25:00,41.08,41.1,41.08,41.1,1154
2020-04-16 13:30:00,40.74,41.019,40.67,40.69,32253
2020-04-16 13:35:00,40.6591,40.6591,40.19,40.19,28560
2020-04-16 13:40:00,40.195,40.5237,40.13,40.2,26818
2020-04-16 13:45:00,40.33,40.39,40.07,40.34,13664
2020-04-16 13:50:00,40.36,40.45,40.09,40.17,14856
2020-04-16 13:55:00,40.18,40.51,40.09,40.42,28322
2020-04-16 14:00:00,40.38,40.4,39.87,39.94,28313
2020-04-16 14:05:00,39.94,40.1,39.94,40.03,21928
2020-04-16 14:10:00,40.03,40.07,39.96,40.0321,17767
2020-04-16 14:15:00,40.07,40.13,40.01,40.07,11027
2020-04-16 14:20:00,40.03,40.17,40.02,40.09,8686
2020-04-16 14:25:00,40.14,40.22,40.07,40.22,8843
2020-04-16 14:30:00,40.18,40.38,40.14,40.3,8051
2020-04-16 14:35:00,40.33,40.38,40.08,40.13,10486
2020-04-16 14:40:00,40.22,40.44,40.22,40.4,10750
2020-04-16 14:45:00,40.39,40.6728,40.3,40.59,21543
2020-04-16 14:50:00,40.56,40.685,40.47,40.55,6365
2020-04-16 14:55:00,40.51,40.825,40.5,40.7,8071
2020-04-16 15:00:00,40.7,40.72,40.58,40.63,4552
2020-04-16 15:05:00,40.647,40.68,40.58,40.6,3772
2020-04-16 15:10:00,40.58,40.67,40.49,40.53,5768
2020-04-16 15:15:00,40.54,40.57,40.48,40.545,8062
2020-04-16 15:20:00,40.545,40.81,40.53,40.81,10382
2020-04-16 15:25:00,40.81,40.9793,40.75,40.94,12190
2020-04-16 15:30:00,40.98,40.98,40.77,40.78,11051
2020-04-16 15:35:00,40.77,40.91,40.71,40.88,11937
2020-04-16 15:40:00,40.91,41.19,40.91,41.04,11071
2020-04-16 15:45:00,41.08,41.08,40.75,40.79,5987
2020-04-16 15:50:00,40.73,40.96,40.73,40.94,5646
2020-04-16 15:55:00,40.93,40.97,40.82,40.85,5376
2020-04-16 16:00:00,40.85,40.85,40.525,40.56,6820
2020-04-16 16:05:00,40.55,40.63,40.52,40.58,7786
2020-04-16 16:10:00,40.56,40.6899,40.56,40.67,12284
2020-04-16 16:15:00,40.64,40.64,40.45,40.475,13589
2020-04-16 16:20:00,40.42,40.4795,40.29,40.375,9463
2020-04-16 16:25:00,40.37,40.41,40.29,40.38,5730
2020-04-16 16:30:00,40.35,40.3556,40.28,40.3,8454
2020-04-16 16:35:00,40.34,40.37,40.29,40.35,4809
2020-04-16 16:40:00,40.36,40.47,40.32,40.42,10108
2020-04-16 16:45:00,40.44,40.48,40.39,40.44,1828
2020-04-16 16:50:00,40.43,40.46,40.36,40.4476,7228
2020-04-16 16:55:00,40.43,40.57,40.4,40.5675,8685
