datetime,open,high,low,close,volume
2020-04-16 12:05:00,28.2579,28.2579,28.2579,28.2579,175
2020-04-16 12:20:00,28.26,28.26,28.25,28.25,974
2020-04-16 13:30:00,28.4,28.77,28.4,28.58,151991
2020-04-16 13:35:00,28.59,28.63,28.46,28.477,111533
2020-04-16 13:40:00,28.475,28.66,28.45,28.57,63005
2020-04-16 13:45:00,28.59,28.6,28.45,28.49,40488
2020-04-16 13:50:00,28.49,28.505,28.42,28.47,212935
2020-04-16 13:55:00,28.47,28.5,28.33,28.34,44258
2020-04-16 14:00:00,28.34,28.44,28.34,28.3934,58660
2020-04-16 14:05:00,28.4,28.51,28.36,28.45,66589
2020-04-16 14:10:00,28.44,28.5,28.41,28.47,46831
2020-04-16 14:15:00,28.48,28.51,28.413,28.413,161980
2020-04-16 14:20:00,28.41,28.51,28.39,28.485,96537
2020-04-16 14:25:00,28.49,28.51,28.47,28.51,305895
2020-04-16 14:30:00,28.51,28.56,28.49,28.55,77711
2020-04-16 14:35:00,28.55,28.57,28.49,28.49,35319
2020-04-16 14:40:00,28.5,28.58,28.45,28.58,341919
2020-04-16 14:45:00,28.57,28.62,28.535,28.61,49210
2020-04-16 14:50:00,28.6199,28.6199,28.55,28.585,43659
2020-04-16 14:55:00,28.58,28.7212,28.58,28.71,33863
2020-04-16 15:00:00,28.72,28.8772,28.7,28.865,48385
2020-04-16 15:05:00,28.87,28.97,28.87,28.9155,59220
2020-04-16 15:10:00,28.92,28.93,28.78,28.82,45362
2020-04-16 15:15:00,28.82,28.91,28.81,28.83,67267
2020-04-16 15:20:00,28.84,28.8403,28.745,28.78,36176
2020-04-16 15:25:00,28.78,28.82,28.72,28.72,27381
2020-04-16 15:30:00,28.71,28.74,28.62,28.63,36742
2020-04-16 15:35:00,28.63,28.69,28.61,28.67,21800
2020-04-16 15:40:00,28.67,28.71,28.63,28.64,79107
2020-04-16 15:45:00,28.65,28.72,28.64,28.72,25067
2020-04-16 15:50:00,28.72,28.9,28.72,28.9,26975
2020-04-16 15:55:00,28.9,28.91,28.855,28.86,57187
2020-04-16 16:00:00,28.86,28.89,28.84,28.8637,42806
2020-04-16 16:05:00,28.86,28.89,28.79,28.805,49313
2020-04-16 16:10:00,28.8,28.81,28.73,28.73,20487
2020-04-16 16:15:00,28.735,28.74,28.65,28.66,30914
2020-04-16 16:20:00,28.66,28.7,28.62,28.67,29703
