datetime,open,high,low,close,volume
2020-04-16 08:10:00,12.05,12.05,12.05,12.05,100
2020-04-16 08:15:00,12.04,12.04,12.04,12.04,300
2020-04-16 08:20:00,12.07,12.07,12.05,12.07,1763
2020-04-16 08:30:00,12.06,12.06,12.05,12.05,200
2020-04-16 08:35:00,12.1,12.1,12.1,12.1,100
2020-04-16 08:40:00,12.12,12.12,12.12,12.12,100
2020-04-16 08:55:00,12.03,12.03,12.01,12.01,500
2020-04-16 09:00:00,11.94,11.94,11.94,11.94,100
2020-04-16 09:10:00,11.96,11.96,11.96,11.96,200
2020-04-16 09:15:00,11.99,12.0,11.99,12.0,300
2020-04-16 09:25:00,11.95,11.97,11.95,11.97,20000
2020-04-16 10:10:00,12.04,12.04,12.04,12.04,5785
2020-04-16 12:00:00,12.08,12.09,12.08,12.08,2550
2020-04-16 12:05:00,12.09,12.09,12.04,12.04,4700
2020-04-16 12:10:00,12.04,12.07,12.04,12.05,5500
2020-04-16 12:15:00,12.05,12.05,12.04,12.04,2650
2020-04-16 12:20:00,12.02,12.05,12.02,12.05,6350
2020-04-16 12:30:00,12.04,12.05,12.02,12.05,5800
2020-04-16 12:35:00,12.04,12.06,12.04,12.05,2650
2020-04-16 12:40:00,12.06,12.06,12.06,12.06,850
2020-04-16 12:45:00,12.06,12.06,12.04,12.04,1500
2020-04-16 12:50:00,12.05,12.05,12.03,12.03,3200
2020-04-16 12:55:00,12.04,12.05,12.04,12.05,1850
2020-04-16 13:00:00,12.06,12.06,12.04,12.04,1957
2020-04-16 13:05:00,12.06,12.08,12.03,12.03,2530
2020-04-16 13:10:00,12.04,12.04,12.0,12.0,3211
2020-04-16 13:15:00,12.01,12.01,11.98,11.99,7650
2020-04-16 13:20:00,11.99,11.99,11.97,11.98,2500
2020-04-16 13:25:00,11.99,11.99,11.99,11.99,1850
2020-04-16 13:30:00,11.98,12.01,11.931,11.931,110934
2020-04-16 13:35:00,11.94,11.94,11.905,11.915,55513
2020-04-16 13:40:00,11.91,12.01,11.91,12.0,162731
2020-04-16 13:45:00,11.98,11.99,11.92,11.94,42667
2020-04-16 13:50:00,11.94,11.96,11.92,11.92,24770
2020-04-16 13:55:00,11.91,11.94,11.87,11.87,36494
2020-04-16 14:00:00,11.88,11.92,11.86,11.86,40871
2020-04-16 14:05:00,11.85,11.87,11.835,11.8605,41335
2020-04-16 14:10:00,11.86,11.86,11.78,11.8,26969
2020-04-16 14:15:00,11.795,11.86,11.785,11.85,83211
2020-04-16 14:20:00,11.85,11.87,11.82,11.835,199689
2020-04-16 14:25:00,11.83,11.89,11.82,11.89,48005
2020-04-16 14:30:00,11.895,11.92,11.84,11.86,28231
2020-04-16 14:35:00,11.87,11.88,11.81,11.83,53510
2020-04-16 14:40:00,11.83,11.885,11.8,11.85,35808
2020-04-16 14:45:00,11.85,11.855,11.8,11.805,42049
2020-04-16 14:50:00,11.8,11.81,11.775,11.805,33795
2020-04-16 14:55:00,11.8,11.85,11.795,11.84,31414
2020-04-16 15:00:00,11.84,11.92,11.83,11.91,54655
2020-04-16 15:05:00,11.9,11.955,11.9,11.93,33333
2020-04-16 15:10:00,11.92,11.94,11.905,11.92,24617
2020-04-16 15:15:00,11.93,11.955,11.9,11.95,47984
2020-04-16 15:20:00,11.949,11.955,11.885,11.89,20463
2020-04-16 15:25:00,11.9,11.925,11.88,11.89,42332
2020-04-16 15:30:00,11.895,11.905,11.82,11.82,28243
2020-04-16 15:35:00,11.81,11.84,11.8088,11.83,11899
2020-04-16 15:40:00,11.84,11.875,11.815,11.83,15901
2020-04-16 15:45:00,11.83,11.8675,11.83,11.86,18151
2020-04-16 15:50:00,11.865,11.94,11.865,11.94,22744
2020-04-16 15:55:00,11.94,11.955,11.925,11.94,30370
2020-04-16 16:00:00,11.945,11.995,11.94,11.99,78979
2020-04-16 16:05:00,11.99,11.99,11.955,11.955,78737
2020-04-16 16:10:00,11.96,11.985,11.96,11.975,77534
2020-04-16 16:15:00,11.97,11.99,11.95,11.95,110083
2020-04-16 16:20:00,11.945,11.95,11.9,11.905,21584
2020-04-16 16:25:00,11.905,11.915,11.88,11.905,46097
2020-04-16 16:30:00,11.905,11.905,11.83,11.845,26490
2020-04-16 16:35:00,11.845,11.86,11.82,11.845,55107
2020-04-16 16:40:00,11.84,11.865,11.825,11.83,22480
2020-04-16 16:45:00,11.82,11.82,11.81,11.815,2957
2020-04-16 16:50:00,11.815,11.825,11.805,11.81,26407
2020-04-16 16:55:00,11.8059,11.83,11.8,11.815,8939
2020-04-16 17:00:00,11.81,11.83,11.81,11.825,7775
2020-04-16 17:05:00,11.825,11.835,11.81,11.815,12300
2020-04-16 17:10:00,11.8176,11.835,11.81,11.835,34259
2020-04-16 17:15:00,11.83,11.84,11.805,11.815,10864
2020-04-16 17:20:00,11.82,11.825,11.805,11.81,7620
2020-04-16 17:25:00,11.81,11.84,11.805,11.84,10582
2020-04-16 17:30:00,11.85,11.88,11.85,11.87,23567
2020-04-16 17:35:00,11.88,11.88,11.845,11.845,36927
2020-04-16 17:40:00,11.835,11.85,11.82,11.845,7627
2020-04-16 17:45:00,11.8416,11.86,11.825,11.83,30167
2020-04-16 17:50:00,11.82,11.83,11.81,11.82,8116
2020-04-16 17:55:00,11.82,11.86,11.82,11.85,30750
2020-04-16 18:00:00,11.86,11.895,11.835,11.89,96427
2020-04-16 18:05:00,11.89,11.925,11.86,11.92,20504
2020-04-16 18:10:00,11.92,11.92,11.885,11.905,16085
2020-04-16 18:15:00,11.91,11.9359,11.905,11.935,41269
2020-04-16 18:20:00,11.94,11.96,11.915,11.95,49864
2020-04-16 18:25:00,11.95,11.975,11.935,11.935,68006
2020-04-16 18:30:00,11.93,11.935,11.91,11.935,30207
2020-04-16 18:35:00,11.94,11.95,11.91,11.92,16528
2020-04-16 18:40:00,11.92,11.93,11.89,11.905,15661
2020-04-16 18:45:00,11.91,11.91,11.88,11.88,10646
2020-04-16 18:50:00,11.89,11.89,11.87,11.88,20207
2020-04-16 18:55:00,11.885,11.9,11.87,11.87,21840
2020-04-16 19:00:00,11.875,11.88,11.86,11.865,14945
2020-04-16 19:05:00,11.865,11.87,11.85,11.855,9971
2020-04-16 19:10:00,11.86,11.865,11.845,11.86,20625
2020-04-16 19:15:00,11.86,11.88,11.845,11.865,11869
2020-04-16 19:20:00,11.86,11.87,11.85,11.8619,14952
2020-04-16 19:25:00,11.86,11.89,11.85,11.88,20092
2020-04-16 19:30:00,11.875,11.9,11.865,11.87,21459
2020-04-16 19:35:00,11.875,11.88,11.86,11.875,26459
2020-04-16 19:40:00,11.875,11.89,11.87,11.875,45359
2020-04-16 19:45:00,11.875,11.88,11.86,11.86,39667
2020-04-16 19:50:00,11.86,11.925,11.86,11.915,107587
2020-04-16 19:55:00,11.915,11.915,11.86,11.86,90113
2020-04-16 20:00:00,11.86,11.86,11.86,11.86,54153
2020-04-16 22:15:00,12.12,12.12,12.12,12.12,1000
2020-04-16 22:45:00,12.31,12.31,12.31,12.31,405
2020-04-16 22:55:00,12.3,12.31,12.3,12.31,410
2020-04-16 23:35:00,11.85,11.85,11.85,11.85,100
2020-04-17 08:00:00,11.98,11.98,11.98,11.98,3400
2020-04-17 08:10:00,11.95,11.95,11.95,11.95,2600
2020-04-17 10:05:00,11.99,11.99,11.99,11.99,800
2020-04-17 10:15:00,12.06,12.06,12.06,12.06,250
2020-04-17 12:15:00,12.19,12.19,12.19,12.19,100
2020-04-17 12:30:00,12.18,12.18,12.18,12.18,100
2020-04-17 13:00:00,12.23,12.23,12.23,12.23,1600
2020-04-17 13:10:00,12.22,12.22,12.22,12.22,1500
2020-04-17 13:25:00,12.24,12.25,12.24,12.25,8624
2020-04-17 13:30:00,12.25,12.33,12.22,12.32,141512
2020-04-17 13:35:00,12.33,12.35,12.28,12.315,87550
2020-04-17 13:40:00,12.325,12.385,12.28,12.385,55499
2020-04-17 13:45:00,12.385,12.41,12.38,12.39,58820
2020-04-17 13:50:00,12.385,12.42,12.37,12.4,33954
2020-04-17 13:55:00,12.41,12.49,12.41,12.48,71680
2020-04-17 14:00:00,12.475,12.535,12.455,12.51,79729
2020-04-17 14:05:00,12.51,12.565,12.505,12.55,56406
2020-04-17 14:10:00,12.55,12.56,12.48,12.49,99278
2020-04-17 14:15:00,12.49,12.5,12.44,12.475,42757
2020-04-17 14:20:00,12.47,12.53,12.455,12.5,257721
2020-04-17 14:25:00,12.49,12.555,12.49,12.53,26383
2020-04-17 14:30:00,12.52,12.53,12.435,12.445,28292
2020-04-17 14:35:00,12.435,12.465,12.41,12.465,47582
2020-04-17 14:40:00,12.465,12.535,12.465,12.48,24519
2020-04-17 14:45:00,12.485,12.49,12.41,12.41,41616
2020-04-17 14:50:00,12.42,12.48,12.42,12.48,14993
2020-04-17 14:55:00,12.49,12.54,12.49,12.49,23699
2020-04-17 15:00:00,12.48,12.545,12.47,12.515,22570
2020-04-17 15:05:00,12.51,12.535,12.49,12.535,10243
2020-04-17 15:10:00,12.535,12.535,12.5101,12.53,19515
2020-04-17 15:15:00,12.53,12.55,12.525,12.545,38724
2020-04-17 15:20:00,12.54,12.56,12.49,12.54,33181
2020-04-17 15:25:00,12.53,12.56,12.515,12.545,9715
2020-04-17 15:30:00,12.55,12.6,12.54,12.6,51688
2020-04-17 15:35:00,12.6,12.65,12.6,12.6232,26670
2020-04-17 15:40:00,12.62,12.645,12.6,12.6,9717
2020-04-17 15:45:00,12.6,12.62,12.59,12.6,7508
2020-04-17 15:50:00,12.59,12.6,12.565,12.5772,12342
2020-04-17 15:55:00,12.58,12.635,12.561,12.635,23652
2020-04-17 16:00:00,12.635,12.65,12.615,12.64,58428
2020-04-17 16:05:00,12.6401,12.69,12.64,12.67,37876
2020-04-17 16:10:00,12.67,12.685,12.66,12.685,29737
2020-04-17 16:15:00,12.685,12.73,12.685,12.73,36034
2020-04-17 16:20:00,12.73,12.74,12.68,12.68,53622
2020-04-17 16:25:00,12.67,12.68,12.655,12.68,16749
2020-04-17 16:30:00,12.68,12.705,12.67,12.705,28788
2020-04-17 16:35:00,12.705,12.73,12.7,12.725,48306
2020-04-17 16:40:00,12.72,12.81,12.72,12.805,132961
2020-04-17 16:45:00,12.8,12.835,12.79,12.83,74637
2020-04-17 16:50:00,12.83,12.835,12.8,12.805,45226
2020-04-17 16:55:00,12.8,12.805,12.77,12.8,33664
2020-04-17 17:00:00,12.81,12.83,12.79,12.795,74914
2020-04-17 17:05:00,12.79,12.795,12.76,12.77,31903
2020-04-17 17:10:00,12.775,12.81,12.77,12.81,28102
2020-04-17 17:15:00,12.81,12.86,12.81,12.855,48293
2020-04-17 17:20:00,12.855,12.8561,12.8,12.805,38392
2020-04-17 17:25:00,12.805,12.845,12.805,12.835,21418
2020-04-17 17:30:00,12.82,12.8289,12.8,12.815,31094
2020-04-17 17:35:00,12.82,12.87,12.82,12.87,46945
2020-04-17 17:40:00,12.87,12.87,12.82,12.85,61887
2020-04-17 17:45:00,12.85,12.85,12.78,12.785,89308
2020-04-17 17:50:00,12.78,12.81,12.76,12.795,47862
2020-04-17 17:55:00,12.7956,12.83,12.79,12.8,22892
2020-04-17 18:00:00,12.79,12.795,12.74,12.75,25611
2020-04-17 18:05:00,12.7475,12.7582,12.73,12.74,19325
2020-04-17 18:10:00,12.73,12.73,12.67,12.69,23614
2020-04-17 18:15:00,12.69,12.705,12.67,12.705,29172
2020-04-17 18:20:00,12.7,12.735,12.69,12.71,39611
2020-04-17 18:25:00,12.71,12.745,12.7,12.74,23417
2020-04-17 18:30:00,12.74,12.74,12.71,12.73,14231
2020-04-17 18:35:00,12.73,12.735,12.7,12.725,12782
2020-04-17 18:40:00,12.725,12.73,12.71,12.725,20454
2020-04-17 18:45:00,12.73,12.74,12.72,12.735,13859
2020-04-17 18:50:00,12.73,12.735,12.68,12.68,40902
2020-04-17 18:55:00,12.685,12.725,12.685,12.72,18694
2020-04-17 19:00:00,12.725,12.755,12.7,12.75,24717
2020-04-17 19:05:00,12.755,12.77,12.75,12.765,15505
2020-04-17 19:10:00,12.77,12.775,12.745,12.755,27608
2020-04-17 19:15:00,12.755,12.78,12.75,12.78,35188
2020-04-17 19:20:00,12.78,12.79,12.76,12.765,36635
2020-04-17 19:25:00,12.77,12.81,12.77,12.805,274574
2020-04-17 19:30:00,12.81,12.85,12.795,12.81,148726
2020-04-17 19:35:00,12.81,12.84,12.78,12.835,92354
2020-04-17 19:40:00,12.83,12.88,12.83,12.87,89377
2020-04-17 19:45:00,12.87,12.95,12.865,12.95,114918
2020-04-17 19:50:00,12.95,13.03,12.95,13.03,159804
2020-04-17 19:55:00,13.03,13.04,13.01,13.03,256986
2020-04-17 20:00:00,13.04,13.04,13.03,13.03,44111
2020-04-17 20:30:00,13.02,13.02,13.02,13.02,700
2020-04-17 21:55:00,13.0,13.0,13.0,13.0,102
2020-04-17 23:40:00,13.0,13.0,13.0,13.0,500
2020-04-20 08:00:00,12.69,12.69,12.69,12.69,200
2020-04-20 08:05:00,12.7,12.7,12.69,12.7,4557
2020-04-20 08:10:00,12.68,12.68,12.68,12.68,800
2020-04-20 08:35:00,12.53,12.53,12.51,12.51,1800
2020-04-20 08:40:00,12.56,12.56,12.56,12.56,2493
2020-04-20 09:00:00,12.62,12.62,12.62,12.62,1400
2020-04-20 10:45:00,12.43,12.43,12.43,12.43,4300
2020-04-20 11:10:00,12.35,12.37,12.35,12.35,14200
2020-04-20 11:15:00,12.3,12.3,12.3,12.3,950
2020-04-20 11:45:00,12.3,12.3,12.3,12.3,3000
2020-04-20 12:20:00,12.33,12.33,12.31,12.31,600
2020-04-20 12:40:00,12.32,12.32,12.32,12.32,700
2020-04-20 13:00:00,12.3,12.3,12.3,12.3,72560
2020-04-20 13:05:00,12.2654,12.2654,12.2654,12.2654,125600
2020-04-20 13:10:00,12.34,12.34,12.34,12.34,1348
