datetime,open,high,low,close,volume
2020-04-16 08:05:00,8.21,8.21,8.21,8.21,100
2020-04-16 08:10:00,8.22,8.22,8.22,8.22,9850
2020-04-16 10:45:00,8.27,8.27,8.27,8.27,1000
2020-04-16 10:50:00,8.27,8.27,8.27,8.27,1500
2020-04-16 11:00:00,8.25,8.25,8.25,8.25,234
2020-04-16 11:05:00,8.25,8.26,8.25,8.26,400
2020-04-16 11:10:00,8.27,8.27,8.27,8.27,600
2020-04-16 11:30:00,8.29,8.29,8.29,8.29,200
2020-04-16 11:50:00,8.25,8.25,8.25,8.25,136
2020-04-16 11:55:00,8.24,8.24,8.24,8.24,1864
2020-04-16 12:10:00,8.27,8.27,8.27,8.27,100
2020-04-16 12:40:00,8.28,8.28,8.28,8.28,2500
2020-04-16 12:45:00,8.28,8.29,8.28,8.29,237
2020-04-16 12:50:00,8.28,8.28,8.28,8.28,900
2020-04-16 12:55:00,8.27,8.28,8.27,8.28,300
2020-04-16 13:05:00,8.28,8.28,8.28,8.28,250
2020-04-16 13:10:00,8.25,8.25,8.25,8.25,495
2020-04-16 13:15:00,8.27,8.27,8.26,8.26,350
2020-04-16 13:20:00,8.25,8.27,8.25,8.25,1200
2020-04-16 13:25:00,8.25,8.25,8.24,8.24,10616
2020-04-16 13:30:00,8.26,8.2795,8.24,8.25,180445
2020-04-16 13:35:00,8.24,8.245,8.22,8.24,67281
2020-04-16 13:40:00,8.235,8.255,8.22,8.24,59226
2020-04-16 13:45:00,8.235,8.26,8.215,8.215,75565
2020-04-16 13:50:00,8.217,8.2208,8.205,8.2208,57029
2020-04-16 13:55:00,8.23,8.24,8.2,8.2,48436
2020-04-16 14:00:00,8.2066,8.21,8.175,8.175,56432
2020-04-16 14:05:00,8.175,8.1999,8.17,8.17,60247
2020-04-16 14:10:00,8.17,8.17,8.15,8.16,62200
2020-04-16 14:15:00,8.16,8.1992,8.15,8.18,91865
2020-04-16 14:20:00,8.17,8.21,8.17,8.205,74554
2020-04-16 14:25:00,8.205,8.255,8.19,8.24,310187
2020-04-16 14:30:00,8.23,8.29,8.23,8.29,1667832
2020-04-16 14:35:00,8.295,8.35,8.29,8.29,352529
2020-04-16 14:40:00,8.29,8.3699,8.285,8.365,177342
2020-04-16 14:45:00,8.36,8.3957,8.35,8.39,145573
2020-04-16 14:50:00,8.385,8.39,8.34,8.375,163915
2020-04-16 14:55:00,8.38,8.39,8.35,8.36,116165
2020-04-16 15:00:00,8.365,8.365,8.32,8.335,70178
2020-04-16 15:05:00,8.34,8.38,8.34,8.35,79407
2020-04-16 15:10:00,8.35,8.36,8.33,8.335,68070
2020-04-16 15:15:00,8.34,8.37,8.325,8.37,96455
2020-04-16 15:20:00,8.365,8.37,8.335,8.35,113817
2020-04-16 15:25:00,8.35,8.36,8.33,8.34,173063
2020-04-16 15:30:00,8.34,8.34,8.305,8.31,37610
2020-04-16 15:35:00,8.3,8.33,8.3,8.33,21783
2020-04-16 15:40:00,8.33,8.35,8.32,8.32,39390
2020-04-16 15:45:00,8.32,8.37,8.32,8.36,392969
2020-04-16 15:50:00,8.36,8.42,8.36,8.41,190201
2020-04-16 15:55:00,8.4123,8.44,8.4123,8.4223,139924
2020-04-16 16:00:00,8.42,8.43,8.39,8.4,44863
2020-04-16 16:05:00,8.4,8.41,8.3619,8.38,67974
2020-04-16 16:10:00,8.37,8.38,8.36,8.36,16480
2020-04-16 16:15:00,8.36,8.36,8.325,8.3399,47048
2020-04-16 16:20:00,8.34,8.35,8.325,8.35,44239
2020-04-16 16:25:00,8.35,8.36,8.335,8.34,156401
2020-04-16 16:30:00,8.3413,8.3413,8.295,8.3,31956
2020-04-16 16:35:00,8.2959,8.31,8.29,8.3025,93508
2020-04-16 16:40:00,8.3078,8.32,8.3,8.32,299935
2020-04-16 16:45:00,8.3198,8.35,8.315,8.345,58829
2020-04-16 16:50:00,8.3401,8.36,8.3401,8.355,16393
2020-04-16 16:55:00,8.35,8.36,8.3401,8.35,38200
2020-04-16 17:00:00,8.35,8.36,8.32,8.325,74359
2020-04-16 17:05:00,8.32,8.33,8.315,8.32,42941
2020-04-16 17:10:00,8.3127,8.34,8.3127,8.3385,62258
2020-04-16 17:15:00,8.34,8.35,8.33,8.34,87057
2020-04-16 17:20:00,8.34,8.34,8.33,8.335,29608
2020-04-16 17:25:00,8.335,8.34,8.33,8.335,34435
2020-04-16 17:30:00,8.335,8.35,8.334,8.345,44882
2020-04-16 17:35:00,8.35,8.35,8.34,8.35,45543
2020-04-16 17:40:00,8.3476,8.35,8.325,8.34,121366
2020-04-16 17:45:00,8.34,8.34,8.32,8.325,57492
2020-04-16 17:50:00,8.32,8.33,8.307,8.33,134839
2020-04-16 17:55:00,8.33,8.33,8.315,8.325,89854
2020-04-16 18:00:00,8.325,8.325,8.3,8.325,54489
2020-04-16 18:05:00,8.33,8.34,8.315,8.335,76111
2020-04-16 18:10:00,8.34,8.34,8.33,8.3309,20914
2020-04-16 18:15:00,8.34,8.3477,8.33,8.335,72598
2020-04-16 18:20:00,8.33,8.34,8.32,8.325,57330
2020-04-16 18:25:00,8.325,8.33,8.32,8.33,66364
2020-04-16 18:30:00,8.325,8.36,8.325,8.345,212531
2020-04-16 18:35:00,8.345,8.3674,8.34,8.35,102901
2020-04-16 18:40:00,8.35,8.3599,8.335,8.345,57100
2020-04-16 18:45:00,8.35,8.35,8.33,8.34,46863
2020-04-16 18:50:00,8.34,8.35,8.3223,8.35,55682
2020-04-16 18:55:00,8.35,8.36,8.345,8.35,51296
2020-04-16 19:00:00,8.35,8.365,8.3499,8.355,73267
2020-04-16 19:05:00,8.355,8.36,8.33,8.345,77004
2020-04-16 19:10:00,8.345,8.35,8.34,8.34,94233
2020-04-16 19:15:00,8.34,8.35,8.33,8.34,58499
2020-04-16 19:20:00,8.345,8.35,8.34,8.3499,30388
2020-04-16 19:25:00,8.345,8.355,8.34,8.355,79308
2020-04-16 19:30:00,8.355,8.37,8.35,8.365,70979
2020-04-16 19:35:00,8.37,8.37,8.355,8.37,150516
2020-04-16 19:40:00,8.37,8.38,8.3626,8.37,112386
2020-04-16 19:45:00,8.37,8.375,8.36,8.365,165414
2020-04-16 19:50:00,8.37,8.38,8.365,8.375,333086
2020-04-16 19:55:00,8.38,8.38,8.37,8.375,539752
2020-04-16 20:00:00,8.37,8.37,8.37,8.37,32457
2020-04-16 20:10:00,8.39,8.5,8.39,8.5,1252
2020-04-16 20:15:00,8.49,8.49,8.49,8.49,100
2020-04-16 20:40:00,8.4,8.4,8.4,8.4,960
2020-04-16 21:00:00,8.3901,8.3901,8.3901,8.3901,450
2020-04-16 21:10:00,8.48,8.48,8.48,8.48,1500
2020-04-16 21:25:00,8.42,8.42,8.42,8.42,400
2020-04-16 21:40:00,8.4,8.4,8.4,8.4,269
2020-04-16 21:45:00,8.39,8.39,8.3609,8.3609,1215
2020-04-16 22:10:00,8.45,8.45,8.45,8.45,472
2020-04-16 23:05:00,8.45,8.45,8.45,8.45,1000
2020-04-16 23:15:00,8.45,8.45,8.45,8.45,457
2020-04-16 23:25:00,8.54,8.58,8.54,8.58,1900
2020-04-16 23:30:00,8.6,8.6,8.6,8.6,1000
2020-04-16 23:45:00,8.6,8.6,8.6,8.6,151
2020-04-16 23:50:00,8.8,8.8,8.8,8.8,250
2020-04-16 23:55:00,8.6,8.6,8.6,8.6,600
2020-04-17 08:00:00,8.53,8.54,8.53,8.54,500
2020-04-17 08:10:00,8.5,8.5,8.5,8.5,200
2020-04-17 08:15:00,8.49,8.49,8.49,8.49,100
2020-04-17 08:25:00,8.49,8.49,8.49,8.49,200
2020-04-17 08:30:00,8.48,8.48,8.48,8.48,300
2020-04-17 08:35:00,8.48,8.48,8.48,8.48,300
2020-04-17 08:50:00,8.49,8.49,8.49,8.49,200
2020-04-17 09:00:00,8.48,8.48,8.48,8.48,200
2020-04-17 09:10:00,8.5,8.5,8.5,8.5,100
2020-04-17 09:15:00,8.5,8.5,8.5,8.5,300
2020-04-17 09:20:00,8.49,8.49,8.49,8.49,200
2020-04-17 09:30:00,8.49,8.49,8.49,8.49,400
2020-04-17 11:30:00,8.6,8.6,8.6,8.6,400
2020-04-17 11:35:00,8.58,8.59,8.56,8.59,57500
2020-04-17 11:50:00,8.57,8.57,8.57,8.57,500
2020-04-17 12:00:00,8.55,8.55,8.54,8.54,295
2020-04-17 12:30:00,8.56,8.56,8.56,8.56,100
2020-04-17 12:35:00,8.54,8.54,8.54,8.54,110
2020-04-17 12:40:00,8.56,8.57,8.56,8.57,5200
2020-04-17 12:45:00,8.57,8.57,8.55,8.55,333
2020-04-17 12:55:00,8.59,8.6,8.59,8.6,679
2020-04-17 13:00:00,8.59,8.59,8.59,8.59,400
2020-04-17 13:10:00,8.56,8.56,8.55,8.55,51875
2020-04-17 13:15:00,8.58,8.59,8.58,8.59,3600
2020-04-17 13:20:00,8.59,8.6,8.59,8.6,800
2020-04-17 13:25:00,8.6,8.6,8.59,8.6,24674
2020-04-17 13:30:00,8.61,8.61,8.565,8.6,313112
2020-04-17 13:35:00,8.59,8.605,8.545,8.565,333356
2020-04-17 13:40:00,8.5656,8.58,8.54,8.58,123993
2020-04-17 13:45:00,8.575,8.63,8.575,8.62,145930
2020-04-17 13:50:00,8.62,8.63,8.6,8.61,141526
2020-04-17 13:55:00,8.6,8.62,8.6,8.61,21501
