datetime,open,high,low,close,volume
2020-04-16 11:00:00,5.9,5.9,5.9,5.9,799
2020-04-16 11:05:00,5.95,5.95,5.92,5.92,3000
2020-04-16 11:35:00,5.96,5.96,5.96,5.96,500
2020-04-16 11:40:00,5.95,5.95,5.95,5.95,500
2020-04-16 11:50:00,5.9,5.9,5.9,5.9,1853
2020-04-16 11:55:00,5.91,5.91,5.91,5.91,100
2020-04-16 12:00:00,5.96,5.9699,5.96,5.9699,1100
2020-04-16 12:05:00,5.97,5.97,5.97,5.97,196
2020-04-16 12:10:00,5.9302,5.96,5.9302,5.96,1925
2020-04-16 12:15:00,5.96,5.96,5.94,5.94,200
2020-04-16 12:20:00,5.92,5.92,5.92,5.92,975
2020-04-16 12:30:00,5.94,5.95,5.94,5.95,8933
2020-04-16 12:35:00,5.95,5.95,5.94,5.95,3901
2020-04-16 12:40:00,5.94,5.95,5.93,5.95,19011
2020-04-16 12:45:00,5.94,5.95,5.94,5.95,10832
2020-04-16 12:50:00,5.9499,5.9499,5.94,5.94,1600
2020-04-16 12:55:00,5.94,5.95,5.94,5.95,4940
2020-04-16 13:00:00,5.94,5.95,5.94,5.95,2650
2020-04-16 13:05:00,5.94,5.94,5.9301,5.94,1200
2020-04-16 13:10:00,5.94,5.95,5.94,5.95,6699
2020-04-16 13:15:00,5.9402,5.97,5.94,5.95,10481
2020-04-16 13:20:00,5.97,5.99,5.94,5.98,33238
2020-04-16 13:25:00,5.9802,5.99,5.92,5.92,21200
2020-04-16 13:30:00,5.88,5.93,5.83,5.8318,604522
2020-04-16 13:35:00,5.83,5.85,5.77,5.8,453511
2020-04-16 13:40:00,5.805,5.8658,5.8,5.84,284164
2020-04-16 13:45:00,5.85,5.85,5.8,5.82,252850
2020-04-16 13:50:00,5.815,5.82,5.76,5.7699,465699
2020-04-16 13:55:00,5.7777,5.8036,5.71,5.71,365272
2020-04-16 14:00:00,5.71,5.78,5.71,5.73,443754
2020-04-16 14:05:00,5.7354,5.77,5.7301,5.76,165447
2020-04-16 14:10:00,5.76,5.77,5.73,5.735,261409
2020-04-16 14:15:00,5.74,5.77,5.73,5.74,302034
2020-04-16 14:20:00,5.735,5.77,5.72,5.76,237047
2020-04-16 14:25:00,5.76,5.7727,5.73,5.77,273143
2020-04-16 14:30:00,5.77,5.81,5.76,5.79,215599
2020-04-16 14:35:00,5.785,5.83,5.77,5.83,291226
2020-04-16 14:40:00,5.825,5.88,5.82,5.865,259970
2020-04-16 14:45:00,5.865,5.89,5.86,5.87,301337
2020-04-16 14:50:00,5.8776,5.88,5.82,5.82,259827
2020-04-16 14:55:00,5.83,5.88,5.82,5.86,247693
2020-04-16 15:00:00,5.855,5.885,5.85,5.87,301926
2020-04-16 15:05:00,5.87,5.9,5.87,5.9,235995
2020-04-16 15:10:00,5.9,5.9,5.86,5.875,213959
2020-04-16 15:15:00,5.875,5.9,5.875,5.885,266018
2020-04-16 15:20:00,5.88,5.89,5.84,5.84,255693
2020-04-16 15:25:00,5.845,5.86,5.82,5.82,166378
2020-04-16 15:30:00,5.82,5.84,5.8,5.81,217238
2020-04-16 15:35:00,5.81,5.815,5.77,5.8032,301120
2020-04-16 15:40:00,5.805,5.83,5.7936,5.805,159541
2020-04-16 15:45:00,5.81,5.82,5.8,5.815,118695
2020-04-16 15:50:00,5.82,5.85,5.81,5.85,174171
2020-04-16 15:55:00,5.8476,5.85,5.84,5.8499,134749
2020-04-16 16:00:00,5.84,5.85,5.81,5.835,218195
2020-04-16 16:05:00,5.8376,5.845,5.8177,5.8258,195719
2020-04-16 16:10:00,5.83,5.855,5.82,5.8265,139457
2020-04-16 16:15:00,5.825,5.83,5.8,5.8,132334
