datetime,open,high,low,close,volume
2020-04-16 13:30:00,60.38,60.38,59.94,59.94,16828
2020-04-16 13:35:00,59.88,60.31,59.59,60.31,6713
2020-04-16 13:40:00,60.225,60.35,60.0382,60.18,7643
2020-04-16 13:45:00,60.26,60.44,59.87,59.87,5636
2020-04-16 13:50:00,59.94,59.94,59.58,59.78,5305
2020-04-16 13:55:00,59.805,59.89,59.11,59.11,4850
2020-04-16 14:00:00,59.22,59.37,59.1,59.15,5020
2020-04-16 14:05:00,59.17,59.38,59.05,59.05,5883
2020-04-16 14:10:00,59.05,59.225,58.92,59.15,3668
2020-04-16 14:15:00,59.23,59.34,59.13,59.34,3900
2020-04-16 14:20:00,59.34,59.43,59.29,59.38,6150
2020-04-16 14:25:00,59.35,59.46,59.32,59.4,2800
2020-04-16 14:30:00,59.38,59.67,59.36,59.59,13362
2020-04-16 14:35:00,59.52,59.6,59.3,59.3,24472
2020-04-16 14:40:00,59.28,59.59,59.28,59.52,8006
2020-04-16 14:45:00,59.48,59.48,59.26,59.28,2873
2020-04-16 14:50:00,59.28,59.36,59.12,59.12,13114
2020-04-16 14:55:00,59.2,59.61,59.19,59.43,7408
2020-04-16 15:00:00,59.47,59.54,59.36,59.37,4400
2020-04-16 15:05:00,59.37,59.73,59.37,59.69,3188
2020-04-16 15:10:00,59.725,59.81,59.58,59.58,3865
2020-04-16 15:15:00,59.54,59.63,59.46,59.52,13185
2020-04-16 15:20:00,59.53,59.63,59.45,59.47,4925
2020-04-16 15:25:00,59.5,59.67,59.41,59.5425,7468
2020-04-16 15:30:00,59.48,59.48,59.38,59.41,3827
2020-04-16 15:35:00,59.4,59.545,59.4,59.47,21007
2020-04-16 15:40:00,59.47,59.73,59.47,59.67,5692
2020-04-16 15:45:00,59.62,59.71,59.49,59.63,12959
2020-04-16 15:50:00,59.57,59.99,59.57,59.99,1000
2020-04-16 15:55:00,59.99,60.06,59.89,59.96,1500
2020-04-16 16:00:00,59.96,59.96,59.78,59.82,5050
2020-04-16 16:05:00,59.8,59.81,59.74,59.74,3475
2020-04-16 16:10:00,59.79,59.8,59.73,59.76,2500
2020-04-16 16:15:00,59.76,59.82,59.59,59.67,21083
2020-04-16 16:20:00,59.68,59.7,59.45,59.46,6688
2020-04-16 16:25:00,59.46,59.58,59.38,59.48,20214
2020-04-16 16:30:00,59.48,59.48,59.1342,59.15,5828
2020-04-16 16:35:00,59.21,59.27,59.13,59.27,2057
2020-04-16 16:40:00,59.26,59.37,59.19,59.35,1700
2020-04-16 16:45:00,59.37,59.42,59.19,59.34,17327
2020-04-16 16:50:00,59.35,59.5,59.35,59.44,3130
2020-04-16 16:55:00,59.41,59.62,59.41,59.59,3435
2020-04-16 17:00:00,59.52,59.65,59.49,59.49,2720
2020-04-16 17:05:00,59.43,59.55,59.42,59.475,3845
2020-04-16 17:10:00,59.5,59.75,59.45,59.75,4645
2020-04-16 17:15:00,59.68,59.77,59.66,59.74,500
2020-04-16 17:20:00,59.74,59.82,59.7,59.73,4784
2020-04-16 17:25:00,59.73,59.77,59.7,59.77,4361
2020-04-16 17:30:00,59.78,59.855,59.74,59.84,1537
2020-04-16 17:35:00,59.855,59.855,59.78,59.83,2483
2020-04-16 17:40:00,59.775,60.1,59.775,60.06,3800
2020-04-16 17:45:00,60.03,60.05,59.88,59.88,4080
2020-04-16 17:50:00,59.94,59.94,59.72,59.82,2100
2020-04-16 17:55:00,59.73,59.855,59.73,59.855,4456
2020-04-16 18:00:00,59.85,59.88,59.69,59.82,19702
2020-04-16 18:05:00,59.82,59.935,59.78,59.935,2639
2020-04-16 18:10:00,59.935,60.03,59.935,60.015,4116
2020-04-16 18:15:00,60.05,60.24,60.015,60.14,22570
2020-04-16 18:20:00,60.11,60.12,59.95,60.1,7392
2020-04-16 18:25:00,60.06,60.06,59.94,60.01,8376
2020-04-16 18:30:00,59.98,60.1,59.98,60.0947,5796
2020-04-16 18:35:00,60.06,60.41,60.01,60.259,13689
2020-04-16 18:40:00,60.265,60.265,60.13,60.15,2871
2020-04-16 18:45:00,60.21,60.255,60.155,60.165,7578
2020-04-16 18:50:00,60.14,60.17,60.03,60.13,8282
2020-04-16 18:55:00,60.145,60.26,60.12,60.19,7090
2020-04-16 19:00:00,60.19,60.27,60.02,60.06,5018
2020-04-16 19:05:00,60.13,60.1999,59.87,59.93,19671
2020-04-16 19:10:00,59.93,59.96,59.81,59.92,15299
2020-04-16 19:15:00,59.92,60.07,59.88,59.95,12018
2020-04-16 19:20:00,59.975,60.37,59.92,60.36,6857
2020-04-16 19:25:00,60.32,60.47,60.21,60.47,6693
2020-04-16 19:30:00,60.5,60.58,60.35,60.38,9181
2020-04-16 19:35:00,60.38,60.51,60.32,60.33,11971
2020-04-16 19:40:00,60.38,60.44,60.3372,60.4,13106
2020-04-16 19:45:00,60.4,60.54,60.35,60.47,17330
2020-04-16 19:50:00,60.38,60.4,60.03,60.23,52447
2020-04-16 19:55:00,60.05,60.31,59.9,59.96,148550
2020-04-16 20:00:00,59.96,59.96,59.96,59.96,292443
2020-04-16 20:30:00,59.96,59.96,59.96,59.96,336
2020-04-17 13:30:00,61.16,61.16,60.58,60.58,45654
2020-04-17 13:35:00,61.14,61.22,60.52,60.66,1022
2020-04-17 13:40:00,61.11,61.37,60.8575,61.29,6469
2020-04-17 13:45:00,61.205,61.27,60.995,61.15,8589
2020-04-17 13:50:00,61.12,61.17,60.885,61.1,16620
2020-04-17 13:55:00,61.1,61.5,61.02,61.29,2893
2020-04-17 14:00:00,61.25,61.25,60.825,60.825,1300
2020-04-17 14:05:00,60.75,61.09,60.7,60.7,4828
2020-04-17 14:10:00,60.8,60.86,60.46,60.46,2729
2020-04-17 14:15:00,60.46,60.53,60.04,60.14,4530
2020-04-17 14:20:00,60.085,60.36,60.085,60.22,12531
2020-04-17 14:25:00,60.25,60.3,60.14,60.14,1400
2020-04-17 14:30:00,60.22,60.27,60.06,60.27,3011
2020-04-17 14:35:00,60.25,60.25,60.13,60.2,3939
2020-04-17 14:40:00,60.29,60.35,60.22,60.28,3538
2020-04-17 14:45:00,60.21,60.26,60.08,60.12,12786
2020-04-17 14:50:00,60.04,60.27,60.04,60.21,14580
2020-04-17 14:55:00,60.2,60.53,60.2,60.36,20365
2020-04-17 15:00:00,60.35,60.5897,60.35,60.48,5334
2020-04-17 15:05:00,60.43,60.48,60.38,60.4,2775
2020-04-17 15:10:00,60.38,60.38,60.16,60.215,5467
2020-04-17 15:15:00,60.26,60.3,60.07,60.2,8256
2020-04-17 15:20:00,60.23,60.31,60.12,60.305,4688
2020-04-17 15:25:00,60.25,60.33,60.17,60.33,23597
