datetime,open,high,low,close,volume
2020-04-16 11:40:00,30.38,30.38,30.38,30.38,100
2020-04-16 11:55:00,30.0,30.0,30.0,30.0,400
2020-04-16 12:05:00,30.0,30.0,30.0,30.0,500
2020-04-16 12:10:00,30.0,30.0,30.0,30.0,484
2020-04-16 12:25:00,30.38,30.4,30.38,30.4,500
2020-04-16 12:30:00,30.45,30.45,30.45,30.45,900
2020-04-16 12:35:00,30.45,30.45,30.23,30.23,74064
2020-04-16 12:40:00,30.35,30.45,30.35,30.45,2870
2020-04-16 12:45:00,30.55,30.55,30.55,30.55,230
2020-04-16 12:50:00,30.6,30.61,30.6,30.61,1100
2020-04-16 12:55:00,30.65,30.65,30.55,30.55,660
2020-04-16 13:00:00,30.49,30.49,30.29,30.3,850
2020-04-16 13:05:00,30.6,30.6,30.6,30.6,235
2020-04-16 13:10:00,30.6,30.7399,30.6,30.7399,677
2020-04-16 13:15:00,30.74,30.74,30.74,30.74,206
2020-04-16 13:25:00,30.1,30.2,30.0,30.2,3362
2020-04-16 13:30:00,30.49,30.5,28.2,28.2,175472
2020-04-16 13:35:00,28.17,28.39,27.75,28.2499,187120
2020-04-16 13:40:00,28.15,28.45,28.05,28.23,72398
2020-04-16 13:45:00,28.26,28.29,27.54,27.65,174591
2020-04-16 13:50:00,27.63,27.87,27.46,27.84,147945
2020-04-16 13:55:00,27.86,28.09,27.75,27.96,104521
2020-04-16 14:00:00,27.95,28.29,27.92,28.125,49418
2020-04-16 14:05:00,28.11,28.49,28.1,28.49,62865
2020-04-16 14:10:00,28.4335,28.62,28.31,28.48,73753
2020-04-16 14:15:00,28.485,28.51,28.2292,28.44,65913
2020-04-16 14:20:00,28.42,28.78,28.39,28.77,50374
2020-04-16 14:25:00,28.7573,28.88,28.6,28.86,59304
2020-04-16 14:30:00,28.84,28.97,28.6,28.81,70987
2020-04-16 14:35:00,28.83,29.02,28.73,28.86,56640
2020-04-16 14:40:00,28.87,29.23,28.78,29.09,42359
2020-04-16 14:45:00,29.09,29.13,28.97,29.08,62233
2020-04-16 14:50:00,29.07,29.07,28.9385,29.0,34158
2020-04-16 14:55:00,29.0,29.2561,28.93,29.1441,43374
