datetime,open,high,low,close,volume
2020-04-16 13:25:00,43.68,43.68,43.68,43.68,200
2020-04-16 13:30:00,43.99,44.16,43.77,44.0662,36439
2020-04-16 13:35:00,44.1,44.11,43.82,44.03,20172
2020-04-16 13:40:00,44.06,44.18,43.98,43.99,18367
2020-04-16 13:45:00,43.98,43.9933,43.59,43.59,18808
2020-04-16 13:50:00,43.5937,43.77,43.5937,43.71,16565
2020-04-16 13:55:00,43.71,43.75,43.41,43.41,13399
2020-04-16 14:00:00,43.42,43.57,43.39,43.44,15946
2020-04-16 14:05:00,43.46,43.57,43.43,43.49,15067
2020-04-16 14:10:00,43.45,43.56,43.38,43.56,13330
2020-04-16 14:15:00,43.53,43.69,43.5,43.64,8455
2020-04-16 14:20:00,43.6,43.73,43.59,43.67,12246
2020-04-16 14:25:00,43.64,43.69,43.58,43.66,8436
2020-04-16 14:30:00,43.65,43.73,43.61,43.7,7800
2020-04-16 14:35:00,43.7,43.7,43.55,43.55,14050
2020-04-16 14:40:00,43.55,43.72,43.51,43.69,15158
2020-04-16 14:45:00,43.67,43.67,43.52,43.64,13161
2020-04-16 14:50:00,43.63,43.64,43.56,43.61,12824
2020-04-16 14:55:00,43.62,43.79,43.6,43.79,20914
2020-04-16 15:00:00,43.8,43.84,43.67,43.725,9475
2020-04-16 15:05:00,43.71,43.98,43.71,43.955,16380
2020-04-16 15:10:00,43.94,44.02,43.85,43.87,22954
2020-04-16 15:15:00,43.86,43.93,43.84,43.9,15510
2020-04-16 15:20:00,43.91,44.055,43.9,43.96,32670
2020-04-16 15:25:00,43.97,44.08,43.94,43.95,28976
2020-04-16 15:30:00,43.95,43.99,43.87,43.88,19127
2020-04-16 15:35:00,43.88,43.915,43.85,43.895,12083
2020-04-16 15:40:00,43.9,44.02,43.9,43.94,10299
2020-04-16 15:45:00,43.95,43.99,43.9,43.95,15061
2020-04-16 15:50:00,43.97,44.26,43.94,44.25,20490
