datetime,open,high,low,close,volume
2020-04-16 13:30:00,7.78,7.83,7.51,7.51,82750
2020-04-16 13:35:00,7.515,7.61,7.473,7.5577,74068
2020-04-16 13:40:00,7.56,7.63,7.54,7.58,19131
2020-04-16 13:45:00,7.57,7.61,7.49,7.49,36207
2020-04-16 13:50:00,7.49,7.52,7.43,7.4377,42376
2020-04-16 13:55:00,7.44,7.45,7.28,7.28,44919
2020-04-16 14:00:00,7.28,7.34,7.28,7.32,80766
2020-04-16 14:05:00,7.3121,7.3351,7.25,7.25,88695
2020-04-16 14:10:00,7.25,7.26,7.2,7.205,32883
2020-04-16 14:15:00,7.2099,7.25,7.2,7.22,63245
2020-04-16 14:20:00,7.23,7.24,7.2,7.24,53292
2020-04-16 14:25:00,7.23,7.3,7.23,7.26,90588
2020-04-16 14:30:00,7.26,7.28,7.22,7.24,102705
2020-04-16 14:35:00,7.23,7.26,7.22,7.225,172730
2020-04-16 14:40:00,7.22,7.3,7.2101,7.295,47867
2020-04-16 14:45:00,7.295,7.3,7.25,7.28,87798
2020-04-16 14:50:00,7.285,7.3,7.2525,7.29,70389
2020-04-16 14:55:00,7.29,7.315,7.285,7.305,47041
2020-04-16 15:00:00,7.3,7.35,7.29,7.3161,44919
2020-04-16 15:05:00,7.315,7.38,7.31,7.35,43684
2020-04-16 15:10:00,7.35,7.38,7.325,7.35,54136
2020-04-16 15:15:00,7.35,7.35,7.29,7.29,33992
2020-04-16 15:20:00,7.3,7.31,7.25,7.26,24611
2020-04-16 15:25:00,7.26,7.29,7.255,7.255,32358
2020-04-16 15:30:00,7.26,7.28,7.25,7.2501,34641
2020-04-16 15:35:00,7.26,7.3,7.2501,7.28,110659
2020-04-16 15:40:00,7.275,7.3,7.265,7.27,173956
2020-04-16 15:45:00,7.27,7.28,7.26,7.26,41787
2020-04-16 15:50:00,7.265,7.3,7.26,7.3,35744
2020-04-16 15:55:00,7.3,7.31,7.26,7.26,24926
2020-04-16 16:00:00,7.265,7.27,7.25,7.26,20476
2020-04-16 16:05:00,7.25,7.26,7.25,7.25,26334
2020-04-16 16:10:00,7.255,7.26,7.22,7.23,125932
2020-04-16 16:15:00,7.221,7.23,7.2,7.205,65786
2020-04-16 16:20:00,7.2,7.205,7.16,7.16,48222
2020-04-16 16:25:00,7.165,7.18,7.13,7.175,190171
2020-04-16 16:30:00,7.175,7.175,7.13,7.14,34499
2020-04-16 16:35:00,7.145,7.15,7.12,7.121,30480
2020-04-16 16:40:00,7.12,7.17,7.12,7.16,45609
2020-04-16 16:45:00,7.16,7.17,7.145,7.17,42271
2020-04-16 16:50:00,7.165,7.19,7.165,7.18,62093
2020-04-16 16:55:00,7.1886,7.195,7.17,7.185,37167
2020-04-16 17:00:00,7.185,7.2,7.17,7.1756,33953
2020-04-16 17:05:00,7.18,7.18,7.14,7.14,59134
2020-04-16 17:10:00,7.1499,7.16,7.14,7.15,35598
2020-04-16 17:15:00,7.14,7.15,7.1025,7.115,43612
2020-04-16 17:20:00,7.1166,7.135,7.1,7.105,78458
2020-04-16 17:25:00,7.105,7.12,7.1,7.1138,41451
2020-04-16 17:30:00,7.115,7.16,7.115,7.1403,49542
2020-04-16 17:35:00,7.15,7.15,7.14,7.1486,43926
2020-04-16 17:40:00,7.145,7.17,7.14,7.15,70244
2020-04-16 17:45:00,7.16,7.16,7.13,7.135,19452
2020-04-16 17:50:00,7.13,7.14,7.12,7.12,19342
2020-04-16 17:55:00,7.12,7.1299,7.11,7.115,44923
2020-04-16 18:00:00,7.12,7.12,7.11,7.11,29949
2020-04-16 18:05:00,7.115,7.15,7.11,7.145,52819
2020-04-16 18:10:00,7.15,7.15,7.13,7.14,38914
2020-04-16 18:15:00,7.145,7.16,7.145,7.155,26835
2020-04-16 18:20:00,7.16,7.16,7.14,7.14,40127
2020-04-16 18:25:00,7.14,7.16,7.13,7.15,55873
2020-04-16 18:30:00,7.14,7.15,7.13,7.13,29108
2020-04-16 18:35:00,7.135,7.14,7.12,7.125,40154
2020-04-16 18:40:00,7.1262,7.13,7.1001,7.11,60688
2020-04-16 18:45:00,7.12,7.12,7.1,7.105,31293
2020-04-16 18:50:00,7.1,7.11,7.08,7.09,65168
2020-04-16 18:55:00,7.09,7.09,7.06,7.065,95231
2020-04-16 19:00:00,7.0692,7.08,7.06,7.08,89150
2020-04-16 19:05:00,7.08,7.09,7.07,7.08,68027
2020-04-16 19:10:00,7.0701,7.08,7.07,7.075,38684
2020-04-16 19:15:00,7.0799,7.08,7.07,7.075,44757
2020-04-16 19:20:00,7.075,7.08,7.07,7.08,72677
2020-04-16 19:25:00,7.08,7.13,7.075,7.13,83734
2020-04-16 19:30:00,7.13,7.17,7.125,7.17,84448
2020-04-16 19:35:00,7.17,7.18,7.16,7.18,60982
2020-04-16 19:40:00,7.175,7.21,7.17,7.2001,133433
2020-04-16 19:45:00,7.21,7.21,7.18,7.1899,111967
2020-04-16 19:50:00,7.19,7.22,7.18,7.2,123498
2020-04-16 19:55:00,7.2,7.23,7.2,7.21,333543
2020-04-16 20:00:00,7.2,7.2,7.2,7.2,255289
2020-04-16 20:30:00,7.2,7.2,7.2,7.2,196
2020-04-16 20:35:00,7.2,7.2,7.2,7.2,632
2020-04-16 20:40:00,7.2,7.2,7.2,7.2,397
2020-04-16 20:45:00,7.2,7.2,7.2,7.2,3200
2020-04-16 21:35:00,7.85,7.85,7.61,7.61,200
2020-04-16 22:00:00,7.61,7.61,7.61,7.61,100
2020-04-16 22:10:00,7.77,7.77,7.77,7.77,1000
2020-04-16 22:20:00,7.76,7.76,7.76,7.76,125
2020-04-16 22:25:00,7.7,7.7,7.7,7.7,300
2020-04-16 22:35:00,7.76,7.79,7.76,7.79,2050
2020-04-16 22:40:00,7.79,7.79,7.78,7.78,1322
2020-04-16 22:45:00,7.79,7.79,7.79,7.79,2159
2020-04-16 22:55:00,7.85,7.85,7.85,7.85,1200
2020-04-16 23:10:00,7.92,7.92,7.92,7.92,100
2020-04-16 23:30:00,7.8,7.8,7.8,7.8,100
2020-04-16 23:40:00,7.88,7.88,7.88,7.88,288
2020-04-17 11:00:00,7.78,7.78,7.51,7.51,975
2020-04-17 11:10:00,7.57,7.57,7.55,7.55,1600
2020-04-17 11:15:00,7.55,7.55,7.55,7.55,400
2020-04-17 11:55:00,7.6,7.6,7.6,7.6,720
2020-04-17 12:10:00,7.5502,7.5502,7.5502,7.5502,1000
2020-04-17 12:20:00,7.56,7.56,7.56,7.56,400
2020-04-17 12:25:00,7.6,7.6,7.6,7.6,200
2020-04-17 12:50:00,7.6451,7.6451,7.6451,7.6451,250
2020-04-17 12:55:00,7.56,7.56,7.56,7.56,198
2020-04-17 13:00:00,7.6,7.6,7.6,7.6,100
2020-04-17 13:15:00,7.6,7.6,7.5702,7.5702,1100
2020-04-17 13:25:00,7.58,7.7,7.58,7.7,5400
2020-04-17 13:30:00,7.62,7.795,7.59,7.78,300262
2020-04-17 13:35:00,7.78,7.89,7.76,7.83,178520
2020-04-17 13:40:00,7.84,7.9,7.695,7.82,155180
2020-04-17 13:45:00,7.82,7.845,7.74,7.83,66648
2020-04-17 13:50:00,7.835,7.84,7.7693,7.82,78418
2020-04-17 13:55:00,7.815,7.94,7.81,7.94,161429
2020-04-17 14:00:00,7.94,7.96,7.85,7.915,70456
2020-04-17 14:05:00,7.915,7.93,7.85,7.86,84923
2020-04-17 14:10:00,7.87,7.89,7.79,7.81,41888
2020-04-17 14:15:00,7.8,7.84,7.73,7.76,64584
2020-04-17 14:20:00,7.74,7.805,7.73,7.795,54708
2020-04-17 14:25:00,7.795,7.86,7.775,7.8,46743
2020-04-17 14:30:00,7.805,7.82,7.77,7.8,157754
2020-04-17 14:35:00,7.8,7.845,7.78,7.84,38146
2020-04-17 14:40:00,7.84,7.87,7.815,7.835,52225
2020-04-17 14:45:00,7.83,7.84,7.79,7.795,35312
2020-04-17 14:50:00,7.8,7.8859,7.8,7.88,59028
2020-04-17 14:55:00,7.885,7.895,7.85,7.85,49682
2020-04-17 15:00:00,7.845,7.91,7.84,7.88,48758
2020-04-17 15:05:00,7.885,7.93,7.87,7.91,41277
2020-04-17 15:10:00,7.915,7.915,7.855,7.9,69473
2020-04-17 15:15:00,7.895,7.945,7.88,7.93,35232
2020-04-17 15:20:00,7.93,7.94,7.89,7.92,44252
2020-04-17 15:25:00,7.92,7.935,7.89,7.9,55736
2020-04-17 15:30:00,7.9,7.965,7.9,7.965,51747
2020-04-17 15:35:00,7.96,7.99,7.945,7.96,33503
2020-04-17 15:40:00,7.97,8.0,7.96,7.98,64347
2020-04-17 15:45:00,7.97,8.01,7.96,7.975,42760
2020-04-17 15:50:00,7.97,7.97,7.92,7.92,28624
2020-04-17 15:55:00,7.93,7.94,7.9,7.905,21351
2020-04-17 16:00:00,7.9,7.95,7.885,7.935,25875
2020-04-17 16:05:00,7.94,7.95,7.9,7.9292,31758
2020-04-17 16:10:00,7.92,7.94,7.9,7.93,26065
2020-04-17 16:15:00,7.93,7.97,7.91,7.965,33731
2020-04-17 16:20:00,7.97,7.97,7.91,7.91,23510
