datetime,open,high,low,close,volume
2020-04-16 13:25:00,8.02,8.02,8.02,8.02,300
2020-04-16 13:30:00,7.97,8.03,7.92,7.93,83373
2020-04-16 13:35:00,7.925,7.94,7.85,7.875,58818
2020-04-16 13:40:00,7.87,7.89,7.82,7.84,144312
2020-04-16 13:45:00,7.8454,7.8567,7.74,7.74,457925
2020-04-16 13:50:00,7.74,7.78,7.69,7.72,91988
2020-04-16 13:55:00,7.73,7.75,7.61,7.665,81892
2020-04-16 14:00:00,7.66,7.68,7.63,7.65,46588
2020-04-16 14:05:00,7.65,7.715,7.65,7.65,58904
2020-04-16 14:10:00,7.65,7.65,7.55,7.58,62250
2020-04-16 14:15:00,7.5862,7.615,7.57,7.58,34575
2020-04-16 14:20:00,7.58,7.64,7.57,7.63,29012
2020-04-16 14:25:00,7.63,7.68,7.57,7.68,386865
2020-04-16 14:30:00,7.685,7.71,7.67,7.71,50062
2020-04-16 14:35:00,7.705,7.72,7.67,7.69,41043
2020-04-16 14:40:00,7.69,7.69,7.63,7.67,343668
2020-04-16 14:45:00,7.66,7.68,7.64,7.66,435325
2020-04-16 14:50:00,7.66,7.66,7.61,7.63,178240
2020-04-16 14:55:00,7.64,7.71,7.635,7.67,402164
2020-04-16 15:00:00,7.68,7.74,7.655,7.735,183971
2020-04-16 15:05:00,7.73,7.755,7.71,7.745,160440
2020-04-16 15:10:00,7.75,7.81,7.75,7.79,110391
2020-04-16 15:15:00,7.79,7.81,7.78,7.795,38223
2020-04-16 15:20:00,7.8,7.8,7.75,7.765,36017
2020-04-16 15:25:00,7.77,7.79,7.76,7.76,25558
2020-04-16 15:30:00,7.77,7.77,7.73,7.73,34349
2020-04-16 15:35:00,7.73,7.77,7.725,7.77,22747
2020-04-16 15:40:00,7.76,7.788,7.76,7.76,21898
2020-04-16 15:45:00,7.765,7.778,7.75,7.76,10891
2020-04-16 15:50:00,7.765,7.8,7.75,7.795,42752
2020-04-16 15:55:00,7.795,7.8,7.755,7.76,30375
2020-04-16 16:00:00,7.755,7.77,7.705,7.705,42391
2020-04-16 16:05:00,7.7,7.71,7.65,7.665,75767
2020-04-16 16:10:00,7.66,7.66,7.625,7.64,55065
2020-04-16 16:15:00,7.63,7.64,7.595,7.6,147245
2020-04-16 16:20:00,7.605,7.62,7.595,7.6155,16564
2020-04-16 16:25:00,7.6145,7.64,7.6,7.62,29547
2020-04-16 16:30:00,7.62,7.62,7.57,7.605,37718
2020-04-16 16:35:00,7.61,7.63,7.6,7.62,10923
2020-04-16 16:40:00,7.62,7.65,7.62,7.635,136825
2020-04-16 16:45:00,7.635,7.645,7.63,7.64,11618
2020-04-16 16:50:00,7.63,7.65,7.62,7.62,22057
2020-04-16 16:55:00,7.62,7.65,7.6,7.64,34351
2020-04-16 17:00:00,7.645,7.66,7.62,7.63,27871
2020-04-16 17:05:00,7.63,7.6463,7.62,7.63,14982
2020-04-16 17:10:00,7.626,7.66,7.62,7.655,14408
