datetime,open,high,low,close,volume
2020-04-16 11:30:00,41.35,41.74,40.55,41.51,1035
2020-04-16 11:45:00,41.33,41.33,41.33,41.33,110
2020-04-16 11:55:00,41.32,41.32,41.32,41.32,200
2020-04-16 12:15:00,41.32,41.66,41.32,41.6,848
2020-04-16 13:20:00,41.69,41.7,41.61,41.61,1219
2020-04-16 13:25:00,41.6101,41.6101,41.6101,41.6101,500
2020-04-16 13:30:00,41.61,41.84,41.29,41.29,29649
2020-04-16 13:35:00,41.26,41.26,40.85,41.115,5876
2020-04-16 13:40:00,41.21,41.43,41.21,41.27,2725
2020-04-16 13:45:00,41.4,41.48,41.18,41.18,6093
2020-04-16 13:50:00,41.155,41.155,40.93,40.99,7070
2020-04-16 13:55:00,41.1,41.1,40.64,40.73,11628
2020-04-16 14:00:00,40.685,40.96,40.685,40.905,26498
2020-04-16 14:05:00,40.94,41.22,40.94,41.06,6425
2020-04-16 14:10:00,41.0,41.11,40.87,41.0273,14125
2020-04-16 14:15:00,41.0,41.04,40.875,41.03,15924
2020-04-16 14:20:00,40.99,41.25,40.99,41.225,4325
2020-04-16 14:25:00,41.215,41.42,41.205,41.42,2560
2020-04-16 14:30:00,41.4,41.5,41.37,41.42,8589
2020-04-16 14:35:00,41.42,41.49,41.31,41.31,8100
2020-04-16 14:40:00,41.29,41.46,41.14,41.46,5729
2020-04-16 14:45:00,41.455,41.48,41.37,41.46,3000
2020-04-16 14:50:00,41.45,41.46,41.19,41.25,9587
2020-04-16 14:55:00,41.3,41.42,41.22,41.23,11517
2020-04-16 15:00:00,41.24,41.29,41.12,41.14,6322
2020-04-16 15:05:00,41.15,41.28,41.13,41.215,11688
2020-04-16 15:10:00,41.22,41.29,41.15,41.17,12593
2020-04-16 15:15:00,41.18,41.18,41.055,41.17,5000
2020-04-16 15:20:00,41.14,41.2,41.055,41.055,6414
2020-04-16 15:25:00,41.08,41.13,40.98,41.05,9250
2020-04-16 15:30:00,41.05,41.05,40.99,41.04,9600
2020-04-16 15:35:00,41.01,41.09,40.99,41.09,11810
2020-04-16 15:40:00,41.08,41.165,41.04,41.15,22774
2020-04-16 15:45:00,41.08,41.135,40.98,41.01,6899
2020-04-16 15:50:00,41.005,41.23,41.0,41.2218,6300
2020-04-16 15:55:00,41.21,41.22,41.1405,41.15,7760
2020-04-16 16:00:00,41.16,41.2,40.97,41.0401,6875
2020-04-16 16:05:00,41.05,41.05,40.97,41.02,6221
2020-04-16 16:10:00,41.0218,41.0218,40.99,41.0,3400
2020-04-16 16:15:00,40.97,41.01,40.52,40.53,16913
2020-04-16 16:20:00,40.54,40.61,40.45,40.5,15062
2020-04-16 16:25:00,40.5,40.51,40.41,40.49,9715
2020-04-16 16:30:00,40.48,40.48,40.15,40.23,15482
2020-04-16 16:35:00,40.23,40.29,40.16,40.27,7843
2020-04-16 16:40:00,40.27,40.4,40.26,40.35,7350
2020-04-16 16:45:00,40.38,40.433,40.27,40.31,7138
2020-04-16 16:50:00,40.3,40.33,40.15,40.175,10641
2020-04-16 16:55:00,40.17,40.29,40.11,40.22,7229
2020-04-16 17:00:00,40.21,40.3,40.21,40.28,7506
2020-04-16 17:05:00,40.3,40.32,40.11,40.14,14763
2020-04-16 17:10:00,40.13,40.24,40.13,40.1689,15889
2020-04-16 17:15:00,40.15,40.215,40.0,40.1,33738
2020-04-16 17:20:00,40.09,40.14,40.0,40.11,21825
2020-04-16 17:25:00,40.05,40.07,39.92,39.96,10595
2020-04-16 17:30:00,39.93,40.09,39.93,39.98,14974
2020-04-16 17:35:00,39.97,40.025,39.88,39.93,13237
2020-04-16 17:40:00,39.94,40.02,39.85,39.98,15113
2020-04-16 17:45:00,39.97,39.99,39.86,39.875,13472
2020-04-16 17:50:00,39.86,39.91,39.8,39.88,11992
2020-04-16 17:55:00,39.87,39.89,39.77,39.8,10761
2020-04-16 18:00:00,39.78,40.005,39.74,39.99,11063
2020-04-16 18:05:00,39.99,40.12,39.95,40.08,9314
2020-04-16 18:10:00,40.08,40.08,39.95,39.98,15476
2020-04-16 18:15:00,39.98,40.04,39.955,39.98,10518
2020-04-16 18:20:00,39.94,39.9455,39.79,39.8146,12943
2020-04-16 18:25:00,39.82,39.96,39.82,39.96,11315
2020-04-16 18:30:00,39.94,40.0,39.8704,39.99,13805
2020-04-16 18:35:00,39.99,40.13,39.99,40.01,21672
2020-04-16 18:40:00,40.0,40.04,39.92,40.0,18092
2020-04-16 18:45:00,40.01,40.03,39.97,40.0,34198
2020-04-16 18:50:00,40.0,40.0,39.85,39.96,13485
2020-04-16 18:55:00,39.96,40.02,39.95,39.99,12925
2020-04-16 19:00:00,40.01,40.03,39.92,39.94,9416
2020-04-16 19:05:00,39.94,40.01,39.9,39.9,12967
2020-04-16 19:10:00,39.89,39.94,39.84,39.94,15110
2020-04-16 19:15:00,39.92,39.98,39.845,39.9,12916
2020-04-16 19:20:00,39.91,40.02,39.9,39.98,17185
2020-04-16 19:25:00,39.96,39.99,39.87,39.9,16221
2020-04-16 19:30:00,39.9,39.92,39.82,39.9,35674
2020-04-16 19:35:00,39.9,39.91,39.81,39.85,33413
2020-04-16 19:40:00,39.85,39.87,39.7,39.73,39446
2020-04-16 19:45:00,39.73,39.94,39.725,39.8,56020
2020-04-16 19:50:00,39.8,39.97,39.74,39.94,109293
2020-04-16 19:55:00,39.94,40.23,39.94,40.14,97844
2020-04-16 20:00:00,40.15,40.15,40.15,40.15,199839
2020-04-16 20:10:00,40.15,40.15,40.15,40.15,177786
2020-04-16 21:00:00,40.43,40.43,40.43,40.43,1000
2020-04-16 23:00:00,40.85,41.01,40.85,41.01,1246
2020-04-16 23:05:00,41.21,41.21,41.21,41.21,100
2020-04-16 23:55:00,41.45,41.5,41.45,41.5,1173
2020-04-17 11:15:00,41.51,41.51,41.5,41.5,210
2020-04-17 11:55:00,41.96,41.96,41.96,41.96,284
2020-04-17 12:30:00,42.0,42.0,42.0,42.0,153
2020-04-17 12:35:00,41.42,41.42,41.41,41.41,286
2020-04-17 13:05:00,41.58,41.95,41.58,41.95,410
2020-04-17 13:30:00,41.6,41.75,41.1801,41.51,31524
2020-04-17 13:35:00,41.55,41.75,41.44,41.72,19215
2020-04-17 13:40:00,41.81,41.97,41.655,41.97,11712
2020-04-17 13:45:00,41.88,42.2575,41.88,42.18,16204
2020-04-17 13:50:00,42.03,42.2,41.75,42.05,12902
2020-04-17 13:55:00,42.05,42.4,41.9401,42.1512,16560
2020-04-17 14:00:00,42.035,42.13,41.77,42.09,17111
2020-04-17 14:05:00,42.03,42.14,41.87,42.09,74206
2020-04-17 14:10:00,42.15,42.23,41.81,41.84,7723
2020-04-17 14:15:00,41.85,41.97,41.7,41.77,23253
2020-04-17 14:20:00,41.78,41.92,41.72,41.81,32307
2020-04-17 14:25:00,41.7942,41.94,41.75,41.75,4734
2020-04-17 14:30:00,41.7291,41.88,41.59,41.6666,11281
2020-04-17 14:35:00,41.61,41.65,41.46,41.53,12345
2020-04-17 14:40:00,41.57,41.67,41.5035,41.65,6750
2020-04-17 14:45:00,41.63,41.65,41.48,41.5,8947
2020-04-17 14:50:00,41.55,41.68,41.53,41.655,5050
2020-04-17 14:55:00,41.67,41.69,41.5,41.5,7610
2020-04-17 15:00:00,41.48,41.65,41.48,41.57,2700
2020-04-17 15:05:00,41.56,41.73,41.52,41.64,9096
2020-04-17 15:10:00,41.62,41.68,41.53,41.665,7133
2020-04-17 15:15:00,41.69,41.7394,41.64,41.71,2500
2020-04-17 15:20:00,41.7,41.77,41.64,41.73,3500
2020-04-17 15:25:00,41.74,41.75,41.61,41.67,3658
2020-04-17 15:30:00,41.76,41.76,41.58,41.6,7853
2020-04-17 15:35:00,41.61,41.62,41.53,41.55,8692
2020-04-17 15:40:00,41.5,41.6,41.49,41.6,6665
2020-04-17 15:45:00,41.61,41.61,41.53,41.56,3440
2020-04-17 15:50:00,41.49,41.6,41.49,41.58,3600
2020-04-17 15:55:00,41.58,41.62,41.5,41.605,8550
2020-04-17 16:00:00,41.57,41.61,41.54,41.55,3187
2020-04-17 16:05:00,41.6,41.62,41.53,41.55,3394
2020-04-17 16:10:00,41.595,41.62,41.58,41.6,6072
