datetime,open,high,low,close,volume
2020-04-16 12:35:00,11.82,11.82,11.82,11.82,1000
2020-04-16 12:40:00,11.81,11.81,11.81,11.81,3900
2020-04-16 12:50:00,11.11,11.79,11.11,11.79,1483
2020-04-16 13:00:00,11.69,11.79,11.69,11.79,1700
2020-04-16 13:05:00,11.8,11.8,11.8,11.8,1000
2020-04-16 13:10:00,12.0,12.0,11.96,11.96,1950
2020-04-16 13:15:00,11.96,12.0,11.96,12.0,4965
2020-04-16 13:30:00,11.89,12.18,11.82,11.92,197894
2020-04-16 13:35:00,11.92,11.94,11.76,11.775,111778
2020-04-16 13:40:00,11.775,11.84,11.71,11.84,44516
2020-04-16 13:45:00,11.84,11.84,11.75,11.76,17775
2020-04-16 13:50:00,11.78,11.81,11.68,11.79,53960
2020-04-16 13:55:00,11.81,11.82,11.7,11.7,46458
2020-04-16 14:00:00,11.71,11.74,11.66,11.71,46705
2020-04-16 14:05:00,11.71,11.71,11.61,11.67,36663
2020-04-16 14:10:00,11.67,11.67,11.55,11.55,294854
2020-04-16 14:15:00,11.57,11.65,11.54,11.585,112984
2020-04-16 14:20:00,11.56,11.7,11.56,11.6701,27884
2020-04-16 14:25:00,11.68,11.72,11.67,11.7,39161
2020-04-16 14:30:00,11.69,11.71,11.57,11.63,38795
2020-04-16 14:35:00,11.62,11.62,11.5,11.51,37525
2020-04-16 14:40:00,11.52,11.605,11.515,11.57,39213
2020-04-16 14:45:00,11.56,11.575,11.5,11.53,26429
2020-04-16 14:50:00,11.5,11.52,11.44,11.5,35312
2020-04-16 14:55:00,11.52,11.61,11.5,11.52,41800
2020-04-16 15:00:00,11.525,11.57,11.51,11.57,8725
2020-04-16 15:05:00,11.57,11.615,11.55,11.6,11289
2020-04-16 15:10:00,11.61,11.62,11.57,11.62,7918
2020-04-16 15:15:00,11.605,11.61,11.55,11.59,8110
2020-04-16 15:20:00,11.61,11.62,11.58,11.61,3700
2020-04-16 15:25:00,11.61,11.63,11.55,11.56,25349
2020-04-16 15:30:00,11.55,11.59,11.53,11.55,24721
2020-04-16 15:35:00,11.55,11.6,11.55,11.56,4463
2020-04-16 15:40:00,11.57,11.62,11.57,11.575,11873
2020-04-16 15:45:00,11.59,11.595,11.56,11.58,22313
2020-04-16 15:50:00,11.59,11.62,11.58,11.62,23482
2020-04-16 15:55:00,11.62,11.63,11.57,11.62,13921
2020-04-16 16:00:00,11.62,11.63,11.59,11.61,26732
2020-04-16 16:05:00,11.61,11.63,11.5802,11.6,6561
2020-04-16 16:10:00,11.59,11.61,11.55,11.55,32882
2020-04-16 16:15:00,11.55,11.565,11.5,11.525,69477
2020-04-16 16:20:00,11.52,11.54,11.5,11.51,18603
2020-04-16 16:25:00,11.51,11.53,11.5,11.515,19973
2020-04-16 16:30:00,11.515,11.52,11.49,11.505,61616
2020-04-16 16:35:00,11.5,11.52,11.47,11.51,44117
2020-04-16 16:40:00,11.51,11.51,11.47,11.475,18288
2020-04-16 16:45:00,11.475,11.51,11.47,11.5,37709
2020-04-16 16:50:00,11.51,11.51,11.48,11.485,22298
2020-04-16 16:55:00,11.47,11.52,11.47,11.5,31598
2020-04-16 17:00:00,11.5,11.545,11.5,11.52,17983
