datetime,open,high,low,close,volume
2020-04-16 13:30:00,10.49,10.49,10.49,10.49,244
2020-04-16 13:35:00,10.5334,10.5334,10.5334,10.5334,500
2020-04-16 13:40:00,10.5,10.56,10.49,10.56,3425
2020-04-16 13:50:00,10.525,10.56,10.525,10.56,4150
2020-04-16 13:55:00,10.56,10.56,10.49,10.49,750
2020-04-16 14:10:00,10.455,10.47,10.45,10.45,900
2020-04-16 14:20:00,10.46,10.5,10.46,10.5,500
2020-04-16 14:25:00,10.54,10.58,10.54,10.58,1600
2020-04-16 14:30:00,10.57,10.6,10.57,10.6,12553
2020-04-16 14:35:00,10.61,10.63,10.58,10.58,3000
2020-04-16 14:40:00,10.58,10.6,10.58,10.6,1492
2020-04-16 14:45:00,10.56,10.56,10.56,10.56,1300
2020-04-16 14:55:00,10.59,10.66,10.59,10.66,4281
2020-04-16 15:05:00,10.63,10.65,10.63,10.65,200
2020-04-16 15:10:00,10.6,10.6,10.57,10.57,900
2020-04-16 15:25:00,10.66,10.66,10.66,10.66,100
2020-04-16 15:40:00,10.65,10.65,10.6,10.6,3078
2020-04-16 15:45:00,10.59,10.59,10.56,10.56,982
2020-04-16 15:50:00,10.57,10.57,10.57,10.57,497
2020-04-16 15:55:00,10.57,10.58,10.57,10.57,500
2020-04-16 16:00:00,10.57,10.57,10.57,10.57,500
2020-04-16 16:10:00,10.57,10.57,10.57,10.57,100
2020-04-16 16:15:00,10.57,10.57,10.57,10.57,450
2020-04-16 16:25:00,10.61,10.62,10.61,10.62,400
2020-04-16 16:50:00,10.57,10.57,10.57,10.57,200
2020-04-16 17:10:00,10.565,10.57,10.565,10.57,700
2020-04-16 17:25:00,10.6,10.6,10.6,10.6,100
2020-04-16 17:50:00,10.62,10.62,10.62,10.62,200
2020-04-16 17:55:00,10.63,10.63,10.63,10.63,200
2020-04-16 18:00:00,10.63,10.63,10.63,10.63,230
2020-04-16 18:15:00,10.64,10.64,10.64,10.64,1000
2020-04-16 18:25:00,10.63,10.63,10.63,10.63,163
2020-04-16 19:00:00,10.65,10.65,10.63,10.63,300
2020-04-16 19:05:00,10.63,10.6357,10.63,10.6357,1700
2020-04-16 19:10:00,10.65,10.65,10.63,10.65,1000
2020-04-16 19:15:00,10.65,10.65,10.65,10.65,400
2020-04-16 19:20:00,10.6699,10.67,10.658,10.658,1900
2020-04-16 19:25:00,10.6673,10.67,10.6673,10.67,300
2020-04-16 19:30:00,10.66,10.67,10.66,10.67,630
2020-04-16 19:45:00,10.65,10.65,10.64,10.64,800
2020-04-16 19:50:00,10.66,10.66,10.64,10.64,1000
2020-04-16 19:55:00,10.64,10.66,10.64,10.66,1145
2020-04-16 20:00:00,10.67,10.67,10.67,10.67,2353
2020-04-16 21:20:00,10.67,10.67,10.67,10.67,555
2020-04-16 21:30:00,10.63,10.63,10.63,10.63,200
2020-04-16 21:35:00,10.67,10.67,10.67,10.67,407
2020-04-16 21:40:00,10.67,10.67,10.67,10.67,500
2020-04-16 21:50:00,10.67,10.67,10.67,10.67,200
2020-04-16 21:55:00,10.7,10.7,10.7,10.7,800
2020-04-16 22:10:00,10.72,10.72,10.72,10.72,500
2020-04-16 22:30:00,10.72,10.72,10.72,10.72,200
2020-04-16 22:40:00,10.78,10.79,10.78,10.79,300
2020-04-16 22:55:00,10.78,10.78,10.78,10.78,200
2020-04-16 23:10:00,10.68,10.68,10.68,10.68,160
2020-04-16 23:20:00,10.8,10.8,10.8,10.8,970
2020-04-16 23:45:00,10.8,10.8,10.8,10.8,100
2020-04-16 23:50:00,10.8,10.8,10.8,10.8,100
