datetime,open,high,low,close,volume
2020-04-16 08:00:00,6.51,6.51,6.51,6.51,3765
2020-04-16 08:40:00,6.55,6.55,6.55,6.55,606
2020-04-16 08:50:00,6.54,6.54,6.54,6.54,100
2020-04-16 09:00:00,6.54,6.55,6.54,6.55,972
2020-04-16 09:05:00,6.53,6.53,6.53,6.53,600
2020-04-16 09:20:00,6.54,6.54,6.54,6.54,491
2020-04-16 09:25:00,6.54,6.57,6.53,6.57,968
2020-04-16 09:30:00,6.55,6.55,6.55,6.55,964
2020-04-16 09:40:00,6.58,6.58,6.58,6.58,100
2020-04-16 09:45:00,6.58,6.58,6.58,6.58,182
2020-04-16 09:50:00,6.58,6.59,6.58,6.58,6681
2020-04-16 10:00:00,6.59,6.59,6.58,6.58,2897
2020-04-16 10:05:00,6.55,6.55,6.54,6.54,1874
2020-04-16 10:30:00,6.55,6.58,6.55,6.58,1921
2020-04-16 11:00:00,6.56,6.6,6.51,6.54,36583
2020-04-16 11:05:00,6.54,6.55,6.54,6.55,7350
2020-04-16 11:10:00,6.54,6.55,6.52,6.52,10583
2020-04-16 11:15:00,6.52,6.52,6.51,6.52,7354
2020-04-16 11:20:00,6.52,6.52,6.52,6.52,2038
2020-04-16 11:25:00,6.54,6.54,6.53,6.53,4267
2020-04-16 11:30:00,6.53,6.53,6.51,6.51,20259
2020-04-16 11:35:00,6.52,6.52,6.5,6.5,9099
2020-04-16 11:40:00,6.49,6.5,6.48,6.48,16075
2020-04-16 11:45:00,6.48,6.48,6.47,6.48,4150
2020-04-16 11:50:00,6.48,6.48,6.47,6.47,2162
2020-04-16 12:00:00,6.48,6.5,6.48,6.5,43082
2020-04-16 12:05:00,6.49,6.5,6.49,6.5,3751
2020-04-16 12:10:00,6.49,6.5,6.48,6.48,9084
2020-04-16 12:15:00,6.49,6.49,6.48,6.49,9050
2020-04-16 12:20:00,6.48,6.48,6.46,6.47,30974
2020-04-16 12:25:00,6.46,6.48,6.46,6.47,18624
2020-04-16 12:30:00,6.48,6.56,6.47,6.52,94243
2020-04-16 12:35:00,6.52,6.55,6.5,6.51,176864
