datetime,open,high,low,close,volume
2020-04-16 08:10:00,6.91,6.91,6.91,6.91,1400
2020-04-16 08:15:00,6.91,6.91,6.91,6.91,1600
2020-04-16 08:25:00,6.95,6.95,6.95,6.95,1000
2020-04-16 09:10:00,6.95,6.95,6.95,6.95,2200
2020-04-16 10:40:00,6.95,6.95,6.95,6.95,1000
2020-04-16 11:00:00,6.99,6.99,6.93,6.93,5000
2020-04-16 11:10:00,6.98,6.98,6.95,6.95,5100
2020-04-16 11:15:00,7.0,7.0,7.0,7.0,5200
2020-04-16 11:25:00,7.02,7.04,7.02,7.04,5000
2020-04-16 11:30:00,7.04,7.04,7.04,7.04,900
2020-04-16 11:40:00,6.99,6.99,6.99,6.99,1450
2020-04-16 12:00:00,7.05,7.05,7.05,7.05,100
2020-04-16 12:05:00,7.09,7.09,7.08,7.08,2700
2020-04-16 12:15:00,7.07,7.07,7.07,7.07,5900
2020-04-16 12:20:00,7.05,7.05,7.04,7.04,300
2020-04-16 12:25:00,7.04,7.04,7.03,7.03,2425
2020-04-16 12:30:00,7.03,7.03,6.91,6.91,2590
2020-04-16 12:40:00,6.93,6.93,6.93,6.93,2200
2020-04-16 12:45:00,6.95,6.95,6.95,6.95,500
2020-04-16 12:50:00,6.93,6.93,6.93,6.93,4800
2020-04-16 12:55:00,6.87,6.87,6.87,6.87,2500
2020-04-16 13:00:00,6.85,6.89,6.85,6.87,11660
2020-04-16 13:15:00,6.86,6.86,6.84,6.84,12124
2020-04-16 13:20:00,6.84,6.84,6.84,6.84,100
2020-04-16 13:25:00,6.82,6.82,6.79,6.82,5232
2020-04-16 13:30:00,6.82,6.857,6.77,6.78,160229
2020-04-16 13:35:00,6.775,6.8,6.74,6.78,100318
2020-04-16 13:40:00,6.78,6.86,6.78,6.79,176700
2020-04-16 13:45:00,6.8,6.86,6.795,6.83,107719
2020-04-16 13:50:00,6.83,6.835,6.7694,6.775,117079
2020-04-16 13:55:00,6.77,6.7913,6.75,6.77,62726
2020-04-16 14:00:00,6.78,6.86,6.78,6.84,137072
2020-04-16 14:05:00,6.8399,6.871,6.82,6.865,68935
2020-04-16 14:10:00,6.8667,6.88,6.82,6.835,106699
2020-04-16 14:15:00,6.835,6.85,6.81,6.82,81814
2020-04-16 14:20:00,6.82,6.87,6.815,6.87,61624
2020-04-16 14:25:00,6.865,6.87,6.79,6.79,46924
2020-04-16 14:30:00,6.79,6.79,6.73,6.74,100069
2020-04-16 14:35:00,6.73,6.765,6.71,6.75,77471
2020-04-16 14:40:00,6.75,6.79,6.73,6.77,79022
2020-04-16 14:45:00,6.77,6.77,6.7,6.705,60268
2020-04-16 14:50:00,6.7,6.7,6.655,6.655,45324
2020-04-16 14:55:00,6.655,6.6678,6.605,6.645,153685
2020-04-16 15:00:00,6.66,6.7299,6.66,6.68,111132
2020-04-16 15:05:00,6.68,6.69,6.645,6.66,53651
2020-04-16 15:10:00,6.66,6.7,6.66,6.7,35501
2020-04-16 15:15:00,6.7,6.73,6.65,6.67,56544
2020-04-16 15:20:00,6.67,6.7,6.65,6.698,29948
2020-04-16 15:25:00,6.7,6.75,6.7,6.73,53429
2020-04-16 15:30:00,6.7399,6.74,6.68,6.68,25635
2020-04-16 15:35:00,6.68,6.69,6.66,6.66,34371
2020-04-16 15:40:00,6.65,6.67,6.62,6.62,55973
2020-04-16 15:45:00,6.63,6.66,6.6228,6.645,46813
2020-04-16 15:50:00,6.64,6.67,6.62,6.67,27932
2020-04-16 15:55:00,6.6749,6.6749,6.64,6.6492,32088
2020-04-16 16:00:00,6.65,6.66,6.64,6.66,13144
2020-04-16 16:05:00,6.655,6.66,6.63,6.645,18275
2020-04-16 16:10:00,6.65,6.655,6.63,6.65,30314
2020-04-16 16:15:00,6.655,6.66,6.62,6.63,21890
2020-04-16 16:20:00,6.62,6.62,6.55,6.585,119229
2020-04-16 16:25:00,6.58,6.6,6.56,6.5998,29838
2020-04-16 16:30:00,6.6,6.6,6.5,6.51,46377
2020-04-16 16:35:00,6.515,6.6,6.515,6.59,58724
2020-04-16 16:40:00,6.59,6.62,6.585,6.6117,64731
2020-04-16 16:45:00,6.615,6.615,6.5663,6.5815,38449
2020-04-16 16:50:00,6.59,6.605,6.575,6.59,31639
2020-04-16 16:55:00,6.58,6.59,6.565,6.58,22037
2020-04-16 17:00:00,6.57,6.58,6.565,6.57,16416
2020-04-16 17:05:00,6.575,6.585,6.55,6.55,36563
2020-04-16 17:10:00,6.55,6.585,6.55,6.58,14846
2020-04-16 17:15:00,6.58,6.605,6.58,6.6,20865
2020-04-16 17:20:00,6.605,6.66,6.605,6.65,94740
2020-04-16 17:25:00,6.66,6.67,6.63,6.635,34946
2020-04-16 17:30:00,6.635,6.65,6.625,6.63,21052
2020-04-16 17:35:00,6.625,6.63,6.575,6.575,24310
2020-04-16 17:40:00,6.575,6.595,6.56,6.595,25274
2020-04-16 17:45:00,6.595,6.605,6.58,6.595,18303
2020-04-16 17:50:00,6.6,6.62,6.58,6.59,32034
2020-04-16 17:55:00,6.59,6.61,6.57,6.585,44682
2020-04-16 18:00:00,6.585,6.585,6.555,6.575,54569
2020-04-16 18:05:00,6.575,6.605,6.575,6.595,27709
2020-04-16 18:10:00,6.595,6.6,6.56,6.57,37071
2020-04-16 18:15:00,6.565,6.6,6.565,6.59,28033
2020-04-16 18:20:00,6.58,6.58,6.535,6.535,27232
2020-04-16 18:25:00,6.535,6.55,6.525,6.54,47518
2020-04-16 18:30:00,6.545,6.575,6.54,6.575,57797
2020-04-16 18:35:00,6.57,6.585,6.56,6.575,50599
2020-04-16 18:40:00,6.575,6.575,6.54,6.545,73984
2020-04-16 18:45:00,6.545,6.58,6.54,6.55,46054
2020-04-16 18:50:00,6.545,6.56,6.525,6.555,59084
2020-04-16 18:55:00,6.555,6.565,6.545,6.555,41296
2020-04-16 19:00:00,6.55,6.56,6.53,6.535,49932
2020-04-16 19:05:00,6.535,6.55,6.53,6.545,34169
2020-04-16 19:10:00,6.55,6.56,6.55,6.555,32053
2020-04-16 19:15:00,6.555,6.6,6.545,6.6,133698
2020-04-16 19:20:00,6.595,6.63,6.59,6.63,39623
2020-04-16 19:25:00,6.625,6.665,6.62,6.655,102426
2020-04-16 19:30:00,6.655,6.67,6.63,6.645,81680
2020-04-16 19:35:00,6.645,6.655,6.615,6.63,101891
2020-04-16 19:40:00,6.63,6.66,6.62,6.655,45754
2020-04-16 19:45:00,6.66,6.68,6.66,6.66,189810
2020-04-16 19:50:00,6.665,6.71,6.655,6.71,169784
2020-04-16 19:55:00,6.705,6.71,6.68,6.7,550761
2020-04-16 20:00:00,6.69,6.69,6.69,6.69,253126
2020-04-16 20:05:00,6.7,6.7,6.7,6.7,230
2020-04-16 20:40:00,6.7,6.7,6.7,6.7,500
2020-04-16 21:10:00,6.7,6.7,6.7,6.7,200
2020-04-16 21:20:00,6.69,6.69,6.69,6.69,499
2020-04-16 22:10:00,6.69,6.69,6.69,6.69,448
2020-04-16 22:35:00,6.56,6.56,6.56,6.56,350
2020-04-16 22:40:00,6.56,6.56,6.56,6.56,350
2020-04-16 22:55:00,6.56,6.56,6.56,6.56,100
2020-04-16 23:20:00,6.56,6.56,6.56,6.56,201
2020-04-16 23:40:00,6.56,6.56,6.56,6.56,449
2020-04-17 08:00:00,6.38,6.38,6.28,6.28,1200
2020-04-17 08:10:00,6.3,6.3,6.3,6.3,100
2020-04-17 08:15:00,6.3,6.3,6.29,6.3,3900
2020-04-17 09:05:00,6.41,6.41,6.41,6.41,1500
2020-04-17 09:25:00,6.41,6.41,6.41,6.41,299
2020-04-17 09:35:00,6.41,6.41,6.41,6.41,600
2020-04-17 09:40:00,6.42,6.42,6.41,6.41,600
2020-04-17 09:45:00,6.39,6.39,6.39,6.39,500
2020-04-17 10:05:00,6.36,6.36,6.36,6.36,1500
2020-04-17 10:15:00,6.36,6.36,6.36,6.36,100
2020-04-17 10:30:00,6.35,6.35,6.35,6.35,500
2020-04-17 10:35:00,6.33,6.33,6.31,6.31,980
2020-04-17 11:00:00,6.34,6.38,6.34,6.38,1100
2020-04-17 11:05:00,6.39,6.39,6.39,6.39,400
2020-04-17 11:10:00,6.38,6.38,6.38,6.38,100
2020-04-17 11:15:00,6.39,6.39,6.39,6.39,100
2020-04-17 11:20:00,6.36,6.36,6.36,6.36,200
2020-04-17 11:25:00,6.34,6.34,6.34,6.34,100
2020-04-17 11:50:00,6.34,6.34,6.34,6.34,450
2020-04-17 12:00:00,6.34,6.34,6.34,6.34,2309
2020-04-17 12:05:00,6.39,6.39,6.39,6.39,300
2020-04-17 12:15:00,6.4,6.4,6.38,6.38,2400
2020-04-17 12:20:00,6.38,6.39,6.38,6.39,290
2020-04-17 12:30:00,6.42,6.45,6.42,6.45,4190
2020-04-17 12:35:00,6.46,6.49,6.45,6.45,38008
2020-04-17 12:40:00,6.5,6.5,6.48,6.48,4100
2020-04-17 12:45:00,6.48,6.48,6.48,6.48,100
2020-04-17 12:50:00,6.47,6.47,6.46,6.46,1700
2020-04-17 12:55:00,6.43,6.46,6.43,6.46,1348
2020-04-17 13:00:00,6.44,6.44,6.44,6.44,1200
2020-04-17 13:05:00,6.4,6.43,6.4,6.43,3100
2020-04-17 13:10:00,6.44,6.44,6.44,6.44,4100
2020-04-17 13:15:00,6.44,6.48,6.44,6.48,3171
2020-04-17 13:20:00,6.48,6.5,6.48,6.5,4892
2020-04-17 13:25:00,6.51,6.51,6.49,6.49,7300
2020-04-17 13:30:00,6.45,6.46,6.37,6.395,202716
2020-04-17 13:35:00,6.4,6.475,6.38,6.46,147441
2020-04-17 13:40:00,6.47,6.52,6.47,6.505,165035
2020-04-17 13:45:00,6.505,6.51,6.38,6.38,85429
2020-04-17 13:50:00,6.38,6.4366,6.35,6.42,124923
2020-04-17 13:55:00,6.415,6.455,6.41,6.435,84768
2020-04-17 14:00:00,6.435,6.44,6.34,6.38,172234
2020-04-17 14:05:00,6.38,6.38,6.31,6.33,119653
2020-04-17 14:10:00,6.325,6.34,6.285,6.295,176917
2020-04-17 14:15:00,6.3,6.33,6.28,6.33,112773
2020-04-17 14:20:00,6.33,6.35,6.305,6.345,105886
2020-04-17 14:25:00,6.34,6.34,6.29,6.295,111614
2020-04-17 14:30:00,6.29,6.32,6.28,6.295,93912
2020-04-17 14:35:00,6.3,6.3,6.262,6.29,132799
2020-04-17 14:40:00,6.295,6.31,6.26,6.265,99910
2020-04-17 14:45:00,6.26,6.3,6.255,6.29,105033
2020-04-17 14:50:00,6.295,6.34,6.295,6.3266,144920
2020-04-17 14:55:00,6.325,6.335,6.305,6.31,198768
2020-04-17 15:00:00,6.32,6.34,6.315,6.325,61788
2020-04-17 15:05:00,6.33,6.34,6.285,6.3,224366
2020-04-17 15:10:00,6.295,6.34,6.295,6.338,72262
2020-04-17 15:15:00,6.33,6.35,6.32,6.33,68619
2020-04-17 15:20:00,6.34,6.36,6.32,6.35,93096
2020-04-17 15:25:00,6.35,6.37,6.345,6.365,72463
2020-04-17 15:30:00,6.365,6.37,6.345,6.37,68678
2020-04-17 15:35:00,6.365,6.405,6.365,6.388,56657
2020-04-17 15:40:00,6.38,6.38,6.34,6.34,37325
2020-04-17 15:45:00,6.345,6.345,6.315,6.325,139868
2020-04-17 15:50:00,6.325,6.37,6.305,6.36,118928
