datetime,open,high,low,close,volume
2020-04-16 13:15:00,2.21,2.21,2.21,2.21,200
2020-04-16 13:30:00,2.2,2.21,2.17,2.18,193772
2020-04-16 13:35:00,2.17,2.17,2.15,2.16,66127
2020-04-16 13:40:00,2.155,2.17,2.155,2.17,21465
2020-04-16 13:45:00,2.17,2.17,2.15,2.16,84361
2020-04-16 13:50:00,2.155,2.16,2.145,2.15,205272
2020-04-16 13:55:00,2.145,2.15,2.105,2.12,627280
2020-04-16 14:00:00,2.115,2.14,2.115,2.12,233781
2020-04-16 14:05:00,2.12,2.14,2.11,2.135,120679
2020-04-16 14:10:00,2.1399,2.14,2.12,2.12,42083
2020-04-16 14:15:00,2.125,2.15,2.11,2.11,222631
2020-04-16 14:20:00,2.11,2.14,2.1,2.135,367135
2020-04-16 14:25:00,2.13,2.135,2.11,2.12,119353
2020-04-16 14:30:00,2.13,2.14,2.12,2.13,149502
2020-04-16 14:35:00,2.1299,2.14,2.125,2.14,231745
2020-04-16 14:40:00,2.13,2.17,2.13,2.17,251260
2020-04-16 14:45:00,2.16,2.18,2.16,2.175,41098
2020-04-16 14:50:00,2.175,2.175,2.15,2.16,49363
2020-04-16 14:55:00,2.155,2.18,2.155,2.165,111512
2020-04-16 15:00:00,2.165,2.2,2.16,2.185,112297
2020-04-16 15:05:00,2.185,2.21,2.185,2.2,68844
2020-04-16 15:10:00,2.2,2.2,2.18,2.18,59956
2020-04-16 15:15:00,2.18,2.2,2.17,2.19,92354
2020-04-16 15:20:00,2.19,2.2,2.175,2.175,149031
2020-04-16 15:25:00,2.175,2.19,2.17,2.175,76786
2020-04-16 15:30:00,2.175,2.18,2.16,2.16,82343
2020-04-16 15:35:00,2.16,2.19,2.155,2.19,151878
2020-04-16 15:40:00,2.185,2.19,2.175,2.175,99300
2020-04-16 15:45:00,2.175,2.19,2.17,2.18,109943
2020-04-16 15:50:00,2.19,2.22,2.185,2.215,81197
2020-04-16 15:55:00,2.215,2.22,2.2,2.2,213562
2020-04-16 16:00:00,2.21,2.21,2.19,2.2,63445
2020-04-16 16:05:00,2.2,2.2,2.19,2.2,37063
2020-04-16 16:10:00,2.19,2.2,2.18,2.19,225116
2020-04-16 16:15:00,2.19,2.195,2.165,2.17,100533
2020-04-16 16:20:00,2.1699,2.18,2.155,2.165,388837
2020-04-16 16:25:00,2.1662,2.17,2.155,2.165,156673
2020-04-16 16:30:00,2.17,2.17,2.155,2.165,291523
2020-04-16 16:35:00,2.16,2.18,2.16,2.165,157192
2020-04-16 16:40:00,2.17,2.18,2.165,2.165,124085
2020-04-16 16:45:00,2.17,2.17,2.16,2.17,137214
2020-04-16 16:50:00,2.17,2.18,2.165,2.175,128700
2020-04-16 16:55:00,2.1703,2.18,2.165,2.175,112450
2020-04-16 17:00:00,2.175,2.18,2.175,2.175,3765
2020-04-16 17:05:00,2.175,2.18,2.165,2.17,73066
2020-04-16 17:10:00,2.17,2.17,2.1601,2.17,40218
2020-04-16 17:15:00,2.165,2.18,2.165,2.175,173319
2020-04-16 17:20:00,2.175,2.18,2.165,2.165,48823
2020-04-16 17:25:00,2.165,2.17,2.165,2.17,91057
2020-04-16 17:30:00,2.165,2.18,2.165,2.18,69025
2020-04-16 17:35:00,2.175,2.18,2.17,2.17,40620
2020-04-16 17:40:00,2.17,2.17,2.16,2.17,121621
2020-04-16 17:45:00,2.17,2.18,2.16,2.17,195417
2020-04-16 17:50:00,2.16,2.17,2.15,2.15,46621
