datetime,open,high,low,close,volume
2020-04-16 08:00:00,75.0,75.02,74.94,74.94,515
2020-04-16 08:05:00,75.15,75.15,75.01,75.01,306
2020-04-16 08:15:00,75.16,75.37,75.16,75.37,220
2020-04-16 08:20:00,75.36,75.36,75.25,75.27,754
2020-04-16 08:55:00,75.49,75.49,75.49,75.49,200
2020-04-16 09:00:00,75.35,75.35,75.35,75.35,200
2020-04-16 09:20:00,75.14,75.14,75.14,75.14,105
2020-04-16 09:35:00,75.27,75.27,75.25,75.25,407
2020-04-16 09:40:00,75.27,75.27,75.27,75.27,226
2020-04-16 10:25:00,75.27,75.27,75.27,75.27,180
2020-04-16 11:00:00,75.12,75.12,75.12,75.12,100
2020-04-16 11:10:00,74.89,74.93,74.89,74.93,420
2020-04-16 11:20:00,75.19,75.19,75.19,75.19,127
2020-04-16 11:25:00,75.25,75.25,75.25,75.25,2650
2020-04-16 11:35:00,75.05,75.05,75.03,75.03,221
2020-04-16 11:40:00,75.03,75.03,74.99,74.99,970
2020-04-16 12:00:00,75.05,75.1,74.88,75.1,3794
2020-04-16 12:05:00,75.1,75.1,75.05,75.05,677
2020-04-16 12:10:00,75.0,75.0,74.9,74.9,1083
2020-04-16 12:15:00,74.91,74.91,74.45,74.45,3153
2020-04-16 12:20:00,74.55,74.88,74.55,74.88,4249
2020-04-16 12:25:00,74.69,74.9,74.69,74.9,3414
2020-04-16 12:30:00,75.1,75.1,75.1,75.1,431
2020-04-16 12:35:00,74.91,75.2,74.91,75.1999,3829
2020-04-16 12:40:00,75.13,75.15,75.05,75.15,2865
2020-04-16 12:45:00,75.1,75.1,75.01,75.01,1089
2020-04-16 12:50:00,75.15,75.15,75.15,75.15,1155
2020-04-16 13:00:00,75.1198,75.12,75.05,75.05,2508
2020-04-16 13:05:00,75.01,75.05,74.95,74.95,1273
2020-04-16 13:10:00,74.99,75.0,74.99,74.99,400
2020-04-16 13:15:00,74.99,74.99,74.68,74.74,3118
2020-04-16 13:20:00,74.7401,74.76,74.74,74.74,5112
2020-04-16 13:25:00,74.74,74.79,74.73,74.79,1080
2020-04-16 13:30:00,74.94,75.11,74.76,74.81,258382
2020-04-16 13:35:00,74.84,75.0,74.65,74.92,108875
2020-04-16 13:40:00,74.93,74.94,74.66,74.72,98015
2020-04-16 13:45:00,74.73,75.03,74.73,74.9,135004
2020-04-16 13:50:00,74.8958,75.1427,74.89,74.95,93631
2020-04-16 13:55:00,74.945,75.1662,74.94,75.05,91204
2020-04-16 14:00:00,75.03,75.08,74.67,74.67,115755
2020-04-16 14:05:00,74.68,74.73,74.45,74.64,131105
2020-04-16 14:10:00,74.69,74.8762,74.52,74.525,111438
2020-04-16 14:15:00,74.5301,75.04,74.5301,74.99,151913
2020-04-16 14:20:00,74.98,75.38,74.94,75.07,324296
2020-04-16 14:25:00,75.0999,75.32,74.86,75.2155,123776
2020-04-16 14:30:00,75.2,75.91,75.16,75.67,235571
2020-04-16 14:35:00,75.68,75.75,75.6,75.65,98583
2020-04-16 14:40:00,75.65,75.77,75.46,75.625,200963
