datetime,open,high,low,close,volume
2020-04-16 08:00:00,24.78,24.78,24.78,24.78,750
2020-04-16 08:20:00,24.66,24.7,24.66,24.7,3333
2020-04-16 08:25:00,24.67,24.67,24.67,24.67,500
2020-04-16 08:35:00,24.6,24.6,24.53,24.53,500
2020-04-16 08:45:00,24.6,24.6,24.6,24.6,200
2020-04-16 09:00:00,24.59,24.61,24.59,24.61,500
2020-04-16 09:05:00,24.66,24.66,24.66,24.66,200
2020-04-16 09:10:00,24.67,24.68,24.67,24.68,300
2020-04-16 09:20:00,24.66,24.66,24.66,24.66,200
2020-04-16 09:25:00,24.66,24.66,24.65,24.66,400
2020-04-16 09:40:00,24.59,24.66,24.59,24.66,659
2020-04-16 09:45:00,24.61,24.61,24.61,24.61,100
2020-04-16 09:55:00,24.66,24.66,24.66,24.66,500
2020-04-16 10:05:00,24.67,24.67,24.67,24.67,100
2020-04-16 10:10:00,24.64,24.64,24.64,24.64,1304
2020-04-16 10:25:00,24.64,24.64,24.64,24.64,1600
2020-04-16 10:55:00,24.72,24.72,24.72,24.72,900
2020-04-16 11:00:00,24.72,24.79,24.7,24.79,3948
2020-04-16 11:05:00,24.77,24.77,24.77,24.77,810
2020-04-16 11:10:00,24.76,24.76,24.76,24.76,327
2020-04-16 11:15:00,24.79,24.79,24.79,24.79,100
2020-04-16 11:25:00,24.79,24.8,24.79,24.8,1800
2020-04-16 11:30:00,24.8,24.8,24.8,24.8,1800
2020-04-16 11:35:00,24.8,24.8,24.8,24.8,1837
2020-04-16 11:45:00,24.78,24.81,24.78,24.79,400
2020-04-16 11:50:00,24.81,24.81,24.81,24.81,240
2020-04-16 11:55:00,24.8,24.81,24.8,24.81,2660
2020-04-16 12:00:00,24.82,24.91,24.82,24.91,1625
2020-04-16 12:05:00,24.92,24.98,24.92,24.93,8016
2020-04-16 12:10:00,24.93,24.93,24.87,24.9,7900
2020-04-16 12:15:00,24.8998,24.92,24.8998,24.92,11000
2020-04-16 12:20:00,24.9098,24.92,24.85,24.85,9089
2020-04-16 12:25:00,24.84,24.85,24.8,24.81,10424
2020-04-16 12:30:00,24.82,24.82,24.75,24.75,13046
2020-04-16 12:35:00,24.85,24.89,24.84,24.84,4106
2020-04-16 12:40:00,24.84,24.84,24.66,24.69,8918
2020-04-16 12:45:00,24.67,24.81,24.65,24.81,5954
2020-04-16 12:50:00,24.7,24.7,24.69,24.69,1825
2020-04-16 12:55:00,24.7,24.75,24.7,24.75,8614
2020-04-16 13:00:00,24.7,24.7,24.69,24.69,3530
2020-04-16 13:05:00,24.69,24.69,24.68,24.68,2214
2020-04-16 13:10:00,24.66,24.66,24.65,24.65,5000
2020-04-16 13:15:00,24.65,24.65,24.65,24.65,2754
2020-04-16 13:20:00,24.63,24.65,24.61,24.6499,7133
2020-04-16 13:25:00,24.6,24.6,24.5,24.5,41453
2020-04-16 13:30:00,24.5,24.7499,24.45,24.61,1011950
2020-04-16 13:35:00,24.62,24.67,24.45,24.62,348736
2020-04-16 13:40:00,24.6299,24.73,24.615,24.65,480528
2020-04-16 13:45:00,24.65,24.86,24.65,24.78,353744
2020-04-16 13:50:00,24.775,24.81,24.58,24.695,325098
2020-04-16 13:55:00,24.69,24.81,24.68,24.71,417992
2020-04-16 14:00:00,24.71,24.917,24.7,24.795,531367
2020-04-16 14:05:00,24.805,25.11,24.74,25.1,583972
2020-04-16 14:10:00,25.1,25.1057,24.905,24.9894,420050
2020-04-16 14:15:00,24.99,25.02,24.87,24.95,367471
2020-04-16 14:20:00,24.95,25.0,24.89,24.95,509226
2020-04-16 14:25:00,24.94,24.945,24.75,24.84,343048
2020-04-16 14:30:00,24.83,24.87,24.66,24.725,292366
2020-04-16 14:35:00,24.74,24.85,24.705,24.8392,475944
2020-04-16 14:40:00,24.835,24.91,24.8,24.8901,447363
2020-04-16 14:45:00,24.895,24.91,24.7275,24.778,236646
2020-04-16 14:50:00,24.77,24.82,24.73,24.8,364646
2020-04-16 14:55:00,24.8,24.86,24.62,24.67,340171
2020-04-16 15:00:00,24.67,24.87,24.66,24.73,331476
2020-04-16 15:05:00,24.74,24.78,24.623,24.65,205462
2020-04-16 15:10:00,24.65,24.78,24.65,24.75,191696
2020-04-16 15:15:00,24.75,24.79,24.705,24.76,131400
2020-04-16 15:20:00,24.765,24.86,24.75,24.8243,179582
2020-04-16 15:25:00,24.825,24.96,24.811,24.91,256666
2020-04-16 15:30:00,24.915,24.935,24.8,24.8,166685
2020-04-16 15:35:00,24.81,24.82,24.71,24.725,118433
2020-04-16 15:40:00,24.72,24.78,24.64,24.6799,287104
2020-04-16 15:45:00,24.68,24.82,24.68,24.78,182608
2020-04-16 15:50:00,24.79,24.9,24.74,24.855,148871
2020-04-16 15:55:00,24.855,24.885,24.8,24.83,114971
2020-04-16 16:00:00,24.83,24.9,24.81,24.9,141698
2020-04-16 16:05:00,24.9,24.9,24.81,24.83,144288
2020-04-16 16:10:00,24.83,24.89,24.815,24.8258,98146
2020-04-16 16:15:00,24.83,24.85,24.71,24.73,117159
2020-04-16 16:20:00,24.72,24.73,24.54,24.63,225873
2020-04-16 16:25:00,24.6255,24.65,24.58,24.61,143421
2020-04-16 16:30:00,24.61,24.61,24.36,24.398,204954
2020-04-16 16:35:00,24.4,24.64,24.39,24.63,175709
2020-04-16 16:40:00,24.62,24.6599,24.59,24.62,121070
2020-04-16 16:45:00,24.63,24.64,24.54,24.55,108283
2020-04-16 16:50:00,24.555,24.6,24.52,24.58,75664
2020-04-16 16:55:00,24.58,24.62,24.543,24.6173,68492
2020-04-16 17:00:00,24.61,24.62,24.58,24.585,81577
2020-04-16 17:05:00,24.5899,24.6101,24.53,24.535,78635
2020-04-16 17:10:00,24.53,24.64,24.52,24.6301,112718
2020-04-16 17:15:00,24.63,24.7,24.59,24.67,154236
2020-04-16 17:20:00,24.665,24.69,24.61,24.6525,113740
2020-04-16 17:25:00,24.655,24.6999,24.6,24.61,143416
2020-04-16 17:30:00,24.61,24.65,24.59,24.65,82021
2020-04-16 17:35:00,24.64,24.65,24.51,24.51,124706
2020-04-16 17:40:00,24.51,24.6,24.48,24.57,98597
2020-04-16 17:45:00,24.57,24.63,24.56,24.6,71290
2020-04-16 17:50:00,24.6,24.66,24.555,24.57,94919
2020-04-16 17:55:00,24.5759,24.62,24.565,24.59,107667
2020-04-16 18:00:00,24.59,24.615,24.58,24.6,60223
2020-04-16 18:05:00,24.6,24.7001,24.595,24.68,116327
2020-04-16 18:10:00,24.68,24.705,24.63,24.66,153391
2020-04-16 18:15:00,24.66,24.71,24.66,24.665,87458
2020-04-16 18:20:00,24.6666,24.6674,24.515,24.52,147155
2020-04-16 18:25:00,24.53,24.61,24.5,24.59,171106
2020-04-16 18:30:00,24.6,24.66,24.6,24.65,77848
2020-04-16 18:35:00,24.65,24.7,24.63,24.7,98732
2020-04-16 18:40:00,24.69,24.695,24.655,24.6637,81982
2020-04-16 18:45:00,24.67,24.7,24.6095,24.63,92209
2020-04-16 18:50:00,24.6299,24.675,24.56,24.67,82090
2020-04-16 18:55:00,24.67,24.7,24.64,24.66,78450
2020-04-16 19:00:00,24.67,24.68,24.62,24.645,75901
2020-04-16 19:05:00,24.645,24.7,24.64,24.69,115019
2020-04-16 19:10:00,24.6958,24.71,24.67,24.695,83304
2020-04-16 19:15:00,24.695,24.75,24.66,24.75,225429
2020-04-16 19:20:00,24.75,24.8219,24.735,24.815,149187
2020-04-16 19:25:00,24.815,24.85,24.77,24.83,432912
2020-04-16 19:30:00,24.84,24.9,24.815,24.88,174437
2020-04-16 19:35:00,24.88,24.94,24.81,24.85,310575
2020-04-16 19:40:00,24.85,24.94,24.84,24.895,322769
2020-04-16 19:45:00,24.9,24.99,24.895,24.9699,313906
2020-04-16 19:50:00,24.97,25.07,24.97,25.065,443235
2020-04-16 19:55:00,25.06,25.07,24.98,25.0,615007
2020-04-16 20:00:00,24.9905,25.0,24.95,25.0,382191
2020-04-16 20:05:00,25.04,25.04,24.95,24.95,7600
2020-04-16 20:10:00,24.93,24.93,24.92,24.92,300
2020-04-16 20:15:00,24.93,25.0,24.93,25.0,14819
2020-04-16 20:25:00,24.92,24.92,24.83,24.83,955
2020-04-16 20:30:00,24.85,24.85,24.85,24.85,5000
2020-04-16 20:45:00,24.85,24.9,24.85,24.9,300
2020-04-16 20:50:00,24.84,24.84,24.84,24.84,200
2020-04-16 20:55:00,24.84,24.84,24.84,24.84,300
2020-04-16 21:00:00,25.0,25.05,24.94,25.05,7414
2020-04-16 21:05:00,25.01,25.01,25.0,25.0,1299
2020-04-16 21:10:00,25.01,25.02,25.0,25.02,1270
2020-04-16 21:15:00,25.04,25.04,24.81,24.81,1164
2020-04-16 21:20:00,24.81,24.9,24.81,24.9,600
2020-04-16 21:25:00,24.82,24.83,24.82,24.83,399
2020-04-16 21:35:00,24.83,24.83,24.83,24.83,1175
2020-04-16 21:40:00,24.83,24.83,24.83,24.83,301
2020-04-16 21:45:00,24.83,24.83,24.81,24.81,2174
2020-04-16 21:50:00,24.81,24.81,24.81,24.81,218
2020-04-16 21:55:00,24.81,24.81,24.5,24.5,4597
2020-04-16 22:00:00,24.65,24.65,24.36,24.36,8801
2020-04-16 22:05:00,24.45,24.48,24.4,24.48,715
2020-04-16 22:10:00,24.48,24.48,24.48,24.48,100
2020-04-16 22:15:00,24.53,24.53,24.48,24.48,2100
2020-04-16 22:20:00,24.48,24.48,24.48,24.48,200
2020-04-16 22:25:00,24.48,24.48,24.4,24.4,5613
2020-04-16 22:30:00,24.4,24.4,24.4,24.4,300
2020-04-16 22:35:00,24.41,24.41,24.3,24.3,2882
2020-04-16 22:40:00,24.3,24.3,24.11,24.16,5950
2020-04-16 22:45:00,24.16,24.3,24.11,24.2,8553
2020-04-16 22:50:00,24.22,24.3,24.22,24.3,688
2020-04-16 22:55:00,24.32,24.32,24.32,24.32,348
2020-04-16 23:00:00,24.35,24.35,24.35,24.35,500
2020-04-16 23:05:00,24.23,24.37,24.23,24.37,909
2020-04-16 23:10:00,24.32,24.32,24.32,24.32,400
2020-04-16 23:15:00,24.36,24.36,24.33,24.33,200
2020-04-16 23:20:00,24.25,24.25,24.25,24.25,300
2020-04-16 23:25:00,24.25,24.35,24.25,24.35,1100
2020-04-16 23:30:00,24.35,24.35,24.22,24.22,1460
2020-04-16 23:35:00,24.3,24.3,24.3,24.3,1800
2020-04-16 23:40:00,24.26,24.3,24.25,24.3,1445
2020-04-16 23:45:00,24.25,24.26,24.25,24.26,1150
2020-04-16 23:55:00,24.25,24.3,24.25,24.26,500
2020-04-17 08:15:00,24.03,24.09,24.03,24.09,599
2020-04-17 08:30:00,23.95,23.95,23.95,23.95,400
