datetime,open,high,low,close,volume
2020-04-16 09:10:00,7.74,7.74,7.73,7.73,1099
2020-04-16 11:10:00,7.95,7.95,7.9,7.9,2100
2020-04-16 11:30:00,7.89,7.89,7.89,7.89,189
2020-04-16 11:40:00,7.82,7.82,7.82,7.82,400
2020-04-16 12:00:00,7.81,7.81,7.81,7.81,4137
2020-04-16 12:20:00,7.82,7.82,7.82,7.82,476
2020-04-16 12:35:00,7.8,7.8,7.8,7.8,300
2020-04-16 12:45:00,7.75,7.75,7.71,7.71,1037
2020-04-16 12:55:00,7.71,7.71,7.71,7.71,125
2020-04-16 13:00:00,7.77,7.77,7.77,7.77,197
2020-04-16 13:15:00,7.81,7.81,7.81,7.81,500
2020-04-16 13:20:00,7.8,7.8,7.8,7.8,1000
2020-04-16 13:25:00,7.79,7.79,7.79,7.79,1000
2020-04-16 13:30:00,7.73,7.75,7.48,7.485,241202
2020-04-16 13:35:00,7.49,7.5499,7.41,7.52,101832
2020-04-16 13:40:00,7.53,7.63,7.52,7.56,197557
2020-04-16 13:45:00,7.563,7.57,7.5,7.505,100868
2020-04-16 13:50:00,7.5,7.55,7.49,7.495,114320
2020-04-16 13:55:00,7.495,7.52,7.49,7.505,100118
2020-04-16 14:00:00,7.505,7.53,7.49,7.495,48493
2020-04-16 14:05:00,7.495,7.5,7.48,7.49,67383
2020-04-16 14:10:00,7.49,7.53,7.48,7.481,95292
2020-04-16 14:15:00,7.485,7.5,7.435,7.455,46835
2020-04-16 14:20:00,7.45,7.5,7.44,7.5,26492
2020-04-16 14:25:00,7.5,7.585,7.495,7.585,66144
2020-04-16 14:30:00,7.585,7.69,7.56,7.68,154283
2020-04-16 14:35:00,7.68,7.74,7.615,7.615,119903
2020-04-16 14:40:00,7.62,7.68,7.62,7.655,116934
2020-04-16 14:45:00,7.65,7.69,7.645,7.68,73694
2020-04-16 14:50:00,7.68,7.73,7.66,7.665,51197
2020-04-16 14:55:00,7.675,7.74,7.675,7.705,71138
