datetime,open,high,low,close,volume
2020-04-16 08:00:00,40.06,40.22,40.06,40.22,6000
2020-04-16 08:10:00,40.33,40.33,40.33,40.33,200
2020-04-16 08:35:00,40.31,40.31,40.31,40.31,200
2020-04-16 09:50:00,40.2,40.2,40.2,40.2,200
2020-04-16 10:00:00,40.18,40.18,40.18,40.18,200
2020-04-16 10:15:00,40.25,40.25,40.25,40.25,1200
2020-04-16 10:20:00,40.28,40.28,40.28,40.28,200
2020-04-16 10:50:00,40.41,40.42,40.41,40.41,1500
2020-04-16 11:00:00,40.44,40.44,40.42,40.42,350
2020-04-16 11:05:00,40.42,40.42,40.41,40.41,3995
2020-04-16 11:35:00,40.4,40.4,40.38,40.38,200
2020-04-16 11:50:00,40.41,40.41,40.41,40.41,500
2020-04-16 12:00:00,40.51,40.51,40.47,40.47,3100
2020-04-16 12:10:00,40.5,40.5,40.5,40.5,400
2020-04-16 12:15:00,40.5,40.5,40.48,40.48,1600
2020-04-16 12:20:00,40.53,40.58,40.53,40.58,900
2020-04-16 12:25:00,40.55,40.6,40.55,40.6,1408
2020-04-16 12:30:00,40.7,40.7,40.7,40.7,100
2020-04-16 12:35:00,40.59,40.59,40.59,40.59,300
2020-04-16 12:40:00,40.6,40.6,40.6,40.6,100
2020-04-16 12:45:00,40.58,40.58,40.58,40.58,100
2020-04-16 12:50:00,40.59,40.62,40.59,40.62,1025
2020-04-16 13:00:00,40.66,40.75,40.66,40.75,2600
2020-04-16 13:10:00,40.65,40.65,40.64,40.64,200
2020-04-16 13:15:00,40.68,40.68,40.67,40.67,2800
2020-04-16 13:20:00,40.85,40.86,40.85,40.86,1000
2020-04-16 13:25:00,40.9,40.9,40.86,40.89,5300
2020-04-16 13:30:00,40.93,41.12,40.85,40.99,238782
2020-04-16 13:35:00,40.99,40.99,40.86,40.88,69668
2020-04-16 13:40:00,40.88,40.95,40.84,40.95,75569
2020-04-16 13:45:00,40.96,40.995,40.855,40.895,81273
2020-04-16 13:50:00,40.89,40.99,40.885,40.95,96678
2020-04-16 13:55:00,40.94,40.98,40.89,40.9,78389
2020-04-16 14:00:00,40.91,40.95,40.835,40.85,87801
2020-04-16 14:05:00,40.845,40.9501,40.82,40.94,50509
2020-04-16 14:10:00,40.935,41.0,40.86,40.99,59884
2020-04-16 14:15:00,41.0,41.1869,41.0,41.1599,55535
2020-04-16 14:20:00,41.165,41.17,40.98,41.07,55482
2020-04-16 14:25:00,41.06,41.1199,40.98,40.98,44568
2020-04-16 14:30:00,40.97,40.98,40.84,40.94,44219
2020-04-16 14:35:00,40.9399,40.9399,40.82,40.85,28005
2020-04-16 14:40:00,40.8444,40.98,40.825,40.9199,43236
2020-04-16 14:45:00,40.92,41.08,40.92,41.06,67584
2020-04-16 14:50:00,41.06,41.08,40.995,41.06,73316
2020-04-16 14:55:00,41.06,41.15,41.06,41.14,62098
2020-04-16 15:00:00,41.15,41.175,41.01,41.06,52625
2020-04-16 15:05:00,41.06,41.155,41.03,41.03,43442
2020-04-16 15:10:00,41.04,41.2,41.04,41.12,62444
2020-04-16 15:15:00,41.12,41.235,41.12,41.22,56175
2020-04-16 15:20:00,41.22,41.2625,41.17,41.22,103959
2020-04-16 15:25:00,41.22,41.34,41.1805,41.285,76955
2020-04-16 15:30:00,41.285,41.44,41.18,41.4,181668
2020-04-16 15:35:00,41.38,41.44,41.31,41.38,188564
2020-04-16 15:40:00,41.39,41.42,41.34,41.3499,40015
2020-04-16 15:45:00,41.345,41.39,41.32,41.35,36111
2020-04-16 15:50:00,41.3491,41.46,41.305,41.46,30990
2020-04-16 15:55:00,41.459,41.49,41.41,41.419,39713
2020-04-16 16:00:00,41.41,41.4672,41.3601,41.38,51396
2020-04-16 16:05:00,41.39,41.4,41.34,41.34,29594
2020-04-16 16:10:00,41.3402,41.35,41.3,41.32,39459
2020-04-16 16:15:00,41.32,41.34,41.24,41.2598,51043
2020-04-16 16:20:00,41.26,41.33,41.21,41.31,52758
2020-04-16 16:25:00,41.31,41.4,41.26,41.39,53978
2020-04-16 16:30:00,41.38,41.385,41.16,41.21,64512
2020-04-16 16:35:00,41.21,41.275,41.185,41.248,56450
2020-04-16 16:40:00,41.24,41.29,41.22,41.29,28821
2020-04-16 16:45:00,41.29,41.38,41.28,41.38,53736
2020-04-16 16:50:00,41.37,41.38,41.31,41.33,29319
2020-04-16 16:55:00,41.31,41.34,41.24,41.32,22068
2020-04-16 17:00:00,41.32,41.39,41.32,41.3753,58765
2020-04-16 17:05:00,41.38,41.4399,41.38,41.3899,44442
2020-04-16 17:10:00,41.382,41.43,41.375,41.42,13172
2020-04-16 17:15:00,41.43,41.525,41.42,41.4968,63900
2020-04-16 17:20:00,41.495,41.5499,41.495,41.5121,28573
2020-04-16 17:25:00,41.51,41.54,41.5,41.53,22958
2020-04-16 17:30:00,41.53,41.54,41.5,41.5101,19306
2020-04-16 17:35:00,41.51,41.57,41.5,41.5,39286
2020-04-16 17:40:00,41.5002,41.58,41.5,41.55,42193
2020-04-16 17:45:00,41.55,41.615,41.535,41.58,25009
2020-04-16 17:50:00,41.58,41.585,41.51,41.54,29547
2020-04-16 17:55:00,41.54,41.547,41.5,41.515,30876
2020-04-16 18:00:00,41.515,41.54,41.495,41.5076,55284
2020-04-16 18:05:00,41.5,41.6449,41.495,41.63,60117
2020-04-16 18:10:00,41.6243,41.645,41.56,41.61,43437
2020-04-16 18:15:00,41.6124,41.62,41.565,41.595,35839
2020-04-16 18:20:00,41.59,41.6,41.53,41.55,32167
2020-04-16 18:25:00,41.54,41.5898,41.505,41.58,47882
2020-04-16 18:30:00,41.55,41.6,41.54,41.58,29850
2020-04-16 18:35:00,41.575,41.705,41.565,41.69,65542
2020-04-16 18:40:00,41.7,41.7,41.6343,41.655,72660
2020-04-16 18:45:00,41.66,41.68,41.525,41.5394,37351
2020-04-16 18:50:00,41.54,41.6,41.535,41.6,37143
2020-04-16 18:55:00,41.6,41.64,41.59,41.62,43877
2020-04-16 19:00:00,41.62,41.63,41.55,41.555,50080
2020-04-16 19:05:00,41.56,41.59,41.53,41.55,54120
2020-04-16 19:10:00,41.555,41.6,41.545,41.595,45454
2020-04-16 19:15:00,41.595,41.63,41.585,41.61,75116
2020-04-16 19:20:00,41.61,41.69,41.61,41.68,51519
2020-04-16 19:25:00,41.685,41.755,41.645,41.74,61305
2020-04-16 19:30:00,41.7429,41.79,41.725,41.77,55458
2020-04-16 19:35:00,41.78,41.83,41.78,41.805,115647
2020-04-16 19:40:00,41.81,41.835,41.795,41.8001,92560
2020-04-16 19:45:00,41.81,41.86,41.79,41.7958,109962
2020-04-16 19:50:00,41.795,41.87,41.795,41.85,156744
2020-04-16 19:55:00,41.845,41.895,41.805,41.81,281594
2020-04-16 20:00:00,41.8,41.8,41.8,41.8,42455
2020-04-16 20:10:00,41.85,41.85,41.85,41.85,500
2020-04-16 20:25:00,41.8502,41.8502,41.8502,41.8502,100
2020-04-16 20:35:00,41.8,41.8,41.8,41.8,115
2020-04-16 20:45:00,41.85,41.85,41.85,41.85,100
2020-04-16 20:55:00,41.9,41.9,41.9,41.9,100
2020-04-16 21:00:00,42.0,42.0,42.0,42.0,100
2020-04-16 21:10:00,42.09,42.09,42.09,42.09,100
2020-04-16 21:20:00,42.0902,42.0902,42.0902,42.0902,200
2020-04-16 21:40:00,42.75,42.75,42.75,42.75,200
2020-04-16 21:55:00,42.9,42.9,42.9,42.9,210
2020-04-16 22:00:00,42.5,42.5,42.5,42.5,975
2020-04-16 22:05:00,42.9,42.9,42.9,42.9,279
2020-04-16 22:30:00,42.5001,42.5001,42.5001,42.5001,498
2020-04-16 22:45:00,42.5,42.5,42.5,42.5,100
2020-04-16 23:05:00,42.51,42.51,42.51,42.51,100
2020-04-16 23:10:00,42.73,42.73,42.73,42.73,200
2020-04-16 23:25:00,42.52,42.52,42.52,42.52,100
2020-04-16 23:30:00,42.52,42.52,42.52,42.52,250
2020-04-16 23:50:00,42.69,42.69,42.69,42.69,175
2020-04-16 23:55:00,42.69,42.69,42.69,42.69,277
2020-04-17 08:00:00,42.11,42.11,42.11,42.11,220
2020-04-17 08:05:00,41.93,41.93,41.88,41.88,550
2020-04-17 09:50:00,42.03,42.03,42.03,42.03,100
2020-04-17 10:50:00,42.17,42.17,42.17,42.17,800
2020-04-17 11:00:00,42.24,42.26,42.19,42.26,1170
2020-04-17 11:05:00,42.24,42.24,42.15,42.15,1225
2020-04-17 11:15:00,42.25,42.25,42.25,42.25,100
2020-04-17 11:25:00,42.24,42.24,42.24,42.24,100
2020-04-17 11:30:00,42.19,42.19,42.16,42.18,3690
2020-04-17 11:35:00,42.19,42.19,42.15,42.15,200
2020-04-17 11:45:00,42.29,42.29,42.29,42.29,150
2020-04-17 11:50:00,42.27,42.39,42.27,42.39,700
2020-04-17 12:10:00,42.31,42.38,42.31,42.38,400
2020-04-17 12:20:00,42.42,42.43,42.42,42.42,700
2020-04-17 12:25:00,42.4399,42.4399,42.42,42.42,313
2020-04-17 12:35:00,42.35,42.35,42.31,42.32,859
2020-04-17 12:45:00,42.36,42.38,42.3599,42.38,1697
2020-04-17 12:50:00,42.39,42.39,42.39,42.39,600
2020-04-17 12:55:00,42.3,42.3,42.3,42.3,500
2020-04-17 13:00:00,42.28,42.28,42.25,42.26,1126
2020-04-17 13:05:00,42.23,42.23,42.2,42.2,1066
2020-04-17 13:10:00,42.2,42.21,42.2,42.2,1080
2020-04-17 13:15:00,42.2202,42.2202,42.2202,42.2202,100
2020-04-17 13:20:00,42.26,42.3641,42.2,42.3641,57311
2020-04-17 13:25:00,42.27,42.32,42.26,42.3,7630
2020-04-17 13:30:00,42.3,42.39,42.28,42.2882,276923
2020-04-17 13:35:00,42.28,42.3399,42.19,42.3399,141081
2020-04-17 13:40:00,42.33,42.34,42.24,42.3262,102656
2020-04-17 13:45:00,42.32,42.365,42.24,42.25,78289
2020-04-17 13:50:00,42.24,42.248,42.115,42.125,60726
2020-04-17 13:55:00,42.12,42.255,42.12,42.16,50665
2020-04-17 14:00:00,42.16,42.215,42.08,42.2,97471
2020-04-17 14:05:00,42.21,42.31,42.17,42.3,95063
2020-04-17 14:10:00,42.305,42.305,42.145,42.145,67703
2020-04-17 14:15:00,42.14,42.14,42.07,42.1,67134
2020-04-17 14:20:00,42.085,42.11,42.06,42.095,35537
2020-04-17 14:25:00,42.08,42.095,42.01,42.0865,89976
2020-04-17 14:30:00,42.085,42.14,42.08,42.12,67644
2020-04-17 14:35:00,42.1299,42.14,42.07,42.1301,44799
2020-04-17 14:40:00,42.14,42.16,42.01,42.02,57046
2020-04-17 14:45:00,42.015,42.03,41.88,41.91,60078
2020-04-17 14:50:00,41.91,41.985,41.89,41.97,37366
2020-04-17 14:55:00,41.975,42.02,41.92,41.985,41979
2020-04-17 15:00:00,41.98,42.02,41.95,41.97,55715
2020-04-17 15:05:00,41.97,41.98,41.89,41.92,86912
2020-04-17 15:10:00,41.925,41.95,41.865,41.9469,29944
2020-04-17 15:15:00,41.95,41.95,41.81,41.94,67410
2020-04-17 15:20:00,41.9498,41.95,41.84,41.84,111953
2020-04-17 15:25:00,41.845,41.865,41.73,41.81,97490
2020-04-17 15:30:00,41.81,41.97,41.7201,41.94,117037
2020-04-17 15:35:00,41.94,42.05,41.9299,42.01,43923
2020-04-17 15:40:00,42.02,42.08,41.99,42.03,41537
2020-04-17 15:45:00,42.02,42.05,41.99,42.025,43026
2020-04-17 15:50:00,42.03,42.09,42.0,42.08,27532
2020-04-17 15:55:00,42.07,42.0799,41.98,42.04,99112
2020-04-17 16:00:00,42.05,42.06,41.99,41.995,25251
2020-04-17 16:05:00,42.0,42.0262,41.99,42.005,30042
2020-04-17 16:10:00,41.9958,42.04,41.99,41.99,17799
2020-04-17 16:15:00,41.99,42.048,41.99,42.0399,32088
2020-04-17 16:20:00,42.035,42.065,42.015,42.045,29078
2020-04-17 16:25:00,42.045,42.06,42.02,42.035,23549
2020-04-17 16:30:00,42.031,42.05,42.015,42.045,22561
2020-04-17 16:35:00,42.04,42.08,42.025,42.03,27197
2020-04-17 16:40:00,42.03,42.08,42.02,42.0599,35675
2020-04-17 16:45:00,42.0579,42.06,42.005,42.04,24934
2020-04-17 16:50:00,42.045,42.045,42.005,42.035,18702
2020-04-17 16:55:00,42.035,42.04,41.965,41.965,41803
2020-04-17 17:00:00,41.97,41.98,41.8882,41.8882,53944
2020-04-17 17:05:00,41.89,41.945,41.86,41.945,41550
2020-04-17 17:10:00,41.93,41.93,41.82,41.83,18733
2020-04-17 17:15:00,41.83,41.86,41.82,41.8503,35734
2020-04-17 17:20:00,41.85,41.85,41.75,41.805,23811
2020-04-17 17:25:00,41.8,41.82,41.77,41.775,15365
2020-04-17 17:30:00,41.775,41.84,41.77,41.79,25168
2020-04-17 17:35:00,41.795,41.85,41.79,41.835,20739
2020-04-17 17:40:00,41.83,41.87,41.813,41.8683,30046
2020-04-17 17:45:00,41.87,41.89,41.82,41.82,36340
2020-04-17 17:50:00,41.83,41.86,41.8101,41.8441,37229
2020-04-17 17:55:00,41.85,41.85,41.8,41.805,24914
2020-04-17 18:00:00,41.8,41.86,41.8,41.8228,32062
2020-04-17 18:05:00,41.82,41.83,41.765,41.825,26380
2020-04-17 18:10:00,41.82,41.82,41.78,41.79,38310
2020-04-17 18:15:00,41.79,41.81,41.785,41.81,28740
2020-04-17 18:20:00,41.805,41.85,41.805,41.845,17688
2020-04-17 18:25:00,41.845,41.8697,41.81,41.81,43417
2020-04-17 18:30:00,41.81,41.8199,41.76,41.765,32604
2020-04-17 18:35:00,41.765,41.765,41.69,41.745,44073
2020-04-17 18:40:00,41.74,41.75,41.7,41.7143,13683
2020-04-17 18:45:00,41.715,41.745,41.69,41.745,18840
2020-04-17 18:50:00,41.75,41.79,41.74,41.765,28761
2020-04-17 18:55:00,41.77,41.855,41.76,41.82,23695
2020-04-17 19:00:00,41.83,41.86,41.8,41.825,17512
2020-04-17 19:05:00,41.82,41.8499,41.8,41.8499,38571
2020-04-17 19:10:00,41.842,41.865,41.83,41.85,30103
2020-04-17 19:15:00,41.85,41.88,41.835,41.88,31052
2020-04-17 19:20:00,41.88,41.88,41.83,41.86,28225
2020-04-17 19:25:00,41.86,41.91,41.86,41.9056,20058
2020-04-17 19:30:00,41.9,41.94,41.9,41.91,27998
2020-04-17 19:35:00,41.91,41.97,41.91,41.94,24144
2020-04-17 19:40:00,41.94,41.9764,41.93,41.9751,60310
2020-04-17 19:45:00,41.98,42.085,41.9745,42.08,62940
2020-04-17 19:50:00,42.09,42.19,42.06,42.08,93042
2020-04-17 19:55:00,42.08,42.09,42.02,42.06,117754
2020-04-17 20:00:00,42.07,42.07,42.07,42.07,256340
2020-04-17 20:10:00,42.08,42.08,42.08,42.08,874
2020-04-17 20:50:00,42.23,42.25,42.23,42.25,1000
2020-04-17 21:35:00,41.95,41.95,41.95,41.95,281
2020-04-17 22:00:00,41.95,41.95,41.95,41.95,919
2020-04-17 22:15:00,42.0,42.0,42.0,42.0,100
2020-04-17 22:40:00,41.75,41.75,41.75,41.75,100
2020-04-17 23:15:00,42.1,42.1,42.1,42.1,500
2020-04-17 23:25:00,42.1,42.1,42.1,42.1,400
2020-04-20 08:00:00,41.98,41.98,41.98,41.98,300
2020-04-20 11:00:00,41.86,41.87,41.83,41.84,1050
2020-04-20 11:15:00,41.73,41.73,41.72,41.73,2000
2020-04-20 11:25:00,41.64,41.64,41.62,41.64,1525
2020-04-20 12:05:00,41.52,41.52,41.52,41.52,150
2020-04-20 12:10:00,41.61,41.61,41.61,41.61,200
2020-04-20 12:15:00,41.73,41.74,41.73,41.74,601
2020-04-20 12:35:00,41.75,41.75,41.75,41.75,219
2020-04-20 12:40:00,41.77,41.77,41.74,41.74,2000
2020-04-20 12:45:00,41.76,41.76,41.76,41.76,300
2020-04-20 12:50:00,41.76,41.77,41.76,41.77,2000
2020-04-20 13:00:00,41.77,41.77,41.77,41.77,842
2020-04-20 13:10:00,41.8,41.8,41.8,41.8,106
2020-04-20 13:15:00,41.78,41.78,41.73,41.73,228
2020-04-20 13:20:00,41.77,41.81,41.77,41.81,516
2020-04-20 13:25:00,41.8,41.83,41.79,41.82,9600
2020-04-20 13:30:00,41.82,41.94,41.78,41.9,135275
2020-04-20 13:35:00,41.9,41.9501,41.87,41.9,44403
2020-04-20 13:40:00,41.89,41.91,41.815,41.83,100998
2020-04-20 13:45:00,41.835,41.9,41.81,41.835,49903
2020-04-20 13:50:00,41.83,41.87,41.81,41.85,35644
2020-04-20 13:55:00,41.86,41.915,41.84,41.9,34251
2020-04-20 14:00:00,41.91,42.02,41.91,42.01,33513
2020-04-20 14:05:00,42.01,42.01,41.935,41.94,24752
2020-04-20 14:10:00,41.93,41.98,41.89,41.94,30573
2020-04-20 14:15:00,41.94,41.94,41.91,41.92,33434
2020-04-20 14:20:00,41.92,41.93,41.88,41.92,35527
2020-04-20 14:25:00,41.92,41.94,41.87,41.89,31211
2020-04-20 14:30:00,41.89,41.935,41.88,41.89,52188
2020-04-20 14:35:00,41.895,41.9166,41.88,41.91,15478
2020-04-20 14:40:00,41.915,41.955,41.91,41.955,16829
2020-04-20 14:45:00,41.96,42.005,41.945,41.98,72889
2020-04-20 14:50:00,41.99,42.05,41.98,42.02,32877
2020-04-20 14:55:00,42.03,42.08,42.02,42.02,32655
2020-04-20 15:00:00,42.02,42.045,41.99,42.0,107765
2020-04-20 15:05:00,42.01,42.06,42.0,42.04,38766
2020-04-20 15:10:00,42.04,42.05,42.0,42.0101,22398
2020-04-20 15:15:00,42.02,42.0673,42.0,42.06,20415
2020-04-20 15:20:00,42.065,42.08,42.05,42.08,35348
2020-04-20 15:25:00,42.07,42.13,42.06,42.12,33555
2020-04-20 15:30:00,42.13,42.14,42.04,42.07,78168
2020-04-20 15:35:00,42.08,42.26,42.08,42.25,31362
2020-04-20 15:40:00,42.24,42.25,42.19,42.22,31616
2020-04-20 15:45:00,42.22,42.22,42.16,42.2,23107
2020-04-20 15:50:00,42.2,42.22,42.17,42.17,30541
2020-04-20 15:55:00,42.17,42.215,42.15,42.21,23228
2020-04-20 16:00:00,42.21,42.2126,42.1701,42.21,20584
2020-04-20 16:05:00,42.21,42.26,42.205,42.25,20519
2020-04-20 16:10:00,42.25,42.25,42.22,42.23,29786
2020-04-20 16:15:00,42.23,42.28,42.205,42.245,32148
2020-04-20 16:20:00,42.24,42.29,42.2166,42.27,20721
2020-04-20 16:25:00,42.2799,42.3,42.25,42.25,33105
2020-04-20 16:30:00,42.265,42.32,42.26,42.315,17109
2020-04-20 16:35:00,42.3168,42.365,42.315,42.315,14475
2020-04-20 16:40:00,42.3247,42.35,42.31,42.34,12570
2020-04-20 16:45:00,42.34,42.39,42.3271,42.335,38904
2020-04-20 16:50:00,42.335,42.34,42.26,42.27,18096
2020-04-20 16:55:00,42.27,42.3,42.2469,42.262,44598
2020-04-20 17:00:00,42.2679,42.2761,42.22,42.2458,40925
2020-04-20 17:05:00,42.25,42.29,42.2466,42.26,13974
2020-04-20 17:10:00,42.2601,42.27,42.2181,42.23,17240
2020-04-20 17:15:00,42.22,42.2325,42.18,42.18,21161
2020-04-20 17:20:00,42.18,42.18,42.15,42.16,11597
2020-04-20 17:25:00,42.17,42.175,42.15,42.16,13204
2020-04-20 17:30:00,42.17,42.17,42.115,42.12,21599
2020-04-20 17:35:00,42.13,42.14,42.11,42.125,10321
2020-04-20 17:40:00,42.13,42.2,42.13,42.1739,15823
2020-04-20 17:45:00,42.17,42.175,42.13,42.175,20962
2020-04-20 17:50:00,42.175,42.22,42.17,42.215,11677
2020-04-20 17:55:00,42.2101,42.2101,42.14,42.185,17298
2020-04-20 18:00:00,42.19,42.22,42.17,42.21,21693
2020-04-20 18:05:00,42.2,42.24,42.2,42.23,24982
2020-04-20 18:10:00,42.2406,42.25,42.17,42.19,27269
2020-04-20 18:15:00,42.195,42.2,42.145,42.145,18215
2020-04-20 18:20:00,42.155,42.17,42.095,42.105,20437
2020-04-20 18:25:00,42.11,42.12,42.04,42.04,16824
2020-04-20 18:30:00,42.05,42.13,42.05,42.125,18601
2020-04-20 18:35:00,42.12,42.14,42.065,42.065,24125
2020-04-20 18:40:00,42.07,42.095,42.01,42.02,35192
2020-04-20 18:45:00,42.015,42.015,41.96,42.0,59854
2020-04-20 18:50:00,41.99,41.99,41.92,41.93,30554
2020-04-20 18:55:00,41.9296,41.95,41.85,41.8605,36170
2020-04-20 19:00:00,41.87,41.95,41.87,41.9,25619
2020-04-20 19:05:00,41.9,41.9058,41.82,41.9,21020
2020-04-20 19:10:00,41.905,41.93,41.865,41.89,24166
2020-04-20 19:15:00,41.89,41.91,41.85,41.86,24606
2020-04-20 19:20:00,41.86,41.89,41.84,41.875,60875
2020-04-20 19:25:00,41.87,41.88,41.835,41.875,37858
2020-04-20 19:30:00,41.88,41.95,41.86,41.935,56230
2020-04-20 19:35:00,41.93,41.93,41.815,41.84,72766
2020-04-20 19:40:00,41.83,41.87,41.8,41.865,59071
2020-04-20 19:45:00,41.86,41.89,41.85,41.88,93231
2020-04-20 19:50:00,41.89,41.91,41.72,41.75,140595
2020-04-20 19:55:00,41.745,41.785,41.72,41.72,120830
2020-04-20 20:00:00,41.72,41.72,41.72,41.72,47694
2020-04-20 20:20:00,41.76,41.76,41.76,41.76,100
2020-04-20 20:25:00,41.74,41.74,41.74,41.74,400
2020-04-20 20:30:00,41.76,41.76,41.76,41.76,100
2020-04-20 20:40:00,41.72,41.72,41.72,41.72,10657
2020-04-21 10:20:00,41.66,41.66,41.66,41.66,992
2020-04-21 11:00:00,41.65,41.65,41.65,41.65,800
2020-04-21 11:05:00,41.61,41.61,41.61,41.61,992
2020-04-21 11:10:00,41.5,41.5,41.5,41.5,100
2020-04-21 11:45:00,41.42,41.42,41.42,41.42,500
2020-04-21 12:00:00,41.49,41.49,41.49,41.49,100
2020-04-21 12:20:00,41.49,41.5,41.49,41.5,661
2020-04-21 12:45:00,41.45,41.45,41.45,41.45,500
2020-04-21 12:50:00,41.5,41.5,41.5,41.5,200
2020-04-21 12:55:00,41.44,41.44,41.44,41.44,250
2020-04-21 13:15:00,41.3801,41.4,41.3801,41.4,608
2020-04-21 13:25:00,41.44,41.49,41.44,41.46,2319
2020-04-21 13:30:00,41.45,41.55,41.41,41.47,101240
2020-04-21 13:35:00,41.49,41.52,41.33,41.34,53883
2020-04-21 13:40:00,41.33,41.39,41.29,41.375,46498
2020-04-21 13:45:00,41.375,41.59,41.34,41.57,158786
2020-04-21 13:50:00,41.58,41.59,41.49,41.55,33973
2020-04-21 13:55:00,41.56,41.7019,41.56,41.59,24095
2020-04-21 14:00:00,41.61,41.63,41.53,41.62,28193
2020-04-21 14:05:00,41.615,41.62,41.505,41.51,22202
