datetime,open,high,low,close,volume
2020-04-16 08:25:00,30.5,30.5,29.99,29.99,1000
2020-04-16 08:35:00,30.1,30.3,30.01,30.3,1093
2020-04-16 08:45:00,30.54,30.54,30.4,30.4,350
2020-04-16 08:50:00,30.4,30.4,30.3,30.3,318
2020-04-16 08:55:00,30.35,30.35,30.35,30.35,317
2020-04-16 09:05:00,30.29,30.3,30.29,30.3,680
2020-04-16 10:05:00,30.0,30.0,30.0,30.0,400
2020-04-16 10:10:00,30.02,30.02,30.02,30.02,120
2020-04-16 10:25:00,30.0,30.0,30.0,30.0,100
2020-04-16 10:35:00,30.19,30.19,30.19,30.19,145
2020-04-16 10:40:00,30.01,30.01,30.01,30.01,100
2020-04-16 10:50:00,30.19,30.2,30.19,30.2,920
2020-04-16 11:00:00,30.24,30.24,30.24,30.24,364
2020-04-16 11:05:00,30.16,30.16,30.15,30.16,2600
2020-04-16 11:10:00,30.16,30.16,30.15,30.15,1170
2020-04-16 11:15:00,30.1,30.1,30.1,30.1,964
2020-04-16 11:25:00,30.05,30.05,30.05,30.05,450
2020-04-16 11:50:00,30.01,30.01,30.01,30.01,1000
2020-04-16 11:55:00,30.01,30.01,30.0,30.0,1710
2020-04-16 12:05:00,29.95,29.95,29.95,29.95,100
2020-04-16 12:25:00,29.95,29.95,29.95,29.95,484
2020-04-16 12:30:00,29.95,30.16,29.95,30.1,2278
2020-04-16 12:35:00,30.1,30.1,30.1,30.1,1945
2020-04-16 12:50:00,30.11,30.11,30.0,30.0,200
2020-04-16 12:55:00,29.68,29.68,29.67,29.68,3158
2020-04-16 13:00:00,29.75,29.75,29.75,29.75,200
2020-04-16 13:05:00,29.8,29.8,29.75,29.75,200
2020-04-16 13:10:00,29.8,29.8,29.8,29.8,200
2020-04-16 13:15:00,29.85,29.85,29.85,29.85,200
2020-04-16 13:25:00,29.97,29.98,29.97,29.98,200
2020-04-16 13:30:00,30.0,30.3,29.76,30.1,114259
2020-04-16 13:35:00,29.95,30.0,29.8,29.96,25785
2020-04-16 13:40:00,29.935,29.97,29.85,29.85,18052
2020-04-16 13:45:00,29.84,29.84,29.54,29.54,103000
2020-04-16 13:50:00,29.54,29.62,29.32,29.51,83728
