datetime,open,high,low,close,volume
2020-04-16 12:05:00,7.75,7.75,7.75,7.75,1000
2020-04-16 12:15:00,7.75,7.75,7.75,7.75,200
2020-04-16 13:00:00,7.75,7.75,7.75,7.75,100
2020-04-16 13:05:00,7.76,7.76,7.76,7.76,100
2020-04-16 13:15:00,7.8499,7.8499,7.8,7.8,5200
2020-04-16 13:20:00,7.79,7.85,7.79,7.85,700
2020-04-16 13:25:00,7.85,7.85,7.73,7.73,2231
2020-04-16 13:30:00,7.7,7.71,7.52,7.52,267054
2020-04-16 13:35:00,7.52,7.62,7.495,7.585,283521
2020-04-16 13:40:00,7.59,7.655,7.575,7.5999,156485
2020-04-16 13:45:00,7.6,7.605,7.48,7.49,229343
2020-04-16 13:50:00,7.49,7.52,7.45,7.47,181596
2020-04-16 13:55:00,7.47,7.47,7.37,7.37,161351
2020-04-16 14:00:00,7.375,7.43,7.37,7.42,312243
2020-04-16 14:05:00,7.415,7.425,7.33,7.33,173506
2020-04-16 14:10:00,7.335,7.36,7.305,7.31,167578
2020-04-16 14:15:00,7.31,7.3302,7.28,7.29,182042
2020-04-16 14:20:00,7.29,7.32,7.27,7.295,121264
2020-04-16 14:25:00,7.295,7.36,7.295,7.345,197870
2020-04-16 14:30:00,7.345,7.37,7.325,7.36,185242
2020-04-16 14:35:00,7.37,7.37,7.32,7.325,100953
2020-04-16 14:40:00,7.32,7.3938,7.3,7.38,118573
2020-04-16 14:45:00,7.38,7.385,7.33,7.33,125630
2020-04-16 14:50:00,7.335,7.34,7.31,7.33,129080
2020-04-16 14:55:00,7.34,7.4,7.335,7.39,130309
2020-04-16 15:00:00,7.395,7.4,7.36,7.385,83132
2020-04-16 15:05:00,7.385,7.435,7.385,7.42,124642
2020-04-16 15:10:00,7.42,7.45,7.4001,7.41,157253
2020-04-16 15:15:00,7.415,7.415,7.38,7.39,150517
2020-04-16 15:20:00,7.39,7.39,7.34,7.34,50878
2020-04-16 15:25:00,7.34,7.36,7.32,7.325,116111
2020-04-16 15:30:00,7.32,7.33,7.27,7.27,85632
2020-04-16 15:35:00,7.27,7.3,7.27,7.3,168921
2020-04-16 15:40:00,7.295,7.315,7.28,7.285,93306
2020-04-16 15:45:00,7.29,7.295,7.28,7.285,50670
2020-04-16 15:50:00,7.285,7.35,7.28,7.35,102259
2020-04-16 15:55:00,7.355,7.355,7.32,7.325,60702
2020-04-16 16:00:00,7.32,7.3458,7.3,7.3,129950
2020-04-16 16:05:00,7.3,7.307,7.26,7.275,102742
2020-04-16 16:10:00,7.27,7.2872,7.25,7.27,86714
2020-04-16 16:15:00,7.27,7.275,7.22,7.225,186608
2020-04-16 16:20:00,7.225,7.2292,7.18,7.185,293399
2020-04-16 16:25:00,7.185,7.22,7.18,7.2,157824
2020-04-16 16:30:00,7.2,7.265,7.19,7.255,173230
2020-04-16 16:35:00,7.26,7.285,7.25,7.27,76236
2020-04-16 16:40:00,7.275,7.305,7.27,7.285,118004
2020-04-16 16:45:00,7.285,7.285,7.25,7.2799,62091
2020-04-16 16:50:00,7.27,7.285,7.22,7.23,59084
2020-04-16 16:55:00,7.23,7.2514,7.22,7.249,91165
2020-04-16 17:00:00,7.24,7.26,7.23,7.23,69400
2020-04-16 17:05:00,7.23,7.24,7.19,7.19,80267
2020-04-16 17:10:00,7.19,7.21,7.18,7.19,104730
