datetime,open,high,low,close,volume
2020-04-16 12:10:00,9.124,9.124,9.124,9.124,100
2020-04-16 13:30:00,9.0,9.0,8.76,8.76,120253
2020-04-16 13:35:00,8.7636,8.845,8.74,8.83,80533
2020-04-16 13:40:00,8.83,8.92,8.83,8.905,75674
2020-04-16 13:45:00,8.89,8.915,8.84,8.865,128936
2020-04-16 13:50:00,8.86,8.89,8.83,8.85,52098
2020-04-16 13:55:00,8.85,8.86,8.77,8.78,67342
2020-04-16 14:00:00,8.785,8.83,8.77,8.79,61090
2020-04-16 14:05:00,8.7882,8.82,8.75,8.76,36203
2020-04-16 14:10:00,8.75,8.76,8.66,8.685,76354
2020-04-16 14:15:00,8.68,8.72,8.665,8.665,53723
2020-04-16 14:20:00,8.665,8.735,8.65,8.73,54226
2020-04-16 14:25:00,8.73,8.76,8.71,8.76,74491
2020-04-16 14:30:00,8.75,8.785,8.735,8.7648,58733
2020-04-16 14:35:00,8.77,8.78,8.74,8.74,54308
2020-04-16 14:40:00,8.74,8.8,8.735,8.795,51272
2020-04-16 14:45:00,8.795,8.85,8.78,8.85,109226
2020-04-16 14:50:00,8.85,8.85,8.815,8.83,75944
2020-04-16 14:55:00,8.84,8.885,8.835,8.84,85837
2020-04-16 15:00:00,8.85,8.88,8.835,8.84,51163
2020-04-16 15:05:00,8.83,8.88,8.825,8.865,101831
2020-04-16 15:10:00,8.86,8.865,8.84,8.84,51336
2020-04-16 15:15:00,8.85,8.855,8.815,8.83,51184
2020-04-16 15:20:00,8.84,8.85,8.79,8.795,64152
2020-04-16 15:25:00,8.8,8.805,8.755,8.76,58547
2020-04-16 15:30:00,8.76,8.77,8.73,8.755,40184
2020-04-16 15:35:00,8.75,8.78,8.74,8.76,25637
2020-04-16 15:40:00,8.77,8.785,8.72,8.72,37827
2020-04-16 15:45:00,8.73,8.73,8.7,8.73,46807
2020-04-16 15:50:00,8.73,8.79,8.72,8.78,28695
2020-04-16 15:55:00,8.78,8.7804,8.74,8.755,48154
2020-04-16 16:00:00,8.76,8.7764,8.73,8.74,40844
2020-04-16 16:05:00,8.735,8.75,8.725,8.735,28715
2020-04-16 16:10:00,8.73,8.77,8.73,8.75,23417
2020-04-16 16:15:00,8.75,8.75,8.71,8.71,46616
2020-04-16 16:20:00,8.72,8.72,8.68,8.695,32762
2020-04-16 16:25:00,8.69,8.7,8.68,8.69,29850
2020-04-16 16:30:00,8.69,8.69,8.655,8.66,42134
2020-04-16 16:35:00,8.66,8.68,8.655,8.68,33096
2020-04-16 16:40:00,8.67,8.69,8.665,8.68,50584
2020-04-16 16:45:00,8.675,8.71,8.675,8.69,59196
2020-04-16 16:50:00,8.685,8.695,8.66,8.665,50083
2020-04-16 16:55:00,8.66,8.68,8.65,8.67,38504
2020-04-16 17:00:00,8.66,8.67,8.641,8.65,31442
2020-04-16 17:05:00,8.66,8.67,8.605,8.61,55127
2020-04-16 17:10:00,8.61,8.61,8.57,8.59,75248
2020-04-16 17:15:00,8.6,8.6,8.555,8.57,43669
2020-04-16 17:20:00,8.565,8.57,8.55,8.565,54794
2020-04-16 17:25:00,8.57,8.58,8.56,8.58,38142
2020-04-16 17:30:00,8.57,8.6,8.57,8.585,48474
2020-04-16 17:35:00,8.59,8.59,8.535,8.545,60060
2020-04-16 17:40:00,8.545,8.56,8.53,8.54,53452
2020-04-16 17:45:00,8.54,8.55,8.53,8.53,19483
2020-04-16 17:50:00,8.535,8.55,8.525,8.535,39979
2020-04-16 17:55:00,8.54,8.57,8.53,8.565,56920
2020-04-16 18:00:00,8.5694,8.57,8.53,8.57,65717
2020-04-16 18:05:00,8.565,8.595,8.56,8.59,56961
2020-04-16 18:10:00,8.59,8.62,8.58,8.62,54720
2020-04-16 18:15:00,8.63,8.65,8.61,8.6299,47249
2020-04-16 18:20:00,8.63,8.64,8.605,8.6195,32684
2020-04-16 18:25:00,8.61,8.64,8.605,8.63,51821
2020-04-16 18:30:00,8.63,8.63,8.58,8.585,73322
2020-04-16 18:35:00,8.59,8.62,8.58,8.605,52264
2020-04-16 18:40:00,8.605,8.63,8.6,8.63,45821
2020-04-16 18:45:00,8.63,8.65,8.6,8.605,47037
2020-04-16 18:50:00,8.6094,8.625,8.59,8.615,62299
2020-04-16 18:55:00,8.615,8.635,8.6,8.605,52483
2020-04-16 19:00:00,8.605,8.61,8.59,8.605,34519
2020-04-16 19:05:00,8.605,8.62,8.59,8.6,36189
2020-04-16 19:10:00,8.6,8.64,8.595,8.635,83970
2020-04-16 19:15:00,8.63,8.66,8.63,8.63,81349
2020-04-16 19:20:00,8.63,8.66,8.63,8.655,58581
2020-04-16 19:25:00,8.655,8.69,8.64,8.68,78586
2020-04-16 19:30:00,8.685,8.74,8.68,8.735,183436
2020-04-16 19:35:00,8.735,8.76,8.73,8.735,115418
2020-04-16 19:40:00,8.735,8.745,8.71,8.715,86540
2020-04-16 19:45:00,8.715,8.73,8.69,8.705,124328
2020-04-16 19:50:00,8.7,8.725,8.69,8.715,236463
2020-04-16 19:55:00,8.715,8.72,8.67,8.68,412586
2020-04-16 20:00:00,8.68,8.68,8.68,8.68,476855
2020-04-16 20:40:00,8.68,8.68,8.68,8.68,51502
2020-04-16 20:55:00,8.75,8.75,8.75,8.75,100
2020-04-16 21:00:00,8.78,8.78,8.78,8.78,300
2020-04-16 21:10:00,8.81,8.81,8.81,8.81,300
2020-04-16 21:15:00,8.85,8.85,8.85,8.85,500
2020-04-16 21:20:00,8.85,8.85,8.85,8.85,1401
2020-04-16 21:50:00,9.2,9.45,9.2,9.45,950
2020-04-16 22:10:00,8.91,8.91,8.9,8.9,500
