datetime,open,high,low,close,volume
2020-04-16 10:00:00,9.63,9.63,9.63,9.63,200
2020-04-16 10:05:00,9.63,9.63,9.63,9.63,500
2020-04-16 11:05:00,9.64,9.64,9.64,9.64,100
2020-04-16 11:35:00,9.6,9.6,9.6,9.6,200
2020-04-16 12:15:00,9.6,9.6,9.6,9.6,3800
2020-04-16 12:20:00,9.6,9.6,9.6,9.6,1500
2020-04-16 12:30:00,9.62,9.62,9.62,9.62,200
2020-04-16 13:00:00,9.73,9.73,9.6,9.6,701
2020-04-16 13:20:00,9.69,9.69,9.69,9.69,100
2020-04-16 13:25:00,9.61,9.61,9.55,9.55,3756
2020-04-16 13:30:00,9.58,9.58,9.41,9.41,251345
2020-04-16 13:35:00,9.42,9.42,9.36,9.38,103800
2020-04-16 13:40:00,9.38,9.4505,9.37,9.45,76070
2020-04-16 13:45:00,9.45,9.48,9.42,9.44,58811
2020-04-16 13:50:00,9.44,9.46,9.41,9.42,61321
2020-04-16 13:55:00,9.42,9.435,9.335,9.338,179232
2020-04-16 14:00:00,9.335,9.345,9.29,9.3,88102
2020-04-16 14:05:00,9.3,9.32,9.23,9.245,197071
2020-04-16 14:10:00,9.25,9.26,9.21,9.24,79575
2020-04-16 14:15:00,9.24,9.285,9.235,9.25,88654
2020-04-16 14:20:00,9.25,9.32,9.24,9.3031,336728
2020-04-16 14:25:00,9.31,9.36,9.285,9.355,162655
2020-04-16 14:30:00,9.35,9.38,9.255,9.275,215314
2020-04-16 14:35:00,9.28,9.28,9.255,9.26,84851
2020-04-16 14:40:00,9.255,9.32,9.25,9.3,112285
2020-04-16 14:45:00,9.305,9.31,9.26,9.293,136520
2020-04-16 14:50:00,9.29,9.31,9.28,9.3,67859
2020-04-16 14:55:00,9.3,9.345,9.3,9.33,106403
2020-04-16 15:00:00,9.33,9.34,9.31,9.33,81139
2020-04-16 15:05:00,9.335,9.39,9.32,9.39,164512
2020-04-16 15:10:00,9.3808,9.39,9.355,9.355,118186
2020-04-16 15:15:00,9.355,9.38,9.35,9.365,61111
2020-04-16 15:20:00,9.365,9.37,9.34,9.345,47965
2020-04-16 15:25:00,9.34,9.35,9.305,9.305,113287
2020-04-16 15:30:00,9.31,9.33,9.29,9.295,79464
2020-04-16 15:35:00,9.295,9.32,9.295,9.314,58994
2020-04-16 15:40:00,9.32,9.34,9.29,9.3,101948
2020-04-16 15:45:00,9.3,9.32,9.3,9.305,43520
2020-04-16 15:50:00,9.31,9.34,9.307,9.3318,117454
2020-04-16 15:55:00,9.335,9.3374,9.28,9.285,98804
2020-04-16 16:00:00,9.285,9.29,9.25,9.265,68457
2020-04-16 16:05:00,9.265,9.28,9.25,9.265,74071
2020-04-16 16:10:00,9.265,9.29,9.26,9.28,71078
2020-04-16 16:15:00,9.28,9.29,9.25,9.255,80566
2020-04-16 16:20:00,9.255,9.26,9.22,9.225,95582
2020-04-16 16:25:00,9.225,9.24,9.22,9.2236,45460
2020-04-16 16:30:00,9.225,9.235,9.205,9.23,89868
2020-04-16 16:35:00,9.235,9.235,9.213,9.225,42520
2020-04-16 16:40:00,9.225,9.25,9.22,9.245,72478
2020-04-16 16:45:00,9.25,9.26,9.21,9.255,87690
2020-04-16 16:50:00,9.25,9.26,9.225,9.24,53854
2020-04-16 16:55:00,9.24,9.26,9.23,9.23,60713
2020-04-16 17:00:00,9.23,9.2399,9.2,9.2,98065
2020-04-16 17:05:00,9.205,9.227,9.2,9.205,73697
2020-04-16 17:10:00,9.2,9.235,9.2,9.235,58487
2020-04-16 17:15:00,9.235,9.245,9.21,9.2445,47793
2020-04-16 17:20:00,9.24,9.26,9.23,9.255,62858
2020-04-16 17:25:00,9.25,9.265,9.235,9.26,91708
2020-04-16 17:30:00,9.26,9.285,9.25,9.26,88235
2020-04-16 17:35:00,9.265,9.28,9.25,9.2532,69200
2020-04-16 17:40:00,9.255,9.29,9.24,9.28,88837
2020-04-16 17:45:00,9.285,9.29,9.27,9.275,54833
2020-04-16 17:50:00,9.275,9.285,9.25,9.255,41629
2020-04-16 17:55:00,9.25,9.28,9.24,9.275,57918
2020-04-16 18:00:00,9.27,9.29,9.245,9.285,71428
2020-04-16 18:05:00,9.285,9.32,9.27,9.32,94116
2020-04-16 18:10:00,9.32,9.36,9.31,9.355,106864
2020-04-16 18:15:00,9.355,9.37,9.335,9.335,86779
2020-04-16 18:20:00,9.335,9.3473,9.32,9.33,73560
2020-04-16 18:25:00,9.32,9.35,9.31,9.335,83903
2020-04-16 18:30:00,9.33,9.345,9.305,9.305,61405
2020-04-16 18:35:00,9.3099,9.35,9.3099,9.325,100626
2020-04-16 18:40:00,9.325,9.35,9.31,9.345,123773
2020-04-16 18:45:00,9.345,9.3553,9.315,9.315,67854
2020-04-16 18:50:00,9.315,9.32,9.3,9.315,66629
2020-04-16 18:55:00,9.315,9.325,9.3,9.315,71038
2020-04-16 19:00:00,9.315,9.32,9.29,9.31,86530
2020-04-16 19:05:00,9.315,9.325,9.29,9.315,89883
2020-04-16 19:10:00,9.315,9.34,9.305,9.325,82477
2020-04-16 19:15:00,9.33,9.35,9.31,9.315,97398
2020-04-16 19:20:00,9.315,9.33,9.3,9.32,104949
2020-04-16 19:25:00,9.32,9.35,9.31,9.345,107178
2020-04-16 19:30:00,9.35,9.39,9.34,9.37,153182
2020-04-16 19:35:00,9.375,9.395,9.37,9.395,108193
2020-04-16 19:40:00,9.395,9.4,9.37,9.37,114110
2020-04-16 19:45:00,9.38,9.39,9.35,9.35,211272
2020-04-16 19:50:00,9.35,9.37,9.31,9.34,477303
2020-04-16 19:55:00,9.34,9.35,9.28,9.31,978838
2020-04-16 20:00:00,9.32,9.32,9.32,9.32,1244424
2020-04-16 20:10:00,9.32,9.32,9.32,9.32,341
2020-04-16 20:20:00,9.35,9.35,9.35,9.35,998
2020-04-16 20:30:00,9.32,9.32,9.32,9.32,1358
2020-04-16 20:35:00,9.4499,9.4499,9.4499,9.4499,100
2020-04-16 20:45:00,9.4498,9.4498,9.4498,9.4498,100
2020-04-16 21:00:00,9.45,9.46,9.45,9.46,6797
2020-04-16 21:10:00,9.47,9.47,9.47,9.47,6500
2020-04-16 21:20:00,9.48,9.48,9.48,9.48,100
2020-04-16 21:25:00,9.47,9.4702,9.47,9.4702,1385
2020-04-16 21:30:00,9.48,9.48,9.4799,9.4799,229
2020-04-16 21:40:00,9.48,9.48,9.48,9.48,500
2020-04-16 21:45:00,9.48,9.48,9.48,9.48,740
2020-04-16 21:50:00,9.48,9.48,9.48,9.48,200
2020-04-16 22:05:00,9.48,9.48,9.48,9.48,197
2020-04-16 22:20:00,9.5,9.5,9.5,9.5,200
2020-04-16 22:30:00,9.5,9.52,9.5,9.52,1100
2020-04-16 22:35:00,9.52,9.52,9.52,9.52,500
2020-04-16 22:40:00,9.51,9.51,9.51,9.51,600
2020-04-16 22:45:00,9.52,9.53,9.52,9.53,600
2020-04-16 22:50:00,9.55,9.55,9.55,9.55,150
2020-04-16 22:55:00,9.53,9.56,9.53,9.56,430
2020-04-16 23:00:00,9.62,9.62,9.62,9.62,430
2020-04-16 23:15:00,9.84,9.84,9.84,9.84,106
2020-04-16 23:40:00,9.84,9.84,9.84,9.84,500
2020-04-16 23:55:00,9.56,9.56,9.51,9.51,5899
2020-04-17 11:50:00,9.57,9.57,9.56,9.56,1110
2020-04-17 12:25:00,9.66,9.66,9.66,9.66,150
2020-04-17 12:35:00,9.78,9.78,9.78,9.78,2998
2020-04-17 13:00:00,9.8,9.8854,9.77,9.8854,5490
2020-04-17 13:05:00,9.79,9.8,9.77,9.78,5331
2020-04-17 13:15:00,9.67,9.67,9.65,9.65,581
2020-04-17 13:25:00,9.7,9.77,9.48,9.48,6717
2020-04-17 13:30:00,9.49,9.625,9.48,9.615,531833
2020-04-17 13:35:00,9.605,9.64,9.57,9.61,221201
2020-04-17 13:40:00,9.615,9.65,9.58,9.625,163942
2020-04-17 13:45:00,9.625,9.7,9.6,9.69,217176
2020-04-17 13:50:00,9.7,9.735,9.67,9.715,148292
2020-04-17 13:55:00,9.72,9.78,9.705,9.76,138524
2020-04-17 14:00:00,9.75,9.8,9.72,9.76,90864
2020-04-17 14:05:00,9.76,9.77,9.73,9.75,89379
2020-04-17 14:10:00,9.75,9.78,9.69,9.725,59386
2020-04-17 14:15:00,9.73,9.74,9.6,9.615,107217
2020-04-17 14:20:00,9.61,9.62,9.57,9.61,53346
2020-04-17 14:25:00,9.612,9.62,9.57,9.57,86556
2020-04-17 14:30:00,9.57,9.59,9.5,9.51,86114
2020-04-17 14:35:00,9.51,9.52,9.47,9.515,151207
2020-04-17 14:40:00,9.51,9.56,9.5,9.535,91408
2020-04-17 14:45:00,9.54,9.58,9.499,9.5,124097
2020-04-17 14:50:00,9.51,9.59,9.5,9.59,81871
2020-04-17 14:55:00,9.5921,9.595,9.54,9.5499,41157
2020-04-17 15:00:00,9.54,9.61,9.54,9.585,93298
2020-04-17 15:05:00,9.58,9.62,9.57,9.6,70794
2020-04-17 15:10:00,9.5959,9.6,9.57,9.59,38300
2020-04-17 15:15:00,9.595,9.61,9.57,9.585,71674
2020-04-17 15:20:00,9.585,9.59,9.533,9.565,69274
2020-04-17 15:25:00,9.56,9.575,9.53,9.54,38876
2020-04-17 15:30:00,9.545,9.6101,9.54,9.61,60116
2020-04-17 15:35:00,9.62,9.62,9.555,9.56,64151
2020-04-17 15:40:00,9.57,9.6,9.56,9.59,40231
2020-04-17 15:45:00,9.58,9.6,9.56,9.565,48334
2020-04-17 15:50:00,9.56,9.56,9.53,9.535,63941
2020-04-17 15:55:00,9.54,9.58,9.52,9.58,95144
2020-04-17 16:00:00,9.58,9.64,9.56,9.63,77222
2020-04-17 16:05:00,9.64,9.655,9.62,9.625,56810
2020-04-17 16:10:00,9.62,9.6699,9.61,9.635,72661
2020-04-17 16:15:00,9.63,9.66,9.63,9.655,62118
2020-04-17 16:20:00,9.66,9.66,9.62,9.62,97343
2020-04-17 16:25:00,9.63,9.63,9.58,9.58,36964
2020-04-17 16:30:00,9.58,9.615,9.58,9.6,65185
2020-04-17 16:35:00,9.5926,9.62,9.59,9.615,37067
2020-04-17 16:40:00,9.62,9.62,9.61,9.615,26919
2020-04-17 16:45:00,9.62,9.68,9.6175,9.68,73493
2020-04-17 16:50:00,9.68,9.68,9.65,9.65,46381
2020-04-17 16:55:00,9.65,9.67,9.65,9.665,24402
2020-04-17 17:00:00,9.66,9.68,9.64,9.6501,72044
2020-04-17 17:05:00,9.65,9.66,9.63,9.65,39164
2020-04-17 17:10:00,9.66,9.68,9.65,9.665,44840
2020-04-17 17:15:00,9.6622,9.71,9.6622,9.7018,98118
2020-04-17 17:20:00,9.7,9.7,9.655,9.655,49128
2020-04-17 17:25:00,9.67,9.69,9.635,9.635,75205
2020-04-17 17:30:00,9.64,9.66,9.61,9.61,70809
2020-04-17 17:35:00,9.61,9.65,9.61,9.64,53455
2020-04-17 17:40:00,9.6492,9.65,9.63,9.64,21249
2020-04-17 17:45:00,9.63,9.6322,9.59,9.59,46882
2020-04-17 17:50:00,9.59,9.6,9.58,9.58,38312
2020-04-17 17:55:00,9.58,9.595,9.575,9.5834,28945
