datetime,open,high,low,close,volume
2020-04-16 12:45:00,11.19,11.19,11.19,11.19,100
2020-04-16 13:30:00,11.2,11.34,11.16,11.16,197557
2020-04-16 13:35:00,11.17,11.27,11.12,11.18,203896
2020-04-16 13:40:00,11.19,11.24,11.07,11.085,164179
2020-04-16 13:45:00,11.085,11.1,11.0,11.0102,112381
2020-04-16 13:50:00,11.0002,11.02,10.96,10.97,74309
2020-04-16 13:55:00,10.97,11.0,10.92,10.92,80571
2020-04-16 14:00:00,10.925,10.97,10.89,10.935,129043
2020-04-16 14:05:00,10.94,10.97,10.89,10.905,127350
2020-04-16 14:10:00,10.9,10.92,10.83,10.88,131863
2020-04-16 14:15:00,10.88,10.935,10.84,10.84,214446
2020-04-16 14:20:00,10.84,10.89,10.825,10.84,101406
2020-04-16 14:25:00,10.84,10.92,10.84,10.9,132176
2020-04-16 14:30:00,10.9,10.94,10.87,10.9,93328
2020-04-16 14:35:00,10.9,10.91,10.85,10.85,93219
2020-04-16 14:40:00,10.855,10.95,10.84,10.9,251314
2020-04-16 14:45:00,10.9,10.92,10.85,10.88,41572
2020-04-16 14:50:00,10.87,10.9,10.84,10.895,51122
2020-04-16 14:55:00,10.88,10.95,10.875,10.935,101201
2020-04-16 15:00:00,10.94,10.95,10.9,10.93,81765
2020-04-16 15:05:00,10.93,11.01,10.93,11.0,224758
2020-04-16 15:10:00,11.0,11.0,10.89,10.895,80885
2020-04-16 15:15:00,10.895,10.9,10.84,10.855,50076
2020-04-16 15:20:00,10.86,10.88,10.8,10.805,104639
2020-04-16 15:25:00,10.805,10.835,10.78,10.785,113739
2020-04-16 15:30:00,10.785,10.87,10.77,10.85,189716
2020-04-16 15:35:00,10.86,10.94,10.85,10.92,181588
2020-04-16 15:40:00,10.92,10.97,10.91,10.92,349295
2020-04-16 15:45:00,10.92,10.93,10.89,10.905,86383
2020-04-16 15:50:00,10.91,10.99,10.89,10.975,133002
2020-04-16 15:55:00,10.97,10.98,10.92,10.94,45683
2020-04-16 16:00:00,10.93,10.96,10.915,10.94,326781
2020-04-16 16:05:00,10.94,10.94,10.89,10.905,75853
2020-04-16 16:10:00,10.9,10.91,10.87,10.88,43814
2020-04-16 16:15:00,10.87,10.87,10.79,10.82,98317
2020-04-16 16:20:00,10.82,10.86,10.815,10.825,111608
2020-04-16 16:25:00,10.83,10.85,10.81,10.845,49153
2020-04-16 16:30:00,10.84,10.85,10.79,10.81,69651
2020-04-16 16:35:00,10.805,10.82,10.78,10.815,40739
