datetime,open,high,low,close,volume
2020-04-16 13:30:00,32.2,32.25,31.96,32.01,23860
2020-04-16 13:35:00,32.01,32.045,31.84,32.0,6370
2020-04-16 13:40:00,32.0,32.09,31.9,32.01,11653
2020-04-16 13:45:00,32.08,32.135,31.99,32.1,5600
2020-04-16 13:50:00,32.11,32.11,32.0,32.03,4281
2020-04-16 13:55:00,32.035,32.075,31.91,31.97,4996
2020-04-16 14:00:00,31.95,31.95,31.83,31.83,3619
2020-04-16 14:05:00,31.83,32.0,31.83,31.94,6450
2020-04-16 14:10:00,31.91,31.91,31.65,31.65,5412
2020-04-16 14:15:00,31.61,31.89,31.6,31.87,3887
2020-04-16 14:20:00,31.91,31.95,31.79,31.86,4300
2020-04-16 14:25:00,31.91,31.97,31.83,31.945,6200
2020-04-16 14:30:00,31.96,31.97,31.86,31.91,5334
2020-04-16 14:35:00,31.92,31.96,31.8301,31.89,4443
2020-04-16 14:40:00,31.86,31.97,31.86,31.945,1700
2020-04-16 14:45:00,31.955,31.96,31.87,31.92,11330
2020-04-16 14:50:00,31.9,31.92,31.8285,31.92,6539
2020-04-16 14:55:00,31.93,31.9867,31.9,31.935,13018
2020-04-16 15:00:00,31.94,31.94,31.89,31.935,3800
2020-04-16 15:05:00,31.92,32.02,31.68,31.96,23310
2020-04-16 15:10:00,31.94,31.94,31.805,31.82,3756
2020-04-16 15:15:00,31.82,31.9,31.81,31.9,1800
2020-04-16 15:20:00,31.97,32.02,31.93,31.98,8191
2020-04-16 15:25:00,32.01,32.01,31.82,31.92,22401
2020-04-16 15:30:00,31.94,31.97,31.935,31.95,2244
2020-04-16 15:35:00,31.9,31.95,31.84,31.95,23690
2020-04-16 15:40:00,31.945,31.97,31.92,31.94,8013
2020-04-16 15:45:00,31.94,31.97,31.89,31.95,10969
2020-04-16 15:50:00,31.92,32.015,31.88,32.01,10929
2020-04-16 15:55:00,32.01,32.02,31.9,31.95,8007
2020-04-16 16:00:00,31.95,32.005,31.885,31.9,6133
2020-04-16 16:05:00,31.87,31.89,31.83,31.87,1400
2020-04-16 16:10:00,31.85,31.95,31.84,31.947,8175
2020-04-16 16:15:00,31.92,31.95,31.87,31.915,12240
2020-04-16 16:20:00,31.9,31.915,31.81,31.915,6602
2020-04-16 16:25:00,31.94,31.965,31.91,31.95,25497
2020-04-16 16:30:00,31.93,31.93,31.82,31.83,8100
2020-04-16 16:35:00,31.85,31.95,31.85,31.95,6178
2020-04-16 16:40:00,31.95,31.96,31.88,31.94,8390
2020-04-16 16:45:00,31.95,31.97,31.925,31.95,9016
2020-04-16 16:50:00,31.94,31.96,31.87,31.89,8201
2020-04-16 16:55:00,31.87,31.955,31.85,31.9,13054
2020-04-16 17:00:00,31.92,32.02,31.915,32.0,11598
2020-04-16 17:05:00,32.0,32.12,31.96,32.12,5692
2020-04-16 17:10:00,32.169,32.28,32.13,32.26,4300
2020-04-16 17:15:00,32.27,32.32,32.23,32.32,2987
2020-04-16 17:20:00,32.33,32.43,32.33,32.4,8229
2020-04-16 17:25:00,32.4,32.51,32.375,32.5,8581
2020-04-16 17:30:00,32.49,32.57,32.47,32.52,17086
2020-04-16 17:35:00,32.505,32.595,32.5,32.59,26653
2020-04-16 17:40:00,32.59,32.74,32.56,32.74,8191
2020-04-16 17:45:00,32.72,32.75,32.63,32.65,24628
2020-04-16 17:50:00,32.63,32.63,32.52,32.59,6697
2020-04-16 17:55:00,32.57,32.67,32.5532,32.67,4794
2020-04-16 18:00:00,32.63,32.71,32.555,32.71,7844
