datetime,open,high,low,close,volume
2020-04-16 13:25:00,8.97,8.97,8.97,8.97,100
2020-04-16 13:30:00,8.83,8.93,8.83,8.88,259853
2020-04-16 13:35:00,8.885,8.89,8.86,8.87,61124
2020-04-16 13:40:00,8.865,8.935,8.86,8.915,139896
2020-04-16 13:45:00,8.91,8.925,8.9,8.905,470650
2020-04-16 13:50:00,8.91,8.92,8.86,8.865,270761
2020-04-16 13:55:00,8.865,8.88,8.86,8.87,108299
2020-04-16 14:00:00,8.865,8.88,8.8,8.8,183736
2020-04-16 14:05:00,8.8,8.85,8.8,8.83,62235
2020-04-16 14:10:00,8.83,8.835,8.82,8.83,31227
2020-04-16 14:15:00,8.835,8.89,8.83,8.89,100441
2020-04-16 14:20:00,8.89,8.9,8.87,8.895,115782
2020-04-16 14:25:00,8.895,8.915,8.89,8.9,97033
2020-04-16 14:30:00,8.9,8.91,8.86,8.86,174266
2020-04-16 14:35:00,8.86,8.88,8.86,8.875,77431
2020-04-16 14:40:00,8.87,8.925,8.855,8.92,142341
2020-04-16 14:45:00,8.92,8.94,8.92,8.93,34952
2020-04-16 14:50:00,8.9202,8.925,8.91,8.915,88099
2020-04-16 14:55:00,8.915,8.935,8.91,8.915,61338
2020-04-16 15:00:00,8.91,8.92,8.895,8.905,351594
2020-04-16 15:05:00,8.91,8.925,8.9,8.925,172480
2020-04-16 15:10:00,8.92,8.925,8.9,8.905,88507
2020-04-16 15:15:00,8.9,8.92,8.9,8.9,41875
2020-04-16 15:20:00,8.905,8.91,8.89,8.895,184423
2020-04-16 15:25:00,8.895,8.92,8.89,8.9,180283
2020-04-16 15:30:00,8.905,8.905,8.85,8.85,146136
2020-04-16 15:35:00,8.85,8.88,8.84,8.875,203379
2020-04-16 15:40:00,8.88,8.9,8.875,8.895,87115
2020-04-16 15:45:00,8.9,8.9,8.89,8.9,44958
2020-04-16 15:50:00,8.9,8.93,8.89,8.915,112208
2020-04-16 15:55:00,8.91,8.915,8.87,8.87,35035
2020-04-16 16:00:00,8.88,8.89,8.86,8.865,62799
2020-04-16 16:05:00,8.865,8.87,8.86,8.865,18915
