datetime,open,high,low,close,volume
2020-04-16 13:30:00,65.04,65.7,65.04,65.28,29239
2020-04-16 13:35:00,65.215,65.55,65.18,65.43,9458
2020-04-16 13:40:00,65.51,65.56,65.36,65.5,7143
2020-04-16 13:45:00,65.54,65.7,65.29,65.29,15079
2020-04-16 13:50:00,65.34,65.43,65.23,65.29,8938
2020-04-16 13:55:00,65.31,65.36,64.835,64.85,22386
2020-04-16 14:00:00,64.86,64.93,64.63,64.63,11269
2020-04-16 14:05:00,64.64,64.77,64.5,64.55,71915
2020-04-16 14:10:00,64.54,64.57,64.415,64.48,9402
2020-04-16 14:15:00,64.46,64.53,64.41,64.53,8737
2020-04-16 14:20:00,64.47,64.63,64.47,64.62,9665
2020-04-16 14:25:00,64.62,64.68,64.55,64.66,8616
2020-04-16 14:30:00,64.66,64.72,64.56,64.7,12227
2020-04-16 14:35:00,64.69,64.78,64.61,64.61,11869
2020-04-16 14:40:00,64.6,64.92,64.59,64.84,8326
2020-04-16 14:45:00,64.85,64.85,64.71,64.81,9850
2020-04-16 14:50:00,64.79,64.8,64.65,64.7,8699
2020-04-16 14:55:00,64.76,64.815,64.67,64.76,6758
2020-04-16 15:00:00,64.77,64.83,64.63,64.66,12968
2020-04-16 15:05:00,64.66,64.91,64.66,64.82,8760
2020-04-16 15:10:00,64.83,64.98,64.83,64.91,15357
2020-04-16 15:15:00,64.91,65.15,64.89,65.13,34109
2020-04-16 15:20:00,65.16,65.39,65.16,65.39,14312
2020-04-16 15:25:00,65.37,65.46,65.28,65.28,37951
2020-04-16 15:30:00,65.26,65.28,64.975,64.975,7207
2020-04-16 15:35:00,64.97,65.02,64.935,65.02,7605
2020-04-16 15:40:00,65.03,65.09,64.81,64.83,19960
2020-04-16 15:45:00,64.83,64.865,64.75,64.75,7916
2020-04-16 15:50:00,64.795,65.01,64.76,65.01,4686
2020-04-16 15:55:00,65.01,65.03,64.93,64.95,4326
2020-04-16 16:00:00,64.92,64.96,64.66,64.67,7244
2020-04-16 16:05:00,64.6517,64.66,64.44,64.465,8015
2020-04-16 16:10:00,64.475,64.49,64.35,64.38,10953
2020-04-16 16:15:00,64.37,64.4271,64.11,64.14,9589
2020-04-16 16:20:00,64.105,64.15,63.955,64.02,15717
2020-04-16 16:25:00,64.04,64.04,63.88,63.91,10964
2020-04-16 16:30:00,63.89,63.89,63.615,63.64,10560
2020-04-16 16:35:00,63.635,63.72,63.57,63.72,18178
2020-04-16 16:40:00,63.71,63.93,63.675,63.92,10399
2020-04-16 16:45:00,63.94,64.03,63.89,64.0,8351
2020-04-16 16:50:00,64.015,64.015,63.92,63.95,7608
2020-04-16 16:55:00,63.93,64.03,63.88,64.0043,8440
2020-04-16 17:00:00,63.98,64.03,63.89,63.93,14027
2020-04-16 17:05:00,63.95,64.01,63.905,63.93,7816
2020-04-16 17:10:00,63.94,64.09,63.92,64.09,7624
2020-04-16 17:15:00,64.06,64.14,63.99,64.1,6944
2020-04-16 17:20:00,64.06,64.15,63.99,64.105,11368
2020-04-16 17:25:00,64.11,64.16,64.035,64.14,10716
2020-04-16 17:30:00,64.12,64.19,64.12,64.14,8304
2020-04-16 17:35:00,64.135,64.18,64.08,64.08,7195
2020-04-16 17:40:00,64.07,64.1,63.99,64.075,10249
2020-04-16 17:45:00,64.065,64.13,64.03,64.04,7693
2020-04-16 17:50:00,64.05,64.06,63.84,63.84,9607
2020-04-16 17:55:00,63.845,63.9,63.8,63.83,11504
2020-04-16 18:00:00,63.82,63.85,63.67,63.85,14988
