datetime,open,high,low,close,volume
2020-04-16 09:35:00,8.27,8.27,8.25,8.25,2036
2020-04-16 09:45:00,8.25,8.25,8.25,8.25,100
2020-04-16 12:35:00,8.28,8.28,8.28,8.28,6000
2020-04-16 12:45:00,8.27,8.27,8.26,8.26,6439
2020-04-16 13:00:00,8.3,8.3,8.3,8.3,1336
2020-04-16 13:10:00,8.3,8.3,8.3,8.3,200
2020-04-16 13:30:00,8.3,8.32,8.23,8.3,407878
2020-04-16 13:35:00,8.3,8.3,8.22,8.25,83210
2020-04-16 13:40:00,8.25,8.28,8.23,8.255,83366
2020-04-16 13:45:00,8.255,8.275,8.24,8.255,63842
2020-04-16 13:50:00,8.255,8.28,8.23,8.245,337157
2020-04-16 13:55:00,8.24,8.25,8.19,8.19,73625
2020-04-16 14:00:00,8.19,8.19,8.14,8.145,126279
2020-04-16 14:05:00,8.14,8.165,8.13,8.13,117219
2020-04-16 14:10:00,8.13,8.13,8.09,8.105,59593
2020-04-16 14:15:00,8.105,8.13,8.105,8.11,104546
2020-04-16 14:20:00,8.11,8.14,8.105,8.135,242072
2020-04-16 14:25:00,8.14,8.17,8.12,8.165,128167
2020-04-16 14:30:00,8.165,8.165,8.14,8.14,414935
2020-04-16 14:35:00,8.1425,8.15,8.12,8.12,79879
2020-04-16 14:40:00,8.11,8.14,8.09,8.135,219637
2020-04-16 14:45:00,8.13,8.14,8.125,8.135,73381
2020-04-16 14:50:00,8.135,8.14,8.12,8.135,45157
2020-04-16 14:55:00,8.14,8.17,8.13,8.165,132772
2020-04-16 15:00:00,8.165,8.18,8.16,8.18,114223
2020-04-16 15:05:00,8.17,8.205,8.16,8.185,229059
2020-04-16 15:10:00,8.185,8.2,8.18,8.195,73892
2020-04-16 15:15:00,8.19,8.22,8.19,8.205,44678
2020-04-16 15:20:00,8.2023,8.23,8.2023,8.23,74153
2020-04-16 15:25:00,8.225,8.235,8.215,8.22,67194
2020-04-16 15:30:00,8.22,8.22,8.18,8.18,147244
2020-04-16 15:35:00,8.185,8.2,8.17,8.175,75948
2020-04-16 15:40:00,8.175,8.195,8.17,8.175,98028
2020-04-16 15:45:00,8.175,8.18,8.17,8.175,69244
2020-04-16 15:50:00,8.18,8.21,8.17,8.21,80476
2020-04-16 15:55:00,8.21,8.23,8.2025,8.23,30102
2020-04-16 16:00:00,8.23,8.23,8.2,8.21,105514
2020-04-16 16:05:00,8.215,8.22,8.2,8.205,29302
2020-04-16 16:10:00,8.21,8.21,8.19,8.195,47160
2020-04-16 16:15:00,8.19,8.2,8.155,8.16,101402
2020-04-16 16:20:00,8.16,8.17,8.1529,8.1555,37966
2020-04-16 16:25:00,8.16,8.18,8.16,8.18,28606
2020-04-16 16:30:00,8.175,8.175,8.12,8.135,58059
2020-04-16 16:35:00,8.13,8.15,8.12,8.145,46689
2020-04-16 16:40:00,8.15,8.16,8.14,8.155,21835
2020-04-16 16:45:00,8.16,8.17,8.15,8.17,25177
2020-04-16 16:50:00,8.17,8.18,8.1644,8.18,19640
2020-04-16 16:55:00,8.18,8.19,8.15,8.183,54765
2020-04-16 17:00:00,8.185,8.19,8.18,8.19,19281
2020-04-16 17:05:00,8.19,8.2,8.19,8.2,14523
2020-04-16 17:10:00,8.1931,8.23,8.1931,8.23,37482
2020-04-16 17:15:00,8.23,8.24,8.2,8.22,207423
2020-04-16 17:20:00,8.22,8.23,8.21,8.23,17542
2020-04-16 17:25:00,8.22,8.25,8.215,8.25,65232
2020-04-16 17:30:00,8.24,8.26,8.24,8.245,57599
2020-04-16 17:35:00,8.245,8.26,8.24,8.245,30805
2020-04-16 17:40:00,8.245,8.26,8.24,8.255,28599
2020-04-16 17:45:00,8.25,8.26,8.245,8.25,19911
2020-04-16 17:50:00,8.25,8.25,8.22,8.23,64525
2020-04-16 17:55:00,8.23,8.26,8.23,8.26,58663
2020-04-16 18:00:00,8.26,8.26,8.21,8.21,147397
2020-04-16 18:05:00,8.215,8.24,8.21,8.24,81063
2020-04-16 18:10:00,8.2357,8.24,8.23,8.24,23823
2020-04-16 18:15:00,8.24,8.25,8.22,8.23,71610
2020-04-16 18:20:00,8.225,8.245,8.2242,8.235,63989
2020-04-16 18:25:00,8.24,8.24,8.2,8.24,78720
2020-04-16 18:30:00,8.23,8.25,8.23,8.24,128396
2020-04-16 18:35:00,8.24,8.25,8.23,8.245,58586
2020-04-16 18:40:00,8.25,8.25,8.225,8.24,73704
2020-04-16 18:45:00,8.24,8.25,8.23,8.235,44707
2020-04-16 18:50:00,8.235,8.24,8.22,8.24,76862
2020-04-16 18:55:00,8.24,8.245,8.23,8.235,54371
2020-04-16 19:00:00,8.23,8.24,8.21,8.22,96687
2020-04-16 19:05:00,8.22,8.23,8.21,8.215,59918
2020-04-16 19:10:00,8.21,8.22,8.2,8.215,59820
2020-04-16 19:15:00,8.215,8.23,8.2,8.21,128157
2020-04-16 19:20:00,8.21,8.23,8.205,8.225,56177
2020-04-16 19:25:00,8.225,8.24,8.215,8.2394,63299
2020-04-16 19:30:00,8.235,8.255,8.23,8.25,106011
2020-04-16 19:35:00,8.255,8.26,8.25,8.26,47248
2020-04-16 19:40:00,8.255,8.27,8.25,8.26,130357
2020-04-16 19:45:00,8.26,8.26,8.25,8.255,92504
2020-04-16 19:50:00,8.25,8.27,8.24,8.265,278712
2020-04-16 19:55:00,8.265,8.27,8.17,8.23,1959109
2020-04-16 20:00:00,8.22,8.22,8.22,8.22,363854
2020-04-16 21:05:00,8.2,8.2,8.2,8.2,100
2020-04-16 21:25:00,8.2499,8.2499,8.2499,8.2499,1000
2020-04-16 21:40:00,8.25,8.25,8.25,8.25,7100
2020-04-16 21:50:00,8.38,8.38,8.38,8.38,249
2020-04-16 22:20:00,8.38,8.38,8.38,8.38,100
2020-04-16 22:25:00,8.38,8.38,8.38,8.38,1151
2020-04-16 22:30:00,8.47,8.47,8.45,8.45,5000
2020-04-16 22:35:00,8.45,8.45,8.45,8.45,1000
2020-04-16 22:40:00,8.4,8.4,8.4,8.4,1000
2020-04-16 23:00:00,8.4,8.45,8.4,8.45,3120
2020-04-16 23:05:00,8.4499,8.4499,8.4499,8.4499,1000
2020-04-16 23:20:00,8.4001,8.45,8.4001,8.45,1250
2020-04-16 23:45:00,8.45,8.45,8.45,8.45,830
2020-04-16 23:50:00,8.55,8.55,8.55,8.55,100
2020-04-16 23:55:00,8.56,8.56,8.56,8.56,900
