datetime,open,high,low,close,volume
2020-04-16 09:00:00,5.11,5.11,5.11,5.11,2300
2020-04-16 09:30:00,5.08,5.08,5.08,5.08,2400
2020-04-16 09:50:00,5.07,5.07,5.07,5.07,2300
2020-04-16 11:00:00,5.06,5.07,5.05,5.05,28700
2020-04-16 11:05:00,5.04,5.04,5.04,5.04,5000
2020-04-16 11:30:00,5.06,5.06,5.06,5.06,200
2020-04-16 11:35:00,5.06,5.06,5.06,5.06,300
2020-04-16 11:55:00,5.05,5.05,5.05,5.05,200
2020-04-16 12:15:00,5.02,5.02,5.0,5.0,11050
2020-04-16 12:30:00,5.01,5.06,5.01,5.06,1700
2020-04-16 12:35:00,5.05,5.05,5.05,5.05,250
2020-04-16 12:40:00,5.05,5.06,5.05,5.06,1150
2020-04-16 12:55:00,5.06,5.07,5.06,5.06,25800
2020-04-16 13:00:00,5.06,5.07,5.06,5.06,900
2020-04-16 13:05:00,5.06,5.07,5.06,5.07,1550
2020-04-16 13:10:00,5.07,5.07,5.07,5.07,1050
2020-04-16 13:15:00,5.07,5.08,5.06,5.06,1750
2020-04-16 13:20:00,5.06,5.06,5.06,5.06,1200
2020-04-16 13:25:00,5.06,5.06,5.06,5.06,12181
2020-04-16 13:30:00,5.05,5.06,5.02,5.02,374484
2020-04-16 13:35:00,5.015,5.015,4.99,4.99,254409
2020-04-16 13:40:00,4.995,5.01,4.98,5.005,279841
2020-04-16 13:45:00,5.0,5.01,4.97,4.975,108050
2020-04-16 13:50:00,4.975,4.985,4.96,4.97,100600
2020-04-16 13:55:00,4.975,4.985,4.945,4.945,193963
2020-04-16 14:00:00,4.945,4.985,4.94,4.96,200956
2020-04-16 14:05:00,4.95,4.97,4.94,4.94,115288
2020-04-16 14:10:00,4.945,4.945,4.905,4.91,258411
2020-04-16 14:15:00,4.92,4.93,4.91,4.9129,304576
2020-04-16 14:20:00,4.91,4.94,4.9,4.935,113583
2020-04-16 14:25:00,4.9372,4.95,4.93,4.94,152158
2020-04-16 14:30:00,4.94,4.96,4.93,4.94,140382
2020-04-16 14:35:00,4.94,4.96,4.93,4.945,135106
2020-04-16 14:40:00,4.9471,4.975,4.93,4.97,220145
2020-04-16 14:45:00,4.97,4.97,4.95,4.96,141349
2020-04-16 14:50:00,4.95,4.957,4.93,4.94,96998
2020-04-16 14:55:00,4.94,4.965,4.94,4.96,138584
2020-04-16 15:00:00,4.96,4.97,4.95,4.97,152556
2020-04-16 15:05:00,4.965,5.03,4.965,5.02,276740
2020-04-16 15:10:00,5.02,5.023,4.99,5.0,217832
2020-04-16 15:15:00,5.0,5.01,4.97,4.98,133151
2020-04-16 15:20:00,4.98,4.9871,4.96,4.96,125498
2020-04-16 15:25:00,4.97,4.99,4.96,4.97,280701
2020-04-16 15:30:00,4.975,4.975,4.95,4.95,217041
2020-04-16 15:35:00,4.9599,4.97,4.95,4.965,67057
2020-04-16 15:40:00,4.97,4.98,4.96,4.96,86172
2020-04-16 15:45:00,4.96,4.97,4.96,4.965,10730
2020-04-16 15:50:00,4.96,5.0,4.96,5.0,146943
2020-04-16 15:55:00,4.995,5.0,4.98,4.9868,88276
2020-04-16 16:00:00,4.98,4.99,4.97,4.98,78809
2020-04-16 16:05:00,4.98,4.98,4.97,4.975,72598
2020-04-16 16:10:00,4.9772,4.98,4.97,4.98,24377
2020-04-16 16:15:00,4.975,4.98,4.96,4.96,91213
2020-04-16 16:20:00,4.96,4.965,4.95,4.955,53021
2020-04-16 16:25:00,4.955,4.97,4.95,4.96,41325
2020-04-16 16:30:00,4.965,4.97,4.94,4.94,61146
2020-04-16 16:35:00,4.95,4.96,4.95,4.955,72365
2020-04-16 16:40:00,4.95,4.9658,4.95,4.9658,88821
2020-04-16 16:45:00,4.96,4.965,4.95,4.96,33291
2020-04-16 16:50:00,4.9598,4.968,4.95,4.95,71908
2020-04-16 16:55:00,4.955,4.96,4.94,4.95,110688
2020-04-16 17:00:00,4.95,4.9599,4.95,4.95,17437
2020-04-16 17:05:00,4.95,4.9568,4.94,4.94,33379
2020-04-16 17:10:00,4.94,4.95,4.94,4.9435,22412
2020-04-16 17:15:00,4.945,4.955,4.94,4.945,68414
2020-04-16 17:20:00,4.945,4.95,4.94,4.945,14396
2020-04-16 17:25:00,4.94,4.955,4.94,4.955,68468
2020-04-16 17:30:00,4.96,4.97,4.95,4.965,38999
2020-04-16 17:35:00,4.965,4.98,4.96,4.96,111811
2020-04-16 17:40:00,4.96,4.97,4.96,4.96,11649
2020-04-16 17:45:00,4.97,4.97,4.96,4.96,11267
2020-04-16 17:50:00,4.9663,4.9663,4.95,4.95,57979
2020-04-16 17:55:00,4.95,4.96,4.94,4.9585,86963
2020-04-16 18:00:00,4.955,4.96,4.94,4.945,47170
2020-04-16 18:05:00,4.945,4.97,4.9433,4.965,42374
2020-04-16 18:10:00,4.9668,4.97,4.96,4.97,17928
2020-04-16 18:15:00,4.965,4.97,4.96,4.96,36091
2020-04-16 18:20:00,4.9633,4.97,4.95,4.96,65623
2020-04-16 18:25:00,4.955,4.97,4.95,4.96,83631
2020-04-16 18:30:00,4.96,4.97,4.96,4.96,32580
2020-04-16 18:35:00,4.97,4.98,4.955,4.955,124148
2020-04-16 18:40:00,4.955,4.96,4.95,4.96,82531
2020-04-16 18:45:00,4.955,4.97,4.95,4.95,97728
2020-04-16 18:50:00,4.955,4.96,4.94,4.955,126764
2020-04-16 18:55:00,4.95,4.96,4.95,4.96,64620
2020-04-16 19:00:00,4.96,4.96,4.94,4.94,60515
2020-04-16 19:05:00,4.945,4.9599,4.94,4.94,132426
2020-04-16 19:10:00,4.94,4.95,4.94,4.94,44140
2020-04-16 19:15:00,4.945,4.96,4.945,4.95,100138
2020-04-16 19:20:00,4.95,4.96,4.95,4.95,45060
2020-04-16 19:25:00,4.95,4.96,4.95,4.95,18128
2020-04-16 19:30:00,4.96,4.97,4.95,4.965,128614
2020-04-16 19:35:00,4.965,4.97,4.96,4.965,70287
2020-04-16 19:40:00,4.97,4.97,4.96,4.965,60854
2020-04-16 19:45:00,4.965,4.97,4.96,4.97,55689
2020-04-16 19:50:00,4.97,4.99,4.96,4.99,205404
2020-04-16 19:55:00,4.985,4.99,4.97,4.98,253312
2020-04-16 20:00:00,4.98,4.98,4.98,4.98,125477
2020-04-16 22:35:00,5.2,5.2,5.2,5.2,300
2020-04-16 23:10:00,5.3,5.3,5.3,5.3,500
2020-04-16 23:15:00,5.3,5.3,5.3,5.3,1000
2020-04-16 23:20:00,5.2199,5.22,5.2199,5.22,1945
2020-04-16 23:25:00,5.22,5.22,5.22,5.22,1100
2020-04-16 23:30:00,5.22,5.22,5.22,5.22,100
2020-04-16 23:35:00,5.22,5.22,5.2,5.2,1650
2020-04-16 23:40:00,5.2,5.2,5.2,5.2,750
2020-04-16 23:45:00,5.2,5.2,5.2,5.2,500
2020-04-17 08:00:00,5.2,5.22,5.2,5.21,2700
2020-04-17 10:45:00,5.22,5.22,5.22,5.22,100
2020-04-17 11:00:00,5.23,5.23,5.23,5.23,33099
2020-04-17 11:25:00,5.23,5.23,5.23,5.23,200
2020-04-17 11:30:00,5.22,5.22,5.22,5.22,104
