datetime,open,high,low,close,volume
2020-04-16 08:15:00,59.54,59.54,59.54,59.54,235
2020-04-16 08:20:00,59.65,59.75,59.65,59.75,2000
2020-04-16 09:05:00,59.47,59.48,59.45,59.45,509
2020-04-16 09:40:00,59.75,59.75,59.75,59.75,100
2020-04-16 09:50:00,59.61,59.61,59.61,59.61,300
2020-04-16 10:00:00,59.62,59.62,59.61,59.61,1125
2020-04-16 10:05:00,59.61,59.61,59.61,59.61,3291
2020-04-16 10:10:00,59.66,59.66,59.66,59.66,100
2020-04-16 10:15:00,59.75,59.81,59.62,59.62,500
2020-04-16 10:35:00,59.85,59.85,59.85,59.85,100
2020-04-16 10:40:00,59.7,60.07,59.7,60.07,600
2020-04-16 10:45:00,59.98,59.98,59.81,59.81,568
2020-04-16 10:50:00,59.84,59.95,59.84,59.93,568
2020-04-16 10:55:00,59.86,59.86,59.81,59.85,528
2020-04-16 11:00:00,59.8,59.89,59.55,59.6,7078
2020-04-16 11:05:00,59.61,59.61,59.6,59.6,202
2020-04-16 11:10:00,59.65,59.7,59.65,59.65,726
2020-04-16 11:15:00,59.75,59.75,59.75,59.75,276
2020-04-16 11:20:00,59.7,59.7,59.7,59.7,100
2020-04-16 11:25:00,59.79,60.0,59.79,59.8,650
2020-04-16 11:30:00,59.67,59.67,59.56,59.56,819
2020-04-16 11:35:00,59.46,59.46,59.46,59.46,100
2020-04-16 11:40:00,59.53,59.53,59.49,59.49,613
2020-04-16 11:45:00,59.55,59.55,59.55,59.55,100
2020-04-16 11:50:00,59.55,59.7,59.55,59.7,2005
2020-04-16 11:55:00,59.76,59.76,59.76,59.76,180
2020-04-16 12:00:00,59.7,59.75,59.01,59.65,3333
2020-04-16 12:05:00,59.72,59.7398,59.72,59.7398,4741
2020-04-16 12:10:00,59.56,59.61,59.55,59.55,1400
2020-04-16 12:15:00,59.55,59.55,59.2,59.2,1342
2020-04-16 12:20:00,59.45,59.5,59.45,59.45,548
