datetime,open,high,low,close,volume
2020-04-16 08:30:00,18.55,18.55,18.55,18.55,450
2020-04-16 09:10:00,18.44,18.44,18.44,18.44,150
2020-04-16 09:20:00,18.5,18.5,18.5,18.5,500
2020-04-16 10:00:00,18.86,18.86,18.86,18.86,100
2020-04-16 10:20:00,18.73,18.73,18.7,18.7,1316
2020-04-16 10:30:00,18.6,18.6,18.6,18.6,100
2020-04-16 10:35:00,18.74,18.74,18.74,18.74,200
2020-04-16 10:50:00,18.7,18.7,18.7,18.7,100
2020-04-16 11:00:00,18.7,18.83,18.7,18.83,2284
2020-04-16 11:10:00,18.78,18.78,18.78,18.78,3388
2020-04-16 11:30:00,18.82,18.82,18.82,18.82,100
2020-04-16 11:35:00,18.7,18.7,18.7,18.7,535
2020-04-16 11:45:00,18.79,18.8,18.79,18.8,1945
2020-04-16 11:50:00,18.81,18.81,18.81,18.81,200
2020-04-16 12:05:00,18.7,18.7,18.7,18.7,100
2020-04-16 12:10:00,18.7499,18.75,18.7499,18.75,305
2020-04-16 12:15:00,18.7,18.75,18.7,18.75,424
2020-04-16 12:20:00,18.75,18.75,18.66,18.66,750
2020-04-16 12:25:00,18.6,18.63,18.6,18.63,507
2020-04-16 12:30:00,18.7,18.8,18.7,18.8,500
2020-04-16 12:35:00,18.7999,18.7999,18.7999,18.7999,400
2020-04-16 12:50:00,18.76,18.76,18.76,18.76,348
2020-04-16 12:55:00,18.72,18.72,18.45,18.45,58900
2020-04-16 13:00:00,18.73,18.79,18.73,18.76,2437
2020-04-16 13:05:00,18.76,18.76,18.76,18.76,165
2020-04-16 13:10:00,18.45,18.8,18.45,18.8,54150
2020-04-16 13:20:00,18.8,18.86,18.8,18.86,1250
2020-04-16 13:25:00,18.85,18.87,18.7,18.7,3483
2020-04-16 13:30:00,18.71,18.97,18.64,18.8,253169
2020-04-16 13:35:00,18.8,18.83,18.67,18.7,93185
2020-04-16 13:40:00,18.72,18.87,18.72,18.835,86773
2020-04-16 13:45:00,18.835,18.94,18.78,18.835,147378
2020-04-16 13:50:00,18.83,18.83,18.7,18.735,64747
2020-04-16 13:55:00,18.75,18.91,18.75,18.9,68647
2020-04-16 14:00:00,18.9,18.94,18.85,18.91,120138
2020-04-16 14:05:00,18.91,18.97,18.875,18.9,123798
2020-04-16 14:10:00,18.905,18.94,18.79,18.85,75992
2020-04-16 14:15:00,18.84,18.91,18.8,18.9,108725
2020-04-16 14:20:00,18.9,19.07,18.87,19.035,172793
2020-04-16 14:25:00,19.0334,19.08,18.97,19.06,47421
2020-04-16 14:30:00,19.0599,19.0795,18.97,19.07,59410
2020-04-16 14:35:00,19.0686,19.08,19.01,19.017,83477
2020-04-16 14:40:00,19.017,19.16,19.0078,19.145,141267
2020-04-16 14:45:00,19.15,19.22,19.13,19.165,172774
