datetime,open,high,low,close,volume
2020-04-16 09:10:00,9.89,9.89,9.89,9.89,100
2020-04-16 11:00:00,9.11,9.11,9.11,9.11,100
2020-04-16 11:05:00,9.11,9.11,9.11,9.11,5100
2020-04-16 12:15:00,9.1,9.1,9.1,9.1,300
2020-04-16 13:05:00,9.0,9.0,9.0,9.0,300
2020-04-16 13:10:00,9.0,9.0,9.0,9.0,482
2020-04-16 13:30:00,8.92,8.92,8.75,8.77,108208
2020-04-16 13:35:00,8.78,8.78,8.7,8.71,58906
2020-04-16 13:40:00,8.71,8.81,8.71,8.77,66102
2020-04-16 13:45:00,8.76,8.79,8.73,8.73,26569
2020-04-16 13:50:00,8.735,8.74,8.71,8.715,29314
2020-04-16 13:55:00,8.715,8.715,8.6116,8.615,41061
2020-04-16 14:00:00,8.61,8.62,8.6,8.6,108165
2020-04-16 14:05:00,8.605,8.61,8.57,8.57,24934
2020-04-16 14:10:00,8.57,8.57,8.53,8.54,23524
2020-04-16 14:15:00,8.53,8.54,8.515,8.515,37814
2020-04-16 14:20:00,8.51,8.52,8.51,8.5181,13378
2020-04-16 14:25:00,8.51,8.57,8.5025,8.565,105030
2020-04-16 14:30:00,8.56,8.59,8.5535,8.575,59913
2020-04-16 14:35:00,8.5724,8.595,8.545,8.55,52340
2020-04-16 14:40:00,8.545,8.62,8.5406,8.62,51466
2020-04-16 14:45:00,8.61,8.63,8.59,8.61,39511
2020-04-16 14:50:00,8.615,8.6381,8.6,8.6245,32689
2020-04-16 14:55:00,8.6201,8.68,8.62,8.675,42863
2020-04-16 15:00:00,8.675,8.71,8.67,8.7051,56514
2020-04-16 15:05:00,8.7,8.765,8.7,8.76,34845
2020-04-16 15:10:00,8.75,8.76,8.715,8.715,32005
2020-04-16 15:15:00,8.715,8.715,8.68,8.695,23916
2020-04-16 15:20:00,8.695,8.7,8.69,8.69,29441
2020-04-16 15:25:00,8.69,8.69,8.68,8.68,17998
2020-04-16 15:30:00,8.68,8.6855,8.67,8.67,22817
2020-04-16 15:35:00,8.67,8.675,8.65,8.65,22937
2020-04-16 15:40:00,8.65,8.655,8.6,8.6,71720
2020-04-16 15:45:00,8.605,8.61,8.59,8.5901,39500
2020-04-16 15:50:00,8.595,8.71,8.595,8.71,145393
2020-04-16 15:55:00,8.71,8.715,8.67,8.675,18178
2020-04-16 16:00:00,8.675,8.7,8.66,8.66,28491
2020-04-16 16:05:00,8.66,8.67,8.64,8.665,35973
2020-04-16 16:10:00,8.665,8.669,8.65,8.65,23833
2020-04-16 16:15:00,8.65,8.66,8.625,8.64,30671
2020-04-16 16:20:00,8.635,8.64,8.615,8.62,24471
2020-04-16 16:25:00,8.62,8.62,8.6,8.61,17457
2020-04-16 16:30:00,8.61,8.6194,8.6,8.6,31997
2020-04-16 16:35:00,8.6,8.6089,8.59,8.59,21294
2020-04-16 16:40:00,8.59,8.6,8.59,8.59,24648
2020-04-16 16:45:00,8.59,8.6,8.57,8.57,19889
2020-04-16 16:50:00,8.5701,8.58,8.57,8.57,13380
2020-04-16 16:55:00,8.57,8.58,8.57,8.5701,18829
2020-04-16 17:00:00,8.575,8.58,8.57,8.575,31936
2020-04-16 17:05:00,8.57,8.5799,8.56,8.56,35730
2020-04-16 17:10:00,8.56,8.675,8.56,8.64,198419
2020-04-16 17:15:00,8.64,8.68,8.64,8.68,52173
2020-04-16 17:20:00,8.675,8.725,8.6707,8.69,51732
2020-04-16 17:25:00,8.6998,8.75,8.69,8.75,41583
2020-04-16 17:30:00,8.7486,8.8,8.745,8.77,67470
2020-04-16 17:35:00,8.77,8.78,8.77,8.77,22899
2020-04-16 17:40:00,8.775,8.775,8.76,8.76,18831
2020-04-16 17:45:00,8.76,8.76,8.72,8.72,18143
2020-04-16 17:50:00,8.72,8.725,8.72,8.72,13133
2020-04-16 17:55:00,8.7201,8.7201,8.69,8.695,20143
2020-04-16 18:00:00,8.69,8.75,8.68,8.72,147785
2020-04-16 18:05:00,8.725,8.74,8.7,8.74,59996
2020-04-16 18:10:00,8.74,8.74,8.72,8.72,24411
2020-04-16 18:15:00,8.725,8.74,8.7,8.701,34674
2020-04-16 18:20:00,8.71,8.74,8.705,8.73,41138
2020-04-16 18:25:00,8.73,8.74,8.72,8.73,20368
2020-04-16 18:30:00,8.73,8.765,8.73,8.75,52125
2020-04-16 18:35:00,8.755,8.8,8.75,8.78,37231
2020-04-16 18:40:00,8.785,8.785,8.76,8.76,42079
2020-04-16 18:45:00,8.765,8.79,8.76,8.785,72422
2020-04-16 18:50:00,8.785,8.79,8.75,8.75,50241
2020-04-16 18:55:00,8.75,8.755,8.73,8.73,44924
2020-04-16 19:00:00,8.73,8.74,8.72,8.72,39530
2020-04-16 19:05:00,8.72,8.725,8.72,8.72,17530
2020-04-16 19:10:00,8.72,8.735,8.69,8.71,145678
2020-04-16 19:15:00,8.71,8.72,8.68,8.685,40968
2020-04-16 19:20:00,8.68,8.69,8.68,8.685,66171
2020-04-16 19:25:00,8.68,8.695,8.64,8.695,125811
2020-04-16 19:30:00,8.7,8.71,8.67,8.685,75370
2020-04-16 19:35:00,8.685,8.69,8.67,8.68,68430
2020-04-16 19:40:00,8.6728,8.7,8.67,8.695,94198
2020-04-16 19:45:00,8.695,8.72,8.68,8.715,126758
2020-04-16 19:50:00,8.71,8.76,8.71,8.74,134779
2020-04-16 19:55:00,8.735,8.74,8.7,8.705,228295
2020-04-16 20:00:00,8.71,8.71,8.71,8.71,234348
2020-04-16 20:35:00,8.69,8.69,8.69,8.69,100
2020-04-16 21:15:00,8.87,8.87,8.87,8.87,24980
2020-04-16 21:30:00,9.02,9.02,9.02,9.02,499
2020-04-17 12:45:00,9.29,9.29,9.29,9.29,350
2020-04-17 13:20:00,9.15,9.15,9.1,9.1,2500
