datetime,open,high,low,close,volume
2020-04-16 08:00:00,45.0,45.08,44.98,44.98,2289
2020-04-16 08:05:00,45.08,45.08,45.08,45.08,200
2020-04-16 08:25:00,45.38,45.38,45.38,45.38,190
2020-04-16 08:30:00,45.29,45.29,45.26,45.26,950
2020-04-16 08:35:00,45.26,45.26,45.26,45.26,146
2020-04-16 08:40:00,45.2,45.2,45.2,45.2,300
2020-04-16 08:45:00,45.2,45.5,45.2,45.48,5567
2020-04-16 08:50:00,45.48,45.48,45.41,45.41,200
2020-04-16 08:55:00,45.48,45.48,45.48,45.48,137
2020-04-16 09:00:00,45.37,45.37,45.33,45.33,300
2020-04-16 09:05:00,45.25,45.28,45.21,45.28,1599
2020-04-16 09:20:00,45.46,45.48,45.46,45.46,4350
2020-04-16 09:35:00,45.45,45.45,45.45,45.45,700
2020-04-16 09:40:00,45.46,45.5,45.46,45.5,1753
2020-04-16 10:05:00,45.47,45.47,45.1,45.2,2101
2020-04-16 10:15:00,45.4,45.45,45.4,45.45,500
2020-04-16 10:20:00,45.44,45.5,45.44,45.45,6149
2020-04-16 10:25:00,45.5,45.5,45.48,45.48,1249
2020-04-16 10:35:00,45.5,45.5,45.5,45.5,1353
2020-04-16 10:55:00,45.3,45.3,45.3,45.3,228
2020-04-16 11:00:00,45.3,45.3,45.3,45.3,561
2020-04-16 11:05:00,45.3,45.38,45.3,45.36,1084
2020-04-16 11:10:00,45.38,45.38,45.38,45.38,450
2020-04-16 11:20:00,45.6,45.6,45.48,45.5,759
2020-04-16 11:30:00,45.42,45.45,45.29,45.45,5936
2020-04-16 11:35:00,45.43,45.43,45.3,45.3,930
2020-04-16 11:40:00,45.26,45.26,45.22,45.22,600
2020-04-16 11:45:00,45.22,45.22,45.22,45.22,300
2020-04-16 11:50:00,45.3,45.3,45.3,45.3,1000
2020-04-16 11:55:00,45.31,45.31,45.31,45.31,100
2020-04-16 12:00:00,45.42,45.42,45.32,45.32,750
2020-04-16 12:05:00,45.32,45.42,45.32,45.42,600
2020-04-16 12:10:00,45.42,45.42,45.4198,45.42,1416
2020-04-16 12:15:00,45.42,45.43,45.42,45.43,1786
2020-04-16 12:20:00,45.3,45.3,45.2001,45.2001,1550
2020-04-16 12:25:00,45.39,45.4694,45.39,45.4694,1422
2020-04-16 12:30:00,45.5,45.59,45.5,45.55,871
2020-04-16 12:35:00,45.5978,45.65,44.6,45.55,25255
2020-04-16 12:40:00,45.55,45.55,45.4548,45.4548,1100
2020-04-16 12:45:00,45.5,45.5,45.5,45.5,500
2020-04-16 12:50:00,45.45,45.45,45.3,45.3,3966
2020-04-16 12:55:00,45.5099,45.65,45.4,45.44,22146
2020-04-16 13:00:00,45.44,45.45,45.2,45.2,13764
2020-04-16 13:05:00,45.3,45.32,45.3,45.32,1050
2020-04-16 13:10:00,45.48,45.51,45.48,45.51,539
2020-04-16 13:15:00,45.5,45.51,45.43,45.51,4408
2020-04-16 13:20:00,45.41,45.5,45.41,45.5,700
2020-04-16 13:25:00,45.4999,45.62,45.3501,45.62,3978
2020-04-16 13:30:00,45.62,46.05,45.4241,45.4241,781888
2020-04-16 13:35:00,45.44,45.49,45.17,45.36,230745
2020-04-16 13:40:00,45.3664,45.6826,45.36,45.53,277637
2020-04-16 13:45:00,45.54,45.68,45.53,45.56,283281
2020-04-16 13:50:00,45.55,45.81,45.48,45.725,235090
2020-04-16 13:55:00,45.725,46.09,45.725,46.005,388398
2020-04-16 14:00:00,46.0,46.165,45.99,46.03,300058
2020-04-16 14:05:00,46.04,46.49,46.04,46.485,498760
2020-04-16 14:10:00,46.485,46.5,46.145,46.21,719004
2020-04-16 14:15:00,46.22,46.3173,46.14,46.22,283163
2020-04-16 14:20:00,46.225,46.31,46.165,46.22,209646
2020-04-16 14:25:00,46.22,46.25,46.14,46.21,161545
2020-04-16 14:30:00,46.2,46.37,46.13,46.36,275001
2020-04-16 14:35:00,46.36,46.37,46.18,46.18,271866
2020-04-16 14:40:00,46.185,46.61,46.15,46.595,377624
2020-04-16 14:45:00,46.5976,46.84,46.5958,46.805,447085
2020-04-16 14:50:00,46.81,46.88,46.69,46.7689,310662
2020-04-16 14:55:00,46.77,46.8,46.5,46.52,258648
2020-04-16 15:00:00,46.54,46.64,46.39,46.49,194424
2020-04-16 15:05:00,46.495,46.705,46.455,46.585,249500
2020-04-16 15:10:00,46.58,46.73,46.58,46.675,135477
2020-04-16 15:15:00,46.675,46.78,46.64,46.76,190449
2020-04-16 15:20:00,46.75,46.93,46.75,46.915,222427
2020-04-16 15:25:00,46.9147,46.97,46.79,46.92,170302
2020-04-16 15:30:00,46.915,46.92,46.66,46.71,155018
2020-04-16 15:35:00,46.72,46.96,46.7,46.96,152991
2020-04-16 15:40:00,46.96,47.0,46.9,46.9,161603
2020-04-16 15:45:00,46.91,46.99,46.81,46.86,144036
2020-04-16 15:50:00,46.87,46.99,46.81,46.98,131691
2020-04-16 15:55:00,46.98,47.04,46.8901,46.975,514235
2020-04-16 16:00:00,46.98,47.09,46.94,47.05,178728
2020-04-16 16:05:00,47.05,47.05,46.95,46.98,140617
2020-04-16 16:10:00,46.99,47.01,46.69,46.73,368733
2020-04-16 16:15:00,46.74,46.79,46.3973,46.425,349804
2020-04-16 16:20:00,46.43,46.48,46.3,46.4209,283018
2020-04-16 16:25:00,46.43,46.66,46.43,46.6143,226383
2020-04-16 16:30:00,46.62,46.625,46.42,46.46,144713
2020-04-16 16:35:00,46.461,46.54,46.33,46.445,210100
2020-04-16 16:40:00,46.44,46.55,46.375,46.51,146983
2020-04-16 16:45:00,46.515,46.6,46.51,46.565,143797
2020-04-16 16:50:00,46.565,46.86,46.545,46.805,233407
2020-04-16 16:55:00,46.79,46.91,46.67,46.86,182220
2020-04-16 17:00:00,46.85,46.92,46.79,46.86,136496
2020-04-16 17:05:00,46.86,46.91,46.75,46.77,94223
2020-04-16 17:10:00,46.78,46.815,46.715,46.79,123440
2020-04-16 17:15:00,46.8,46.86,46.7,46.7827,83291
2020-04-16 17:20:00,46.78,46.79,46.72,46.75,52946
2020-04-16 17:25:00,46.76,46.85,46.73,46.835,66741
2020-04-16 17:30:00,46.84,46.98,46.76,46.975,155416
2020-04-16 17:35:00,46.975,46.98,46.88,46.91,68853
2020-04-16 17:40:00,46.91,46.99,46.84,46.98,109851
2020-04-16 17:45:00,46.98,47.05,46.933,47.005,170486
2020-04-16 17:50:00,47.01,47.05,46.96,46.99,118201
2020-04-16 17:55:00,46.985,47.095,46.98,47.065,96610
2020-04-16 18:00:00,47.07,47.14,47.025,47.0647,192581
2020-04-16 18:05:00,47.065,47.135,47.0,47.13,196954
2020-04-16 18:10:00,47.13,47.215,47.1,47.2,208229
2020-04-16 18:15:00,47.22,47.33,47.21,47.325,211133
2020-04-16 18:20:00,47.315,47.35,47.2,47.33,161415
2020-04-16 18:25:00,47.325,47.415,47.29,47.38,246701
2020-04-16 18:30:00,47.38,47.45,47.255,47.36,194968
2020-04-16 18:35:00,47.38,47.5,47.37,47.43,151370
2020-04-16 18:40:00,47.43,47.45,47.34,47.365,110140
2020-04-16 18:45:00,47.365,47.37,47.1478,47.175,164036
2020-04-16 18:50:00,47.175,47.218,47.045,47.21,215721
2020-04-16 18:55:00,47.205,47.33,47.2,47.29,140168
2020-04-16 19:00:00,47.285,47.32,47.125,47.175,140957
2020-04-16 19:05:00,47.175,47.22,47.15,47.17,113793
2020-04-16 19:10:00,47.16,47.23,47.095,47.205,140375
2020-04-16 19:15:00,47.205,47.24,47.145,47.2,129492
2020-04-16 19:20:00,47.2,47.349,47.18,47.29,172341
2020-04-16 19:25:00,47.285,47.39,47.2,47.39,203518
2020-04-16 19:30:00,47.39,47.48,47.33,47.44,208612
2020-04-16 19:35:00,47.44,47.53,47.375,47.455,273705
2020-04-16 19:40:00,47.455,47.51,47.42,47.455,232757
